mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 6.404479e-01, 4.571389e-01, -2.839105e-01, 4.877194e+00, 2.625744e+00, -4.877768e-01, 4.061633e+01, 2.342464e+01, -4.616970e+00, -5.498066e+00, -3.364545e+00, 8.158297e-01, -8.074966e-01, -1.591742e-01, 2.836340e-01, -7.032867e+01, -4.061913e+01, 7.997190e+00, -3.992850e+01, -2.336372e+01, 4.144266e+00, 6.947035e+01, 3.992929e+01, -7.178043e+00, 1.639132e-01, -2.931353e-01, 3.667524e-04
-7.899371e-02, 6.076106e-01, 4.352095e-01, -2.729565e-01, 4.887987e+00, 2.638229e+00, -5.068490e-01, 3.984629e+01, 2.299076e+01, -4.534474e+00, -5.478168e+00, -3.347000e+00, 8.225236e-01, -7.650325e-01, -1.445997e-01, 2.726483e-01, -6.902361e+01, -3.986042e+01, 7.856223e+00, -3.920897e+01, -2.294738e+01, 4.079894e+00, 6.823024e+01, 3.921405e+01, -7.067070e+00, 1.501252e-01, -2.886452e-01, 1.074698e-03
-7.798742e-02, 5.734204e-01, 4.127132e-01, -2.622094e-01, 4.907730e+00, 2.655338e+00, -5.264085e-01, 3.912021e+01, 2.258181e+01, -4.456421e+00, -5.459199e+00, -3.330207e+00, 8.292905e-01, -7.324882e-01, -1.352297e-01, 2.629391e-01, -6.779143e+01, -3.914376e+01, 7.722892e+00, -3.852779e+01, -2.255325e+01, 4.018736e+00, 6.705778e+01, 3.853759e+01, -6.962099e+00, 1.461210e-01, -2.790808e-01, 8.153084e-04
-7.698113e-02, 5.489952e-01, 3.957056e-01, -2.529041e-01, 4.897028e+00, 2.655405e+00, -5.421792e-01, 3.842441e+01, 2.218836e+01, -4.381995e+00, -5.418025e+00, -3.299773e+00, 8.339848e-01, -7.060376e-01, -1.307161e-01, 2.525839e-01, -6.652818e+01, -3.840625e+01, 7.586706e+00, -3.783988e+01, -2.215455e+01, 3.957945e+00, 6.583614e+01, 3.783259e+01, -6.854374e+00, 1.625201e-01, -2.570231e-01, -8.268287e-04
-7.597484e-02, 5.219392e-01, 3.780567e-01, -2.443887e-01, 4.938852e+00, 2.683754e+00, -5.621663e-01, 3.791105e+01, 2.190159e+01, -4.327444e+00, -5.435443e+00, -3.305897e+00, 8.444093e-01, -6.716269e-01, -1.173433e-01, 2.444783e-01, -6.568436e+01, -3.791537e+01, 7.496074e+00, -3.737885e+01, -2.188892e+01, 3.917878e+00, 6.505315e+01, 3.738055e+01, -6.786167e+00, 1.455192e-01, -2.577655e-01, 1.938513e-04
-7.496855e-02, 4.937556e-01, 3.587461e-01, -2.340689e-01, 4.930113e+00, 2.685146e+00, -5.786228e-01, 3.716855e+01, 2.148301e+01, -4.247881e+00, -5.395014e+00, -3.275953e+00, 8.485970e-01, -6.436420e-01, -1.118030e-01, 2.348180e-01, -6.441064e+01, -3.717415e+01, 7.358697e+00, -3.667009e+01, -2.147851e+01, 3.855110e+00, 6.382658e+01, 3.667299e+01, -6.677884e+00, 1.440171e-01, -2.458496e-01, -2.450308e-04
-7.396226e-02, 4.690751e-01, 3.411277e-01, -2.235806e-01, 4.898301e+00, 2.674032e+00, -5.929546e-01, 3.636241e+01, 2.102815e+01, -4.161273e+00, -5.340587e+00, -3.237357e+00, 8.508819e-01, -6.116510e-01, -1.049598e-01, 2.245466e-01, -6.303849e+01, -3.637654e+01, 7.210225e+00, -3.589596e+01, -2.102994e+01, 3.786316e+00, 6.249016e+01, 3.590246e+01, -6.559293e+00, 1.337498e-01, -2.380469e-01, 8.256399e-05
-7.295597e-02, 4.392323e-01, 3.211202e-01, -2.132066e-01, 4.907295e+00, 2.685124e+00, -6.110131e-01, 3.563735e+01, 2.061989e+01, -4.083557e+00, -5.324259e+00, -3.222353e+00, 8.574448e-01, -5.689168e-01, -8.949812e-02, 2.138283e-01, -6.181289e+01, -3.566408e+01, 7.077586e+00, -3.521146e+01, -2.063391e+01, 3.725256e+00, 6.131075e+01, 3.522231e+01, -6.453860e+00, 1.167384e-01, -2.359205e-01, 1.119900e-03
-7.194969e-02, 4.126617e-01, 3.033644e-01, -2.042228e-01, 4.921183e+00, 2.698324e+00, -6.283247e-01, 3.501313e+01, 2.026787e+01, -4.016917e+00, -5.310622e+00, -3.209213e+00, 8.646396e-01, -5.316709e-01, -7.666744e-02, 2.030845e-01, -6.068578e+01, -3.500592e+01, 6.955902e+00, -3.461072e+01, -2.028634e+01, 3.672256e+00, 6.024428e+01, 3.460672e+01, -6.359538e+00, 1.231288e-01, -2.210370e-01, 4.549524e-04
-7.094340e-02, 3.943521e-01, 2.897233e-01, -1.953833e-01, 4.884682e+00, 2.683895e+00, -6.406515e-01, 3.433750e+01, 1.988730e+01, -3.944812e+00, -5.253011e+00, -3.169076e+00, 8.663535e-01, -5.140613e-01, -7.748392e-02, 1.947536e-01, -5.951751e+01, -3.432543e+01, 6.830398e+00, -3.396058e+01, -1.990980e+01, 3.616012e+00, 5.911517e+01, 3.395532e+01, -6.262236e+00, 1.250075e-01, -2.072232e-01, -2.422796e-04
