mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.375000e-02, 2.119994e+03, 1.406654e+03, -5.375887e+02, 7.342285e+03, 3.838982e+03, -8.883694e+02, 8.001281e+04, 4.613261e+04, -9.019889e+03, -9.537049e+03, -5.906483e+03, 1.509139e+03, -2.477892e+03, -7.857458e+02, 5.382291e+02, -1.385502e+05, -8.002973e+04, 1.562590e+04, -7.565845e+04, -4.417777e+04, 7.948213e+03, 1.315530e+05, 7.566581e+04, -1.376783e+04, 1.708814e+02, -3.139674e+02, 5.578264e-01
-3.250000e-02, 2.150104e+03, 1.427879e+03, -5.470376e+02, 7.590163e+03, 3.973425e+03, -9.264354e+02, 8.195312e+04, 4.725594e+04, -9.240305e+03, -9.813539e+03, -6.074722e+03, 1.558138e+03, -2.514939e+03, -7.933672e+02, 5.472656e+02, -1.418982e+05, -8.196013e+04, 1.600578e+04, -7.751588e+04, -4.526506e+04, 8.145392e+03, 1.347778e+05, 7.751897e+04, -1.410858e+04, 1.796109e+02, -3.191187e+02, 2.373763e-01
-3.125000e-02, 2.180895e+03, 1.450225e+03, -5.579484e+02, 8.115826e+03, 4.266556e+03, -1.020768e+03, 8.527662e+04, 4.919363e+04, -9.625513e+03, -1.036684e+04, -6.404491e+03, 1.664864e+03, -2.558607e+03, -8.020618e+02, 5.588566e+02, -1.476879e+05, -8.529258e+04, 1.667477e+04, -8.076191e+04, -4.717189e+04, 8.504665e+03, 1.404401e+05, 8.076920e+04, -1.473172e+04, 1.838785e+02, -3.298863e+02, 2.767241e-01
-3.000000e-02, 2.215168e+03, 1.475610e+03, -5.713621e+02, 9.260132e+03, 4.914559e+03, -1.244875e+03, 9.164208e+04, 5.292432e+04, -1.037516e+04, -1.154411e+04, -7.096939e+03, 1.904588e+03, -2.601808e+03, -8.067083e+02, 5.721596e+02, -1.587730e+05, -9.166073e+04, 1.797367e+04, -8.703768e+04, -5.086837e+04, 9.222566e+03, 1.513850e+05, 8.704605e+04, -1.597530e+04, 1.887854e+02, -3.444717e+02, 5.173970e-01
-2.875000e-02, 2.257001e+03, 1.508416e+03, -5.913814e+02, 1.185601e+04, 6.393718e+03, -1.769637e+03, 1.051606e+05, 6.086987e+04, -1.197923e+04, -1.417924e+04, -8.638184e+03, 2.452536e+03, -2.660347e+03, -8.089525e+02, 5.932878e+02, -1.823776e+05, -1.052102e+05, 2.075742e+04, -1.004677e+05, -5.878956e+04, 1.078182e+04, 1.748358e+05, 1.004890e+05, -1.867785e+04, 1.865645e+02, -3.750969e+02, 1.673670e+00
-2.828027e-02, 2.266820e+03, 1.516563e+03, -5.975884e+02, 1.397042e+04, 7.608681e+03, -2.222269e+03, 1.156144e+05, 6.703609e+04, -1.323418e+04, -1.629651e+04, -9.865978e+03, 2.912316e+03, -2.674269e+03, -8.082839e+02, 5.975413e+02, -2.005338e+05, -1.156132e+05, 2.292190e+04, -1.108764e+05, -6.493940e+04, 1.202143e+04, 1.929683e+05, 1.108763e+05, -2.082161e+04, 2.139925e+02, -3.677130e+02, -1.482204e-01
-2.795093e-02, 2.278176e+03, 1.525053e+03, -6.026922e+02, 1.624525e+04, 8.917640e+03, -2.714778e+03, 1.268307e+05, 7.365806e+04, -1.458223e+04, -1.858142e+04, -1.118961e+04, 3.410642e+03, -2.691233e+03, -8.109959e+02, 6.030864e+02, -2.201202e+05, -1.268375e+05, 2.525823e+04, -1.220756e+05, -7.155816e+04, 1.335916e+04, 2.125241e+05, 1.220787e+05, -2.313912e+04, 2.135910e+02, -3.750969e+02, 1.099919e-01
-2.773370e-02, 2.288868e+03, 1.533595e+03, -6.086012e+02, 1.867877e+04, 1.031726e+04, -3.238905e+03, 1.387721e+05, 8.070703e+04, -1.601706e+04, -2.102303e+04, -1.260461e+04, 3.941414e+03, -2.709597e+03, -8.130627e+02, 6.096073e+02, -2.409716e+05, -1.387875e+05, 2.774525e+04, -1.339980e+05, -7.860405e+04, 1.478163e+04, 2.333446e+05, 1.340056e+05, -2.560391e+04, 2.169165e+02, -3.822311e+02, 7.468631e-02
-2.759095e-02, 2.289360e+03, 1.534957e+03, -6.106976e+02, 2.079889e+04, 1.153880e+04, -3.700756e+03, 1.489758e+05, 8.673628e+04, -1.724655e+04, -2.314406e+04, -1.383175e+04, 4.406069e+03, -2.705324e+03, -8.066148e+02, 6.103228e+02, -2.587521e+05, -1.489719e+05, 2.987114e+04, -1.441987e+05, -8.463544e+04, 1.600629e+04, 2.511398e+05, 1.441976e+05, -2.772352e+04, 2.225834e+02, -3.826816e+02, -9.991276e-02
-2.749753e-02, 2.300663e+03, 1.542114e+03, -6.136261e+02, 2.248230e+04, 1.250936e+04, -4.071174e+03, 1.572920e+05, 9.164989e+04, -1.824867e+04, -2.483853e+04, -1.481142e+04, 4.779574e+03, -2.723496e+03, -8.148490e+02, 6.145326e+02, -2.733006e+05, -1.573082e+05, 3.161047e+04, -1.524995e+05, -8.954278e+04, 1.700342e+04, 2.656467e+05, 1.525069e+05, -2.945192e+04, 2.177201e+02, -3.885858e+02, 2.808498e-01
