mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-3.733027e-02, 2.596945e+00, -4.253438e+00, 5.693487e-01, -4.253438e+00, 7.509211e+00, 3.316594e-01, 5.693487e-01, 3.316594e-01, 6.482639e+00
-3.584507e-02, 1.846232e+00, -3.028882e+00, 3.960678e-01, -3.028882e+00, 5.343760e+00, 2.273107e-01, 3.960678e-01, 2.273107e-01, 4.563343e+00
-3.435988e-02, 1.693832e+00, -2.781878e+00, 3.600540e-01, -2.781878e+00, 4.906091e+00, 2.077167e-01, 3.600540e-01, 2.077167e-01, 4.171580e+00
-3.287469e-02, 1.664556e+00, -2.735905e+00, 3.533552e-01, -2.735905e+00, 4.823732e+00, 2.038550e-01, 3.533552e-01, 2.038550e-01, 4.091677e+00
-3.233027e-02, 1.730024e+00, -2.844047e+00, 3.687187e-01, -2.844047e+00, 5.014122e+00, 2.128325e-01, 3.687187e-01, 2.128325e-01, 4.256335e+00
-3.059693e-02, 2.104354e+00, -3.460468e+00, 4.575692e-01, -3.460468e+00, 6.100141e+00, 2.629934e-01, 4.575692e-01, 2.629934e-01, 5.200161e+00
-2.945360e-02, 2.811395e+00, -4.621789e+00, 6.254112e-01, -4.621789e+00, 8.148382e+00, 3.617326e-01, 6.254112e-01, 3.617326e-01, 6.998533e+00
-2.870227e-02, 3.996168e+00, -6.567584e+00, 9.061174e-01, -6.567584e+00, 1.158230e+01, 5.246189e-01, 9.061174e-01, 5.246189e-01, 1.000033e+01
-2.821063e-02, 5.924312e+00, -9.730181e+00, 1.368909e+00, -9.730181e+00, 1.716181e+01, 7.831546e-01, 1.368909e+00, 7.831546e-01, 1.487881e+01
-2.789050e-02, 8.810782e+00, -1.446711e+01, 2.048366e+00, -1.446711e+01, 2.553572e+01, 1.219222e+00, 2.048366e+00, 1.219222e+00, 2.228950e+01
-2.768321e-02, 1.261485e+01, -2.069637e+01, 2.961244e+00, -2.069637e+01, 3.652437e+01, 1.748807e+00, 2.961244e+00, 1.748807e+00, 3.194381e+01
-2.754988e-02, 1.674173e+01, -2.744720e+01, 3.956891e+00, -2.744720e+01, 4.842421e+01, 2.311783e+00, 3.956891e+00, 2.311783e+00, 4.251912e+01
-2.746478e-02, 2.054596e+01, -3.368054e+01, 4.836216e+00, -3.368054e+01, 5.940901e+01, 2.829927e+00, 4.836216e+00, 2.829927e+00, 5.189644e+01
-2.741097e-02, 2.346518e+01, -3.846963e+01, 5.639764e+00, -3.846963e+01, 6.789656e+01, 3.128967e+00, 5.639764e+00, 3.128967e+00, 5.959383e+01
-2.737734e-02, 2.560165e+01, -4.198176e+01, 6.064155e+00, -4.198176e+01, 7.409992e+01, 3.536696e+00, 6.064155e+00, 3.536696e+00, 6.492890e+01
-2.735663e-02, 2.702936e+01, -4.433098e+01, 6.350524e+00, -4.433098e+01, 7.826644e+01, 3.837659e+00, 6.350524e+00, 3.837659e+00, 6.850505e+01
-2.734411e-02, 2.792090e+01, -4.579882e+01, 6.630944e+00, -4.579882e+01, 8.087650e+01, 3.877191e+00, 6.630944e+00, 3.877191e+00, 7.081100e+01
-2.733672e-02, 2.841461e+01, -4.657446e+01, 6.787940e+00, -4.657446e+01, 8.222845e+01, 3.923133e+00, 6.787940e+00, 3.923133e+00, 7.240930e+01
-2.733253e-02, 2.881889e+01, -4.725828e+01, 6.783050e+00, -4.725828e+01, 8.342214e+01, 4.067596e+00, 6.783050e+00, 4.067596e+00, 7.295775e+01
-2.733027e-02, 2.896851e+01, -4.747339e+01, 6.869547e+00, -4.747339e+01, 8.378096e+01, 4.040052e+00, 6.869547e+00, 4.040052e+00, 7.347663e+01
-2.732800e-02, 2.912654e+01, -4.772131e+01, 7.053115e+00, -4.772131e+01, 8.419031e+01, 3.838517e+00, 7.053115e+00, 3.838517e+00, 7.406449e+01
-2.732381e-02, 2.941865e+01, -4.824103e+01, 6.899586e+00, -4.824103e+01, 8.517641e+01, 4.245744e+00, 6.899586e+00, 4.245744e+00, 7.485360e+01
-2.731642e-02, 3.001185e+01, -4.917849e+01, 7.141357e+00, -4.917849e+01, 8.678688e+01, 4.180470e+00, 7.141357e+00, 4.180470e+00, 7.636422e+01
-2.730390e-02, 3.101079e+01, -5.084351e+01, 7.386798e+00, -5.084351e+01, 8.977685e+01, 4.297083e+00, 7.386798e+00, 4.297083e+00, 7.890377e+01
-2.728319e-02, 3.280294e+01, -5.376057e+01, 7.845354e+00, -5.376057e+01, 9.490796e+01, 4.548322e+00, 7.845354e+00, 4.548322e+00, 8.329641e+01
-2.724956e-02, 3.584369e+01, -5.875835e+01, 8.531339e+00, -5.875835e+01, 1.037355e+02, 5.008273e+00, 8.531339e+00, 5.008273e+00, 9.108698e+01
