mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-3.400000e-02, 1.679944e+00, -2.759663e+00, 3.567279e-01, -2.759663e+00, 4.866611e+00, 2.060630e-01, 3.567279e-01, 2.060630e-01, 4.135271e+00
-3.300000e-02, 1.678674e+00, -2.758958e+00, 3.565150e-01, -2.758958e+00, 4.864541e+00, 2.059727e-01, 3.565150e-01, 2.059727e-01, 4.128164e+00
-3.200000e-02, 1.779021e+00, -2.924883e+00, 3.801075e-01, -2.924883e+00, 5.156524e+00, 2.198727e-01, 3.801075e-01, 2.198727e-01, 4.380149e+00
-3.100000e-02, 1.967097e+00, -3.234753e+00, 4.244578e-01, -3.234753e+00, 5.702386e+00, 2.456254e-01, 4.244578e-01, 2.456254e-01, 4.852442e+00
-3.000000e-02, 2.405780e+00, -3.955672e+00, 5.294102e-01, -3.955672e+00, 6.973113e+00, 3.040685e-01, 5.294102e-01, 3.040685e-01, 5.964884e+00
-2.900000e-02, 3.418428e+00, -5.616894e+00, 7.742313e-01, -5.616894e+00, 9.900164e+00, 4.341617e-01, 7.742313e-01, 4.341617e-01, 8.521740e+00
-2.828027e-02, 5.553394e+00, -9.120620e+00, 1.284631e+00, -9.120620e+00, 1.608266e+01, 7.251191e-01, 1.284631e+00, 7.251191e-01, 1.395214e+01
-2.795093e-02, 8.080085e+00, -1.325814e+01, 1.894338e+00, -1.325814e+01, 2.338479e+01, 1.078880e+00, 1.894338e+00, 1.078880e+00, 2.040239e+01
-2.773370e-02, 1.147053e+01, -1.881298e+01, 2.692132e+00, -1.881298e+01, 3.317842e+01, 1.558375e+00, 2.692132e+00, 1.558375e+00, 2.898517e+01
-2.759095e-02, 1.529872e+01, -2.508253e+01, 3.615429e+00, -2.508253e+01, 4.424765e+01, 2.087663e+00, 3.615429e+00, 2.087663e+00, 3.868523e+01
-2.749753e-02, 1.891110e+01, -3.101299e+01, 4.479043e+00, -3.101299e+01, 5.474405e+01, 2.605125e+00, 4.479043e+00, 2.605125e+00, 4.804786e+01
-2.743671e-02, 2.194034e+01, -3.595844e+01, 5.209747e+00, -3.595844e+01, 6.347023e+01, 3.088143e+00, 5.209747e+00, 3.088143e+00, 5.595707e+01
-2.739733e-02, 2.433360e+01, -3.989444e+01, 5.781594e+00, -3.989444e+01, 7.040972e+01, 3.350283e+00, 5.781594e+00, 3.350283e+00, 6.162291e+01
-2.737199e-02, 2.591506e+01, -4.246463e+01, 6.241199e+00, -4.246463e+01, 7.492119e+01, 3.474538e+00, 6.241199e+00, 3.474538e+00, 6.605343e+01
-2.735582e-02, 2.708723e+01, -4.440118e+01, 6.435426e+00, -4.440118e+01, 7.837004e+01, 3.784970e+00, 6.435426e+00, 3.784970e+00, 6.868824e+01
-2.734560e-02, 2.784354e+01, -4.565099e+01, 6.474654e+00, -4.565099e+01, 8.058109e+01, 4.085193e+00, 6.474654e+00, 4.085193e+00, 7.047164e+01
-2.733921e-02, 2.825717e+01, -4.629253e+01, 6.753427e+00, -4.629253e+01, 8.169172e+01, 3.947270e+00, 6.753427e+00, 3.947270e+00, 7.190713e+01
-2.733527e-02, 2.856706e+01, -4.680541e+01, 6.832606e+00, -4.680541e+01, 8.257973e+01, 3.880587e+00, 6.832606e+00, 3.880587e+00, 7.259536e+01
-2.733289e-02, 2.878366e+01, -4.713533e+01, 6.919403e+00, -4.713533e+01, 8.314806e+01, 3.904880e+00, 6.919403e+00, 3.904880e+00, 7.301925e+01
-2.733149e-02, 2.888289e+01, -4.731065e+01, 6.944601e+00, -4.731065e+01, 8.345719e+01, 3.874359e+00, 6.944601e+00, 3.874359e+00, 7.328871e+01
-2.733069e-02, 2.894542e+01, -4.744330e+01, 6.793721e+00, -4.744330e+01, 8.372352e+01, 4.155163e+00, 6.793721e+00, 4.155163e+00, 7.339119e+01
-2.733027e-02, 2.893096e+01, -4.741759e+01, 6.880214e+00, -4.741759e+01, 8.369767e+01, 4.059279e+00, 6.880214e+00, 4.059279e+00, 7.361579e+01
-2.732984e-02, 2.900565e+01, -4.750804e+01, 6.972563e+00, -4.750804e+01, 8.379150e+01, 3.897330e+00, 6.972563e+00, 3.897330e+00, 7.362652e+01
-2.732904e-02, 2.906330e+01, -4.764416e+01, 6.882836e+00, -4.764416e+01, 8.409474e+01, 4.077165e+00, 6.882836e+00, 4.077165e+00, 7.371325e+01
-2.732764e-02, 2.912863e+01, -4.774026e+01, 6.913843e+00, -4.774026e+01, 8.426038e+01, 4.065032e+00, 6.913843e+00, 4.065032e+00, 7.410941e+01
-2.732526e-02, 2.932835e+01, -4.807988e+01, 7.024551e+00, -4.807988e+01, 8.487032e+01, 3.983290e+00, 7.024551e+00, 3.983290e+00, 7.453118e+01
-2.732132e-02, 2.969034e+01, -4.866281e+01, 7.055991e+00, -4.866281e+01, 8.584655e+01, 4.065765e+00, 7.055991e+00, 4.065765e+00, 7.518845e+01
-2.731493e-02, 3.021021e+01, -4.953570e+01, 7.216787e+00, -4.953570e+01, 8.742374e+01, 4.047404e+00, 7.216787e+00, 4.047404e+00, 7.638952e+01
-2.730471e-02, 3.099627e+01, -5.078746e+01, 7.396084e+00, -5.078746e+01, 8.961244e+01, 4.245470e+00, 7.396084e+00, 4.245470e+00, 7.868150e+01
-2.728854e-02, 3.233257e+01, -5.299597e+01, 7.696689e+00, -5.299597e+01, 9.351731e+01, 4.471888e+00, 7.696689e+00, 4.471888e+00, 8.220484e+01
-2.726321e-02, 3.455089e+01, -5.661185e+01, 8.385950e+00, -5.661185e+01, 9.989679e+01, 4.563127e+00, 8.385950e+00, 4.563127e+00, 8.802709e+01
-2.722382e-02, 3.837075e+01, -6.287499e+01, 9.178914e+00, -6.287499e+01, 1.109618e+02, 5.268824e+00, 9.178914e+00, 5.268824e+00, 9.756690e+01
-2.716300e-02, 4.491855e+01, -7.357012e+01, 1.088151e+01, -7.357012e+01, 1.298413e+02, 6.036851e+00, 1.088151e+01, 6.036851e+00, 1.145523e+02
-2.706959e-02, 5.698142e+01, -9.340652e+01, 1.344678e+01, -9.340652e+01, 1.648937e+02, 8.102603e+00, 1.344678e+01, 8.102603e+00, 1.442216e+02
-2.692683e-02, 7.893553e+01, -1.292284e+02, 1.918670e+01, -1.292284e+02, 2.281200e+02, 1.080889e+01, 1.918670e+01, 1.080889e+01, 2.016080e+02
-2.670960e-02, 1.212589e+02, -1.986982e+02, 2.946417e+01, -1.986982e+02, 3.507601e+02, 1.621119e+01, 2.946417e+01, 1.621119e+01, 3.085849e+02
-2.638027e-02, 2.013493e+02, -3.298237e+02, 4.868720e+01, -3.298237e+02, 5.820357e+02, 2.759066e+01, 4.868720e+01, 2.759066e+01, 5.121349e+02
-2.600000e-02, 3.125988e+02, -5.120079e+02, 7.821774e+01, -5.120079e+02, 9.036785e+02, 3.961147e+01, 7.821774e+01, 3.961147e+01, 7.981824e+02
-2.500000e-02, 6.844961e+02, -1.121417e+03, 1.675406e+02, -1.121417e+03, 1.978024e+03, 9.086884e+01, 1.675406e+02, 9.086884e+01, 1.736660e+03
-2.400000e-02, 1.142042e+03, -1.872402e+03, 2.690524e+02, -1.872402e+03, 3.304278e+03, 1.749363e+02, 2.690524e+02, 1.749363e+02, 2.915044e+03
-2.300000e-02, 1.691117e+03, -2.779306e+03, 3.989445e+02, -2.779306e+03, 4.908500e+03, 2.506387e+02, 3.989445e+02, 2.506387e+02, 4.272220e+03
-2.200000e-02, 2.308647e+03, -3.792852e+03, 5.603465e+02, -3.792852e+03, 6.692870e+03, 3.202312e+02, 5.603465e+02, 3.202312e+02, 5.858917e+03
-2.100000e-02, 3.011672e+03, -4.949965e+03, 7.211865e+02, -4.949965e+03, 8.730516e+03, 4.301813e+02, 7.211865e+02, 4.301813e+02, 7.604881e+03
-2.000000e-02, 3.779978e+03, -6.211238e+03, 9.126761e+02, -6.211238e+03, 1.095035e+04, 5.431467e+02, 9.126761e+02, 5.431467e+02, 9.571287e+03
-1.900000e-02, 4.630728e+03, -7.621743e+03, 1.103689e+03, -7.621743e+03, 1.343625e+04, 6.752889e+02, 1.103689e+03, 6.752889e+02, 1.168445e+04
-1.800000e-02, 5.545264e+03, -9.129540e+03, 1.330935e+03, -9.129540e+03, 1.609675e+04, 8.131320e+02, 1.330935e+03, 8.131320e+02, 1.405335e+04
-1.700000e-02, 6.541387e+03, -1.076896e+04, 1.568681e+03, -1.076896e+04, 1.898341e+04, 9.865475e+02, 1.568681e+03, 9.865475e+02, 1.663062e+04
-1.600000e-02, 7.666722e+03, -1.262976e+04, 1.854872e+03, -1.262976e+04, 2.224436e+04, 1.085106e+03, 1.854872e+03, 1.085106e+03, 1.930875e+04
-1.500000e-02, 8.813554e+03, -1.452481e+04, 2.135375e+03, -1.452481e+04, 2.558729e+04, 1.282625e+03, 2.135375e+03, 1.282625e+03, 2.234835e+04
-1.400000e-02, 1.009556e+04, -1.665459e+04, 2.453356e+03, -1.665459e+04, 2.934046e+04, 1.443909e+03, 2.453356e+03, 1.443909e+03, 2.548476e+04
-1.300000e-02, 1.146603e+04, -1.892774e+04, 2.767710e+03, -1.892774e+04, 3.333752e+04, 1.653576e+03, 2.767710e+03, 1.653576e+03, 2.883611e+04
-1.200000e-02, 1.289571e+04, -2.128579e+04, 3.162182e+03, -2.128579e+04, 3.747531e+04, 1.821201e+03, 3.162182e+03, 1.821201e+03, 3.256670e+04
-1.100000e-02, 1.444114e+04, -2.384552e+04, 3.537102e+03, -2.384552e+04, 4.197329e+04, 2.051042e+03, 3.537102e+03, 2.051042e+03, 3.643121e+04
-1.000000e-02, 1.611171e+04, -2.663419e+04, 3.891524e+03, -2.663419e+04, 4.688077e+04, 2.333860e+03, 3.891524e+03, 2.333860e+03, 4.045285e+04
-9.000000e-03, 1.787430e+04, -2.954921e+04, 4.407985e+03, -2.954921e+04, 5.196676e+04, 2.438300e+03, 4.407985e+03, 2.438300e+03, 4.474076e+04
-8.000000e-03, 1.971962e+04, -3.258895e+04, 4.889082e+03, -3.258895e+04, 5.726163e+04, 2.643309e+03, 4.889082e+03, 2.643309e+03, 4.941055e+04
-7.000000e-03, 2.165028e+04, -3.582176e+04, 5.348083e+03, -3.582176e+04, 6.298589e+04, 2.992082e+03, 5.348083e+03, 2.992082e+03, 5.443236e+04
-6.000000e-03, 2.375768e+04, -3.931126e+04, 5.892207e+03, -3.931126e+04, 6.907677e+04, 3.221358e+03, 5.892207e+03, 3.221358e+03, 5.961615e+04
-5.000000e-03, 2.597643e+04, -4.303398e+04, 6.315329e+03, -4.303398e+04, 7.567329e+04, 3.721774e+03, 6.315329e+03, 3.721774e+03, 6.490556e+04
-4.000000e-03, 2.837892e+04, -4.702208e+04, 6.942174e+03, -4.702208e+04, 8.264058e+04, 3.973894e+03, 6.942174e+03, 3.973894e+03, 7.062616e+04
-3.000000e-03, 3.088308e+04, -5.120994e+04, 7.485483e+03, -5.120994e+04, 8.997974e+04, 4.382330e+03, 7.485483e+03, 4.382330e+03, 7.670710e+04
-2.000000e-03, 3.357983e+04, -5.575141e+04, 8.139082e+03, -5.575141e+04, 9.799046e+04, 4.620314e+03, 8.139082e+03, 4.620314e+03, 8.271090e+04
-1.000000e-03, 3.621711e+04, -6.013920e+04, 8.791267e+03, -6.013920e+04, 1.056935e+05, 5.073754e+03, 8.791267e+03, 5.073754e+03, 8.973945e+04
0.000000e+00, 3.916739e+04, -6.504328e+04, 9.532482e+03, -6.504328e+04, 1.142640e+05, 5.415940e+03, 9.532482e+03, 5.415940e+03, 9.670171e+04
1.000000e-03, 4.235160e+04, -7.042670e+04, 1.008225e+04, -7.042670e+04, 1.237667e+05, 6.034352e+03, 1.008225e+04, 6.034352e+03, 1.035726e+05
2.000000e-03, 4.563839e+04, -7.585680e+04, 1.100314e+04, -7.585680e+04, 1.331787e+05, 6.242741e+03, 1.100314e+04, 6.242741e+03, 1.113353e+05
