mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-5.605746e-02, -1.270411e-12, 9.938499e-13, -9.322885e-14, 1.045237e-12, 1.278614e-13, 8.381493e-13, -1.110283e-13, 8.310649e-13, -6.373074e-14
-5.558639e-02, 7.605064e-12, -6.104268e-13, -7.847919e-14, -4.994209e-13, 1.798498e-13, 9.569157e-13, -6.329095e-14, 9.443695e-13, -1.326165e-13
-5.511532e-02, 8.262171e-15, 5.451349e-12, 7.137435e-13, 5.385758e-12, -8.494159e-13, 7.257457e-13, 6.907990e-13, 7.238641e-13, 1.759562e-12
-5.464425e-02, -1.096358e-12, 3.160289e-12, -6.432750e-13, 3.200291e-12, 4.995317e-12, -1.050423e-12, -6.512039e-13, -1.056605e-12, -2.487471e-13
-5.417318e-02, 3.165852e-12, -2.630877e-13, 9.455765e-13, -2.378050e-13, -2.587177e-12, 3.470894e-13, 9.962130e-13, 3.760865e-13, -8.359025e-13
-5.370211e-02, -2.180797e-12, 2.350613e-12, -9.571737e-13, 2.380548e-12, 3.104120e-12, 1.770693e-12, -9.319173e-13, 1.776753e-12, 5.566575e-13
-5.323104e-02, -1.174282e-12, -8.095023e-13, -6.817387e-14, -8.088471e-13, 1.363422e-12, 7.784074e-13, -9.316136e-14, 7.422658e-13, 7.576253e-13
-5.275996e-02, 5.205186e-13, 3.230479e-12, -3.679695e-13, 3.333595e-12, 4.613266e-12, -3.585409e-13, -3.787137e-13, -3.662254e-13, 1.871217e-12
-5.228889e-02, -2.652226e-12, -2.665443e-12, -3.957910e-14, -2.700419e-12, -3.380559e-12, -8.507311e-13, -1.291455e-14, -8.171348e-13, 8.054809e-14
-5.181782e-02, -1.053202e-12, -1.021327e-12, 2.154971e-12, -1.032179e-12, -3.754221e-12, 8.586402e-13, 2.198549e-12, 8.390191e-13, 2.045521e-13
-5.134675e-02, 2.049043e-12, -6.953406e-13, -1.402003e-12, -6.961679e-13, -1.134723e-12, -1.809918e-13, -1.398609e-12, -1.742760e-13, 1.463343e-12
-5.087568e-02, 4.730261e-12, -2.352585e-12, -1.732808e-12, -2.358045e-12, -3.368241e-12, -2.014957e-13, -1.749447e-12, -1.964526e-13, -9.994239e-13
-5.040461e-02, -3.876412e-12, -1.016835e-12, -2.177026e-12, -9.738598e-13, -2.478757e-12, 1.564616e-14, -2.153613e-12, 3.783851e-14, -1.506657e-12
-4.993354e-02, -2.947420e-12, -2.299319e-12, -1.259682e-12, -2.302671e-12, -2.659120e-12, -4.682992e-13, -1.263661e-12, -4.632951e-13, -1.467134e-12
-4.946247e-02, 5.782898e-12, 2.247029e-12, 5.282440e-13, 2.298162e-12, 1.864198e-12, 6.819232e-13, 5.577162e-13, 6.822031e-13, 7.686609e-14
-4.899140e-02, 1.097825e-12, 1.317411e-12, 5.447161e-13, 1.301639e-12, -1.854387e-12, -1.361130e-12, 5.566946e-13, -1.368978e-12, -1.473353e-13
-4.852032e-02, -4.204615e-13, -8.442022e-13, 2.496549e-13, -8.589107e-13, 5.167141e-14, 6.404504e-13, 2.405172e-13, 6.237571e-13, -1.933799e-13
-4.804925e-02, 1.471964e-13, 1.804201e-13, -8.109377e-13, 2.310360e-13, 3.602996e-13, 1.231744e-12, -7.723023e-13, 1.210149e-12, -2.288110e-13
-4.757818e-02, -2.804625e-13, 3.306980e-12, 4.034510e-13, 3.352749e-12, 2.579741e-12, -6.724093e-15, 3.986598e-13, 1.998033e-14, 8.119607e-13
