mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-5.605746e-02, 9.569497e+04, 1.657472e+02, 1.753631e+02, 1.657472e+02, 9.562953e+04, -2.516594e+02, 1.753631e+02, -2.516594e+02, 9.568788e+04
-5.558639e-02, 9.384722e+04, 6.362928e+01, 6.382646e+01, 6.362928e+01, 9.414114e+04, 5.734163e+01, 6.382646e+01, 5.734163e+01, 9.412998e+04
-5.511532e-02, 9.234127e+04, -2.184540e+01, -1.092818e+02, -2.184540e+01, 9.263857e+04, -4.589011e+01, -1.092818e+02, -4.589011e+01, 9.228555e+04
-5.464425e-02, 9.098030e+04, 1.896945e+02, 1.247919e+02, 1.896945e+02, 9.033636e+04, -4.788589e+01, 1.247919e+02, -4.788589e+01, 9.113902e+04
-5.417318e-02, 8.925390e+04, 2.131929e+02, 1.640743e+02, 2.131929e+02, 8.936233e+04, -6.607792e+01, 1.640743e+02, -6.607792e+01, 8.906896e+04
-5.370211e-02, 8.764302e+04, 1.547524e+02, -3.486141e+01, 1.547524e+02, 8.774581e+04, 2.163265e+02, -3.486141e+01, 2.163265e+02, 8.756800e+04
-5.323104e-02, 8.623445e+04, 4.015070e+01, -1.141847e+02, 4.015070e+01, 8.595384e+04, 2.250855e+02, -1.141847e+02, 2.250855e+02, 8.608133e+04
-5.275996e-02, 8.462870e+04, 1.474286e+02, -8.769297e+01, 1.474286e+02, 8.438499e+04, 3.242657e+01, -8.769297e+01, 3.242657e+01, 8.461021e+04
-5.228889e-02, 8.296268e+04, 5.562745e+01, -9.158727e+01, 5.562745e+01, 8.305541e+04, 2.108500e+02, -9.158727e+01, 2.108500e+02, 8.300141e+04
-5.181782e-02, 8.139662e+04, 2.525586e+00, 1.432989e+02, 2.525586e+00, 8.161963e+04, 1.504208e+02, 1.432989e+02, 1.504208e+02, 8.144074e+04
-5.134675e-02, 7.991206e+04, -9.828252e+01, -3.974031e+01, -9.828252e+01, 7.996852e+04, -1.883271e+02, -3.974031e+01, -1.883271e+02, 8.005353e+04
-5.087568e-02, 7.852181e+04, 9.819986e+01, -2.663535e+01, 9.819986e+01, 7.833603e+04, 2.425805e+01, -2.663535e+01, 2.425805e+01, 7.859738e+04
-5.040461e-02, 7.700177e+04, 8.874564e+00, 1.429272e+02, 8.874564e+00, 7.712401e+04, 1.013371e+01, 1.429272e+02, 1.013371e+01, 7.689005e+04
-4.993354e-02, 7.574817e+04, 8.171794e+01, -2.157225e+01, 8.171794e+01, 7.549331e+04, -1.421363e+02, -2.157225e+01, -1.421363e+02, 7.537544e+04
-4.946247e-02, 7.401065e+04, 1.092742e+02, -3.961560e+01, 1.092742e+02, 7.413888e+04, -6.479096e+01, -3.961560e+01, -6.479096e+01, 7.411172e+04
-4.899140e-02, 7.273331e+04, 1.986082e+01, 2.283112e+01, 1.986082e+01, 7.261552e+04, 1.105110e+02, 2.283112e+01, 1.105110e+02, 7.259717e+04
-4.852032e-02, 7.139625e+04, -1.405832e+02, -1.128723e+01, -1.405832e+02, 7.129090e+04, -1.165871e+02, -1.128723e+01, -1.165871e+02, 7.098442e+04
-4.804925e-02, 6.956987e+04, -1.346918e+01, 1.143776e+02, -1.346918e+01, 7.009057e+04, -1.118817e+01, 1.143776e+02, -1.118817e+01, 6.977733e+04
-4.757818e-02, 6.848427e+04, 9.106007e+01, 2.060811e+01, 9.106007e+01, 6.836448e+04, 4.830806e+01, 2.060811e+01, 4.830806e+01, 6.839923e+04
-4.710711e-02, 6.700200e+04, 5.598646e+01, -1.230371e+02, 5.598646e+01, 6.705652e+04, 4.041785e+01, -1.230371e+02, 4.041785e+01, 6.704009e+04
-4.663604e-02, 6.586812e+04, 5.086583e+01, 8.358065e+01, 5.086583e+01, 6.550739e+04, -5.338442e+00, 8.358065e+01, -5.338442e+00, 6.561263e+04
-4.616497e-02, 6.439992e+04, -8.766603e+01, 6.696567e+01, -8.766603e+01, 6.418050e+04, 1.859095e+02, 6.696567e+01, 1.859095e+02, 6.433930e+04
-4.569390e-02, 6.284487e+04, -1.356600e+02, -1.025223e+02, -1.356600e+02, 6.323233e+04, 6.768677e+01, -1.025223e+02, 6.768677e+01, 6.281759e+04
-4.522283e-02, 6.156627e+04, -8.291581e+01, 2.307624e+01, -8.291581e+01, 6.164153e+04, -1.282713e+02, 2.307624e+01, -1.282713e+02, 6.170185e+04
-4.475176e-02, 6.015096e+04, -7.501851e+01, 3.165043e+01, -7.501851e+01, 6.042779e+04, -1.082594e+02, 3.165043e+01, -1.082594e+02, 6.038900e+04
-4.428068e-02, 5.911490e+04, 1.452360e+02, 8.852422e+01, 1.452360e+02, 5.897636e+04, 1.853879e+02, 8.852422e+01, 1.853879e+02, 5.897426e+04
-4.380961e-02, 5.766435e+04, -2.315131e+01, 1.822402e+02, -2.315131e+01, 5.787839e+04, -1.613207e+01, 1.822402e+02, -1.613207e+01, 5.766202e+04
-4.333854e-02, 5.644461e+04, 2.938821e+01, 1.087753e+02, 2.938821e+01, 5.655867e+04, 1.232467e+02, 1.087753e+02, 1.232467e+02, 5.638150e+04
-4.286747e-02, 5.530311e+04, 8.876227e+00, 2.138798e+02, 8.876227e+00, 5.516643e+04, 6.373081e+01, 2.138798e+02, 6.373081e+01, 5.513915e+04
-4.239640e-02, 5.394894e+04, -6.529839e+00, -1.986056e+01, -6.529839e+00, 5.394195e+04, -1.856023e+01, -1.986056e+01, -1.856023e+01, 5.397976e+04
-4.192533e-02, 5.272154e+04, 3.267874e+01, 8.315690e+01, 3.267874e+01, 5.290343e+04, 4.747300e+01, 8.315690e+01, 4.747300e+01, 5.255126e+04
-4.145426e-02, 5.164410e+04, 2.497987e+00, 4.501986e+01, 2.497987e+00, 5.123107e+04, -8.951838e+01, 4.501986e+01, -8.951838e+01, 5.164491e+04
-4.098319e-02, 5.052970e+04, -5.402789e+00, -6.354545e+01, -5.402789e+00, 5.023876e+04, 7.042936e+00, -6.354545e+01, 7.042936e+00, 5.014248e+04
-4.051212e-02, 4.919033e+04, -1.212001e+02, -1.405704e+02, -1.212001e+02, 4.897036e+04, -6.468132e+00, -1.405704e+02, -6.468132e+00, 4.917681e+04
-4.004104e-02, 4.789598e+04, -1.953690e+02, 1.334530e+02, -1.953690e+02, 4.808773e+04, -9.714156e+01, 1.334530e+02, -9.714156e+01, 4.783021e+04
-3.956997e-02, 4.677579e+04, 7.809074e+01, 6.548036e+01, 7.809074e+01, 4.674759e+04, -2.811559e+01, 6.548036e+01, -2.811559e+01, 4.684275e+04
-3.909890e-02, 4.571908e+04, -2.422224e+01, 2.454882e+00, -2.422224e+01, 4.563181e+04, -1.505262e+00, 2.454882e+00, -1.505262e+00, 4.566716e+04
-3.862783e-02, 4.458284e+04, -2.479975e+00, -1.315403e+01, -2.479975e+00, 4.450639e+04, -6.975016e-01, -1.315403e+01, -6.975016e-01, 4.453853e+04
-3.815676e-02, 4.341575e+04, -1.987604e+01, -5.522914e-02, -1.987604e+01, 4.343640e+04, 2.029440e+00, -5.522914e-02, 2.029440e+00, 4.341726e+04
-3.768569e-02, 4.234210e+04, -8.914943e+00, -1.376224e+01, -8.914943e+00, 4.238242e+04, 1.496385e+01, -1.376224e+01, 1.496385e+01, 4.222150e+04
-3.721462e-02, 4.125229e+04, -6.324318e+01, 6.036700e-01, -6.324318e+01, 4.124661e+04, 1.194982e+01, 6.036700e-01, 1.194982e+01, 4.116525e+04
-3.674355e-02, 4.014655e+04, -3.810443e+00, 3.615098e+01, -3.810443e+00, 4.018433e+04, 6.686956e+00, 3.615098e+01, 6.686956e+00, 4.009253e+04
