mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 1.209292e-05, 7.006940e-06, 1.902039e-06, 9.031691e+04, 5.214449e+04, -1.989684e+04, 4.241839e+05, 2.509323e+05, -5.130142e+04, -9.031691e+04, -5.214449e+04, 1.989684e+04, -3.198515e-05, -1.843549e-05, 7.777038e-06, -7.407369e+05, -4.241834e+05, 8.885640e+04, -4.241839e+05, -2.509323e+05, 5.130142e+04, 7.407369e+05, 4.241834e+05, -8.885640e+04, 1.652012e-05, 8.637629e-06, -1.222331e-04
-7.900000e-02, -1.398090e-05, -8.209215e-06, -1.483457e-04, 9.016442e+04, 5.205645e+04, -1.986377e+04, 4.234605e+05, 2.505043e+05, -5.121661e+04, -9.016442e+04, -5.205645e+04, 1.986377e+04, 4.037752e-06, 2.222099e-06, 1.512566e-04, -7.394745e+05, -4.234606e+05, 8.870983e+04, -4.234605e+05, -2.505043e+05, 5.121661e+04, 7.394745e+05, 4.234606e+05, -8.870983e+04, -1.361500e-05, -5.961703e-06, 2.597518e-05
-7.800000e-02, -5.044578e-05, -2.925551e-05, -1.255941e-05, 9.023010e+04, 5.209437e+04, -1.987804e+04, 4.237772e+05, 2.506916e+05, -5.125519e+04, -9.023010e+04, -5.209437e+04, 1.987804e+04, 3.868507e-05, 2.233217e-05, 8.610137e-06, -7.400282e+05, -4.237777e+05, 8.877688e+04, -4.237772e+05, -2.506916e+05, 5.125519e+04, 7.400282e+05, 4.237777e+05, -8.877688e+04, -3.251777e-05, -1.645371e-05, 1.391142e-04
-7.700000e-02, 6.372236e-06, 3.689702e-06, -4.358775e-05, 9.010217e+04, 5.202051e+04, -1.984968e+04, 4.231731e+05, 2.503344e+05, -5.117989e+04, -9.010217e+04, -5.202051e+04, 1.984968e+04, -4.174483e-05, -2.414820e-05, 8.689852e-05, -7.389678e+05, -4.231704e+05, 8.864452e+04, -4.231731e+05, -2.503344e+05, 5.117989e+04, 7.389678e+05, 4.231704e+05, -8.864452e+04, 1.580207e-04, 9.023033e-05, -7.811858e-04
-7.600000e-02, 5.521045e-05, 3.196069e-05, -1.923499e-05, 9.008705e+04, 5.201178e+04, -1.984606e+04, 4.231020e+05, 2.502924e+05, -5.116888e+04, -9.008705e+04, -5.201178e+04, 1.984606e+04, -5.996427e-05, -3.458373e-05, 6.784398e-06, -7.388504e+05, -4.231031e+05, 8.862775e+04, -4.231020e+05, -2.502924e+05, 5.116888e+04, 7.388504e+05, 4.231031e+05, -8.862775e+04, -7.625942e-05, -4.691820e-05, 3.127529e-04
-7.500000e-02, -1.092938e-05, -6.341987e-06, -5.979832e-05, 9.004923e+04, 5.198995e+04, -1.983815e+04, 4.229241e+05, 2.501870e+05, -5.115078e+04, -9.004923e+04, -5.198995e+04, 1.983815e+04, -9.308946e-06, -5.445850e-06, 8.317572e-05, -7.385354e+05, -4.229228e+05, 8.859491e+04, -4.229241e+05, -2.501870e+05, 5.115078e+04, 7.385354e+05, 4.229228e+05, -8.859491e+04, 7.735526e-05, 4.561399e-05, -3.949419e-04
-7.400000e-02, -3.277803e-05, -1.901174e-05, -6.312417e-05, 9.004975e+04, 5.199025e+04, -1.983837e+04, 4.229271e+05, 2.501887e+05, -5.115213e+04, -9.004975e+04, -5.199025e+04, 1.983837e+04, 2.240127e-05, 1.284277e-05, 6.807635e-05, -7.385426e+05, -4.229270e+05, 8.859803e+04, -4.229271e+05, -2.501887e+05, 5.115213e+04, 7.385426e+05, 4.229270e+05, -8.859803e+04, -6.367225e-06, -1.912291e-06, -2.375333e-05
-7.300000e-02, 4.079403e-05, 2.356147e-05, -9.461354e-05, 9.000868e+04, 5.196654e+04, -1.982906e+04, 4.227303e+05, 2.500725e+05, -5.112533e+04, -9.000868e+04, -5.196654e+04, 1.982906e+04, -5.537502e-05, -3.199456e-05, 1.050265e-04, -7.381986e+05, -4.227298e+05, 8.855136e+04, -4.227303e+05, -2.500725e+05, 5.112533e+04, 7.381986e+05, 4.227298e+05, -8.855136e+04, 2.512207e-05, 1.317890e-05, -1.427632e-04
-7.200000e-02, -4.690583e-06, -2.677018e-06, -2.811644e-05, 8.990877e+04, 5.190885e+04, -1.980709e+04, 4.222660e+05, 2.497977e+05, -5.107062e+04, -8.990877e+04, -5.190885e+04, 1.980709e+04, -4.742476e-06, -2.813888e-06, 3.497563e-05, -7.373881e+05, -4.222657e+05, 8.845678e+04, -4.222660e+05, -2.497977e+05, 5.107062e+04, 7.373881e+05, 4.222657e+05, -8.845678e+04, 1.423775e-06, 1.569338e-06, -6.034300e-05
-7.100000e-02, 7.269844e-05, 4.209139e-05, -5.141790e-05, 8.979960e+04, 5.184582e+04, -1.978274e+04, 4.217497e+05, 2.494925e+05, -5.100489e+04, -8.979960e+04, -5.184582e+04, 1.978274e+04, -8.316927e-05, -4.801557e-05, 5.568036e-05, -7.364870e+05, -4.217497e+05, 8.834302e+04, -4.217497e+05, -2.494925e+05, 5.100489e+04, 7.364870e+05, 4.217497e+05, -8.834302e+04, 5.774409e-07, -3.493230e-06, -2.010382e-05
-7.000000e-02, 5.062435e-05, 2.944306e-05, 8.351674e-05, 8.973418e+04, 5.180805e+04, -1.976808e+04, 4.214503e+05, 2.493154e+05, -5.096836e+04, -8.973418e+04, -5.180805e+04, 1.976808e+04, -6.854712e-05, -3.952093e-05, -6.833376e-05, -7.359628e+05, -4.214494e+05, 8.827926e+04, -4.214503e+05, -2.493154e+05, 5.096836e+04, 7.359628e+05, 4.214494e+05, -8.827926e+04, 4.924171e-05, 2.466196e-05, -2.451086e-04
-6.900000e-02, 1.165605e-04, 6.730052e-05, -2.256613e-04, 8.957470e+04, 5.171598e+04, -1.973345e+04, 4.206829e+05, 2.488615e+05, -5.087555e+04, -8.957470e+04, -5.171598e+04, 1.973345e+04, -1.233176e-04, -7.122754e-05, 2.217851e-04, -7.346251e+05, -4.206834e+05, 8.811934e+04, -4.206829e+05, -2.488615e+05, 5.087555e+04, 7.346251e+05, 4.206834e+05, -8.811934e+04, -3.748830e-05, -2.552221e-05, 1.424005e-04
-6.800000e-02, -9.033742e-06, -5.213512e-06, -1.169702e-05, 8.941063e+04, 5.162125e+04, -1.969733e+04, 4.199274e+05, 2.484143e+05, -5.078779e+04, -8.941063e+04, -5.162125e+04, 1.969733e+04, -7.137316e-06, -4.154517e-06, 2.764407e-05, -7.333031e+05, -4.199265e+05, 8.796647e+04, -4.199274e+05, -2.484143e+05, 5.078779e+04, 7.333031e+05, 4.199265e+05, -8.796647e+04, 5.591752e-05, 3.239472e-05, -2.627341e-04
-6.700000e-02, -6.067455e-06, -3.498870e-06, -1.480621e-05, 8.941615e+04, 5.162444e+04, -1.969854e+04, 4.199530e+05, 2.484295e+05, -5.079078e+04, -8.941615e+04, -5.162444e+04, 1.969854e+04, -2.140434e-06, -1.261342e-06, 1.596504e-05, -7.333497e+05, -4.199532e+05, 8.797229e+04, -4.199530e+05, -2.484295e+05, 5.079078e+04, 7.333497e+05, 4.199532e+05, -8.797229e+04, -1.131186e-05, -6.032151e-06, 3.364058e-05
-6.600000e-02, 2.642382e-05, 1.532782e-05, -4.334984e-05, 8.934991e+04, 5.158619e+04, -1.968387e+04, 4.196395e+05, 2.482441e+05, -5.075172e+04, -8.934991e+04, -5.158619e+04, 1.968387e+04, -5.396540e-05, -3.121270e-05, 8.427637e-05, -7.327975e+05, -4.196369e+05, 8.790297e+04, -4.196395e+05, -2.482441e+05, 5.075172e+04, 7.327975e+05, 4.196369e+05, -8.790297e+04, 1.557344e-04, 8.846639e-05, -7.535149e-04
-6.500000e-02, 1.027471e-05, 5.817420e-06, -1.498710e-04, 8.938885e+04, 5.160867e+04, -1.969280e+04, 4.198172e+05, 2.483491e+05, -5.077493e+04, -8.938885e+04, -5.160867e+04, 1.969280e+04, -2.436330e-05, -1.414334e-05, 1.640457e-04, -7.331108e+05, -4.198164e+05, 8.794428e+04, -4.198172e+05, -2.483491e+05, 5.077493e+04, 7.331108e+05, 4.198164e+05, -8.794428e+04, 4.308547e-05, 2.577279e-05, -2.305130e-04
-6.400000e-02, -4.233410e-05, -2.438581e-05, 1.098178e-04, 8.896623e+04, 5.136467e+04, -1.959926e+04, 4.178476e+05, 2.471840e+05, -5.053662e+04, -8.896623e+04, -5.136467e+04, 1.959926e+04, 3.955942e-05, 2.283833e-05, -1.142191e-04, -7.296736e+05, -4.178481e+05, 8.753227e+04, -4.178476e+05, -2.471840e+05, 5.053662e+04, 7.296736e+05, 4.178481e+05, -8.753227e+04, -2.903796e-05, -1.589698e-05, 1.278864e-04
-6.300000e-02, 1.446324e-05, 8.447078e-06, 1.194552e-05, 8.892708e+04, 5.134207e+04, -1.959063e+04, 4.176569e+05, 2.470712e+05, -5.051193e+04, -8.892708e+04, -5.134207e+04, 1.959063e+04, -1.156233e-05, -6.706849e-06, -2.623216e-05, -7.293420e+05, -4.176581e+05, 8.748996e+04, -4.176569e+05, -2.470712e+05, 5.051193e+04, 7.293420e+05, 4.176581e+05, -8.748996e+04, -7.977116e-05, -4.681819e-05, 3.473314e-04
-6.200000e-02, -1.710938e-05, -9.674469e-06, 1.753549e-04, 8.854448e+04, 5.112118e+04, -1.950606e+04, 4.158696e+05, 2.460139e+05, -5.029563e+04, -8.854448e+04, -5.112118e+04, 1.950606e+04, 2.326520e-05, 1.345157e-05, -1.954154e-04, -7.262215e+05, -4.158712e+05, 8.711554e+04, -4.158696e+05, -2.460139e+05, 5.029563e+04, 7.262215e+05, 4.158712e+05, -8.711554e+04, -9.967300e-05, -5.851810e-05, 4.548898e-04
-6.100000e-02, -2.935200e-05, -1.681930e-05, 1.168073e-04, 8.848172e+04, 5.108495e+04, -1.949245e+04, 4.155721e+05, 2.458379e+05, -5.026076e+04, -8.848172e+04, -5.108495e+04, 1.949245e+04, 1.782181e-05, 1.026882e-05, -1.031644e-04, -7.256978e+05, -4.155713e+05, 8.705372e+04, -4.155721e+05, -2.458379e+05, 5.026076e+04, 7.256978e+05, 4.155713e+05, -8.705372e+04, 4.063136e-05, 2.362499e-05, -2.214261e-04
-6.000000e-02, 6.131841e-05, 3.531303e-05, -1.993812e-04, 8.829074e+04, 5.097468e+04, -1.945079e+04, 4.146557e+05, 2.452958e+05, -5.014888e+04, -8.829074e+04, -5.097468e+04, 1.945079e+04, -5.816671e-05, -3.362604e-05, 1.837265e-04, -7.241012e+05, -4.146570e+05, 8.686115e+04, -4.146557e+05, -2.452958e+05, 5.014888e+04, 7.241012e+05, 4.146570e+05, -8.686115e+04, -7.980121e-05, -4.690745e-05, 3.523666e-04
-5.900000e-02, 1.230903e-05, 7.142399e-06, -3.506737e-05, 8.847308e+04, 5.107996e+04, -1.949075e+04, 4.155222e+05, 2.458084e+05, -5.025432e+04, -8.847308e+04, -5.107996e+04, 1.949075e+04, -1.730935e-05, -1.004410e-05, 3.731236e-05, -7.256122e+05, -4.155223e+05, 8.704305e+04, -4.155222e+05, -2.458084e+05, 5.025432e+04, 7.256122e+05, 4.155223e+05, -8.704305e+04, -4.881181e-06, -3.187201e-06, 6.971628e-06
-5.800000e-02, -6.983035e-06, -4.046597e-06, -2.892705e-05, 8.824254e+04, 5.094685e+04, -1.944004e+04, 4.144404e+05, 2.451684e+05, -5.012429e+04, -8.824254e+04, -5.094685e+04, 1.944004e+04, -2.067441e-06, -1.237700e-06, 3.805766e-05, -7.237220e+05, -4.144399e+05, 8.681752e+04, -4.144404e+05, -2.451684e+05, 5.012429e+04, 7.237220e+05, 4.144399e+05, -8.681752e+04, 2.633213e-05, 1.564447e-05, -1.417767e-04
-5.700000e-02, 7.214545e-06, 4.201564e-06, -1.173092e-05, 8.792922e+04, 5.076596e+04, -1.937090e+04, 4.129694e+05, 2.442982e+05, -4.994559e+04, -8.792922e+04, -5.076596e+04, 1.937090e+04, -1.561667e-05, -9.049007e-06, 2.079767e-05, -7.211533e+05, -4.129689e+05, 8.650799e+04, -4.129694e+05, -2.442982e+05, 4.994559e+04, 7.211533e+05, 4.129689e+05, -8.650799e+04, 2.712404e-05, 1.517407e-05, -1.409310e-04
-5.600000e-02, -1.613633e-05, -9.311373e-06, -7.667246e-07, 8.769880e+04, 5.063292e+04, -1.932022e+04, 4.118884e+05, 2.436587e+05, -4.981579e+04, -8.769880e+04, -5.063292e+04, 1.932022e+04, 6.165774e-06, 3.515139e-06, 1.250774e-05, -7.192652e+05, -4.118877e+05, 8.628306e+04, -4.118884e+05, -2.436587e+05, 4.981579e+04, 7.192652e+05, 4.118877e+05, -8.628306e+04, 3.747791e-05, 2.230077e-05, -1.937782e-04
-5.500000e-02, 3.853465e-06, 2.272157e-06, 5.210824e-06, 8.731040e+04, 5.040868e+04, -1.923455e+04, 4.100640e+05, 2.425795e+05, -4.959419e+04, -8.731040e+04, -5.040868e+04, 1.923455e+04, -1.145866e-05, -6.643163e-06, 3.029716e-06, -7.160798e+05, -4.100635e+05, 8.589939e+04, -4.100640e+05, -2.425795e+05, 4.959419e+04, 7.160798e+05, 4.100635e+05, -8.589939e+04, 2.549945e-05, 1.427031e-05, -1.276195e-04
-5.400000e-02, -3.941096e-05, -2.272585e-05, 6.159142e-05, 8.702433e+04, 5.024352e+04, -1.917158e+04, 4.087247e+05, 2.417871e+05, -4.943362e+04, -8.702433e+04, -5.024352e+04, 1.917158e+04, 3.269442e-05, 1.883790e-05, -5.435661e-05, -7.137410e+05, -4.087243e+05, 8.562131e+04, -4.087247e+05, -2.417871e+05, 4.943362e+04, 7.137410e+05, 4.087243e+05, -8.562131e+04, 2.023065e-05, 1.287650e-05, -1.072156e-04
-5.300000e-02, 8.891770e-06, 5.155280e-06, -3.000705e-05, 8.656785e+04, 4.997997e+04, -1.907103e+04, 4.065745e+05, 2.405152e+05, -4.917229e+04, -8.656785e+04, -4.997997e+04, 1.907103e+04, -1.086782e-05, -6.316301e-06, 3.059127e-05, -7.099871e+05, -4.065746e+05, 8.516895e+04, -4.065745e+05, -2.405152e+05, 4.917229e+04, 7.099871e+05, 4.065746e+05, -8.516895e+04, -6.826278e-06, -4.140869e-06, 2.207708e-05
-5.200000e-02, -8.332020e-06, -4.797146e-06, -1.008282e-05, 8.608888e+04, 4.970344e+04, -1.896554e+04, 4.043265e+05, 2.391853e+05, -4.890099e+04, -8.608888e+04, -4.970344e+04, 1.896554e+04, 4.726622e-07, 2.239028e-07, 2.106693e-05, -7.060602e+05, -4.043258e+05, 8.469861e+04, -4.043265e+05, -2.391853e+05, 4.890099e+04, 7.060602e+05, 4.043258e+05, -8.469861e+04, 3.744815e-05, 2.195963e-05, -1.844515e-04
-5.100000e-02, 6.229662e-06, 3.566939e-06, -7.249303e-05, 8.524952e+04, 4.921883e+04, -1.878073e+04, 4.003806e+05, 2.368511e+05, -4.842371e+04, -8.524952e+04, -4.921883e+04, 1.878073e+04, -4.085746e-06, -2.419586e-06, 6.643219e-05, -6.991718e+05, -4.003812e+05, 8.387265e+04, -4.003806e+05, -2.368511e+05, 4.842371e+04, 6.991718e+05, 4.003812e+05, -8.387266e+04, -3.396375e-05, -1.909720e-05, 1.537099e-04
-5.000000e-02, 1.869683e-05, 1.079499e-05, -6.487724e-05, 8.470475e+04, 4.890431e+04, -1.866064e+04, 3.978221e+05, 2.353376e+05, -4.811365e+04, -8.470475e+04, -4.890431e+04, 1.866064e+04, -1.777638e-05, -1.031146e-05, 6.154504e-05, -6.947036e+05, -3.978224e+05, 8.333549e+04, -3.978221e+05, -2.353376e+05, 4.811365e+04, 6.947036e+05, 3.978224e+05, -8.333549e+04, -2.117031e-05, -1.248837e-05, 9.608452e-05
-4.900000e-02, -4.966193e-05, -2.864211e-05, 8.062122e-05, 8.368757e+04, 4.831704e+04, -1.843648e+04, 3.930545e+05, 2.325172e+05, -4.753872e+04, -8.368757e+04, -4.831704e+04, 1.843648e+04, 4.539652e-05, 2.617032e-05, -7.435371e-05, -6.863769e+05, -3.930542e+05, 8.233927e+04, -3.930545e+05, -2.325172e+05, 4.753872e+04, 6.863769e+05, 3.930542e+05, -8.233927e+04, 1.880522e-05, 1.239368e-05, -9.683599e-05
-4.800000e-02, -1.529309e-05, -8.663039e-06, 1.421057e-04, 8.295969e+04, 4.789680e+04, -1.827581e+04, 3.896382e+05, 2.304963e+05, -4.712340e+04, -8.295969e+04, -4.789680e+04, 1.827581e+04, 1.523352e-05, 8.801631e-06, -1.430640e-04, -6.804120e+05, -3.896383e+05, 8.162023e+04, -3.896382e+05, -2.304963e+05, 4.712340e+04, 6.804120e+05, 3.896383e+05, -8.162023e+04, -1.061363e-05, -6.931270e-06, 4.641583e-05
-4.700000e-02, 3.266521e-06, 1.894962e-06, -3.273393e-05, 8.144816e+04, 4.702412e+04, -1.794319e+04, 3.825293e+05, 2.262909e+05, -4.626448e+04, -8.144816e+04, -4.702412e+04, 1.794319e+04, -4.248477e-06, -2.501996e-06, 3.398851e-05, -6.679977e+05, -3.825293e+05, 8.013244e+04, -3.825293e+05, -2.262909e+05, 4.626448e+04, 6.679977e+05, 3.825293e+05, -8.013244e+04, -9.836538e-07, -4.212742e-07, 2.091425e-06
-4.600000e-02, -6.771687e-06, -3.865157e-06, 1.702053e-05, 7.999347e+04, 4.618425e+04, -1.762264e+04, 3.757001e+05, 2.222510e+05, -4.543851e+04, -7.999347e+04, -4.618425e+04, 1.762264e+04, 5.061701e-06, 2.885434e-06, -1.388136e-05, -6.560718e+05, -3.756999e+05, 7.870173e+04, -3.757001e+05, -2.222510e+05, 4.543851e+04, 6.560718e+05, 3.756999e+05, -7.870173e+04, 7.402655e-06, 4.364539e-06, -3.755208e-05
-4.500000e-02, -1.974314e-06, -1.038285e-06, 6.029144e-05, 7.757718e+04, 4.478921e+04, -1.709019e+04, 3.643539e+05, 2.155390e+05, -4.406564e+04, -7.757718e+04, -4.478921e+04, 1.709019e+04, 3.647587e-06, 2.089286e-06, -6.293995e-05, -6.362591e+05, -3.643541e+05, 7.632408e+04, -3.643539e+05, -2.155390e+05, 4.406564e+04, 6.362591e+05, 3.643541e+05, -7.632408e+04, -1.634380e-05, -9.997823e-06, 7.684980e-05
-4.400000e-02, 9.052331e-06, 5.269570e-06, -9.555575e-06, 7.460849e+04, 4.307523e+04, -1.643632e+04, 3.504070e+05, 2.072885e+05, -4.237903e+04, -7.460849e+04, -4.307523e+04, 1.643632e+04, -9.007436e-06, -5.234888e-06, 1.013642e-05, -6.119037e+05, -3.504070e+05, 7.340266e+04, -3.504070e+05, -2.072885e+05, 4.237903e+04, 6.119037e+05, 3.504070e+05, -7.340266e+04, -2.070088e-06, -1.601799e-06, 1.043826e-05
-4.300000e-02, -2.596262e-06, -1.503514e-06, -3.019730e-05, 7.044554e+04, 4.067175e+04, -1.551932e+04, 3.308545e+05, 1.957219e+05, -4.001501e+04, -7.044554e+04, -4.067175e+04, 1.551932e+04, 3.009769e-06, 1.689741e-06, 3.040970e-05, -5.777598e+05, -3.308545e+05, 6.930806e+04, -3.308545e+05, -1.957219e+05, 4.001501e+04, 5.777598e+05, 3.308545e+05, -6.930806e+04, -3.756590e-06, -1.710962e-06, 1.584148e-05
