mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 1.043297e-09, 1.002308e-09, 6.267683e-10, -1.837449e-09, -8.516071e-10, -7.595293e-10, 8.479113e-10, 2.498941e-09, 1.231696e-09, -1.565707e-09, -1.505597e-09, -7.981789e-10, 3.132164e-09, 1.291266e-09, 1.317341e-09, 1.799826e-10, -3.596375e-09, -3.743834e-10, 1.618865e-09, 1.372998e-09, 1.529000e-09, -1.398105e-09, -1.428018e-09, -6.209311e-10, 6.337007e-09, 2.758954e-09, 7.134886e-09
-7.900000e-02, -1.329577e-10, 2.761053e-10, -4.526676e-11, 5.326405e-10, 2.979431e-10, 6.485715e-10, 1.168211e-09, 3.984412e-09, 2.299831e-09, 2.270824e-10, -6.012080e-10, 8.890869e-11, -8.195268e-10, -3.890523e-10, -1.070231e-09, -1.695848e-09, -7.212541e-09, -4.097507e-09, 9.867696e-10, 4.634756e-10, 3.669910e-10, -2.465017e-09, -5.778364e-10, -9.620059e-10, -3.184574e-09, -2.675883e-10, -3.078446e-09
-7.800000e-02, -3.973044e-10, -3.250026e-10, -3.012836e-10, 9.852739e-10, 7.073997e-10, 6.661899e-10, 9.821623e-10, 1.634093e-09, 3.984612e-10, 1.013096e-09, 8.425638e-10, 8.332000e-10, -2.202756e-09, -1.608823e-09, -1.418943e-09, -1.241039e-09, -2.947080e-09, 1.786484e-10, 6.298222e-10, 2.774615e-10, 4.640347e-10, -8.598184e-10, -3.327866e-10, -2.787724e-10, 6.681851e-10, 2.440019e-10, 7.281415e-10
-7.700000e-02, -1.057291e-09, -5.730409e-10, -9.405471e-10, 1.001973e-09, 1.121966e-09, 1.011750e-09, -4.422759e-09, 1.998081e-09, -2.778494e-09, 1.925799e-09, 1.185039e-09, 1.663860e-09, -1.915698e-09, -1.900491e-09, -1.635357e-09, 7.591387e-09, -1.864389e-09, 5.188574e-09, -1.955038e-10, -5.428498e-10, -4.440034e-10, 9.527151e-10, 1.417479e-09, 1.025054e-09, 1.764176e-09, 3.811887e-09, -7.916551e-10
-7.600000e-02, -3.419309e-10, -2.819697e-10, -2.815781e-10, 9.255264e-10, 6.993373e-10, 6.487693e-10, 1.179496e-09, 1.885878e-09, 4.598613e-10, 1.599868e-10, 1.285768e-11, 2.381882e-10, -1.006146e-09, -8.639083e-10, -8.700789e-10, -3.165543e-09, -4.897992e-09, -1.845580e-09, -7.788301e-10, -5.995872e-10, -5.012310e-10, 3.944750e-10, 4.299258e-10, 4.979529e-10, -5.636022e-09, -1.873937e-09, -2.724942e-09
-7.500000e-02, 6.069942e-10, 4.443754e-10, 3.302453e-10, -1.167910e-09, -4.730516e-10, -5.727909e-10, 1.029701e-10, 4.418154e-10, -1.351093e-10, -1.121597e-09, -7.611518e-10, -5.346313e-10, 1.849624e-09, 6.313702e-10, 9.061578e-10, -1.622047e-09, -1.768933e-09, -3.801345e-11, 1.581807e-09, 1.270481e-09, 1.429056e-09, -2.022787e-09, -1.697577e-09, -1.113605e-09, 3.580929e-09, 2.266379e-10, 4.723925e-09
-7.400000e-02, 4.296383e-12, 2.370570e-10, 1.111500e-10, -4.968444e-10, -4.466081e-10, -2.157013e-10, -2.139603e-09, -6.395114e-10, 3.154734e-11, -4.035320e-10, -7.615409e-10, -5.136312e-10, 9.478443e-10, 1.013554e-09, 4.749193e-10, 7.250959e-10, -3.085322e-10, -2.235515e-09, -1.725079e-10, -2.439248e-10, -1.864914e-10, -3.769063e-10, 1.357849e-10, 5.318492e-11, -3.776803e-09, -1.071926e-09, -2.307300e-09
-7.300000e-02, 5.780102e-10, 7.595608e-10, 4.881331e-10, -7.473158e-10, -5.806676e-10, -2.217126e-10, 1.576131e-09, 2.533634e-09, 2.630581e-09, -5.976505e-10, -1.104603e-09, -5.637847e-10, 6.196859e-10, 6.577888e-10, -2.357999e-11, -2.327339e-09, -4.937413e-09, -4.502398e-09, 6.885383e-10, 3.455389e-10, 3.485056e-10, -7.265351e-10, -2.907465e-12, -7.932704e-11, 1.973004e-09, 2.482247e-09, 8.578135e-10
-7.200000e-02, -1.619184e-10, -3.413576e-11, -1.421313e-10, 1.131522e-10, 1.843500e-10, 2.003712e-10, -8.339776e-10, 7.931292e-10, -2.716091e-10, 1.828367e-10, 9.883249e-11, 2.613075e-10, 9.004081e-11, -2.442805e-10, -9.835794e-11, 1.753090e-09, -5.685583e-10, 1.416173e-09, 1.047577e-09, 8.889588e-10, 9.095758e-10, -1.121393e-09, -8.800897e-10, -4.440295e-10, 3.171892e-09, 1.935685e-09, 3.780385e-09
-7.100000e-02, 3.856595e-10, 4.460128e-10, 2.109112e-10, -9.256107e-10, -3.951922e-10, -3.441316e-10, -7.409264e-10, 1.005658e-09, 3.844944e-11, -3.749980e-10, -4.757017e-10, -1.331614e-10, 9.536035e-10, 2.999476e-10, 2.953782e-10, 8.429068e-10, -1.766221e-09, 1.688675e-10, 6.968003e-10, 3.935056e-10, 4.694482e-10, -1.035597e-09, -4.294199e-10, -4.080508e-10, 7.513804e-10, 4.960223e-10, 6.316996e-10
-7.000000e-02, 9.518501e-10, 9.517261e-10, 6.439338e-10, -1.922664e-09, -1.083530e-09, -9.221510e-10, -3.304194e-10, 8.714405e-10, 8.373485e-10, -1.568015e-09, -1.700315e-09, -1.145033e-09, 2.916723e-09, 1.862600e-09, 1.397198e-09, -5.579245e-10, -2.211408e-09, -2.795480e-09, 4.467422e-10, 2.774513e-10, 2.444540e-10, -7.961002e-10, -1.858030e-10, -1.790146e-10, -2.851645e-10, 9.837414e-10, 5.863759e-12
-6.900000e-02, 9.627654e-10, 7.059011e-10, 6.696896e-10, -9.680581e-10, -5.799254e-10, -5.228570e-10, 3.888585e-09, 1.934905e-09, 2.531906e-09, -9.086060e-10, -8.021484e-10, -6.853665e-10, 8.140587e-10, 6.190710e-10, 4.097267e-10, -4.145122e-09, -2.600038e-09, -3.357149e-09, 1.655476e-09, 1.253576e-09, 1.183713e-09, -1.970523e-09, -1.142541e-09, -8.973125e-10, 4.747246e-09, 2.921882e-09, 3.873563e-09
-6.800000e-02, -2.595539e-10, -7.204257e-11, -2.526587e-10, 3.648487e-10, 4.116236e-10, 4.258014e-10, -5.596360e-10, 1.793587e-09, -1.701817e-10, 6.395072e-10, 3.205271e-10, 6.198613e-10, -1.119761e-09, -1.051773e-09, -9.962521e-10, 3.805344e-10, -3.595163e-09, 4.048136e-10, -1.614419e-10, -1.745059e-10, -1.053938e-10, 2.184842e-11, 1.589146e-10, 1.877622e-10, -1.785424e-09, -3.365402e-10, -8.014798e-10
-6.700000e-02, -3.637100e-10, -4.697187e-10, -4.450643e-10, 4.680637e-10, 7.067619e-10, 3.501818e-10, -9.131727e-10, 2.651738e-10, -2.017200e-09, 2.258373e-10, 3.561598e-10, 4.472222e-10, -3.562069e-10, -8.049768e-10, -3.764219e-10, 1.501694e-10, -1.626132e-09, 1.870288e-09, -8.040875e-10, -9.973229e-10, -6.646830e-10, 7.895319e-10, 8.498805e-10, 4.596350e-10, -3.738135e-09, -2.752644e-09, -3.792510e-09
-6.600000e-02, 1.449487e-10, -6.718460e-11, 1.547330e-10, 2.325182e-11, -7.687607e-11, -1.514165e-10, 1.323589e-09, -9.448322e-10, 4.335712e-10, -4.492594e-10, -2.488165e-10, -4.817074e-10, 2.869077e-10, 5.289716e-10, 4.134863e-10, -2.532636e-09, 9.793340e-10, -1.966007e-09, -3.669144e-10, -5.530984e-10, -3.996923e-10, 1.592320e-10, 5.331052e-10, 2.166817e-10, -2.763231e-09, -1.266001e-09, -2.866042e-09
-6.500000e-02, -7.474854e-11, -1.455152e-10, -5.297492e-11, 1.576244e-10, 1.257215e-10, 4.747572e-11, 8.065972e-11, -3.984004e-10, -2.536719e-10, -1.567375e-10, 2.258843e-11, -8.110837e-11, -8.655842e-11, -1.007712e-10, 1.554714e-11, -1.775584e-09, -3.886385e-10, -5.225133e-10, 4.859987e-10, 1.888518e-10, 2.696578e-10, -1.545645e-09, -6.630029e-10, -8.371714e-10, -3.001622e-09, -2.548310e-09, -2.208029e-09
-6.400000e-02, 2.389278e-10, 5.932166e-11, 1.407245e-11, -6.328699e-10, -4.896921e-11, -2.997102e-10, -6.484901e-10, -8.582623e-11, -1.316840e-09, -5.311859e-10, -3.238663e-10, -1.464948e-10, 1.118385e-09, 2.237941e-10, 4.993765e-10, 2.250847e-10, -8.519052e-10, 1.114063e-09, -1.947361e-10, -3.900688e-10, 1.163751e-11, 8.720470e-10, 3.315935e-10, 3.774701e-10, 1.690386e-09, -8.130763e-10, 1.017132e-09
-6.300000e-02, -1.526020e-10, -1.363581e-10, -1.429974e-10, -1.066776e-10, 4.748481e-11, -4.276263e-11, -1.704223e-09, -8.218622e-10, -1.244136e-09, 4.070531e-12, 1.157586e-10, 1.200143e-10, 1.986373e-10, -1.249227e-10, 9.808300e-11, 7.741612e-10, 3.031489e-10, 1.292101e-09, -7.732955e-10, -5.295555e-10, -3.843815e-10, 1.381302e-09, 6.501458e-10, 8.791324e-10, -9.385546e-10, 7.801576e-11, 3.831755e-10
-6.200000e-02, 3.696317e-12, 7.501943e-11, 4.147514e-11, 1.048365e-10, 9.460777e-12, 1.056941e-10, 4.755415e-10, 6.873609e-10, 7.274634e-10, 3.382931e-11, -2.243381e-10, -9.961403e-11, -3.489136e-10, 2.978896e-11, -2.923433e-10, -1.209584e-09, -1.786681e-09, -2.117942e-09, -2.261892e-10, -2.391829e-10, -2.283012e-10, 3.298760e-10, 4.475481e-10, 3.798951e-10, -7.891957e-10, 7.472846e-10, -7.212263e-10
-6.100000e-02, -2.370223e-10, -1.659877e-10, -1.273881e-10, 2.009994e-10, 7.837419e-11, 9.325365e-11, -1.115068e-09, -7.545720e-10, -5.090610e-10, -2.941270e-11, 7.467760e-12, -3.107747e-11, 8.996833e-11, 6.937628e-11, 9.656818e-11, 8.582605e-11, 4.315599e-10, 9.440960e-11, -3.407746e-10, -2.535677e-10, -2.190855e-10, 6.870618e-10, 4.766742e-10, 5.521688e-10, -2.196483e-10, 9.481687e-10, 1.698230e-10
