mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-9.000000e-02, 8.935798e+04, -1.467372e+05, 2.091747e+04, -1.467372e+05, 2.588516e+05, 1.216551e+04, 2.091747e+04, 1.216551e+04, 2.295267e+05
-8.887500e-02, 8.650097e+04, -1.422011e+05, 1.963941e+04, -1.422011e+05, 2.507936e+05, 1.213045e+04, 1.963941e+04, 1.213045e+04, 2.182994e+05
-8.775000e-02, 8.233948e+04, -1.352590e+05, 1.906521e+04, -1.352590e+05, 2.388247e+05, 1.187020e+04, 1.906521e+04, 1.187020e+04, 2.107966e+05
-8.662500e-02, 7.868843e+04, -1.292999e+05, 1.840366e+04, -1.292999e+05, 2.282902e+05, 1.093902e+04, 1.840366e+04, 1.093902e+04, 2.025855e+05
-8.550000e-02, 7.566606e+04, -1.243812e+05, 1.753660e+04, -1.243812e+05, 2.196004e+05, 1.044678e+04, 1.753660e+04, 1.044678e+04, 1.927856e+05
-8.437500e-02, 7.250575e+04, -1.190671e+05, 1.698916e+04, -1.190671e+05, 2.100360e+05, 9.798723e+03, 1.698916e+04, 9.798723e+03, 1.850470e+05
-8.325000e-02, 6.913967e+04, -1.134493e+05, 1.617583e+04, -1.134493e+05, 2.000983e+05, 9.567404e+03, 1.617583e+04, 9.567404e+03, 1.773795e+05
-8.212500e-02, 6.601270e+04, -1.083596e+05, 1.555740e+04, -1.083596e+05, 1.911690e+05, 8.883053e+03, 1.555740e+04, 8.883053e+03, 1.691225e+05
-8.100000e-02, 6.311604e+04, -1.035725e+05, 1.489787e+04, -1.035725e+05, 1.826053e+05, 8.257105e+03, 1.489787e+04, 8.257105e+03, 1.607683e+05
-7.987500e-02, 6.000983e+04, -9.854179e+04, 1.398064e+04, -9.854179e+04, 1.738512e+05, 8.238579e+03, 1.398064e+04, 8.238579e+03, 1.532190e+05
-7.875000e-02, 5.701393e+04, -9.360702e+04, 1.340525e+04, -9.360702e+04, 1.651601e+05, 7.651046e+03, 1.340525e+04, 7.651046e+03, 1.457492e+05
-7.762500e-02, 5.412723e+04, -8.883428e+04, 1.269141e+04, -8.883428e+04, 1.567096e+05, 7.354274e+03, 1.269141e+04, 7.354274e+03, 1.384682e+05
-7.650000e-02, 5.133796e+04, -8.430538e+04, 1.193925e+04, -8.430538e+04, 1.487612e+05, 7.134560e+03, 1.193925e+04, 7.134560e+03, 1.313200e+05
-7.537500e-02, 4.881336e+04, -8.017499e+04, 1.131371e+04, -8.017499e+04, 1.414141e+05, 6.632947e+03, 1.131371e+04, 6.632947e+03, 1.238304e+05
-7.425000e-02, 4.598881e+04, -7.546618e+04, 1.081750e+04, -7.546618e+04, 1.330834e+05, 6.201361e+03, 1.081750e+04, 6.201361e+03, 1.175907e+05
-7.312500e-02, 4.346896e+04, -7.130388e+04, 1.020428e+04, -7.130388e+04, 1.256895e+05, 5.838577e+03, 1.020428e+04, 5.838577e+03, 1.108452e+05
-7.200000e-02, 4.085953e+04, -6.709365e+04, 9.541838e+03, -6.709365e+04, 1.183861e+05, 5.661349e+03, 9.541838e+03, 5.661349e+03, 1.046263e+05
-7.087500e-02, 3.856062e+04, -6.335413e+04, 8.901399e+03, -6.335413e+04, 1.118158e+05, 5.391584e+03, 8.901399e+03, 5.391584e+03, 9.785687e+04
-6.975000e-02, 3.616902e+04, -5.938996e+04, 8.399130e+03, -5.938996e+04, 1.047404e+05, 4.927725e+03, 8.399130e+03, 4.927725e+03, 9.199950e+04
-6.862500e-02, 3.378203e+04, -5.547230e+04, 7.898975e+03, -5.547230e+04, 9.787100e+04, 4.638943e+03, 7.898975e+03, 4.638943e+03, 8.640962e+04
-6.750000e-02, 3.150482e+04, -5.175537e+04, 7.326880e+03, -5.175537e+04, 9.134826e+04, 4.396230e+03, 7.326880e+03, 4.396230e+03, 8.082362e+04
-6.637500e-02, 2.944349e+04, -4.832722e+04, 6.890558e+03, -4.832722e+04, 8.522181e+04, 4.000079e+03, 6.890558e+03, 4.000079e+03, 7.516758e+04
-6.525000e-02, 2.741258e+04, -4.497700e+04, 6.396231e+03, -4.497700e+04, 7.926752e+04, 3.671556e+03, 6.396231e+03, 3.671556e+03, 6.970293e+04
-6.412500e-02, 2.534882e+04, -4.163183e+04, 5.883317e+03, -4.163183e+04, 7.345582e+04, 3.512223e+03, 5.883317e+03, 3.512223e+03, 6.466018e+04
-6.300000e-02, 2.339415e+04, -3.846427e+04, 5.447149e+03, -3.846427e+04, 6.793758e+04, 3.252094e+03, 5.447149e+03, 3.252094e+03, 5.974865e+04
-6.187500e-02, 2.156891e+04, -3.542465e+04, 5.107960e+03, -3.542465e+04, 6.247075e+04, 2.782733e+03, 5.107960e+03, 2.782733e+03, 5.502938e+04
-6.075000e-02, 1.978133e+04, -3.247648e+04, 4.653057e+03, -3.247648e+04, 5.728034e+04, 2.627468e+03, 4.653057e+03, 2.627468e+03, 5.040220e+04
-5.962500e-02, 1.812608e+04, -2.977888e+04, 4.198476e+03, -2.977888e+04, 5.253051e+04, 2.496935e+03, 4.198476e+03, 2.496935e+03, 4.595178e+04
-5.850000e-02, 1.646586e+04, -2.702794e+04, 3.839758e+03, -2.702794e+04, 4.766318e+04, 2.231962e+03, 3.839758e+03, 2.231962e+03, 4.190430e+04
-5.737500e-02, 1.486838e+04, -2.442574e+04, 3.459425e+03, -2.442574e+04, 4.310483e+04, 2.037773e+03, 3.459425e+03, 2.037773e+03, 3.793923e+04
-5.625000e-02, 1.336053e+04, -2.193619e+04, 3.129695e+03, -2.193619e+04, 3.869883e+04, 1.807667e+03, 3.129695e+03, 1.807667e+03, 3.414112e+04
-5.512500e-02, 1.195032e+04, -1.960969e+04, 2.822090e+03, -1.960969e+04, 3.456498e+04, 1.563663e+03, 2.822090e+03, 1.563663e+03, 3.050433e+04
-5.400000e-02, 1.057107e+04, -1.735708e+04, 2.471011e+03, -1.735708e+04, 3.062647e+04, 1.450303e+03, 2.471011e+03, 1.450303e+03, 2.705064e+04
-5.287500e-02, 9.342595e+03, -1.533138e+04, 2.205319e+03, -1.533138e+04, 2.701856e+04, 1.207598e+03, 2.205319e+03, 1.207598e+03, 2.368410e+04
-5.175000e-02, 8.079466e+03, -1.325521e+04, 1.904095e+03, -1.325521e+04, 2.337354e+04, 1.081237e+03, 1.904095e+03, 1.081237e+03, 2.070974e+04
-5.062500e-02, 6.959229e+03, -1.143667e+04, 1.591559e+03, -1.143667e+04, 2.017846e+04, 9.883709e+02, 1.591559e+03, 9.883709e+02, 1.777042e+04
-4.950000e-02, 5.903202e+03, -9.693724e+03, 1.384729e+03, -9.693724e+03, 1.709530e+04, 7.917916e+02, 1.384729e+03, 7.917916e+02, 1.505836e+04
-4.837500e-02, 4.920932e+03, -8.082635e+03, 1.127262e+03, -8.082635e+03, 1.425436e+04, 6.867073e+02, 1.127262e+03, 6.867073e+02, 1.249484e+04
-4.725000e-02, 4.011244e+03, -6.582980e+03, 9.394557e+02, -6.582980e+03, 1.160578e+04, 5.364375e+02, 9.394557e+02, 5.364375e+02, 1.020375e+04
-4.612500e-02, 3.167468e+03, -5.202036e+03, 7.352890e+02, -5.202036e+03, 9.178125e+03, 4.375929e+02, 7.352890e+02, 4.375929e+02, 8.081778e+03
-4.500000e-02, 2.411109e+03, -3.958505e+03, 5.612245e+02, -3.958505e+03, 6.982280e+03, 3.290364e+02, 5.612245e+02, 3.290364e+02, 6.125967e+03
-4.387500e-02, 1.720047e+03, -2.825223e+03, 4.040066e+02, -2.825223e+03, 4.986859e+03, 2.327667e+02, 4.040066e+02, 2.327667e+02, 4.409167e+03
-4.275000e-02, 1.130679e+03, -1.858360e+03, 2.624762e+02, -1.858360e+03, 3.278565e+03, 1.532883e+02, 2.624762e+02, 1.532883e+02, 2.869440e+03
-4.162500e-02, 6.250810e+02, -1.026234e+03, 1.464550e+02, -1.026234e+03, 1.809859e+03, 8.346680e+01, 1.464550e+02, 8.346680e+01, 1.590682e+03
-4.050000e-02, 2.333886e+02, -3.831661e+02, 5.566850e+01, -3.831661e+02, 6.752807e+02, 2.874376e+01, 5.566850e+01, 2.874376e+01, 5.917709e+02
-4.039519e-02, 2.036870e+02, -3.345685e+02, 4.699910e+01, -3.345685e+02, 5.902454e+02, 2.842725e+01, 4.699910e+01, 2.842725e+01, 5.180086e+02
-4.006586e-02, 1.226702e+02, -2.013037e+02, 2.956224e+01, -2.013037e+02, 3.549621e+02, 1.513688e+01, 2.956224e+01, 1.513688e+01, 3.130163e+02
-3.984862e-02, 7.978881e+01, -1.308994e+02, 1.875466e+01, -1.308994e+02, 2.307967e+02, 1.079733e+01, 1.875466e+01, 1.079733e+01, 2.045156e+02
-3.970587e-02, 5.734585e+01, -9.419620e+01, 1.327397e+01, -9.419620e+01, 1.662321e+02, 8.002055e+00, 1.327397e+01, 8.002055e+00, 1.464942e+02
-3.961246e-02, 4.529245e+01, -7.433387e+01, 1.047716e+01, -7.433387e+01, 1.311183e+02, 6.422406e+00, 1.047716e+01, 6.422406e+00, 1.158757e+02
-3.955163e-02, 3.867595e+01, -6.354960e+01, 8.929662e+00, -6.354960e+01, 1.121400e+02, 5.355539e+00, 8.929662e+00, 5.355539e+00, 9.839668e+01
-3.951225e-02, 3.469297e+01, -5.700656e+01, 7.943308e+00, -5.700656e+01, 1.006637e+02, 5.058502e+00, 7.943308e+00, 5.058502e+00, 8.888380e+01
-3.948692e-02, 3.252361e+01, -5.340927e+01, 7.612503e+00, -5.340927e+01, 9.420397e+01, 4.368888e+00, 7.612503e+00, 4.368888e+00, 8.292694e+01
-3.947075e-02, 3.110827e+01, -5.105479e+01, 7.314808e+00, -5.105479e+01, 9.004165e+01, 4.212666e+00, 7.314808e+00, 4.212666e+00, 7.958425e+01
