mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, -9.297569e-05, -2.149545e-04, -1.191258e-05, 6.915023e+00, 9.471562e+00, -1.364198e+02, -1.283340e+02, -2.615456e+02, -3.833649e+02, -6.914910e+00, -9.471289e+00, 1.364198e+02, 9.617211e-05, 2.292040e-04, 1.309047e-05, 2.222689e+02, 4.527278e+02, 6.552076e+02, 1.283345e+02, 2.615460e+02, 3.833649e+02, -2.222691e+02, -4.527286e+02, -6.552077e+02, -6.754121e-04, 1.491705e-04, 1.022063e-04
-9.875000e-02, -1.069264e-04, -1.009018e-04, 2.129092e-04, 6.937180e+00, 9.503407e+00, -1.368087e+02, -1.286762e+02, -2.622458e+02, -3.844718e+02, -6.937156e+00, -9.503190e+00, 1.368085e+02, 4.921452e-05, 1.586517e-04, -2.114067e-04, 2.228626e+02, 4.539411e+02, 6.570971e+02, 1.286764e+02, 2.622462e+02, 3.844713e+02, -2.228629e+02, -4.539416e+02, -6.570964e+02, 1.656228e-04, -3.926293e-04, 2.250219e-04
-9.750000e-02, 4.331675e-05, 1.962367e-04, 1.543811e-04, 6.914122e+00, 9.471312e+00, -1.363714e+02, -1.282621e+02, -2.614034e+02, -3.832883e+02, -6.914211e+00, -9.471423e+00, 1.363712e+02, -6.579539e-05, -1.299075e-04, -1.506551e-04, 2.221466e+02, 4.524853e+02, 6.550698e+02, 1.282617e+02, 2.614034e+02, 3.832878e+02, -2.221465e+02, -4.524846e+02, -6.550694e+02, 6.367212e-04, -8.549226e-04, 4.053623e-04
-9.625000e-02, -8.884795e-05, -2.922189e-04, -1.458191e-04, 6.910818e+00, 9.464914e+00, -1.363654e+02, -1.282972e+02, -2.614688e+02, -3.832024e+02, -6.910642e+00, -9.464586e+00, 1.363656e+02, 1.308642e-04, 2.872672e-04, 1.473990e-04, 2.222049e+02, 4.525948e+02, 6.549294e+02, 1.282980e+02, 2.614693e+02, 3.832026e+02, -2.222050e+02, -4.525960e+02, -6.549300e+02, -1.243271e-03, 4.230933e-04, 8.382487e-05
-9.500000e-02, 1.278202e-04, 7.810432e-05, -3.203424e-04, 6.908169e+00, 9.459951e+00, -1.363576e+02, -1.282957e+02, -2.614670e+02, -3.832387e+02, -6.908114e+00, -9.460059e+00, 1.363580e+02, -1.115231e-05, -8.848051e-05, 3.249516e-04, 2.222036e+02, 4.525943e+02, 6.549859e+02, 1.282959e+02, 2.614668e+02, 3.832392e+02, -2.222033e+02, -4.525940e+02, -6.549872e+02, -9.299873e-04, -7.101589e-06, 2.899810e-04
-9.375000e-02, -7.332037e-05, -8.582066e-05, 1.202313e-04, 6.926573e+00, 9.488238e+00, -1.366203e+02, -1.285070e+02, -2.619003e+02, -3.839458e+02, -6.926571e+00, -9.488141e+00, 1.366202e+02, 2.537509e-05, 8.437179e-05, -1.225174e-04, 2.225667e+02, 4.533379e+02, 6.562098e+02, 1.285070e+02, 2.619004e+02, 3.839457e+02, -2.225668e+02, -4.533383e+02, -6.562093e+02, 2.420471e-04, 1.241954e-04, -1.614001e-04
-9.250000e-02, -7.137864e-05, 9.981248e-05, 4.010400e-04, 6.902029e+00, 9.456472e+00, -1.360765e+02, -1.279648e+02, -2.607990e+02, -3.824415e+02, -6.902156e+00, -9.456490e+00, 1.360761e+02, -4.974338e-05, -4.346696e-05, -4.025433e-04, 2.216292e+02, 4.514338e+02, 6.536350e+02, 1.279643e+02, 2.607991e+02, 3.824407e+02, -2.216294e+02, -4.514335e+02, -6.536335e+02, 1.378361e-03, -6.396688e-04, 2.690953e-05
-9.125000e-02, 1.080308e-04, -1.925193e-05, -4.028133e-04, 6.898239e+00, 9.445823e+00, -1.361786e+02, -1.281375e+02, -2.611430e+02, -3.827220e+02, -6.898137e+00, -9.445871e+00, 1.361791e+02, 2.304490e-05, -2.144993e-05, 4.059145e-04, 2.219282e+02, 4.520314e+02, 6.541074e+02, 1.281378e+02, 2.611429e+02, 3.827228e+02, -2.219279e+02, -4.520314e+02, -6.541089e+02, -1.284515e-03, 3.936494e-04, 1.171419e-04
-9.000000e-02, -5.433970e-05, -1.212225e-04, -1.288096e-07, 6.877045e+00, 9.419589e+00, -1.356694e+02, -1.276245e+02, -2.601004e+02, -3.812699e+02, -6.876907e+00, -9.419254e+00, 1.356694e+02, 9.787443e-05, 2.338338e-04, 1.018297e-05, 2.210461e+02, 4.502370e+02, 6.516020e+02, 1.276251e+02, 2.601010e+02, 3.812694e+02, -2.210462e+02, -4.502376e+02, -6.516023e+02, -1.034214e-03, -8.632208e-04, 9.232349e-04
-8.875000e-02, 1.222161e-05, 2.740577e-04, 3.822697e-04, 6.891075e+00, 9.441274e+00, -1.358673e+02, -1.277649e+02, -2.603928e+02, -3.818799e+02, -6.891217e+00, -9.441353e+00, 1.358668e+02, -8.643447e-05, -1.369100e-04, -3.758480e-04, 2.212882e+02, 4.507402e+02, 6.526534e+02, 1.277643e+02, 2.603929e+02, 3.818787e+02, -2.212883e+02, -4.507392e+02, -6.526523e+02, 1.221359e-03, -1.597212e-03, 7.475703e-04
-8.750000e-02, 8.148597e-05, 1.845489e-04, 4.496094e-06, 6.903115e+00, 9.455213e+00, -1.361874e+02, -1.281030e+02, -2.610778e+02, -3.827715e+02, -6.903176e+00, -9.455367e+00, 1.361874e+02, -6.241737e-05, -1.501286e-04, -1.151250e-06, 2.218702e+02, 4.519205e+02, 6.541888e+02, 1.281027e+02, 2.610777e+02, 3.827714e+02, -2.218700e+02, -4.519198e+02, -6.541889e+02, 2.560899e-04, -5.507270e-04, 3.083443e-04
-8.625000e-02, 8.284512e-05, 9.545035e-05, -1.381919e-04, 6.888297e+00, 9.433974e+00, -1.359254e+02, -1.278720e+02, -2.606052e+02, -3.820239e+02, -6.888301e+00, -9.434089e+00, 1.359256e+02, -2.983666e-05, -9.850148e-05, 1.404114e-04, 2.214688e+02, 4.511004e+02, 6.529150e+02, 1.278720e+02, 2.606050e+02, 3.820241e+02, -2.214687e+02, -4.511000e+02, -6.529156e+02, -2.557105e-04, -9.598963e-05, 1.457852e-04
-8.500000e-02, -2.411010e-05, 2.143090e-04, 4.151752e-04, 6.898806e+00, 9.452112e+00, -1.360116e+02, -1.278993e+02, -2.606665e+02, -3.822760e+02, -6.898994e+00, -9.452268e+00, 1.360111e+02, -9.995699e-05, -1.616742e-04, -4.170815e-04, 2.215155e+02, 4.512039e+02, 6.533535e+02, 1.278985e+02, 2.606664e+02, 3.822751e+02, -2.215156e+02, -4.512031e+02, -6.533520e+02, 1.742015e-03, -7.542164e-04, -4.072639e-06
-8.375000e-02, 4.970558e-06, -1.210908e-05, -3.591279e-05, 6.909463e+00, 9.463706e+00, -1.363186e+02, -1.282355e+02, -2.613460e+02, -3.831113e+02, -6.909469e+00, -9.463744e+00, 1.363186e+02, -4.810123e-06, -1.798667e-05, 3.377723e-05, 2.220958e+02, 4.523779e+02, 6.547845e+02, 1.282354e+02, 2.613459e+02, 3.831114e+02, -2.220958e+02, -4.523779e+02, -6.547846e+02, 3.098394e-05, 2.883093e-04, -2.119900e-04
-8.250000e-02, -1.549332e-05, 2.534857e-05, 9.275816e-05, 6.907739e+00, 9.462211e+00, -1.362566e+02, -1.281643e+02, -2.612024e+02, -3.829407e+02, -6.907790e+00, -9.462266e+00, 1.362564e+02, -2.416424e-05, -4.007093e-05, -9.561711e-05, 2.219726e+02, 4.521291e+02, 6.544942e+02, 1.281641e+02, 2.612023e+02, 3.829406e+02, -2.219727e+02, -4.521290e+02, -6.544938e+02, 5.043762e-04, 1.005494e-04, -2.251785e-04
