mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, -3.081185e-08, -1.836056e-08, 2.795837e-09, 5.183103e-08, 2.954499e-08, -4.362749e-09, -9.784626e-09, -7.137617e-09, 1.425038e-09, 1.525685e-08, 7.880835e-09, -1.011601e-08, -2.566424e-08, -1.538906e-08, 1.748914e-08, 6.064062e-09, -9.256527e-09, -2.843520e-10, 7.804786e-08, 4.546884e-08, -1.478607e-08, -1.146064e-07, -6.581237e-08, 2.092909e-08, 1.027887e-07, 5.269378e-08, -1.205364e-08
-9.875000e-02, 3.904658e-09, 1.714266e-09, -4.372309e-09, -1.021159e-10, -4.045662e-10, 6.216368e-09, 3.287906e-08, 1.343271e-08, -3.625838e-09, 1.005730e-08, 5.698430e-09, -2.975583e-09, 1.660756e-09, 1.026457e-09, 9.650601e-10, 8.742538e-08, 4.910790e-08, -1.062540e-08, 5.561549e-08, 3.288935e-08, -5.815452e-09, -8.174215e-08, -4.652729e-08, 6.667945e-09, 7.087880e-08, 4.342296e-08, -8.612752e-09
-9.750000e-02, -2.085407e-08, -1.191656e-08, 5.549065e-09, 1.368167e-08, 7.992603e-09, -4.765427e-09, -1.051432e-07, -5.735324e-08, 1.248713e-08, -4.209422e-08, -2.703194e-08, -1.001091e-08, 8.243347e-08, 4.602873e-08, 1.596143e-08, 3.962957e-08, -2.032062e-10, -3.580643e-09, -9.396977e-09, -6.230723e-09, -3.022364e-09, 2.299823e-08, 1.296484e-08, 3.891403e-09, 3.247735e-08, 1.275684e-08, -3.592704e-09
-9.625000e-02, 1.626937e-08, 9.656559e-09, -1.601315e-09, -2.976444e-08, -1.706701e-08, 3.023497e-09, -7.265683e-09, -3.763677e-09, 9.075209e-10, -4.657185e-08, -2.814403e-08, 1.651997e-09, 8.462371e-08, 4.828911e-08, -3.447668e-09, 1.627279e-08, 3.312444e-09, -1.738660e-09, 3.971693e-09, 1.997378e-09, -2.282542e-09, -1.129877e-08, -6.663359e-09, 5.035380e-09, -2.100434e-08, -1.513899e-08, 2.606855e-09
-9.500000e-02, 1.054894e-08, 6.142302e-09, -2.021335e-09, -2.275173e-08, -1.318410e-08, 4.418216e-09, -2.018320e-08, -1.297920e-08, 2.556744e-09, -1.510014e-08, -7.872953e-09, 9.240986e-09, 3.604375e-08, 2.136699e-08, -1.828222e-08, 4.508189e-08, 3.803135e-08, -6.150960e-09, 3.212265e-08, 1.844605e-08, -6.662277e-09, -3.989492e-08, -2.297632e-08, 8.119040e-09, 7.378024e-08, 3.955344e-08, -8.738999e-09
-9.375000e-02, -3.521120e-09, -2.615711e-09, -3.320116e-09, 1.703389e-08, 9.371342e-09, 3.408888e-09, 5.169604e-08, 2.467408e-08, -5.823870e-09, 5.883878e-10, 3.895781e-10, 1.543002e-10, -1.094181e-08, -6.349225e-09, 2.073552e-09, -4.776803e-08, -2.801705e-08, 5.606266e-09, 1.561083e-08, 9.483846e-09, -1.554511e-10, -2.999777e-08, -1.698359e-08, 8.880538e-10, -1.600630e-08, -6.674667e-09, 1.797645e-09
-9.250000e-02, 1.556470e-08, 9.317493e-09, -1.339218e-09, -2.024777e-08, -1.151448e-08, 7.208849e-10, 3.390085e-08, 2.107749e-08, -4.064652e-09, 9.589404e-09, 4.711093e-09, -6.819963e-09, -4.228411e-08, -2.465295e-08, 1.775138e-08, -1.227176e-07, -8.149582e-08, 1.513712e-08, -2.750990e-08, -1.667491e-08, 1.964135e-09, 4.982685e-08, 2.848496e-08, -3.657219e-09, 6.365485e-09, 1.756193e-09, -6.890886e-10
-9.125000e-02, -5.082607e-10, -3.831388e-10, -8.168837e-10, 3.920232e-09, 2.085786e-09, 7.234991e-10, 1.630365e-08, 8.272141e-09, -1.663753e-09, 2.841652e-08, 1.620331e-08, -7.506870e-09, -3.190342e-08, -1.845338e-08, 9.327853e-09, 8.091245e-08, 4.150560e-08, -9.885505e-09, 2.631940e-08, 1.488119e-08, -6.952382e-09, -3.457154e-08, -1.995554e-08, 9.639127e-09, 5.137684e-08, 2.496791e-08, -5.950814e-09
-9.000000e-02, -3.170101e-08, -1.884618e-08, 3.003885e-09, 7.312490e-08, 4.174771e-08, -9.139612e-09, 8.245660e-08, 4.742426e-08, -9.901615e-09, -7.476947e-09, -4.671125e-09, -3.323905e-10, -1.306457e-08, -7.560271e-09, 6.526954e-09, -1.221249e-07, -7.434731e-08, 1.501191e-08, 7.418384e-08, 4.318243e-08, -1.377180e-08, -1.055085e-07, -6.060923e-08, 1.878035e-08, 1.111100e-07, 5.821404e-08, -1.305322e-08
-8.875000e-02, 1.573932e-09, 1.399263e-09, 3.041906e-09, -5.549225e-09, -2.941816e-09, -4.806544e-09, -1.313715e-08, -2.729493e-09, 1.361111e-09, -8.482783e-08, -4.974277e-08, 1.396562e-08, 1.211001e-07, 6.938840e-08, -1.823773e-08, -1.280620e-07, -7.013025e-08, 1.518153e-08, -5.906012e-09, -4.302256e-09, -3.747059e-09, 1.623717e-08, 8.731470e-09, 5.453550e-09, 2.553336e-08, 8.198493e-09, -2.767825e-09
-8.750000e-02, -1.289206e-08, -7.397005e-09, 3.253552e-09, 3.623914e-08, 2.089997e-08, -8.777408e-09, 6.560324e-08, 4.148187e-08, -8.049173e-09, 4.618375e-08, 2.844650e-08, 2.040267e-09, -7.733656e-08, -4.337547e-08, -4.469495e-09, 1.473737e-08, 2.053380e-08, -2.531417e-09, 4.049732e-08, 2.446587e-08, -1.064182e-09, -7.641226e-08, -4.319985e-08, 2.995113e-09, -2.606690e-08, -9.234376e-09, 2.856742e-09
-8.625000e-02, -2.138711e-08, -1.279887e-08, 1.857398e-09, 4.851515e-08, 2.759627e-08, -5.724865e-09, 5.391779e-08, 3.072397e-08, -6.402316e-09, 1.012227e-08, 6.346209e-09, 1.527154e-09, -6.357836e-09, -3.388268e-09, -5.126624e-09, 4.926038e-08, 3.352873e-08, -6.321600e-09, 4.575099e-08, 2.737891e-08, -2.867611e-09, -6.132964e-08, -3.469500e-08, 9.522639e-10, 8.332875e-08, 5.351913e-08, -1.019364e-08
-8.500000e-02, 3.556845e-08, 2.104912e-08, -4.328210e-09, -4.990182e-08, -2.861223e-08, 4.764049e-09, 5.928610e-08, 3.510409e-08, -7.038871e-09, -2.557539e-08, -1.569627e-08, -6.144731e-10, 4.808074e-08, 2.734268e-08, 5.537830e-10, 1.201759e-08, 1.393364e-09, -1.370738e-09, 5.330909e-08, 3.132559e-08, -6.962503e-09, -8.297452e-08, -4.730661e-08, 9.851593e-09, 4.818145e-08, 2.777475e-08, -5.867726e-09
-8.375000e-02, 3.168604e-09, 1.855765e-09, -6.158842e-10, -9.151940e-09, -5.323109e-09, 1.819756e-09, -1.598198e-08, -9.674054e-09, 2.098858e-09, 1.536125e-08, 8.897564e-09, -2.930469e-09, -1.740363e-08, -9.902920e-09, 3.180063e-09, 4.181412e-08, 2.292955e-08, -5.209981e-09, 6.597096e-09, 4.182626e-09, 1.382315e-09, -6.570136e-09, -3.504471e-09, -3.491000e-09, 2.137614e-08, 1.621226e-08, -2.754500e-09
-8.250000e-02, -6.535403e-09, -3.951665e-09, 2.791920e-10, 1.398189e-09, 6.691596e-10, 1.690638e-09, -4.629662e-08, -2.810782e-08, 5.789962e-09, 1.870348e-08, 1.178002e-08, 2.660512e-09, -2.437480e-08, -1.335671e-08, -6.465328e-09, 3.656936e-08, 2.935188e-08, -5.022078e-09, 4.876724e-08, 2.874487e-08, -6.680708e-09, -8.203893e-08, -4.692206e-08, 1.093720e-08, 1.385170e-08, 7.181969e-09, -1.619554e-09
