mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-5.605746e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-5.558639e-02, 0.000000e+00, 1.445489e-15, 2.562933e-14, -1.445489e-15, 0.000000e+00, -9.678453e-01, -2.562933e-14, 9.678453e-01, 0.000000e+00, 0.000000e+00, -1.683658e-14, 9.678453e-01, 1.683658e-14, 0.000000e+00, 5.389852e-14, -9.678453e-01, -5.389852e-14, 0.000000e+00, 0.000000e+00, -9.678453e-01, -7.687282e-15, 9.678453e-01, 0.000000e+00, -4.216846e-14, 7.687282e-15, 4.216846e-14, 0.000000e+00
-5.511532e-02, 0.000000e+00, -1.588731e-14, 1.399779e-13, 1.588731e-14, 0.000000e+00, -1.944061e+00, -1.399779e-13, 1.944061e+00, 0.000000e+00, 0.000000e+00, -5.126982e-14, 1.944061e+00, 5.126982e-14, 0.000000e+00, 4.959971e-14, -1.944061e+00, -4.959971e-14, 0.000000e+00, 0.000000e+00, -1.944061e+00, -1.146255e-14, 1.944061e+00, 0.000000e+00, -7.135555e-14, 1.146255e-14, 7.135555e-14, 0.000000e+00
-5.464425e-02, 0.000000e+00, 6.819715e-15, 1.863126e-13, -6.819715e-15, 0.000000e+00, -2.928667e+00, -1.863126e-13, 2.928667e+00, 0.000000e+00, 0.000000e+00, -6.908597e-14, 2.928667e+00, 6.908597e-14, 0.000000e+00, 2.023404e-15, -2.928667e+00, -2.023404e-15, 0.000000e+00, 0.000000e+00, -2.928667e+00, 3.711885e-14, 2.928667e+00, 0.000000e+00, -9.485817e-14, -3.711885e-14, 9.485817e-14, 0.000000e+00
-5.417318e-02, 0.000000e+00, -3.205899e-15, 1.979322e-13, 3.205899e-15, 0.000000e+00, -3.921724e+00, -1.979322e-13, 3.921724e+00, 0.000000e+00, 0.000000e+00, -2.247947e-14, 3.921724e+00, 2.247947e-14, 0.000000e+00, 7.106721e-15, -3.921724e+00, -7.106721e-15, 0.000000e+00, 0.000000e+00, -3.921724e+00, 1.184370e-13, 3.921724e+00, 0.000000e+00, -9.459052e-14, -1.184370e-13, 9.459052e-14, 0.000000e+00
-5.370211e-02, 0.000000e+00, -6.049345e-14, 2.051505e-13, 6.049345e-14, 0.000000e+00, -4.923240e+00, -2.051505e-13, 4.923240e+00, 0.000000e+00, 0.000000e+00, 2.482454e-14, 4.923240e+00, -2.482454e-14, 0.000000e+00, -9.361417e-15, -4.923240e+00, 9.361417e-15, 0.000000e+00, 0.000000e+00, -4.923240e+00, 1.728456e-13, 4.923240e+00, 0.000000e+00, -7.910620e-14, -1.728456e-13, 7.910620e-14, 0.000000e+00
-5.323104e-02, 0.000000e+00, -8.400706e-14, 2.532962e-13, 8.400706e-14, 0.000000e+00, -5.934986e+00, -2.532962e-13, 5.934986e+00, 0.000000e+00, 0.000000e+00, 4.912182e-14, 5.934986e+00, -4.912182e-14, 0.000000e+00, -2.371555e-14, -5.934986e+00, 2.371555e-14, 0.000000e+00, 0.000000e+00, -5.934986e+00, 1.952389e-13, 5.934986e+00, 0.000000e+00, -9.215374e-14, -1.952389e-13, 9.215374e-14, 0.000000e+00
-5.275996e-02, 0.000000e+00, -8.272908e-14, 2.808681e-13, 8.272908e-14, 0.000000e+00, -6.955713e+00, -2.808681e-13, 6.955713e+00, 0.000000e+00, 0.000000e+00, 7.184896e-14, 6.955713e+00, -7.184896e-14, 0.000000e+00, -6.911550e-15, -6.955713e+00, 6.911550e-15, 0.000000e+00, 0.000000e+00, -6.955713e+00, 2.138223e-13, 6.955713e+00, 0.000000e+00, -5.195436e-14, -2.138223e-13, 5.195436e-14, 0.000000e+00
-5.228889e-02, 0.000000e+00, -3.685212e-14, 2.892498e-13, 3.685212e-14, 0.000000e+00, -7.985102e+00, -2.892498e-13, 7.985102e+00, 0.000000e+00, 0.000000e+00, 1.002151e-13, 7.985102e+00, -1.002151e-13, 0.000000e+00, 3.479392e-14, -7.985102e+00, -3.479392e-14, 0.000000e+00, 0.000000e+00, -7.985102e+00, 2.594959e-13, 7.985102e+00, 0.000000e+00, -2.004240e-16, -2.594959e-13, 2.004240e-16, 0.000000e+00
-5.181782e-02, 0.000000e+00, 6.559157e-15, 2.910493e-13, -6.559157e-15, 0.000000e+00, -9.024820e+00, -2.910493e-13, 9.024820e+00, 0.000000e+00, 0.000000e+00, 1.007338e-13, 9.024820e+00, -1.007338e-13, 0.000000e+00, 1.820376e-14, -9.024820e+00, -1.820376e-14, 0.000000e+00, 0.000000e+00, -9.024820e+00, 3.504291e-13, 9.024820e+00, 0.000000e+00, 5.179406e-15, -3.504291e-13, -5.179406e-15, 0.000000e+00
