mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.400000e-02, 1.558671e-06, -2.727378e-06, 2.612235e-05, -1.371972e+02, -7.921082e+01, -9.088207e+01, -5.910105e+02, -4.668868e+02, -3.570827e+02, 1.371972e+02, 7.921082e+01, 9.088205e+01, -1.480767e-06, -2.064014e-06, -2.192079e-05, 1.149327e+03, 5.910105e+02, 6.184853e+02, 5.910105e+02, 4.668868e+02, 3.570827e+02, -1.149327e+03, -5.910105e+02, -6.184853e+02, -6.793121e-07, 2.630840e-05, -5.316346e-06
-3.300000e-02, 1.532698e-06, 3.137542e-06, -2.139669e-05, 8.349380e+01, 4.820517e+01, 5.530791e+01, 3.596701e+02, 2.841324e+02, 2.173092e+02, -8.349380e+01, -4.820517e+01, -5.530789e+01, -2.805129e-06, -8.686629e-07, 2.133807e-05, -6.994436e+02, -3.596701e+02, -3.763906e+02, -3.596701e+02, -2.841324e+02, -2.173091e+02, 6.994436e+02, 3.596701e+02, 3.763905e+02, 9.674888e-06, -1.710802e-05, 7.416969e-08
-3.200000e-02, -2.935723e-06, 7.750972e-06, -6.972667e-05, 3.276254e+02, 1.891546e+02, 2.170255e+02, 1.411327e+03, 1.114921e+03, 8.527099e+02, -3.276254e+02, -1.891546e+02, -2.170254e+02, -3.478756e-06, 1.140177e-06, 7.172894e-05, -2.744581e+03, -1.411327e+03, -1.476937e+03, -1.411327e+03, -1.114921e+03, -8.527098e+02, 2.744581e+03, 1.411327e+03, 1.476937e+03, 3.949176e-05, -5.642508e-05, -2.533526e-06
-3.100000e-02, 1.733665e-05, 3.016666e-05, -1.967005e-04, 6.400781e+02, 3.695493e+02, 4.240002e+02, 2.757294e+03, 2.178208e+03, 1.665930e+03, -6.400781e+02, -3.695493e+02, -4.240000e+02, -2.021120e-05, -4.949829e-06, 1.784396e-04, -5.362056e+03, -2.757293e+03, -2.885476e+03, -2.757294e+03, -2.178208e+03, -1.665930e+03, 5.362056e+03, 2.757293e+03, 2.885475e+03, 3.736846e-05, -1.739523e-04, 2.310599e-05
-3.000000e-02, -6.955276e-05, -1.262500e-05, -8.304791e-05, 1.275703e+03, 7.365276e+02, 8.450505e+02, 5.495405e+03, 4.341264e+03, 3.320268e+03, -1.275703e+03, -7.365276e+02, -8.450504e+02, 3.762725e-05, 3.090120e-05, 1.164518e-04, -1.068681e+04, -5.495405e+03, -5.750874e+03, -5.495405e+03, -4.341264e+03, -3.320268e+03, 1.068681e+04, 5.495405e+03, 5.750874e+03, 1.500417e-04, -6.007353e-05, -4.226675e-05
-2.900000e-02, -5.592357e-05, 4.259840e-05, -4.885197e-04, 2.772091e+03, 1.600468e+03, 1.836287e+03, 1.194146e+04, 9.433525e+03, 7.214915e+03, -2.772092e+03, -1.600468e+03, -1.836287e+03, -4.105524e-06, 2.259164e-05, 5.235143e-04, -2.322234e+04, -1.194146e+04, -1.249660e+04, -1.194146e+04, -9.433525e+03, -7.214914e+03, 2.322234e+04, 1.194146e+04, 1.249660e+04, 3.443466e-04, -3.871042e-04, -4.427959e-05
-2.828027e-02, 2.673714e-06, 1.661435e-04, -1.336992e-03, 6.162971e+03, 3.558193e+03, 4.082471e+03, 2.654851e+04, 2.097281e+04, 1.604035e+04, -6.162971e+03, -3.558193e+03, -4.082470e+03, -8.212538e-05, 7.451503e-06, 1.304526e-03, -5.162839e+04, -2.654851e+04, -2.778270e+04, -2.654851e+04, -2.097281e+04, -1.604035e+04, 5.162839e+04, 2.654851e+04, 2.778270e+04, 5.414895e-04, -1.132082e-03, 4.107969e-05
-2.795093e-02, -2.540883e-04, 1.292362e-04, -1.693290e-03, 9.904106e+03, 5.718139e+03, 6.560673e+03, 4.266437e+04, 3.370402e+04, 2.577739e+04, -9.904106e+03, -5.718138e+03, -6.560671e+03, 1.228157e-04, 1.628857e-04, 1.634865e-03, -8.296859e+04, -4.266437e+04, -4.464775e+04, -4.266437e+04, -3.370402e+04, -2.577739e+04, 8.296859e+04, 4.266437e+04, 4.464774e+04, 6.903011e-04, -1.545110e-03, 7.392712e-05
-2.773370e-02, -1.580187e-04, 3.256985e-04, -3.019890e-03, 1.453072e+04, 8.389317e+03, 9.625434e+03, 6.259465e+04, 4.944856e+04, 3.781908e+04, -1.453072e+04, -8.389317e+03, -9.625430e+03, -1.326530e-04, 6.238965e-05, 3.123990e-03, -1.217266e+05, -6.259465e+04, -6.550457e+04, -6.259465e+04, -4.944856e+04, -3.781907e+04, 1.217266e+05, 6.259465e+04, 6.550456e+04, 1.766809e-03, -2.437528e-03, -1.317197e-04
-2.759095e-02, -2.068302e-05, 5.607863e-04, -4.530443e-03, 1.870361e+04, 1.079853e+04, 1.238964e+04, 8.057038e+04, 6.364903e+04, 4.867984e+04, -1.870361e+04, -1.079853e+04, -1.238963e+04, -3.473168e-04, -9.614238e-06, 4.608243e-03, -1.566837e+05, -8.057038e+04, -8.431596e+04, -8.057038e+04, -6.364903e+04, -4.867983e+04, 1.566837e+05, 8.057038e+04, 8.431595e+04, 2.379830e-03, -3.656627e-03, -9.844131e-05
