mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.400000e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-3.300000e-02, 2.569854e-11, -3.257272e-12, 9.628603e-11, -8.384621e-04, -4.840863e-04, -5.554135e-04, -3.611882e-03, -2.853317e-03, -2.182263e-03, 8.384621e-04, 4.840863e-04, 5.554134e-04, -1.383185e-11, -1.401727e-11, -9.924486e-11, 7.023959e-03, 3.611882e-03, 3.779790e-03, 3.611882e-03, 2.853317e-03, 2.182263e-03, -7.023959e-03, -3.611882e-03, -3.779790e-03, -5.968234e-11, 8.567448e-11, 3.743883e-12
-3.200000e-02, -1.853878e-10, 2.366506e-11, -6.954090e-10, 6.029579e-03, 3.481179e-03, 3.994109e-03, 2.597389e-02, 2.051887e-02, 1.569317e-02, -6.029579e-03, -3.481179e-03, -3.994109e-03, 9.777606e-11, 1.000173e-10, 7.207329e-10, -5.051094e-02, -2.597390e-02, -2.718136e-02, -2.597389e-02, -2.051887e-02, -1.569317e-02, 5.051094e-02, 2.597389e-02, 2.718136e-02, 4.423467e-10, -6.146912e-10, -3.204299e-11
-3.100000e-02, -7.057388e-10, 9.016989e-11, -2.643153e-09, 2.273404e-02, 1.312551e-02, 1.505947e-02, 9.793248e-02, 7.736476e-02, 5.916983e-02, -2.273404e-02, -1.312550e-02, -1.505947e-02, 3.560912e-10, 3.714655e-10, 2.773060e-09, -1.904474e-01, -9.793248e-02, -1.024851e-01, -9.793248e-02, -7.736476e-02, -5.916982e-02, 1.904474e-01, 9.793248e-02, 1.024851e-01, 1.778107e-09, -2.302727e-09, -1.643749e-10
-3.000000e-02, -1.784566e-09, 2.171917e-10, -6.574949e-09, 5.610084e-02, 3.238983e-02, 3.716228e-02, 2.416682e-01, 1.909132e-01, 1.460135e-01, -5.610084e-02, -3.238983e-02, -3.716227e-02, 8.410836e-10, 9.014369e-10, 7.040116e-09, -4.699675e-01, -2.416682e-01, -2.529028e-01, -2.416682e-01, -1.909132e-01, -1.460135e-01, 4.699675e-01, 2.416682e-01, 2.529028e-01, 4.836776e-09, -5.595126e-09, -5.885886e-10
-2.900000e-02, -4.388984e-09, 4.219344e-10, -1.518239e-08, 1.300522e-01, 7.508566e-02, 8.614908e-02, 5.602317e-01, 4.425722e-01, 3.384864e-01, -1.300522e-01, -7.508565e-02, -8.614906e-02, 1.910980e-09, 2.088610e-09, 1.678984e-08, -1.089472e+00, -5.602317e-01, -5.862757e-01, -5.602317e-01, -4.425722e-01, -3.384864e-01, 1.089472e+00, 5.602317e-01, 5.862756e-01, 1.275583e-08, -1.247873e-08, -2.033948e-09
-2.800000e-02, -1.165125e-08, 1.852137e-09, -4.592819e-08, 3.588817e-01, 2.072004e-01, 2.377302e-01, 1.545971e+00, 1.221287e+00, 9.340603e-01, -3.588817e-01, -2.072004e-01, -2.377301e-01, 3.984687e-09, 5.160223e-09, 5.158252e-08, -3.006421e+00, -1.545971e+00, -1.617840e+00, -1.545971e+00, -1.221287e+00, -9.340602e-01, 3.006421e+00, 1.545971e+00, 1.617840e+00, 4.051426e-08, -3.635117e-08, -7.154571e-09
-2.736067e-02, -1.062158e-07, 1.118825e-07, -1.178496e-06, 6.429255e+00, 3.711932e+00, 4.258864e+00, 2.769560e+01, 2.187898e+01, 1.673341e+01, -6.429255e+00, -3.711932e+00, -4.258862e+00, 7.354711e-10, 5.816001e-08, 1.189914e-06, -5.385910e+01, -2.769560e+01, -2.898311e+01, -2.769560e+01, -2.187898e+01, -1.673340e+01, 5.385910e+01, 2.769560e+01, 2.898311e+01, 6.150938e-07, -9.970736e-07, -1.444812e-08
-2.735013e-02, -1.989870e-07, 2.255996e-07, -2.335717e-06, 1.257432e+01, 7.259789e+00, 8.329477e+00, 5.416699e+01, 4.279087e+01, 3.272716e+01, -1.257432e+01, -7.259789e+00, -8.329474e+00, -4.675201e-09, 1.107957e-07, 2.350477e-06, -1.053375e+02, -5.416699e+01, -5.668511e+01, -5.416699e+01, -4.279087e+01, -3.272716e+01, 1.053375e+02, 5.416699e+01, 5.668510e+01, 1.194051e-06, -1.979869e-06, -1.867625e-08
-2.734317e-02, -2.061853e-07, 2.349825e-07, -2.429901e-06, 1.306600e+01, 7.543659e+00, 8.655173e+00, 5.628501e+01, 4.446406e+01, 3.400685e+01, -1.306600e+01, -7.543659e+00, -8.655171e+00, -5.398528e-09, 1.148910e-07, 2.444880e-06, -1.094564e+02, -5.628501e+01, -5.890159e+01, -5.628501e+01, -4.446406e+01, -3.400684e+01, 1.094564e+02, 5.628501e+01, 5.890158e+01, 1.240943e-06, -2.059782e-06, -1.895287e-08
-2.733861e-02, -2.137681e-07, 2.424802e-07, -2.510119e-06, 1.350875e+01, 7.799280e+00, 8.948458e+00, 5.819225e+01, 4.597075e+01, 3.515919e+01, -1.350875e+01, -7.799279e+00, -8.948455e+00, -4.396002e-09, 1.194284e-07, 2.524523e-06, -1.131654e+02, -5.819225e+01, -6.089750e+01, -5.819225e+01, -4.597075e+01, -3.515918e+01, 1.131654e+02, 5.819225e+01, 6.089749e+01, 1.279004e-06, -2.129146e-06, -1.822479e-08
-2.733562e-02, -2.207445e-07, 2.480324e-07, -2.573032e-06, 1.386552e+01, 8.005263e+00, 9.184792e+00, 5.972914e+01, 4.718486e+01, 3.608776e+01, -1.386552e+01, -8.005263e+00, -9.184789e+00, -2.640298e-09, 1.236354e-07, 2.586788e-06, -1.161541e+02, -5.972914e+01, -6.250584e+01, -5.972914e+01, -4.718486e+01, -3.608776e+01, 1.161541e+02, 5.972914e+01, 6.250583e+01, 1.308509e-06, -2.184118e-06, -1.740663e-08
-2.733367e-02, -2.251201e-07, 2.526625e-07, -2.621700e-06, 1.412886e+01, 8.157300e+00, 9.359230e+00, 6.086352e+01, 4.808100e+01, 3.677314e+01, -1.412886e+01, -8.157300e+00, -9.359227e+00, -2.071079e-09, 1.263495e-07, 2.634779e-06, -1.183601e+02, -6.086352e+01, -6.369295e+01, -6.086352e+01, -4.808100e+01, -3.677314e+01, 1.183601e+02, 6.086352e+01, 6.369294e+01, 1.330608e-06, -2.226451e-06, -1.654878e-08
-2.733241e-02, -2.276603e-07, 2.562316e-07, -2.657035e-06, 1.431254e+01, 8.263349e+00, 9.480905e+00, 6.165478e+01, 4.870608e+01, 3.725121e+01, -1.431254e+01, -8.263348e+00, -9.480902e+00, -2.371010e-09, 1.278549e-07, 2.669974e-06, -1.198989e+02, -6.165478e+01, -6.452099e+01, -6.165478e+01, -4.870608e+01, -3.725121e+01, 1.198989e+02, 6.165478e+01, 6.452098e+01, 1.347529e-06, -2.256597e-06, -1.637154e-08
