mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.400000e-02, -1.209428e-12, -7.098140e-13, -8.095689e-12, 4.163835e-02, 2.403991e-02, -9.173002e-03, 1.955591e-01, 1.156859e-01, -2.365168e-02, -4.163835e-02, -2.403991e-02, 9.173002e-03, -4.446640e-12, -2.578668e-12, 1.775416e-11, -3.414970e-01, -1.955585e-01, 4.096551e-02, -1.955591e-01, -1.156859e-01, 2.365168e-02, 3.414970e-01, 1.955585e-01, -4.096551e-02, 4.113997e-11, 2.377929e-11, -1.936508e-10
-3.300000e-02, -1.205587e-12, -7.075207e-13, -8.041537e-12, 4.149794e-02, 2.395885e-02, -9.142069e-03, 1.948997e-01, 1.152958e-01, -2.357193e-02, -4.149794e-02, -2.395885e-02, 9.142069e-03, -4.488722e-12, -2.602853e-12, 1.770168e-11, -3.403454e-01, -1.948990e-01, 4.082736e-02, -1.948997e-01, -1.152958e-01, 2.357193e-02, 3.403454e-01, 1.948990e-01, -4.082736e-02, 4.108299e-11, 2.374484e-11, -1.935112e-10
-3.200000e-02, -1.338636e-12, -7.851712e-13, -8.462113e-12, 4.264660e-02, 2.462203e-02, -9.395124e-03, 2.002945e-01, 1.184872e-01, -2.422440e-02, -4.264660e-02, -2.462203e-02, 9.395124e-03, -4.442794e-12, -2.576481e-12, 1.818559e-11, -3.497662e-01, -2.002939e-01, 4.195749e-02, -2.002945e-01, -1.184872e-01, 2.422440e-02, 3.497662e-01, 2.002939e-01, -4.195749e-02, 4.127343e-11, 2.386464e-11, -1.945980e-10
-3.100000e-02, -1.628724e-12, -9.545635e-13, -9.458987e-12, 4.542523e-02, 2.622627e-02, -1.000726e-02, 2.133446e-01, 1.262072e-01, -2.580275e-02, -4.542523e-02, -2.622627e-02, 1.000726e-02, -4.305622e-12, -2.497498e-12, 1.931501e-11, -3.725552e-01, -2.133440e-01, 4.469125e-02, -2.133446e-01, -1.262072e-01, 2.580275e-02, 3.725552e-01, 2.133440e-01, -4.469125e-02, 4.172786e-11, 2.415024e-11, -1.970316e-10
-3.000000e-02, -2.000313e-12, -1.170613e-12, -1.130049e-11, 4.944579e-02, 2.854754e-02, -1.089300e-02, 2.322276e-01, 1.373777e-01, -2.808655e-02, -4.944579e-02, -2.854754e-02, 1.089300e-02, -3.863461e-12, -2.244552e-12, 2.140101e-11, -4.055298e-01, -2.322269e-01, 4.864690e-02, -2.322276e-01, -1.373777e-01, 2.808655e-02, 4.055298e-01, 2.322269e-01, -4.864690e-02, 4.292515e-11, 2.488069e-11, -2.020834e-10
-2.900000e-02, -3.798882e-12, -2.214926e-12, -1.270951e-11, 6.072191e-02, 3.505781e-02, -1.337716e-02, 2.851873e-01, 1.687068e-01, -3.449175e-02, -6.072191e-02, -3.505781e-02, 1.337716e-02, -2.334164e-12, -1.362454e-12, 2.297847e-11, -4.980114e-01, -2.851865e-01, 5.974104e-02, -2.851873e-01, -1.687068e-01, 3.449175e-02, 4.980114e-01, 2.851865e-01, -5.974104e-02, 4.340326e-11, 2.526191e-11, -2.051201e-10
-2.800000e-02, -5.986521e-12, -3.478234e-12, -9.427370e-12, 9.300554e-02, 5.369678e-02, -2.048928e-02, 4.368115e-01, 2.584023e-01, -5.282974e-02, -9.300554e-02, -5.369678e-02, 2.048928e-02, -4.510824e-13, -2.758616e-13, 2.033098e-11, -7.627874e-01, -4.368107e-01, 9.150334e-02, -4.368115e-01, -2.584023e-01, 5.282974e-02, 7.627874e-01, 4.368107e-01, -9.150334e-02, 4.610784e-11, 2.689301e-11, -2.178522e-10
-2.742527e-02, -1.119798e-11, -6.449677e-12, 9.591722e-12, 2.371157e-01, 1.368988e-01, -5.223690e-02, 1.113644e+00, 6.587925e-01, -1.346881e-01, -2.371157e-01, -1.368988e-01, 5.223690e-02, 1.258841e-11, 7.226003e-12, -1.915426e-12, -1.944716e+00, -1.113643e+00, 2.332863e-01, -1.113644e+00, -6.587925e-01, 1.346881e-01, 1.944716e+00, 1.113643e+00, -2.332863e-01, 3.892577e-11, 2.293195e-11, -1.651841e-10
-2.739233e-02, -5.763115e-12, -3.289996e-12, -9.506694e-12, 2.826723e-01, 1.632009e-01, -6.227309e-02, 1.327604e+00, 7.853642e-01, -1.605653e-01, -2.826723e-01, -1.632009e-01, 6.227309e-02, 1.437132e-11, 8.214532e-12, 1.760166e-11, -2.318349e+00, -1.327604e+00, 2.781068e-01, -1.327604e+00, -7.853642e-01, 1.605653e-01, 2.318349e+00, 1.327604e+00, -2.781068e-01, 4.908549e-11, 2.883001e-11, -1.883674e-10
-2.737061e-02, 6.608253e-13, 4.889241e-13, -8.810687e-12, 3.289371e-01, 1.899119e-01, -7.246527e-02, 1.544893e+00, 9.139044e-01, -1.868447e-01, -3.289371e-01, -1.899119e-01, 7.246527e-02, 2.241901e-11, 1.280050e-11, 1.439747e-11, -2.697792e+00, -1.544892e+00, 3.236241e-01, -1.544893e+00, -9.139044e-01, 1.868447e-01, 2.697792e+00, 1.544892e+00, -3.236241e-01, 5.259113e-11, 3.071935e-11, -1.641251e-10
