mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.375000e-02, -6.187528e-15, 1.977051e-15, -1.012607e-15, 1.814507e-14, 1.260201e-14, -1.661760e-14, 6.232330e-14, 9.481918e-14, -6.048594e-14, -1.971937e-14, -2.076861e-14, -1.107936e-14, 2.817993e-14, 3.485286e-15, 4.712030e-14, -7.821233e-14, -1.662049e-13, 1.187005e-13, -2.909523e-14, -1.020154e-13, 4.880118e-14, 6.919811e-14, 1.538695e-13, -8.725589e-14, 1.406284e-14, -1.358776e-14, -1.662071e-14
-3.250000e-02, 8.181510e-15, 7.224605e-15, -2.890929e-15, 4.085261e-14, 1.535200e-14, 6.986491e-15, 1.629194e-13, -2.486880e-14, -3.255781e-14, -4.927594e-14, 1.808920e-15, 1.858536e-14, -1.216630e-14, -3.561381e-14, -3.863449e-14, -2.681507e-13, 5.532677e-14, 6.324166e-14, -2.006570e-13, 4.999321e-14, 7.210759e-14, 3.022789e-13, -7.842035e-14, -1.051048e-13, 9.124432e-15, 2.857897e-15, 3.835801e-14
-3.125000e-02, -9.068591e-15, 2.315828e-14, -1.349160e-14, 1.608180e-13, -1.841996e-14, 5.342276e-14, 3.598061e-13, -2.339659e-13, 7.230483e-15, -1.517461e-13, 3.928027e-14, 3.142817e-14, 2.666555e-14, -8.810887e-14, -1.097394e-13, -6.345577e-13, 4.036100e-13, 4.112094e-14, -5.078167e-13, 3.126325e-13, 7.384571e-14, 7.188163e-13, -4.699619e-13, -1.152071e-13, -3.360078e-15, 6.534936e-14, 1.086540e-13
-3.000000e-02, 7.783148e-16, 4.079525e-14, -1.191490e-14, 2.659799e-13, -2.506537e-14, 1.160093e-13, 6.705726e-13, -5.185422e-13, 4.911216e-14, -3.316825e-13, 5.529516e-14, 2.492935e-14, 4.441323e-15, -1.765793e-13, -2.163635e-13, -1.283589e-12, 8.694113e-13, 3.987622e-14, -1.026358e-12, 7.196996e-13, 1.229183e-13, 1.415762e-12, -1.044086e-12, -1.827848e-13, -1.265088e-14, 1.603173e-13, 2.424928e-13
-2.875000e-02, -8.211090e-15, 1.054576e-13, -5.606914e-14, 7.576955e-13, -7.915856e-14, 3.677267e-13, 1.812303e-12, -1.604346e-12, 2.507002e-13, -9.754873e-13, 2.008046e-13, 7.716063e-14, 1.357909e-13, -5.190654e-13, -6.356656e-13, -3.347564e-12, 2.643278e-12, -2.222319e-14, -2.749874e-12, 2.095082e-12, 2.798529e-13, 3.833396e-12, -3.124192e-12, -4.071521e-13, -4.460247e-14, 4.093169e-13, 6.414014e-13
-2.828027e-02, -5.480100e-14, 1.942151e-13, -9.452930e-14, 1.368459e-12, -1.498110e-13, 6.622925e-13, 3.067633e-12, -2.751889e-12, 4.368591e-13, -1.664627e-12, 3.446622e-13, 7.997968e-14, 1.754120e-13, -8.909344e-13, -1.098156e-12, -5.671814e-12, 4.623332e-12, -4.225285e-14, -4.673341e-12, 3.658614e-12, 4.720494e-13, 6.481915e-12, -5.370794e-12, -7.101719e-13, -7.807853e-14, 6.620473e-13, 1.159845e-12
-2.795093e-02, -6.967349e-14, 3.187433e-13, -1.623157e-13, 2.238319e-12, -2.470711e-13, 1.052235e-12, 5.028411e-12, -4.524381e-12, 7.375205e-13, -2.740983e-12, 5.535131e-13, 1.759552e-13, 3.784479e-13, -1.415787e-12, -1.777272e-12, -9.177401e-12, 7.617490e-12, -1.601409e-13, -7.633647e-12, 5.962648e-12, 7.047826e-13, 1.055161e-11, -8.868242e-12, -1.031832e-12, -1.932310e-13, 1.120352e-12, 1.886900e-12
-2.773370e-02, -1.286690e-13, 4.547501e-13, -2.293683e-13, 3.261690e-12, -4.192337e-13, 1.537968e-12, 7.384621e-12, -6.831757e-12, 1.142311e-12, -3.985934e-12, 8.574026e-13, 2.497506e-13, 4.858819e-13, -2.091856e-12, -2.565646e-12, -1.359964e-11, 1.135546e-11, -2.992121e-13, -1.126038e-11, 8.962782e-12, 9.989680e-13, 1.558808e-11, -1.333112e-11, -1.416335e-12, -2.289972e-13, 1.609150e-12, 2.741761e-12
-2.759095e-02, -1.258119e-13, 5.765609e-13, -2.868228e-13, 4.149191e-12, -5.035218e-13, 1.966691e-12, 9.462019e-12, -8.789494e-12, 1.461899e-12, -5.095804e-12, 1.119992e-12, 3.469869e-13, 5.562117e-13, -2.728433e-12, -3.398211e-12, -1.746811e-11, 1.469968e-11, -4.028031e-13, -1.447520e-11, 1.147907e-11, 1.290590e-12, 2.001133e-11, -1.708209e-11, -1.844961e-12, -3.344373e-13, 2.115702e-12, 3.572928e-12
-2.749753e-02, -1.785785e-13, 6.911390e-13, -3.520139e-13, 4.904617e-12, -6.096298e-13, 2.346075e-12, 1.099430e-11, -1.012837e-11, 1.688470e-12, -5.946929e-12, 1.287632e-12, 4.016520e-13, 6.857539e-13, -3.173321e-12, -3.972303e-12, -2.016770e-11, 1.695481e-11, -4.203042e-13, -1.681307e-11, 1.333781e-11, 1.505170e-12, 2.322089e-11, -1.972727e-11, -2.206057e-12, -3.333052e-13, 2.509693e-12, 4.121895e-12
-2.743671e-02, -2.074226e-13, 7.622607e-13, -3.882990e-13, 5.391939e-12, -6.516121e-13, 2.549394e-12, 1.207180e-11, -1.108246e-11, 1.847846e-12, -6.529818e-12, 1.373893e-12, 4.134491e-13, 8.171436e-13, -3.397068e-12, -4.315093e-12, -2.205277e-11, 1.864976e-11, -4.999393e-13, -1.836997e-11, 1.465035e-11, 1.669023e-12, 2.533323e-11, -2.174283e-11, -2.394026e-12, -3.978725e-13, 2.749665e-12, 4.507955e-12
-2.739733e-02, -2.359457e-13, 8.015185e-13, -4.362976e-13, 5.713337e-12, -7.103136e-13, 2.718791e-12, 1.281687e-11, -1.180516e-11, 2.003766e-12, -6.848281e-12, 1.509896e-12, 5.112441e-13, 7.054560e-13, -3.660479e-12, -4.616092e-12, -2.354920e-11, 1.980063e-11, -5.724654e-13, -1.957717e-11, 1.556094e-11, 1.718426e-12, 2.705785e-11, -2.311386e-11, -2.446649e-12, -3.652872e-13, 2.836544e-12, 4.762328e-12
-2.737199e-02, -1.940910e-13, 8.181202e-13, -4.496995e-13, 5.768955e-12, -6.614636e-13, 2.856853e-12, 1.293501e-11, -1.188426e-11, 2.025302e-12, -7.030207e-12, 1.527379e-12, 4.545463e-13, 8.058329e-13, -3.781906e-12, -4.722680e-12, -2.384365e-11, 2.002327e-11, -5.412757e-13, -1.987782e-11, 1.580628e-11, 1.790427e-12, 2.742016e-11, -2.340928e-11, -2.570290e-12, -3.768082e-13, 2.989438e-12, 4.900674e-12
-2.735582e-02, -2.053330e-13, 8.470147e-13, -4.523357e-13, 5.891881e-12, -7.263094e-13, 2.870388e-12, 1.333565e-11, -1.225625e-11, 2.090138e-12, -7.216740e-12, 1.568582e-12, 5.048063e-13, 8.471183e-13, -3.849082e-12, -4.811954e-12, -2.442741e-11, 2.059549e-11, -5.613021e-13, -2.028256e-11, 1.616624e-11, 1.833972e-12, 2.804771e-11, -2.398380e-11, -2.693810e-12, -3.784200e-13, 2.934375e-12, 5.024576e-12
-2.734560e-02, -1.558361e-13, 8.432964e-13, -4.477679e-13, 5.886915e-12, -7.404632e-13, 2.907051e-12, 1.346036e-11, -1.243633e-11, 2.112427e-12, -7.339031e-12, 1.568601e-12, 4.566646e-13, 9.732084e-13, -3.844701e-12, -4.863550e-12, -2.479775e-11, 2.079174e-11, -6.194210e-13, -2.065363e-11, 1.642820e-11, 1.831308e-12, 2.853187e-11, -2.440336e-11, -2.670170e-12, -3.633734e-13, 2.987992e-12, 5.077836e-12
-2.733921e-02, -2.281122e-13, 8.371457e-13, -4.573305e-13, 6.028197e-12, -7.023870e-13, 2.907602e-12, 1.359079e-11, -1.255142e-11, 2.123424e-12, -7.370109e-12, 1.618732e-12, 5.148304e-13, 8.421652e-13, -3.926294e-12, -4.929278e-12, -2.493685e-11, 2.102837e-11, -6.037627e-13, -2.076939e-11, 1.647320e-11, 1.887366e-12, 2.874020e-11, -2.443164e-11, -2.740518e-12, -4.331673e-13, 2.987442e-12, 5.117859e-12
-2.733527e-02, -1.651434e-13, 8.667062e-13, -4.345832e-13, 5.980400e-12, -7.226137e-13, 2.928033e-12, 1.357027e-11, -1.240508e-11, 2.088959e-12, -7.278861e-12, 1.598307e-12, 4.556639e-13, 7.318859e-13, -3.902559e-12, -4.916006e-12, -2.492617e-11, 2.100956e-11, -5.566926e-13, -2.071638e-11, 1.643770e-11, 1.917553e-12, 2.865097e-11, -2.444645e-11, -2.791012e-12, -3.658202e-13, 2.982733e-12, 5.092959e-12
