mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.400000e-02, -4.104959e-10, -2.389206e-10, -9.906677e-10, 7.512129e+00, 4.337130e+00, -1.654935e+00, 3.528158e+01, 2.087135e+01, -4.267096e+00, -7.512129e+00, -4.337130e+00, 1.654935e+00, 7.672000e-10, 4.423010e-10, 3.665297e-10, -6.161109e+01, -3.528163e+01, 7.390854e+00, -3.528158e+01, -2.087135e+01, 4.267096e+00, 6.161109e+01, 3.528163e+01, -7.390854e+00, -2.679210e-09, -1.505398e-09, 1.248398e-08
-3.300000e-02, 3.451232e-10, 1.986240e-10, -1.169611e-09, -4.559214e+00, -2.632263e+00, 1.004398e+00, -2.141297e+01, -1.266716e+01, 2.589758e+00, 4.559214e+00, 2.632263e+00, -1.004398e+00, -4.889659e-10, -2.825162e-10, 1.422731e-09, 3.739276e+01, 2.141299e+01, -4.485603e+00, 2.141297e+01, 1.266716e+01, -2.589758e+00, -3.739276e+01, -2.141299e+01, 4.485603e+00, 1.082991e-09, 6.166961e-10, -5.062907e-09
-3.200000e-02, 1.726127e-09, 9.934728e-10, -5.797624e-09, -1.790947e+01, -1.034004e+01, 3.945470e+00, -8.411437e+01, -4.975911e+01, 1.017309e+01, 1.790947e+01, 1.034004e+01, -3.945470e+00, -1.476402e-09, -8.534348e-10, 5.362451e-09, 1.468860e+02, 8.411434e+01, -1.762028e+01, 8.411437e+01, 4.975911e+01, -1.017309e+01, -1.468860e+02, -8.411434e+01, 1.762028e+01, -1.847068e-09, -1.085966e-09, 8.704335e-09
-3.100000e-02, -2.012657e-09, -1.149622e-09, 1.456696e-08, -3.495894e+01, -2.018355e+01, 7.701522e+00, -1.641880e+02, -9.712788e+01, 1.985748e+01, 3.495894e+01, 2.018355e+01, -7.701522e+00, 1.432632e-09, 8.312618e-10, -1.356146e-08, 2.867160e+02, 1.641881e+02, -3.439421e+01, 1.641880e+02, 9.712788e+01, -1.985748e+01, -2.867160e+02, -1.641881e+02, 3.439421e+01, 4.318422e-09, 2.421475e-09, -2.011191e-08
-3.000000e-02, 6.016978e-09, 3.503470e-09, 1.577807e-08, -6.964822e+01, -4.021142e+01, 1.534365e+01, -3.271106e+02, -1.935071e+02, 3.956223e+01, 6.964822e+01, 4.021142e+01, -1.534365e+01, -7.137412e-09, -4.110926e-09, -1.384146e-08, 5.712222e+02, 3.271108e+02, -6.852388e+01, 3.271106e+02, 1.935071e+02, -3.956223e+01, -5.712222e+02, -3.271108e+02, 6.852388e+01, 8.482823e-09, 4.377220e-09, -3.873592e-08
-2.900000e-02, 3.211753e-08, 1.853388e-08, -6.455968e-08, -1.513839e+02, -8.740152e+01, 3.335002e+01, -7.109971e+02, -4.206009e+02, 8.599110e+01, 1.513839e+02, 8.740152e+01, -3.335002e+01, -3.160547e-08, -1.825048e-08, 6.367020e-08, 1.241589e+03, 7.109970e+02, -1.489409e+02, 7.109971e+02, 4.206009e+02, -8.599110e+01, -1.241589e+03, -7.109970e+02, 1.489409e+02, -3.380869e-09, -2.902903e-09, 1.779137e-08
-2.828027e-02, -1.670998e-08, -9.716471e-09, -3.210702e-08, -3.363438e+02, -1.941882e+02, 7.409676e+01, -1.579681e+03, -9.344837e+02, 1.910506e+02, 3.363438e+02, 1.941882e+02, -7.409676e+01, 1.874426e-08, 1.079904e-08, 2.860628e-08, 2.758541e+03, 1.579680e+03, -3.309092e+02, 1.579681e+03, 9.344837e+02, -1.910506e+02, -2.758541e+03, -1.579680e+03, 3.309092e+02, -1.548415e-08, -7.652559e-09, 7.002162e-08
-2.795093e-02, -1.954877e-08, -1.130222e-08, 2.028723e-08, -5.405264e+02, -3.120731e+02, 1.190785e+02, -2.538646e+03, -1.501774e+03, 3.070314e+02, 5.405264e+02, 3.120731e+02, -1.190785e+02, 2.478890e-08, 1.430667e-08, -2.946886e-08, 4.433149e+03, 2.538646e+03, -5.317935e+02, 2.538646e+03, 1.501774e+03, -3.070314e+02, -4.433149e+03, -2.538646e+03, 5.317935e+02, -3.955153e-08, -2.190670e-08, 1.836506e-07
-2.773370e-02, 1.976071e-08, 1.138777e-08, -5.347499e-08, -7.928892e+02, -4.577748e+02, 1.746743e+02, -3.723904e+03, -2.202931e+03, 4.503813e+02, 7.928892e+02, 4.577748e+02, -1.746743e+02, -1.732321e-08, -1.000853e-08, 4.921790e-08, 6.502924e+03, 3.723903e+03, -7.800831e+02, 3.723904e+03, 2.202931e+03, -4.503813e+02, -6.502924e+03, -3.723903e+03, 7.800831e+02, -1.798769e-08, -1.076408e-08, 8.515022e-08
-2.759095e-02, 1.073836e-08, 6.284326e-09, 5.644740e-08, -1.023787e+03, -5.910834e+02, 2.255415e+02, -4.808335e+03, -2.844442e+03, 5.815365e+02, 1.023787e+03, 5.910834e+02, -2.255415e+02, -3.848836e-08, -2.219301e-08, -7.826553e-09, 8.396634e+03, 4.808338e+03, -1.007253e+03, 4.808335e+03, 2.844442e+03, -5.815365e+02, -8.396634e+03, -4.808338e+03, 1.007253e+03, 2.081289e-07, 1.182830e-07, -9.725124e-07
