mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-3.375000e-02, 2.721845e-16, -1.281803e-15, 1.168015e-15, -1.046551e-15, 1.717718e-15, 6.593310e-16, -6.337319e-16, -6.878786e-16, 5.105156e-16
-3.250000e-02, 4.790985e-16, -1.659900e-15, -1.897915e-16, -5.642662e-16, 2.330194e-15, -4.025889e-16, 6.155489e-16, 1.634675e-15, 1.361965e-15
-3.125000e-02, 4.139694e-16, -2.154132e-16, 2.112297e-15, -1.751978e-15, 2.041447e-15, -2.175499e-15, -1.912132e-15, 2.261412e-15, 1.002462e-15
-3.000000e-02, 9.963322e-16, -8.355082e-16, 2.848908e-15, -1.650040e-15, 2.665347e-15, -4.483497e-15, -3.217130e-15, 4.904422e-15, 1.491482e-15
-2.875000e-02, 9.863142e-16, -7.852511e-16, 5.359745e-15, -3.313221e-15, 3.231847e-15, -9.331437e-15, -5.039887e-15, 9.759510e-15, 2.749378e-15
-2.828027e-02, 1.574979e-15, -1.678681e-15, 6.656560e-15, -4.251385e-15, 4.840670e-15, -9.763209e-15, -7.000942e-15, 1.142891e-14, 3.368584e-15
-2.795093e-02, 2.683834e-15, -1.927790e-15, 9.249608e-15, -6.507761e-15, 8.635424e-15, -1.077668e-14, -7.799595e-15, 1.271548e-14, 5.671221e-15
-2.773370e-02, 3.697684e-15, -4.531021e-15, 9.391960e-15, -8.091461e-15, 1.178460e-14, -1.412682e-14, -7.817578e-15, 1.865787e-14, 7.007603e-15
-2.759095e-02, 4.875991e-15, -4.819562e-15, 1.252904e-14, -1.133524e-14, 1.615092e-14, -1.714527e-14, -9.583018e-15, 1.893226e-14, 1.017624e-14
-2.749753e-02, 5.918701e-15, -7.592854e-15, 1.314740e-14, -1.215860e-14, 1.890175e-14, -1.786164e-14, -1.019054e-14, 2.233354e-14, 1.274221e-14
-2.743671e-02, 6.927157e-15, -9.174535e-15, 1.390552e-14, -1.507960e-14, 2.160324e-14, -1.855664e-14, -1.089423e-14, 2.244006e-14, 1.476647e-14
-2.739733e-02, 7.693637e-15, -9.858107e-15, 1.321922e-14, -1.573612e-14, 2.370999e-14, -1.773531e-14, -1.012302e-14, 2.253729e-14, 1.685824e-14
-2.737199e-02, 8.402949e-15, -1.089221e-14, 1.500634e-14, -1.843862e-14, 2.529083e-14, -1.874447e-14, -1.131870e-14, 2.527162e-14, 1.802131e-14
-2.735582e-02, 8.443244e-15, -1.119775e-14, 1.540487e-14, -1.842309e-14, 2.664477e-14, -1.903401e-14, -1.161148e-14, 2.492781e-14, 1.851449e-14
-2.734560e-02, 8.826385e-15, -1.184407e-14, 1.535194e-14, -1.833630e-14, 2.670684e-14, -2.124136e-14, -1.186455e-14, 2.578366e-14, 1.966634e-14
-2.733921e-02, 8.610386e-15, -1.194257e-14, 1.644629e-14, -1.788347e-14, 2.745019e-14, -2.058755e-14, -1.283653e-14, 2.752000e-14, 1.908092e-14
-2.733527e-02, 9.199043e-15, -1.158092e-14, 1.707877e-14, -1.920513e-14, 2.838151e-14, -2.082462e-14, -1.222683e-14, 2.657847e-14, 2.010997e-14
-2.733289e-02, 9.281985e-15, -1.226318e-14, 1.574768e-14, -1.969714e-14, 2.790515e-14, -2.091877e-14, -1.121575e-14, 2.658572e-14, 1.999093e-14
-2.733149e-02, 9.211890e-15, -1.257374e-14, 1.595623e-14, -1.930021e-14, 2.866220e-14, -2.083717e-14, -1.225021e-14, 2.442192e-14, 2.015488e-14
-2.733069e-02, 9.058142e-15, -1.122903e-14, 1.684811e-14, -1.852509e-14, 2.932647e-14, -2.114896e-14, -1.281323e-14, 2.651888e-14, 2.058359e-14
-2.733027e-02, 9.663385e-15, -1.253793e-14, 1.540972e-14, -1.852898e-14, 2.890747e-14, -1.999300e-14, -1.187541e-14, 2.682936e-14, 2.011581e-14
-2.732984e-02, 9.540415e-15, -1.263625e-14, 1.516444e-14, -1.942526e-14, 2.884112e-14, -1.956007e-14, -1.114516e-14, 2.494164e-14, 2.023448e-14
-2.732904e-02, 9.070391e-15, -1.306572e-14, 1.616512e-14, -1.972614e-14, 2.829149e-14, -2.072687e-14, -1.312205e-14, 2.591870e-14, 2.058854e-14
-2.732764e-02, 8.831280e-15, -1.236128e-14, 1.594000e-14, -1.904526e-14, 2.886639e-14, -2.130125e-14, -1.293145e-14, 2.803821e-14, 2.050179e-14
-2.732526e-02, 9.384312e-15, -1.301728e-14, 1.605596e-14, -1.906409e-14, 2.809450e-14, -2.067046e-14, -1.257325e-14, 2.739945e-14, 2.028505e-14
-2.732132e-02, 9.733857e-15, -1.241317e-14, 1.622891e-14, -1.952150e-14, 2.879081e-14, -2.112071e-14, -1.258695e-14, 2.762912e-14, 2.092971e-14
-2.731493e-02, 9.792384e-15, -1.270305e-14, 1.638160e-14, -2.010649e-14, 2.970122e-14, -2.093041e-14, -1.291084e-14, 2.777857e-14, 2.087787e-14
-2.730471e-02, 1.011881e-14, -1.316418e-14, 1.596782e-14, -1.997781e-14, 3.000799e-14, -2.116729e-14, -1.215859e-14, 2.541850e-14, 2.117988e-14
-2.728854e-02, 1.061702e-14, -1.365080e-14, 1.641307e-14, -2.065637e-14, 3.197483e-14, -1.999059e-14, -1.257953e-14, 2.810735e-14, 2.257978e-14
-2.726321e-02, 1.119494e-14, -1.495760e-14, 1.673315e-14, -2.215778e-14, 3.268106e-14, -1.953210e-14, -1.244826e-14, 2.769852e-14, 2.390599e-14
-2.722382e-02, 1.216424e-14, -1.723461e-14, 1.756653e-14, -2.382847e-14, 3.659082e-14, -2.278026e-14, -1.299636e-14, 2.948013e-14, 2.746791e-14
-2.716300e-02, 1.430771e-14, -1.950074e-14, 1.929966e-14, -2.957283e-14, 4.349445e-14, -2.242438e-14, -1.402107e-14, 3.139725e-14, 3.210973e-14
-2.706959e-02, 1.877633e-14, -2.741017e-14, 2.131916e-14, -3.516541e-14, 5.392274e-14, -2.401665e-14, -1.475347e-14, 3.749078e-14, 3.997072e-14
-2.692683e-02, 2.623275e-14, -3.852091e-14, 2.654654e-14, -4.792284e-14, 7.476309e-14, -2.651606e-14, -1.657087e-14, 4.186388e-14, 5.521243e-14
-2.670960e-02, 3.982837e-14, -6.079725e-14, 3.020379e-14, -7.186205e-14, 1.159291e-13, -2.862614e-14, -1.623469e-14, 5.596916e-14, 8.504440e-14
-2.638027e-02, 6.626573e-14, -1.042506e-13, 3.941102e-14, -1.169473e-13, 1.915631e-13, -2.394873e-14, -1.594280e-14, 6.718932e-14, 1.393600e-13
-2.625000e-02, 7.720987e-14, -1.227864e-13, 4.384454e-14, -1.368638e-13, 2.261411e-13, -2.382763e-14, -1.523660e-14, 7.454749e-14, 1.647041e-13
-2.500000e-02, 2.218493e-13, -3.618852e-13, 8.134394e-14, -3.802637e-13, 6.417509e-13, 5.561324e-15, 6.715192e-16, 1.409815e-13, 4.738558e-13
-2.375000e-02, 4.091769e-13, -6.728652e-13, 1.196000e-13, -6.963805e-13, 1.183764e-12, 6.273456e-14, 1.850947e-14, 2.304659e-13, 8.714578e-13
-2.250000e-02, 6.345200e-13, -1.044263e-12, 1.878826e-13, -1.074213e-12, 1.835271e-12, 1.017168e-13, 6.346454e-14, 3.073907e-13, 1.361967e-12
-2.125000e-02, 8.972184e-13, -1.483417e-12, 2.257491e-13, -1.513884e-12, 2.595086e-12, 1.981421e-13, 9.042396e-14, 4.223392e-13, 1.863338e-12
-2.000000e-02, 1.191431e-12, -1.973651e-12, 2.972229e-13, -2.010748e-12, 3.435458e-12, 2.446558e-13, 1.441583e-13, 4.922289e-13, 2.460310e-12
-1.875000e-02, 1.502327e-12, -2.488120e-12, 3.364862e-13, -2.525411e-12, 4.333963e-12, 3.918527e-13, 1.634937e-13, 6.722185e-13, 3.190600e-12
-1.750000e-02, 1.867204e-12, -3.062908e-12, 4.300003e-13, -3.106241e-12, 5.299747e-12, 4.943226e-13, 2.477713e-13, 7.928888e-13, 3.761518e-12
-1.625000e-02, 2.170450e-12, -3.630704e-12, 4.888454e-13, -3.685600e-12, 6.451155e-12, 7.042017e-13, 2.789201e-13, 1.050451e-12, 4.767648e-12
-1.500000e-02, 2.684754e-12, -4.506011e-12, 7.155173e-13, -4.562832e-12, 7.930526e-12, 5.052551e-13, 5.072478e-13, 8.698318e-13, 5.474018e-12
-1.375000e-02, 3.181549e-12, -5.326644e-12, 6.774795e-13, -5.385177e-12, 9.333745e-12, 8.635376e-13, 4.507366e-13, 1.249892e-12, 6.371609e-12
-1.250000e-02, 3.636021e-12, -6.052629e-12, 7.738553e-13, -6.108259e-12, 1.048548e-11, 9.756308e-13, 5.377032e-13, 1.369936e-12, 7.568662e-12
-1.125000e-02, 4.017258e-12, -6.718004e-12, 7.934513e-13, -6.782263e-12, 1.168900e-11, 1.159912e-12, 5.529762e-13, 1.557052e-12, 8.043700e-12
-1.000000e-02, 4.599450e-12, -7.626796e-12, 1.038006e-12, -7.692463e-12, 1.320373e-11, 1.142179e-12, 7.738662e-13, 1.602647e-12, 9.974289e-12
-8.750000e-03, 4.912903e-12, -8.247747e-12, 8.456236e-13, -8.317785e-12, 1.440614e-11, 1.763353e-12, 5.432132e-13, 2.291277e-12, 1.038691e-11
-7.500000e-03, 5.542304e-12, -9.377343e-12, 1.045131e-12, -9.438142e-12, 1.652612e-11, 1.822033e-12, 7.783217e-13, 2.232057e-12, 1.140070e-11
-6.250000e-03, 6.140817e-12, -1.021900e-11, 1.125724e-12, -1.030757e-11, 1.759768e-11, 1.904926e-12, 8.599084e-13, 2.353508e-12, 1.218901e-11
-5.000000e-03, 7.372022e-12, -1.244792e-11, 1.164628e-12, -1.252981e-11, 2.177105e-11, 2.386295e-12, 8.183937e-13, 3.005140e-12, 1.369585e-11
-3.750000e-03, 7.747602e-12, -1.284009e-11, 9.977860e-13, -1.294929e-11, 2.204404e-11, 2.829051e-12, 6.222815e-13, 3.445482e-12, 1.616220e-11
-2.500000e-03, 8.995966e-12, -1.485587e-11, 1.898560e-12, -1.492045e-11, 2.546225e-11, 2.280163e-12, 1.570480e-12, 2.829346e-12, 1.898434e-11
-1.250000e-03, 9.272880e-12, -1.560750e-11, 1.180905e-12, -1.569324e-11, 2.743293e-11, 3.814527e-12, 8.015915e-13, 4.426931e-12, 2.072256e-11
0.000000e+00, 9.511914e-12, -1.565397e-11, 2.161679e-12, -1.570828e-11, 2.691746e-11, 2.850262e-12, 1.822249e-12, 3.397082e-12, 2.157420e-11
1.250000e-03, 1.033903e-11, -1.743285e-11, 2.125399e-12, -1.755897e-11, 3.052942e-11, 3.528006e-12, 1.679452e-12, 4.255823e-12, 2.053874e-11
2.500000e-03, 1.173099e-11, -1.966321e-11, 2.590150e-12, -1.977875e-11, 3.476877e-11, 3.507639e-12, 2.129189e-12, 4.251037e-12, 2.522395e-11
3.750000e-03, 1.139251e-11, -1.939213e-11, 2.694497e-12, -1.946787e-11, 3.412995e-11, 3.067183e-12, 2.230224e-12, 3.745628e-12, 2.616734e-11
5.000000e-03, 1.324188e-11, -2.252973e-11, 2.613711e-12, -2.261230e-11, 3.943055e-11, 3.523260e-12, 2.215389e-12, 4.264132e-12, 2.671170e-11
6.250000e-03, 1.405581e-11, -2.364084e-11, 3.304126e-12, -2.375330e-11, 4.134556e-11, 3.223620e-12, 2.821131e-12, 3.933463e-12, 3.055458e-11
7.500000e-03, 1.510810e-11, -2.520684e-11, 3.679339e-12, -2.535140e-11, 4.407805e-11, 3.488144e-12, 3.164916e-12, 4.329972e-12, 3.368550e-11
8.750000e-03, 1.600315e-11, -2.663620e-11, 3.935176e-12, -2.677416e-11, 4.649123e-11, 3.813464e-12, 3.344908e-12, 4.779496e-12, 3.296682e-11
