mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.375000e-02, 1.335490e-05, 7.722740e-06, -1.250694e-05, 7.225248e+04, 4.171499e+04, -1.591727e+04, 3.393414e+05, 2.007425e+05, -4.104057e+04, -7.225248e+04, -4.171499e+04, 1.591727e+04, -1.338677e-05, -7.724764e-06, 1.255043e-05, -5.925803e+05, -3.393414e+05, 7.108435e+04, -3.393414e+05, -2.007425e+05, 4.104057e+04, 5.925803e+05, 3.393414e+05, -7.108435e+04, 4.288231e-07, -3.144481e-07, -8.699375e-07
-3.250000e-02, 3.934277e-06, 2.344672e-06, 5.831872e-05, -1.903354e+05, -1.098902e+05, 4.193128e+04, -8.939305e+05, -5.288178e+05, 1.081156e+05, 1.903354e+05, 1.098902e+05, -4.193128e+04, 3.477396e-06, 2.032099e-06, -7.140193e-05, 1.561038e+06, 8.939295e+05, -1.872611e+05, 8.939305e+05, 5.288178e+05, -1.081156e+05, -1.561038e+06, -8.939295e+05, 1.872611e+05, -5.549229e-05, -3.271573e-05, 2.616899e-04
-3.125000e-02, 1.518349e-04, 8.798618e-05, 2.238425e-05, -5.370939e+05, -3.100913e+05, 1.183232e+05, -2.522530e+06, -1.492240e+06, 3.050899e+05, 5.370939e+05, 3.100913e+05, -1.183232e+05, -1.713205e-04, -9.880380e-05, 1.148814e-05, 4.405011e+06, 2.522532e+06, -5.284327e+05, 2.522530e+06, 1.492240e+06, -3.050899e+05, -4.405011e+06, -2.522532e+06, 5.284327e+05, 1.481978e-04, 7.685736e-05, -6.775141e-04
-3.000000e-02, -1.677510e-04, -9.721067e-05, -2.594623e-05, -1.205308e+06, -6.958848e+05, 2.655298e+05, -5.660871e+06, -3.348773e+06, 6.846361e+05, 1.205308e+06, 6.958848e+05, -2.655298e+05, 1.565187e-04, 9.024635e-05, 4.602516e-05, 9.885386e+06, 5.660872e+06, -1.185825e+06, 5.660871e+06, 3.348773e+06, -6.846361e+05, -9.885386e+06, -5.660872e+06, 1.185825e+06, 8.179426e-05, 5.604705e-05, -4.016180e-04
-2.875000e-02, 2.261670e-04, 1.310892e-04, 5.882239e-05, -3.320877e+06, -1.917310e+06, 7.315943e+05, -1.559691e+07, -9.226582e+06, 1.886351e+06, 3.320877e+06, 1.917310e+06, -7.315943e+05, -2.154763e-04, -1.242345e-04, -7.810580e-05, 2.723634e+07, 1.559691e+07, -3.267255e+06, 1.559691e+07, 9.226582e+06, -1.886351e+06, -2.723634e+07, -1.559691e+07, 3.267255e+06, -7.690784e-05, -5.667621e-05, 3.857068e-04
-2.828027e-02, 4.763450e-04, 2.767568e-04, 7.130307e-04, -5.806503e+06, -3.352386e+06, 1.279183e+06, -2.727092e+07, -1.613252e+07, 3.298261e+06, 5.806503e+06, 3.352386e+06, -1.279183e+06, -4.113225e-04, -2.368971e-04, -8.289213e-04, 4.762225e+07, 2.727091e+07, -5.712751e+06, 2.727092e+07, 1.613252e+07, -3.298261e+06, -4.762225e+07, -2.727091e+07, 5.712751e+06, -4.805488e-04, -3.088461e-04, 2.318040e-03
-2.795093e-02, 2.475325e-05, 1.703486e-05, 2.400648e-03, -9.342431e+06, -5.393855e+06, 2.058155e+06, -4.387773e+07, -2.595653e+07, 5.306738e+06, 9.342431e+06, 5.393855e+06, -2.058155e+06, -1.777942e-05, -9.349725e-06, -2.415670e-03, 7.662217e+07, 4.387773e+07, -9.191540e+06, 4.387773e+07, 2.595653e+07, -5.306738e+06, -7.662217e+07, -4.387773e+07, 9.191540e+06, -5.192209e-05, -5.799685e-05, 3.004858e-04
-2.773370e-02, -1.421368e-03, -8.252945e-04, -1.663080e-03, -1.368260e+07, -7.899655e+06, 3.014282e+06, -6.426205e+07, -3.801518e+07, 7.771980e+06, 1.368260e+07, 7.899655e+06, -3.014282e+06, 1.503569e-03, 8.665313e-04, 1.523529e-03, 1.122186e+08, 6.426204e+07, -1.346146e+07, 6.426205e+07, 3.801518e+07, -7.771980e+06, -1.122186e+08, -6.426204e+07, 1.346146e+07, -6.362967e-04, -2.720714e-04, 2.791304e-03
-2.759095e-02, -1.608404e-04, -9.548296e-05, -2.053483e-03, -1.770807e+07, -1.022376e+07, 3.901101e+06, -8.316818e+07, -4.919938e+07, 1.005860e+07, 1.770807e+07, 1.022376e+07, -3.901101e+06, 4.677295e-04, 2.691712e-04, 1.517486e-03, 1.452337e+08, 8.316815e+07, -1.742199e+07, 8.316818e+07, 4.919938e+07, -1.005860e+07, -1.452337e+08, -8.316815e+07, 1.742199e+07, -2.302331e-03, -1.290246e-03, 1.072101e-02
-2.749753e-02, -3.709828e-04, -2.185079e-04, -3.198367e-03, -2.063502e+07, -1.191363e+07, 4.545908e+06, -9.691502e+07, -5.733153e+07, 1.172117e+07, 2.063502e+07, 1.191363e+07, -4.545908e+06, 4.374398e-04, 2.511172e-04, 3.086097e-03, 1.692393e+08, 9.691501e+07, -2.030165e+07, 9.691502e+07, 5.733153e+07, -1.172117e+07, -1.692393e+08, -9.691501e+07, 2.030165e+07, -5.033655e-04, -2.336779e-04, 2.245636e-03
