mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
0.000000e+00, 0.000000e+00, -1.433709e-24, 2.740573e-24, 1.433709e-24, 0.000000e+00, 2.165106e-24, -2.740573e-24, -2.165106e-24, 0.000000e+00, 0.000000e+00, -1.733750e-24, 7.952510e-24, 1.733750e-24, 0.000000e+00, -1.329742e-24, -7.952510e-24, 1.329742e-24, 0.000000e+00, 0.000000e+00, -4.604902e-24, 4.639541e-24, 4.604902e-24, 0.000000e+00, -2.304471e-24, -4.639541e-24, 2.304471e-24, 0.000000e+00
4.710711e-04, 0.000000e+00, 1.028328e-23, -1.097159e-24, -1.028328e-23, 0.000000e+00, -5.125777e-24, 1.097159e-24, 5.125777e-24, 0.000000e+00, 0.000000e+00, -3.699793e-24, 8.008467e-24, 3.699793e-24, 0.000000e+00, 2.326885e-24, -8.008467e-24, -2.326885e-24, 0.000000e+00, 0.000000e+00, -1.621961e-24, -2.300773e-24, 1.621961e-24, 0.000000e+00, 6.273689e-24, 2.300773e-24, -6.273689e-24, 0.000000e+00
9.421422e-04, 0.000000e+00, 5.287577e-24, -3.975290e-24, -5.287577e-24, 0.000000e+00, -5.230763e-24, 3.975290e-24, 5.230763e-24, 0.000000e+00, 0.000000e+00, 1.471918e-24, 1.070427e-23, -1.471918e-24, 0.000000e+00, 3.069065e-24, -1.070427e-23, -3.069065e-24, 0.000000e+00, 0.000000e+00, -2.589445e-24, -1.135261e-24, 2.589445e-24, 0.000000e+00, 4.780055e-24, 1.135261e-24, -4.780055e-24, 0.000000e+00
1.413213e-03, 0.000000e+00, -2.481454e-24, -7.276697e-24, 2.481454e-24, 0.000000e+00, -3.691736e-24, 7.276697e-24, 3.691736e-24, 0.000000e+00, 0.000000e+00, -6.336075e-24, 3.043196e-24, 6.336075e-24, 0.000000e+00, 3.942277e-24, -3.043196e-24, -3.942277e-24, 0.000000e+00, 0.000000e+00, 1.001347e-23, 2.089393e-24, -1.001347e-23, 0.000000e+00, -2.889232e-24, -2.089393e-24, 2.889232e-24, 0.000000e+00
1.884284e-03, 0.000000e+00, -8.491075e-24, 4.319694e-25, 8.491075e-24, 0.000000e+00, -4.999646e-24, -4.319694e-25, 4.999646e-24, 0.000000e+00, 0.000000e+00, -7.047696e-24, 4.572088e-24, 7.047696e-24, 0.000000e+00, 1.322960e-24, -4.572088e-24, -1.322960e-24, 0.000000e+00, 0.000000e+00, -1.152653e-25, 3.201358e-24, 1.152653e-25, 0.000000e+00, -4.904942e-24, -3.201358e-24, 4.904942e-24, 0.000000e+00
2.355356e-03, 0.000000e+00, -4.473318e-24, -4.199256e-24, 4.473318e-24, 0.000000e+00, -1.183200e-23, 4.199256e-24, 1.183200e-23, 0.000000e+00, 0.000000e+00, -1.736066e-24, -5.496115e-24, 1.736066e-24, 0.000000e+00, 2.992989e-24, 5.496115e-24, -2.992989e-24, 0.000000e+00, 0.000000e+00, 3.618335e-24, 3.671463e-24, -3.618335e-24, 0.000000e+00, -3.392521e-24, -3.671463e-24, 3.392521e-24, 0.000000e+00
2.826427e-03, 0.000000e+00, -1.899482e-24, -8.890758e-25, 1.899482e-24, 0.000000e+00, -1.858448e-24, 8.890758e-25, 1.858448e-24, 0.000000e+00, 0.000000e+00, -1.023681e-23, 9.066585e-24, 1.023681e-23, 0.000000e+00, 2.112167e-24, -9.066585e-24, -2.112167e-24, 0.000000e+00, 0.000000e+00, -2.131368e-24, 8.907177e-24, 2.131368e-24, 0.000000e+00, -3.832958e-24, -8.907177e-24, 3.832958e-24, 0.000000e+00
3.297498e-03, 0.000000e+00, -4.467170e-24, -2.071701e-24, 4.467170e-24, 0.000000e+00, -1.653211e-24, 2.071701e-24, 1.653211e-24, 0.000000e+00, 0.000000e+00, 6.897482e-24, 1.631609e-23, -6.897482e-24, 0.000000e+00, 2.974865e-24, -1.631609e-23, -2.974865e-24, 0.000000e+00, 0.000000e+00, 8.416423e-24, -4.676362e-24, -8.416423e-24, 0.000000e+00, -3.026126e-24, 4.676362e-24, 3.026126e-24, 0.000000e+00
3.768569e-03, 0.000000e+00, -1.384067e-24, 7.442652e-25, 1.384067e-24, 0.000000e+00, -1.214328e-23, -7.442652e-25, 1.214328e-23, 0.000000e+00, 0.000000e+00, 8.955811e-24, -3.370069e-24, -8.955811e-24, 0.000000e+00, -9.114408e-25, 3.370069e-24, 9.114408e-25, 0.000000e+00, 0.000000e+00, 3.760716e-24, -6.659778e-24, -3.760716e-24, 0.000000e+00, -4.392740e-24, 6.659778e-24, 4.392740e-24, 0.000000e+00
4.239640e-03, 0.000000e+00, 4.870864e-24, -8.883781e-24, -4.870864e-24, 0.000000e+00, -7.222740e-24, 8.883781e-24, 7.222740e-24, 0.000000e+00, 0.000000e+00, -1.056586e-23, 6.232247e-24, 1.056586e-23, 0.000000e+00, 3.618393e-24, -6.232247e-24, -3.618393e-24, 0.000000e+00, 0.000000e+00, 9.047034e-24, 7.450456e-24, -9.047034e-24, 0.000000e+00, 4.572237e-24, -7.450456e-24, -4.572237e-24, 0.000000e+00
