mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-5.605746e-02, 5.344948e+01, 5.344948e+01, 5.344948e+01, 5.344948e+01, 5.344948e+01, 5.344948e+01, 5.344948e+01, 5.344948e+01, 5.344948e+01
-5.563729e-02, 5.264139e+01, 5.264139e+01, 5.264139e+01, 5.264139e+01, 5.264139e+01, 5.264139e+01, 5.264139e+01, 5.264139e+01, 5.264139e+01
-5.521713e-02, 5.183760e+01, 5.183760e+01, 5.183760e+01, 5.183760e+01, 5.183760e+01, 5.183760e+01, 5.183760e+01, 5.183760e+01, 5.183760e+01
-5.479696e-02, 5.104714e+01, 5.104714e+01, 5.104714e+01, 5.104714e+01, 5.104714e+01, 5.104714e+01, 5.104714e+01, 5.104714e+01, 5.104714e+01
-5.437679e-02, 5.025850e+01, 5.025850e+01, 5.025850e+01, 5.025850e+01, 5.025850e+01, 5.025850e+01, 5.025850e+01, 5.025850e+01, 5.025850e+01
-5.395662e-02, 4.947346e+01, 4.947346e+01, 4.947346e+01, 4.947346e+01, 4.947346e+01, 4.947346e+01, 4.947346e+01, 4.947346e+01, 4.947346e+01
-5.353645e-02, 4.869937e+01, 4.869937e+01, 4.869937e+01, 4.869937e+01, 4.869937e+01, 4.869937e+01, 4.869937e+01, 4.869937e+01, 4.869937e+01
-5.311629e-02, 4.792585e+01, 4.792585e+01, 4.792585e+01, 4.792585e+01, 4.792585e+01, 4.792585e+01, 4.792585e+01, 4.792585e+01, 4.792585e+01
-5.269612e-02, 4.716388e+01, 4.716388e+01, 4.716388e+01, 4.716388e+01, 4.716388e+01, 4.716388e+01, 4.716388e+01, 4.716388e+01, 4.716388e+01
-5.227595e-02, 4.640681e+01, 4.640681e+01, 4.640681e+01, 4.640681e+01, 4.640681e+01, 4.640681e+01, 4.640681e+01, 4.640681e+01, 4.640681e+01
-5.185578e-02, 4.565183e+01, 4.565183e+01, 4.565183e+01, 4.565183e+01, 4.565183e+01, 4.565183e+01, 4.565183e+01, 4.565183e+01, 4.565183e+01
-5.143561e-02, 4.490939e+01, 4.490939e+01, 4.490939e+01, 4.490939e+01, 4.490939e+01, 4.490939e+01, 4.490939e+01, 4.490939e+01, 4.490939e+01
-5.101545e-02, 4.416803e+01, 4.416803e+01, 4.416803e+01, 4.416803e+01, 4.416803e+01, 4.416803e+01, 4.416803e+01, 4.416803e+01, 4.416803e+01
-5.059528e-02, 4.343388e+01, 4.343388e+01, 4.343388e+01, 4.343388e+01, 4.343388e+01, 4.343388e+01, 4.343388e+01, 4.343388e+01, 4.343388e+01
-5.017511e-02, 4.270559e+01, 4.270559e+01, 4.270559e+01, 4.270559e+01, 4.270559e+01, 4.270559e+01, 4.270559e+01, 4.270559e+01, 4.270559e+01
-4.975494e-02, 4.198572e+01, 4.198572e+01, 4.198572e+01, 4.198572e+01, 4.198572e+01, 4.198572e+01, 4.198572e+01, 4.198572e+01, 4.198572e+01
-4.933477e-02, 4.126992e+01, 4.126992e+01, 4.126992e+01, 4.126992e+01, 4.126992e+01, 4.126992e+01, 4.126992e+01, 4.126992e+01, 4.126992e+01
-4.891460e-02, 4.056279e+01, 4.056279e+01, 4.056279e+01, 4.056279e+01, 4.056279e+01, 4.056279e+01, 4.056279e+01, 4.056279e+01, 4.056279e+01
-4.849444e-02, 3.985478e+01, 3.985478e+01, 3.985478e+01, 3.985478e+01, 3.985478e+01, 3.985478e+01, 3.985478e+01, 3.985478e+01, 3.985478e+01
-4.807427e-02, 3.915786e+01, 3.915786e+01, 3.915786e+01, 3.915786e+01, 3.915786e+01, 3.915786e+01, 3.915786e+01, 3.915786e+01, 3.915786e+01
-4.765410e-02, 3.846600e+01, 3.846600e+01, 3.846600e+01, 3.846600e+01, 3.846600e+01, 3.846600e+01, 3.846600e+01, 3.846600e+01, 3.846600e+01
-4.723393e-02, 3.778198e+01, 3.778198e+01, 3.778198e+01, 3.778198e+01, 3.778198e+01, 3.778198e+01, 3.778198e+01, 3.778198e+01, 3.778198e+01
-4.681376e-02, 3.710408e+01, 3.710408e+01, 3.710408e+01, 3.710408e+01, 3.710408e+01, 3.710408e+01, 3.710408e+01, 3.710408e+01, 3.710408e+01
-4.639360e-02, 3.642898e+01, 3.642898e+01, 3.642898e+01, 3.642898e+01, 3.642898e+01, 3.642898e+01, 3.642898e+01, 3.642898e+01, 3.642898e+01
-4.597343e-02, 3.576271e+01, 3.576271e+01, 3.576271e+01, 3.576271e+01, 3.576271e+01, 3.576271e+01, 3.576271e+01, 3.576271e+01, 3.576271e+01
-4.555326e-02, 3.509778e+01, 3.509778e+01, 3.509778e+01, 3.509778e+01, 3.509778e+01, 3.509778e+01, 3.509778e+01, 3.509778e+01, 3.509778e+01
-4.513309e-02, 3.444092e+01, 3.444092e+01, 3.444092e+01, 3.444092e+01, 3.444092e+01, 3.444092e+01, 3.444092e+01, 3.444092e+01, 3.444092e+01
-4.471292e-02, 3.379519e+01, 3.379519e+01, 3.379519e+01, 3.379519e+01, 3.379519e+01, 3.379519e+01, 3.379519e+01, 3.379519e+01, 3.379519e+01
-4.429276e-02, 3.315332e+01, 3.315332e+01, 3.315332e+01, 3.315332e+01, 3.315332e+01, 3.315332e+01, 3.315332e+01, 3.315332e+01, 3.315332e+01
-4.387259e-02, 3.251106e+01, 3.251106e+01, 3.251106e+01, 3.251106e+01, 3.251106e+01, 3.251106e+01, 3.251106e+01, 3.251106e+01, 3.251106e+01
-4.345242e-02, 3.188430e+01, 3.188430e+01, 3.188430e+01, 3.188430e+01, 3.188430e+01, 3.188430e+01, 3.188430e+01, 3.188430e+01, 3.188430e+01
-4.303225e-02, 3.125855e+01, 3.125855e+01, 3.125855e+01, 3.125855e+01, 3.125855e+01, 3.125855e+01, 3.125855e+01, 3.125855e+01, 3.125855e+01
