mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-5.605746e-02, -1.999746e-17, -1.381983e-17, 2.797978e-18, -1.528083e-17, 4.127562e-18, -3.019352e-19, 3.355015e-18, 6.709550e-19, 1.601673e-18
-5.563721e-02, -7.396272e-18, 4.619033e-18, -4.504865e-18, 4.708863e-18, 3.298723e-18, -6.024435e-18, -5.817671e-18, -7.087163e-18, -4.566381e-18
-5.521696e-02, -8.134880e-18, 1.399224e-17, 4.671452e-18, 1.196402e-17, -2.162374e-18, -6.762161e-18, 4.858668e-18, -5.294251e-18, -1.186637e-19
-5.479671e-02, 1.658566e-17, -6.621521e-18, 4.226122e-18, -6.894104e-18, 1.167091e-18, -5.097649e-18, 5.553567e-18, -7.688767e-18, 4.897433e-18
-5.437645e-02, 6.336282e-18, 6.575014e-18, -9.714826e-19, 5.762888e-18, 1.558286e-18, 2.586263e-18, 2.369430e-20, 3.010023e-18, -3.229725e-18
-5.395620e-02, -3.007122e-18, -3.319731e-18, -4.749707e-18, -5.609055e-19, -1.428623e-17, 6.481506e-18, -4.083570e-18, 5.956114e-18, -5.479907e-18
-5.353595e-02, 1.447960e-17, -1.659844e-18, -8.359015e-20, -1.720040e-18, 8.814993e-19, -2.988780e-18, -2.176470e-19, -2.625957e-18, -1.142386e-18
-5.311570e-02, 6.177279e-18, -7.770148e-18, -3.346224e-18, -1.128872e-17, -4.407471e-18, -2.950766e-19, -2.986993e-18, 1.280127e-19, -3.869716e-18
-5.269545e-02, 4.608468e-19, -2.552120e-18, 3.860227e-18, -2.246522e-18, -3.973918e-18, -3.137745e-18, 3.961707e-18, -2.140113e-18, -1.810292e-18
-5.227519e-02, -4.674279e-18, -1.547554e-18, 1.863896e-18, -2.429705e-18, -3.373312e-18, 4.389504e-18, 1.786735e-18, 4.363613e-18, 1.204389e-18
-5.185494e-02, -5.746885e-18, 2.035413e-18, 4.931837e-18, 2.469797e-18, 5.083614e-18, 3.796350e-18, 4.049400e-18, 3.611604e-18, -2.350732e-18
-5.143469e-02, 7.941129e-18, -4.952463e-18, -2.710924e-18, -3.994260e-18, 1.225257e-17, -2.965167e-18, -2.962654e-18, -1.600763e-18, 2.780454e-18
-5.101444e-02, -3.841106e-18, 7.551586e-18, 3.386676e-19, 7.200456e-18, -3.876978e-18, -1.759828e-19, -6.973989e-19, 4.542612e-20, -4.101683e-19
-5.059418e-02, 1.313778e-17, -3.430252e-18, -1.073176e-18, -3.040670e-18, -1.439395e-19, -7.741360e-19, -1.278603e-18, -9.736564e-19, 6.952994e-19
-5.017393e-02, 1.754063e-17, 1.211057e-18, -8.973294e-18, 2.618049e-18, 1.326086e-18, 7.720900e-19, -9.470072e-18, 6.724053e-19, 4.350278e-18
-4.975368e-02, 9.106897e-18, -3.276521e-18, -3.270162e-18, -3.047314e-18, 2.138775e-18, -2.416378e-18, -3.310474e-18, -1.943435e-18, 1.845870e-18
-4.933343e-02, -7.076225e-18, -1.134982e-17, -8.254913e-19, -1.354315e-17, -6.729503e-18, 4.181329e-19, -1.363519e-18, 9.971904e-19, -6.340229e-19
-4.891318e-02, 5.125138e-18, 6.203642e-18, -1.828174e-18, 7.785399e-18, 6.730513e-19, -5.203896e-18, -1.866954e-18, -5.264380e-18, 2.737437e-18
-4.849292e-02, -3.111705e-18, 5.022762e-18, -5.695418e-18, 4.806082e-18, -9.778522e-18, -7.176398e-19, -5.813010e-18, -3.061427e-19, -2.056435e-18
-4.807267e-02, 1.902407e-18, -4.870350e-18, -1.798076e-18, -3.078573e-18, -4.646802e-18, 1.581671e-18, -1.329444e-18, 1.269838e-18, -1.596364e-18
-4.765242e-02, -1.442831e-17, 2.491863e-18, -3.743300e-18, 1.831218e-18, -1.171803e-17, 3.094161e-18, -4.403951e-18, 2.444203e-18, -1.064553e-18
-4.723217e-02, 3.524910e-18, 5.698582e-18, 7.372213e-19, 4.296161e-18, -1.511754e-18, -1.725212e-18, 6.886507e-19, -2.007321e-18, 2.416520e-18
-4.681192e-02, -6.668093e-18, -5.915733e-18, 2.562964e-18, -5.305501e-18, -6.341045e-19, 1.417307e-18, 2.823739e-18, 5.516701e-19, 5.944582e-19
-4.639166e-02, 2.528162e-19, -3.156755e-18, 6.746887e-19, -2.607056e-18, 6.684240e-18, 1.201774e-18, 2.936203e-19, 1.352511e-18, 1.367856e-18
-4.597141e-02, 2.625489e-18, 3.106656e-18, 3.132614e-19, 4.564702e-18, 3.728287e-18, 2.295009e-18, 1.114174e-18, 2.366603e-18, -1.337569e-18
-4.555116e-02, -8.205851e-18, 1.607310e-18, 5.244281e-19, 2.806158e-18, -3.692110e-18, -1.337231e-18, 7.532093e-19, -1.844686e-18, 3.312650e-19
-4.513091e-02, -6.254234e-18, 1.979030e-18, 1.613290e-18, 2.191132e-18, -6.851495e-18, -7.476917e-19, 1.714339e-18, -2.886804e-19, -8.052871e-19
-4.471066e-02, -2.078644e-18, 7.580756e-19, 8.268426e-19, 1.388010e-18, -5.633356e-18, -3.107146e-18, 1.205628e-18, -2.759938e-18, -1.788198e-19
-4.429040e-02, -3.771398e-18, 6.980708e-19, -1.506275e-18, 1.375360e-18, -7.981654e-18, 2.682249e-20, -1.795542e-18, -3.894177e-20, -8.265066e-19
-4.387015e-02, -1.258727e-19, -2.270780e-18, 1.235305e-19, -1.347180e-18, -2.421676e-18, -9.703995e-19, -6.912919e-20, -1.761879e-18, 3.141382e-19
-4.344990e-02, 2.219347e-18, 1.877595e-18, 3.074738e-18, 2.741919e-18, -1.132824e-19, 2.324182e-18, 2.416257e-18, 2.624828e-18, -4.759757e-19
-4.302965e-02, -1.544863e-18, 3.660372e-18, -3.240676e-18, 3.342812e-18, -4.962847e-18, 1.460990e-19, -3.330120e-18, 9.432848e-19, -1.283762e-19
-4.260939e-02, -2.255835e-18, -2.858995e-18, -2.341065e-18, -9.814478e-19, -9.627203e-18, 6.933939e-20, -2.233639e-18, -2.928901e-19, -1.713407e-18
-4.218914e-02, 9.919662e-18, 2.527371e-18, 4.132411e-19, 2.459018e-18, 1.620270e-18, -4.674197e-20, -1.040272e-19, 3.297261e-19, 7.753002e-19
-4.176889e-02, 5.669446e-18, -3.739790e-18, 1.508616e-18, -3.924338e-18, 3.586836e-18, 2.848637e-19, 1.335093e-18, 5.752451e-19, 8.153079e-19
-4.134864e-02, -7.743049e-19, -3.999587e-18, -1.900444e-18, -4.118500e-18, 6.798893e-18, -1.923151e-19, -2.702944e-18, -1.717853e-19, 7.743547e-19
-4.092839e-02, 3.490037e-18, -2.102712e-18, -1.306431e-20, -1.568565e-18, 4.307889e-18, -1.942877e-18, -2.517492e-19, -1.490645e-18, 7.510680e-19
-4.050813e-02, -1.304992e-18, 5.872642e-21, -4.642223e-19, -2.208368e-19, 3.575338e-19, -5.684553e-19, -6.443199e-19, 4.358380e-19, 1.061317e-18
-4.008788e-02, 6.367890e-18, 3.964636e-18, -4.897861e-19, 3.654844e-18, -5.682685e-18, 4.671866e-19, -8.066960e-19, 1.011558e-18, 2.133851e-18
-3.966763e-02, -5.187217e-18, -3.451637e-18, 9.372351e-19, -1.263475e-18, -3.403709e-18, -1.196835e-18, 7.307163e-19, -1.321607e-18, 4.416598e-19
-3.924738e-02, -4.279185e-18, -3.753453e-18, 1.949576e-18, -4.107713e-18, -4.192002e-19, 1.070674e-18, 1.735333e-18, 4.819564e-20, 1.734885e-18
-3.882713e-02, 2.076483e-18, -1.100085e-19, -2.831578e-18, -3.209083e-20, 1.757965e-18, -2.522147e-18, -2.525844e-18, -2.826032e-18, 1.365706e-18
-3.840687e-02, -1.617698e-18, -6.028666e-19, -2.883025e-18, -8.106973e-19, 7.513588e-18, -1.045869e-18, -3.226964e-18, -1.628072e-18, 1.530238e-18
-3.798662e-02, 7.189836e-19, -4.503910e-18, 1.499095e-18, -5.180668e-18, 1.618568e-18, -4.926908e-19, 1.714739e-18, -7.535827e-19, 8.580856e-19
-3.756637e-02, 1.079399e-18, 1.089363e-18, 6.274533e-19, 5.086514e-19, -3.385239e-18, 1.553045e-18, 8.697115e-19, 1.458306e-18, 1.045209e-18
-3.714612e-02, -3.705034e-18, -1.850775e-18, 4.012054e-19, -1.208551e-18, -4.198703e-18, 3.185386e-18, 5.354254e-19, 2.550959e-18, 3.121659e-19
-3.672587e-02, -1.349239e-18, 3.057523e-18, -1.485423e-20, 2.642846e-18, 2.716644e-18, 1.160249e-18, -4.435633e-19, 1.193005e-18, 3.090918e-19
-3.630561e-02, -2.911513e-18, 2.393014e-18, -8.253130e-19, 1.764031e-18, -2.754168e-18, -3.349423e-20, -2.649835e-19, -7.587866e-19, 7.307224e-19
-3.588536e-02, -4.479274e-18, -4.552991e-20, -2.565285e-19, 5.287846e-20, -1.136661e-18, 9.790170e-19, -2.052252e-20, 9.119120e-19, 1.243510e-18
-3.546511e-02, -7.188175e-18, -8.109274e-19, -3.327203e-19, -1.611783e-18, -1.210304e-18, -2.186666e-18, -4.699218e-19, -1.930421e-18, 2.553631e-19
-3.504486e-02, -2.239877e-18, -2.728741e-18, 1.618359e-18, -2.085950e-18, 8.285920e-19, -3.119183e-19, 1.001035e-18, -5.790331e-19, -2.524076e-19
-3.462460e-02, 1.723801e-18, -9.265774e-19, 6.801779e-20, -1.977801e-18, 4.138840e-19, -1.137432e-19, 2.314229e-19, -5.390675e-20, 1.750512e-18
-3.420435e-02, -1.547759e-19, -3.478682e-18, -1.290717e-18, -3.568970e-18, -1.793503e-19, -1.092509e-18, -1.121916e-18, -9.055957e-19, 6.327679e-19
-3.378410e-02, 1.127068e-18, -1.221953e-18, 3.443877e-19, -2.185046e-19, 8.466027e-19, -2.002302e-19, 8.798071e-20, -1.234767e-18, -1.938424e-18
-3.336385e-02, 1.886806e-18, 1.245393e-18, 7.683457e-20, 1.431368e-18, -1.385803e-18, 8.173083e-19, 7.635485e-19, 9.613475e-19, -9.249531e-19
-3.294360e-02, 4.025890e-18, 2.313453e-18, -6.128576e-19, 2.320842e-18, 2.340654e-18, 5.643739e-19, -1.058786e-18, 7.172920e-19, -1.003022e-19
-3.252334e-02, -1.201824e-18, -2.421604e-18, -1.862483e-19, -2.564647e-18, -2.230107e-18, -1.212602e-18, -7.031950e-19, -1.266186e-18, 1.014911e-18
-3.210309e-02, -1.618124e-18, 8.977699e-19, -7.180371e-19, 1.493603e-18, -3.528892e-19, 1.724651e-19, -8.604549e-19, 1.395380e-18, -2.162926e-20
-3.168284e-02, -3.884183e-18, -4.901257e-19, -4.923087e-19, -1.310734e-18, -6.739651e-19, -7.691031e-19, -8.038240e-19, -1.112751e-18, 2.851172e-20
-3.126259e-02, -4.317167e-19, 3.704371e-19, 1.258078e-19, 5.436536e-19, 1.322014e-18, 2.478995e-19, 1.523124e-19, 4.573106e-20, -3.681685e-19
-3.084234e-02, 1.667109e-18, -1.764240e-18, 2.162535e-20, -3.050483e-18, -5.034777e-19, 7.367028e-19, 4.031314e-19, 8.009742e-19, -4.307014e-19
-3.042208e-02, -9.326897e-19, 1.529866e-18, -7.392987e-19, 2.521264e-18, 9.013759e-19, 8.871061e-19, -5.682130e-19, 8.078666e-19, 6.466001e-19
-3.000183e-02, 1.279903e-18, -1.004727e-18, 6.332974e-19, -7.814604e-19, 3.449048e-19, 1.587224e-19, 5.476366e-19, 2.180842e-19, -1.000263e-18
-2.958158e-02, 2.171827e-18, 1.110077e-19, 5.362260e-19, -5.811585e-20, 2.782035e-18, -6.254480e-20, 5.539326e-19, -3.983867e-19, 1.841377e-19
-2.916133e-02, -2.565251e-18, -2.053663e-18, 5.010842e-19, -1.950889e-18, -1.003704e-18, 2.670610e-19, 4.609899e-19, 7.834697e-19, 1.314465e-19
-2.874108e-02, -4.414187e-19, 9.464966e-19, -4.904071e-19, 2.642107e-18, -4.425390e-19, 1.619994e-19, -8.882686e-19, 3.447519e-19, 3.083826e-20
-2.832082e-02, -3.206977e-18, 8.716990e-20, -5.158640e-19, -3.418132e-19, -7.264611e-19, -1.015586e-18, 2.272516e-19, -7.907309e-19, 4.653292e-19
-2.790057e-02, -4.750637e-19, -6.921597e-19, -7.991813e-19, -8.569164e-19, -9.641759e-19, -1.555369e-19, -5.666581e-19, -3.003439e-19, 2.713932e-19
-2.748032e-02, 1.760857e-19, 7.741609e-19, -6.996321e-19, 4.035117e-19, -2.982372e-19, 7.931657e-20, -6.263414e-19, 5.633516e-20, -4.722179e-19
-2.706007e-02, 9.766858e-19, 6.971459e-19, 1.128972e-19, 5.257717e-19, 9.537903e-20, 9.409523e-20, 3.159196e-19, 9.316939e-20, -1.705213e-19
-2.663981e-02, 7.968681e-19, 6.572173e-19, -5.225701e-19, 1.426637e-19, 9.148810e-19, 1.095993e-19, -5.148338e-19, 9.487513e-20, 1.732740e-19
-2.621956e-02, -2.407335e-19, -2.244945e-19, 3.881214e-19, -3.285188e-19, -7.642093e-19, 2.824019e-20, 3.158417e-19, 1.348538e-19, 1.172472e-19
-2.579931e-02, 6.252288e-19, 3.497772e-19, -2.989235e-19, -3.193101e-19, -2.849562e-19, 1.395182e-20, -8.641498e-20, -1.033055e-19, -3.036516e-19
-2.537906e-02, 5.293540e-19, 9.466520e-20, -3.089116e-19, 9.341488e-20, 4.998752e-19, -2.243834e-20, -3.653509e-19, -1.078930e-19, -8.603279e-20
-2.495881e-02, 8.851575e-20, 2.498765e-19, -2.664013e-19, 2.420639e-19, 5.098707e-19, 2.232478e-19, -8.111864e-20, 2.309380e-19, 5.627265e-19
-2.453855e-02, -8.215135e-20, -2.606856e-19, 1.729997e-19, 2.185332e-19, 4.130794e-19, -1.065707e-19, 1.170685e-19, -1.393311e-19, 9.340622e-20
-2.411830e-02, -1.687650e-19, 4.066084e-19, -4.900056e-20, 7.781851e-20, -1.632583e-19, 9.674093e-20, -8.934528e-20, 2.066812e-20, 1.255907e-19
-2.369805e-02, -4.406220e-20, -4.710698e-19, -1.739039e-19, -3.342269e-20, 5.198731e-19, 9.784636e-20, -8.611442e-20, 2.099813e-19, 1.591949e-19
-2.327780e-02, 1.352198e-20, -1.015611e-20, -2.889425e-19, 8.195826e-19, 5.925435e-19, 2.078655e-19, -5.870241e-20, 1.926478e-19, -8.949612e-20
-2.285755e-02, 3.788243e-19, -4.794436e-19, -1.521756e-19, -6.733397e-20, 1.722643e-19, -3.582831e-20, 1.319493e-20, -1.361218e-19, 5.020255e-20
-2.243729e-02, -5.029063e-20, 1.880542e-19, -7.176478e-20, 4.437965e-19, 1.538093e-19, -5.618906e-20, 1.695627e-19, -1.374657e-20, 2.632679e-19
-2.201704e-02, -1.969991e-19, -9.555906e-20, 3.951884e-20, -1.682606e-19, -1.923485e-19, -1.160575e-20, 3.070184e-22, 1.784333e-19, -5.097033e-20
-2.159679e-02, 5.301154e-19, -1.338929e-20, 7.730499e-20, -5.310240e-20, 9.354816e-20, -2.632589e-19, 2.794350e-20, 1.184997e-19, -8.931800e-20
-2.117654e-02, -2.647599e-19, 5.706397e-19, -1.372634e-19, 2.003880e-19, -4.682118e-19, 9.285028e-20, 7.123520e-20, 1.213799e-20, -1.212514e-19
