mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-5.605746e-02, 1.759398e+02, -5.073253e-01, 1.230135e+00, -5.073253e-01, 1.759069e+02, 1.025341e+00, 1.230135e+00, 1.025341e+00, 1.769393e+02
-5.563721e-02, 1.730849e+02, -6.550084e-01, -2.687147e-01, -6.550084e-01, 1.737271e+02, -6.937540e-01, -2.687147e-01, -6.937540e-01, 1.742668e+02
-5.521696e-02, 1.713250e+02, 6.814119e-02, 8.555294e-01, 6.814119e-02, 1.702649e+02, -5.444162e-02, 8.555294e-01, -5.444162e-02, 1.717368e+02
-5.479671e-02, 1.686633e+02, -1.433985e-01, 4.194324e-01, -1.433985e-01, 1.684805e+02, 1.404821e-01, 4.194324e-01, 1.404821e-01, 1.685347e+02
-5.437645e-02, 1.654694e+02, -5.649759e-02, -3.208272e-01, -5.649759e-02, 1.664422e+02, -3.049800e-03, -3.208272e-01, -3.049800e-03, 1.661943e+02
-5.395620e-02, 1.634537e+02, -7.432613e-02, 2.308797e-01, -7.432613e-02, 1.637401e+02, 2.906831e-01, 2.308797e-01, 2.906831e-01, 1.630851e+02
-5.353595e-02, 1.613533e+02, 1.630202e-01, -9.388985e-02, 1.630202e-01, 1.606539e+02, 3.599059e-01, -9.388985e-02, 3.599059e-01, 1.604826e+02
-5.311570e-02, 1.583025e+02, -1.905948e-01, 1.340647e-01, -1.905948e-01, 1.583819e+02, 1.355319e-01, 1.340647e-01, 1.355319e-01, 1.581336e+02
-5.269545e-02, 1.554795e+02, 8.973155e-02, -3.695982e-01, 8.973155e-02, 1.557527e+02, 4.835929e-02, -3.695982e-01, 4.835929e-02, 1.559484e+02
-5.227519e-02, 1.531207e+02, -2.691526e-01, -1.817825e-01, -2.691526e-01, 1.531817e+02, 2.093329e-01, -1.817825e-01, 2.093329e-01, 1.532916e+02
-5.185494e-02, 1.506941e+02, 2.257606e-01, 1.448796e-01, 2.257606e-01, 1.508716e+02, -5.455242e-01, 1.448796e-01, -5.455242e-01, 1.505241e+02
-5.143469e-02, 1.488287e+02, 2.075500e-01, 2.199670e-01, 2.075500e-01, 1.483144e+02, -3.305026e-01, 2.199670e-01, -3.305026e-01, 1.474884e+02
-5.101444e-02, 1.455173e+02, 2.371554e-02, 1.174851e-01, 2.371554e-02, 1.460256e+02, -8.842543e-02, 1.174851e-01, -8.842543e-02, 1.456882e+02
-5.059418e-02, 1.432085e+02, 2.223667e-01, 3.503060e-01, 2.223667e-01, 1.431818e+02, -2.633988e-01, 3.503060e-01, -2.633988e-01, 1.435068e+02
