mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-5.605746e-02, 0.000000e+00, 5.333836e-16, 3.760095e-15, -5.333836e-16, 0.000000e+00, 1.029646e-02, -3.760095e-15, -1.029646e-02, 0.000000e+00, 0.000000e+00, 6.196532e-16, -1.029646e-02, -6.196532e-16, 0.000000e+00, 4.075427e-15, 1.029646e-02, -4.075427e-15, 0.000000e+00, 0.000000e+00, 1.029646e-02, 1.136736e-15, -1.029646e-02, 0.000000e+00, -5.801016e-16, -1.136736e-15, 5.801016e-16, 0.000000e+00
-5.563729e-02, 0.000000e+00, 1.703179e-16, -7.163823e-16, -1.703179e-16, 0.000000e+00, 1.029448e-02, 7.163823e-16, -1.029448e-02, 0.000000e+00, 0.000000e+00, -1.434335e-15, -1.029448e-02, 1.434335e-15, 0.000000e+00, 1.093822e-15, 1.029448e-02, -1.093822e-15, 0.000000e+00, 0.000000e+00, 1.029448e-02, 1.082404e-15, -1.029448e-02, 0.000000e+00, 1.425782e-16, -1.082404e-15, -1.425782e-16, 0.000000e+00
-5.521713e-02, 0.000000e+00, -1.882876e-16, 1.271289e-15, 1.882876e-16, 0.000000e+00, 1.029210e-02, -1.271289e-15, -1.029210e-02, 0.000000e+00, 0.000000e+00, -1.688869e-16, -1.029210e-02, 1.688869e-16, 0.000000e+00, 3.330755e-15, 1.029210e-02, -3.330755e-15, 0.000000e+00, 0.000000e+00, 1.029210e-02, 6.563022e-16, -1.029210e-02, 0.000000e+00, -1.993819e-15, -6.563022e-16, 1.993819e-15, 0.000000e+00
-5.479696e-02, 0.000000e+00, -7.298577e-16, 5.276959e-16, 7.298577e-16, 0.000000e+00, 1.029113e-02, -5.276959e-16, -1.029113e-02, 0.000000e+00, 0.000000e+00, -1.416475e-15, -1.029113e-02, 1.416475e-15, 0.000000e+00, -6.380933e-16, 1.029113e-02, 6.380933e-16, 0.000000e+00, 0.000000e+00, 1.029113e-02, -8.692719e-16, -1.029113e-02, 0.000000e+00, 1.425887e-15, 8.692719e-16, -1.425887e-15, 0.000000e+00
-5.437679e-02, 0.000000e+00, -1.438461e-15, -4.790102e-15, 1.438461e-15, 0.000000e+00, 1.028927e-02, 4.790102e-15, -1.028927e-02, 0.000000e+00, 0.000000e+00, -1.222848e-15, -1.028927e-02, 1.222848e-15, 0.000000e+00, -7.841692e-15, 1.028927e-02, 7.841692e-15, 0.000000e+00, 0.000000e+00, 1.028927e-02, -2.696888e-16, -1.028927e-02, 0.000000e+00, 1.316647e-15, 2.696888e-16, -1.316647e-15, 0.000000e+00
-5.395662e-02, 0.000000e+00, -2.166849e-16, 4.947579e-16, 2.166849e-16, 0.000000e+00, 1.028685e-02, -4.947579e-16, -1.028685e-02, 0.000000e+00, 0.000000e+00, -9.488490e-17, -1.028685e-02, 9.488490e-17, 0.000000e+00, 6.380489e-16, 1.028685e-02, -6.380489e-16, 0.000000e+00, 0.000000e+00, 1.028685e-02, 4.656959e-16, -1.028685e-02, 0.000000e+00, 1.047334e-15, -4.656959e-16, -1.047334e-15, 0.000000e+00
-5.353645e-02, 0.000000e+00, 3.511053e-17, -1.319903e-15, -3.511053e-17, 0.000000e+00, 1.028540e-02, 1.319903e-15, -1.028540e-02, 0.000000e+00, 0.000000e+00, -3.388964e-16, -1.028540e-02, 3.388964e-16, 0.000000e+00, -2.765898e-15, 1.028540e-02, 2.765898e-15, 0.000000e+00, 0.000000e+00, 1.028540e-02, 1.375181e-15, -1.028540e-02, 0.000000e+00, 1.545141e-15, -1.375181e-15, -1.545141e-15, 0.000000e+00
-5.311629e-02, 0.000000e+00, -2.342185e-15, -1.039902e-15, 2.342185e-15, 0.000000e+00, 1.028274e-02, 1.039902e-15, -1.028274e-02, 0.000000e+00, 0.000000e+00, -1.611643e-15, -1.028274e-02, 1.611643e-15, 0.000000e+00, 2.166300e-15, 1.028274e-02, -2.166300e-15, 0.000000e+00, 0.000000e+00, 1.028274e-02, -1.305861e-16, -1.028274e-02, 0.000000e+00, 3.216613e-15, 1.305861e-16, -3.216613e-15, 0.000000e+00
-5.269612e-02, 0.000000e+00, -2.001252e-15, 7.846709e-16, 2.001252e-15, 0.000000e+00, 1.028121e-02, -7.846709e-16, -1.028121e-02, 0.000000e+00, 0.000000e+00, 4.365951e-16, -1.028121e-02, -4.365951e-16, 0.000000e+00, -4.022034e-16, 1.028121e-02, 4.022034e-16, 0.000000e+00, 0.000000e+00, 1.028121e-02, 7.650017e-16, -1.028121e-02, 0.000000e+00, 1.371115e-15, -7.650017e-16, -1.371115e-15, 0.000000e+00
-5.227595e-02, 0.000000e+00, -5.731913e-17, -2.137001e-15, 5.731913e-17, 0.000000e+00, 1.027939e-02, 2.137001e-15, -1.027939e-02, 0.000000e+00, 0.000000e+00, -1.907698e-15, -1.027939e-02, 1.907698e-15, 0.000000e+00, -2.269422e-15, 1.027939e-02, 2.269422e-15, 0.000000e+00, 0.000000e+00, 1.027939e-02, -9.757421e-16, -1.027939e-02, 0.000000e+00, 1.733547e-15, 9.757421e-16, -1.733547e-15, 0.000000e+00
