mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-5.605746e-02, 0.000000e+00, -6.515830e-14, -2.876586e-13, 6.515830e-14, 0.000000e+00, -4.314300e-14, 2.876586e-13, 4.314300e-14, 0.000000e+00, 0.000000e+00, -5.388047e-15, -3.605938e-14, 5.388047e-15, 0.000000e+00, -4.065922e-14, 3.605938e-14, 4.065922e-14, 0.000000e+00, 0.000000e+00, 7.019683e-15, 3.440051e-14, -7.019683e-15, 0.000000e+00, -2.924396e-14, -3.440051e-14, 2.924396e-14, 0.000000e+00
-5.558639e-02, 0.000000e+00, -2.356937e-14, -1.252763e-13, 2.356937e-14, 0.000000e+00, 3.346827e-14, 1.252763e-13, -3.346827e-14, 0.000000e+00, 0.000000e+00, -3.277697e-15, 5.668646e-14, 3.277697e-15, 0.000000e+00, -6.959034e-14, -5.668646e-14, 6.959034e-14, 0.000000e+00, 0.000000e+00, -9.122183e-15, -2.666802e-13, 9.122183e-15, 0.000000e+00, -2.417611e-14, 2.666802e-13, 2.417611e-14, 0.000000e+00
-5.511532e-02, 0.000000e+00, 7.332657e-14, 9.488650e-14, -7.332657e-14, 0.000000e+00, -4.770032e-14, -9.488650e-14, 4.770032e-14, 0.000000e+00, 0.000000e+00, -4.463316e-14, -6.253343e-16, 4.463316e-14, 0.000000e+00, -5.617869e-14, 6.253343e-16, 5.617869e-14, 0.000000e+00, 0.000000e+00, 4.713374e-14, -1.115001e-13, -4.713374e-14, 0.000000e+00, -4.077739e-14, 1.115001e-13, 4.077739e-14, 0.000000e+00
-5.464425e-02, 0.000000e+00, -4.756130e-14, -1.295192e-13, 4.756130e-14, 0.000000e+00, -5.246057e-16, 1.295192e-13, 5.246057e-16, 0.000000e+00, 0.000000e+00, 3.193879e-14, 1.383230e-14, -3.193879e-14, 0.000000e+00, -3.797420e-14, -1.383230e-14, 3.797420e-14, 0.000000e+00, 0.000000e+00, 1.421196e-14, 1.768245e-13, -1.421196e-14, 0.000000e+00, -4.252888e-14, -1.768245e-13, 4.252888e-14, 0.000000e+00
-5.417318e-02, 0.000000e+00, 7.454834e-15, 1.441330e-13, -7.454834e-15, 0.000000e+00, 1.921631e-14, -1.441330e-13, -1.921631e-14, 0.000000e+00, 0.000000e+00, -3.346515e-14, -5.487121e-15, 3.346515e-14, 0.000000e+00, 1.477451e-13, 5.487121e-15, -1.477451e-13, 0.000000e+00, 0.000000e+00, -2.473056e-14, -3.567870e-14, 2.473056e-14, 0.000000e+00, -2.097020e-14, 3.567870e-14, 2.097020e-14, 0.000000e+00
-5.370211e-02, 0.000000e+00, -3.689836e-14, -1.963368e-14, 3.689836e-14, 0.000000e+00, 1.609075e-15, 1.963368e-14, -1.609075e-15, 0.000000e+00, 0.000000e+00, -1.421271e-14, 9.218570e-15, 1.421271e-14, 0.000000e+00, 1.161335e-13, -9.218570e-15, -1.161335e-13, 0.000000e+00, 0.000000e+00, 7.740939e-15, -9.805709e-14, -7.740939e-15, 0.000000e+00, 1.852295e-14, 9.805709e-14, -1.852295e-14, 0.000000e+00
-5.323104e-02, 0.000000e+00, -8.841216e-15, -3.517218e-14, 8.841216e-15, 0.000000e+00, 7.905393e-14, 3.517218e-14, -7.905393e-14, 0.000000e+00, 0.000000e+00, -2.025614e-14, 5.965806e-14, 2.025614e-14, 0.000000e+00, -1.125525e-14, -5.965806e-14, 1.125525e-14, 0.000000e+00, 0.000000e+00, -1.936665e-14, 5.890412e-14, 1.936665e-14, 0.000000e+00, -6.955495e-15, -5.890412e-14, 6.955495e-15, 0.000000e+00
-5.275996e-02, 0.000000e+00, 6.769189e-14, 4.537541e-14, -6.769189e-14, 0.000000e+00, -2.954671e-14, -4.537541e-14, 2.954671e-14, 0.000000e+00, 0.000000e+00, 3.464267e-15, -3.254825e-14, -3.464267e-15, 0.000000e+00, -1.112668e-13, 3.254825e-14, 1.112668e-13, 0.000000e+00, 0.000000e+00, -2.932374e-15, 9.120129e-14, 2.932374e-15, 0.000000e+00, 2.772641e-14, -9.120129e-14, -2.772641e-14, 0.000000e+00
-5.228889e-02, 0.000000e+00, -4.224496e-14, -1.163418e-13, 4.224496e-14, 0.000000e+00, -1.746995e-14, 1.163418e-13, 1.746995e-14, 0.000000e+00, 0.000000e+00, 2.854625e-14, -9.296419e-15, -2.854625e-14, 0.000000e+00, 7.899605e-15, 9.296419e-15, -7.899605e-15, 0.000000e+00, 0.000000e+00, 8.210443e-15, 6.162826e-14, -8.210443e-15, 0.000000e+00, 8.306183e-15, -6.162826e-14, -8.306183e-15, 0.000000e+00
-5.181782e-02, 0.000000e+00, 5.568110e-14, -1.021621e-15, -5.568110e-14, 0.000000e+00, -3.010197e-14, 1.021621e-15, 3.010197e-14, 0.000000e+00, 0.000000e+00, 5.799994e-14, -4.624647e-14, -5.799994e-14, 0.000000e+00, 1.808575e-14, 4.624647e-14, -1.808575e-14, 0.000000e+00, 0.000000e+00, -1.605568e-14, 5.176750e-14, 1.605568e-14, 0.000000e+00, -6.720475e-14, -5.176750e-14, 6.720475e-14, 0.000000e+00
