mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-5.605746e-02, 0.000000e+00, 5.612388e-14, 7.204117e-15, -5.612388e-14, 0.000000e+00, 1.031408e-02, -7.204117e-15, -1.031408e-02, 0.000000e+00, 0.000000e+00, -6.511036e-14, -1.031408e-02, 6.511036e-14, 0.000000e+00, -3.416489e-13, 1.031408e-02, 3.416489e-13, 0.000000e+00, 0.000000e+00, 1.031408e-02, -1.314182e-13, -1.031408e-02, 0.000000e+00, 8.778908e-15, 1.314182e-13, -8.778908e-15, 0.000000e+00
-5.563721e-02, 0.000000e+00, -2.533880e-14, 3.198923e-13, 2.533880e-14, 0.000000e+00, 1.031973e-02, -3.198923e-13, -1.031973e-02, 0.000000e+00, 0.000000e+00, -3.578937e-14, -1.031973e-02, 3.578937e-14, 0.000000e+00, 1.343163e-13, 1.031973e-02, -1.343163e-13, 0.000000e+00, 0.000000e+00, 1.031973e-02, -1.085777e-14, -1.031973e-02, 0.000000e+00, 1.145207e-13, 1.085777e-14, -1.145207e-13, 0.000000e+00
-5.521696e-02, 0.000000e+00, -3.797919e-14, 1.061282e-13, 3.797919e-14, 0.000000e+00, 1.032343e-02, -1.061282e-13, -1.032343e-02, 0.000000e+00, 0.000000e+00, -9.782081e-14, -1.032343e-02, 9.782081e-14, 0.000000e+00, 3.356004e-13, 1.032343e-02, -3.356004e-13, 0.000000e+00, 0.000000e+00, 1.032343e-02, -8.191177e-16, -1.032343e-02, 0.000000e+00, 5.392660e-14, 8.191177e-16, -5.392660e-14, 0.000000e+00
-5.479671e-02, 0.000000e+00, -3.723412e-14, -1.970737e-13, 3.723412e-14, 0.000000e+00, 1.032815e-02, 1.970737e-13, -1.032815e-02, 0.000000e+00, 0.000000e+00, 1.434244e-13, -1.032815e-02, -1.434244e-13, 0.000000e+00, -1.391210e-13, 1.032815e-02, 1.391210e-13, 0.000000e+00, 0.000000e+00, 1.032815e-02, 1.403969e-13, -1.032815e-02, 0.000000e+00, -8.200792e-16, -1.403969e-13, 8.200792e-16, 0.000000e+00
-5.437645e-02, 0.000000e+00, 1.739310e-15, 8.239001e-14, -1.739310e-15, 0.000000e+00, 1.033333e-02, -8.239001e-14, -1.033333e-02, 0.000000e+00, 0.000000e+00, -1.267246e-14, -1.033333e-02, 1.267246e-14, 0.000000e+00, 1.198569e-13, 1.033333e-02, -1.198569e-13, 0.000000e+00, 0.000000e+00, 1.033333e-02, -4.122391e-15, -1.033333e-02, 0.000000e+00, 4.443543e-14, 4.122391e-15, -4.443543e-14, 0.000000e+00
-5.395620e-02, 0.000000e+00, -7.652479e-15, 1.733646e-13, 7.652479e-15, 0.000000e+00, 1.033205e-02, -1.733646e-13, -1.033205e-02, 0.000000e+00, 0.000000e+00, -3.135996e-14, -1.033205e-02, 3.135996e-14, 0.000000e+00, -8.746476e-16, 1.033205e-02, 8.746476e-16, 0.000000e+00, 0.000000e+00, 1.033205e-02, -7.675786e-15, -1.033205e-02, 0.000000e+00, -8.844984e-15, 7.675786e-15, 8.844984e-15, 0.000000e+00
-5.353595e-02, 0.000000e+00, -3.303933e-14, 3.352675e-14, 3.303933e-14, 0.000000e+00, 1.033025e-02, -3.352675e-14, -1.033025e-02, 0.000000e+00, 0.000000e+00, -2.286412e-14, -1.033025e-02, 2.286412e-14, 0.000000e+00, -4.153954e-14, 1.033025e-02, 4.153954e-14, 0.000000e+00, 0.000000e+00, 1.033025e-02, -4.314458e-14, -1.033025e-02, 0.000000e+00, 2.773191e-14, 4.314458e-14, -2.773191e-14, 0.000000e+00
-5.311570e-02, 0.000000e+00, -1.306524e-14, -3.535068e-14, 1.306524e-14, 0.000000e+00, 1.032963e-02, 3.535068e-14, -1.032963e-02, 0.000000e+00, 0.000000e+00, -1.643585e-14, -1.032963e-02, 1.643585e-14, 0.000000e+00, -5.432509e-14, 1.032963e-02, 5.432509e-14, 0.000000e+00, 0.000000e+00, 1.032963e-02, 1.166437e-14, -1.032963e-02, 0.000000e+00, -9.032679e-15, -1.166437e-14, 9.032679e-15, 0.000000e+00
-5.269545e-02, 0.000000e+00, -1.170407e-14, -1.638076e-14, 1.170407e-14, 0.000000e+00, 1.032842e-02, 1.638076e-14, -1.032842e-02, 0.000000e+00, 0.000000e+00, -2.145089e-14, -1.032842e-02, 2.145089e-14, 0.000000e+00, -7.969233e-14, 1.032842e-02, 7.969233e-14, 0.000000e+00, 0.000000e+00, 1.032842e-02, 1.705518e-15, -1.032842e-02, 0.000000e+00, -2.024743e-14, -1.705518e-15, 2.024743e-14, 0.000000e+00
-5.227519e-02, 0.000000e+00, 2.272999e-14, -8.258082e-15, -2.272999e-14, 0.000000e+00, 1.032696e-02, 8.258082e-15, -1.032696e-02, 0.000000e+00, 0.000000e+00, 2.352759e-14, -1.032696e-02, -2.352759e-14, 0.000000e+00, 8.748046e-14, 1.032696e-02, -8.748046e-14, 0.000000e+00, 0.000000e+00, 1.032696e-02, 3.366669e-15, -1.032696e-02, 0.000000e+00, 3.044338e-14, -3.366669e-15, -3.044338e-14, 0.000000e+00
-5.185494e-02, 0.000000e+00, 3.477529e-15, -2.885263e-14, -3.477529e-15, 0.000000e+00, 1.032596e-02, 2.885263e-14, -1.032596e-02, 0.000000e+00, 0.000000e+00, -1.783914e-14, -1.032596e-02, 1.783914e-14, 0.000000e+00, -2.668917e-14, 1.032596e-02, 2.668917e-14, 0.000000e+00, 0.000000e+00, 1.032596e-02, 7.562649e-14, -1.032596e-02, 0.000000e+00, 1.200857e-14, -7.562649e-14, -1.200857e-14, 0.000000e+00
-5.143469e-02, 0.000000e+00, 1.151093e-14, 4.230086e-14, -1.151093e-14, 0.000000e+00, 1.032459e-02, -4.230086e-14, -1.032459e-02, 0.000000e+00, 0.000000e+00, -5.448840e-15, -1.032459e-02, 5.448840e-15, 0.000000e+00, -7.380082e-14, 1.032459e-02, 7.380082e-14, 0.000000e+00, 0.000000e+00, 1.032459e-02, -2.389777e-14, -1.032459e-02, 0.000000e+00, -2.677671e-14, 2.389777e-14, 2.677671e-14, 0.000000e+00
-5.101444e-02, 0.000000e+00, -2.817374e-14, 4.401808e-14, 2.817374e-14, 0.000000e+00, 1.032312e-02, -4.401808e-14, -1.032312e-02, 0.000000e+00, 0.000000e+00, -4.247080e-15, -1.032312e-02, 4.247080e-15, 0.000000e+00, -1.110167e-13, 1.032312e-02, 1.110167e-13, 0.000000e+00, 0.000000e+00, 1.032312e-02, -4.209200e-14, -1.032312e-02, 0.000000e+00, -1.390649e-14, 4.209200e-14, 1.390649e-14, 0.000000e+00
-5.059418e-02, 0.000000e+00, 4.906496e-14, -4.393146e-15, -4.906496e-14, 0.000000e+00, 1.032175e-02, 4.393146e-15, -1.032175e-02, 0.000000e+00, 0.000000e+00, 5.953013e-14, -1.032175e-02, -5.953013e-14, 0.000000e+00, -1.548376e-14, 1.032175e-02, 1.548376e-14, 0.000000e+00, 0.000000e+00, 1.032175e-02, 1.291557e-14, -1.032175e-02, 0.000000e+00, 1.780941e-14, -1.291557e-14, -1.780941e-14, 0.000000e+00
-5.017393e-02, 0.000000e+00, -4.388590e-14, 1.014325e-13, 4.388590e-14, 0.000000e+00, 1.032027e-02, -1.014325e-13, -1.032027e-02, 0.000000e+00, 0.000000e+00, 8.030819e-14, -1.032027e-02, -8.030819e-14, 0.000000e+00, 6.073449e-14, 1.032027e-02, -6.073449e-14, 0.000000e+00, 0.000000e+00, 1.032027e-02, 2.789038e-14, -1.032027e-02, 0.000000e+00, -1.911668e-14, -2.789038e-14, 1.911668e-14, 0.000000e+00
-4.975368e-02, 0.000000e+00, -2.473867e-15, -5.691662e-14, 2.473867e-15, 0.000000e+00, 1.031901e-02, 5.691662e-14, -1.031901e-02, 0.000000e+00, 0.000000e+00, 4.114776e-14, -1.031901e-02, -4.114776e-14, 0.000000e+00, 2.212365e-15, 1.031901e-02, -2.212365e-15, 0.000000e+00, 0.000000e+00, 1.031901e-02, 1.238948e-14, -1.031901e-02, 0.000000e+00, 1.316090e-14, -1.238948e-14, -1.316090e-14, 0.000000e+00
-4.933343e-02, 0.000000e+00, -2.096289e-14, 1.340903e-15, 2.096289e-14, 0.000000e+00, 1.031742e-02, -1.340903e-15, -1.031742e-02, 0.000000e+00, 0.000000e+00, 3.711544e-14, -1.031742e-02, -3.711544e-14, 0.000000e+00, 6.730436e-14, 1.031742e-02, -6.730436e-14, 0.000000e+00, 0.000000e+00, 1.031742e-02, 6.422029e-15, -1.031742e-02, 0.000000e+00, 1.653218e-14, -6.422029e-15, -1.653218e-14, 0.000000e+00
-4.891318e-02, 0.000000e+00, -1.062991e-14, 4.240888e-14, 1.062991e-14, 0.000000e+00, 1.031587e-02, -4.240888e-14, -1.031587e-02, 0.000000e+00, 0.000000e+00, 4.246203e-14, -1.031587e-02, -4.246203e-14, 0.000000e+00, 5.232359e-14, 1.031587e-02, -5.232359e-14, 0.000000e+00, 0.000000e+00, 1.031587e-02, 1.027013e-13, -1.031587e-02, 0.000000e+00, 3.697067e-15, -1.027013e-13, -3.697067e-15, 0.000000e+00
-4.849292e-02, 0.000000e+00, -4.173603e-14, -7.038449e-14, 4.173603e-14, 0.000000e+00, 1.031417e-02, 7.038449e-14, -1.031417e-02, 0.000000e+00, 0.000000e+00, -5.143099e-15, -1.031417e-02, 5.143099e-15, 0.000000e+00, 1.069493e-14, 1.031417e-02, -1.069493e-14, 0.000000e+00, 0.000000e+00, 1.031417e-02, -3.511434e-14, -1.031417e-02, 0.000000e+00, 1.481314e-14, 3.511434e-14, -1.481314e-14, 0.000000e+00
-4.807267e-02, 0.000000e+00, -3.840837e-14, -2.904264e-14, 3.840837e-14, 0.000000e+00, 1.031257e-02, 2.904264e-14, -1.031257e-02, 0.000000e+00, 0.000000e+00, -1.909668e-14, -1.031257e-02, 1.909668e-14, 0.000000e+00, -1.056456e-13, 1.031257e-02, 1.056456e-13, 0.000000e+00, 0.000000e+00, 1.031257e-02, 1.108307e-14, -1.031257e-02, 0.000000e+00, -1.034154e-15, -1.108307e-14, 1.034154e-15, 0.000000e+00
-4.765242e-02, 0.000000e+00, -6.547314e-15, -7.271668e-14, 6.547314e-15, 0.000000e+00, 1.031095e-02, 7.271668e-14, -1.031095e-02, 0.000000e+00, 0.000000e+00, 2.255940e-16, -1.031095e-02, -2.255940e-16, 0.000000e+00, 3.211327e-14, 1.031095e-02, -3.211327e-14, 0.000000e+00, 0.000000e+00, 1.031095e-02, 9.918770e-15, -1.031095e-02, 0.000000e+00, 5.082610e-14, -9.918770e-15, -5.082610e-14, 0.000000e+00
-4.723217e-02, 0.000000e+00, -1.260620e-14, 6.801536e-15, 1.260620e-14, 0.000000e+00, 1.030928e-02, -6.801536e-15, -1.030928e-02, 0.000000e+00, 0.000000e+00, -3.332558e-14, -1.030928e-02, 3.332558e-14, 0.000000e+00, -8.355292e-15, 1.030928e-02, 8.355292e-15, 0.000000e+00, 0.000000e+00, 1.030928e-02, -2.948406e-14, -1.030928e-02, 0.000000e+00, 3.709699e-14, 2.948406e-14, -3.709699e-14, 0.000000e+00
-4.681192e-02, 0.000000e+00, 2.994248e-14, -5.576631e-14, -2.994248e-14, 0.000000e+00, 1.030752e-02, 5.576631e-14, -1.030752e-02, 0.000000e+00, 0.000000e+00, -6.175856e-14, -1.030752e-02, 6.175856e-14, 0.000000e+00, 7.700156e-14, 1.030752e-02, -7.700156e-14, 0.000000e+00, 0.000000e+00, 1.030752e-02, -2.435382e-14, -1.030752e-02, 0.000000e+00, -2.541654e-14, 2.435382e-14, 2.541654e-14, 0.000000e+00
-4.639166e-02, 0.000000e+00, 3.212450e-14, 3.266559e-14, -3.212450e-14, 0.000000e+00, 1.030570e-02, -3.266559e-14, -1.030570e-02, 0.000000e+00, 0.000000e+00, 1.837222e-14, -1.030570e-02, -1.837222e-14, 0.000000e+00, 1.501225e-13, 1.030570e-02, -1.501225e-13, 0.000000e+00, 0.000000e+00, 1.030570e-02, 5.469221e-14, -1.030570e-02, 0.000000e+00, 1.258170e-14, -5.469221e-14, -1.258170e-14, 0.000000e+00
-4.597141e-02, 0.000000e+00, 1.457320e-14, 4.230795e-14, -1.457320e-14, 0.000000e+00, 1.030378e-02, -4.230795e-14, -1.030378e-02, 0.000000e+00, 0.000000e+00, 3.784971e-14, -1.030378e-02, -3.784971e-14, 0.000000e+00, 1.167882e-14, 1.030378e-02, -1.167882e-14, 0.000000e+00, 0.000000e+00, 1.030378e-02, 8.937676e-15, -1.030378e-02, 0.000000e+00, 6.080181e-14, -8.937676e-15, -6.080181e-14, 0.000000e+00
-4.555116e-02, 0.000000e+00, -4.324122e-15, -3.634920e-14, 4.324122e-15, 0.000000e+00, 1.030200e-02, 3.634920e-14, -1.030200e-02, 0.000000e+00, 0.000000e+00, -5.743249e-14, -1.030200e-02, 5.743249e-14, 0.000000e+00, -6.285603e-14, 1.030200e-02, 6.285603e-14, 0.000000e+00, 0.000000e+00, 1.030200e-02, -3.480425e-14, -1.030200e-02, 0.000000e+00, -5.298875e-15, 3.480425e-14, 5.298875e-15, 0.000000e+00
-4.513091e-02, 0.000000e+00, -4.094307e-15, -5.555019e-15, 4.094307e-15, 0.000000e+00, 1.029979e-02, 5.555019e-15, -1.029979e-02, 0.000000e+00, 0.000000e+00, 3.398659e-14, -1.029979e-02, -3.398659e-14, 0.000000e+00, -4.942254e-14, 1.029979e-02, 4.942254e-14, 0.000000e+00, 0.000000e+00, 1.029979e-02, 1.145276e-14, -1.029979e-02, 0.000000e+00, -1.323554e-14, -1.145276e-14, 1.323554e-14, 0.000000e+00
-4.471066e-02, 0.000000e+00, 1.836780e-16, -1.077517e-14, -1.836780e-16, 0.000000e+00, 1.029796e-02, 1.077517e-14, -1.029796e-02, 0.000000e+00, 0.000000e+00, 2.362010e-14, -1.029796e-02, -2.362010e-14, 0.000000e+00, -5.871154e-14, 1.029796e-02, 5.871154e-14, 0.000000e+00, 0.000000e+00, 1.029796e-02, 3.906772e-14, -1.029796e-02, 0.000000e+00, -6.862073e-15, -3.906772e-14, 6.862073e-15, 0.000000e+00
-4.429040e-02, 0.000000e+00, -4.854460e-14, 1.882561e-14, 4.854460e-14, 0.000000e+00, 1.029569e-02, -1.882561e-14, -1.029569e-02, 0.000000e+00, 0.000000e+00, -3.045480e-15, -1.029569e-02, 3.045480e-15, 0.000000e+00, -5.908743e-14, 1.029569e-02, 5.908743e-14, 0.000000e+00, 0.000000e+00, 1.029569e-02, 4.560067e-14, -1.029569e-02, 0.000000e+00, -1.042060e-14, -4.560067e-14, 1.042060e-14, 0.000000e+00
-4.387015e-02, 0.000000e+00, 1.601928e-14, -6.807147e-15, -1.601928e-14, 0.000000e+00, 1.029358e-02, 6.807147e-15, -1.029358e-02, 0.000000e+00, 0.000000e+00, 2.310393e-14, -1.029358e-02, -2.310393e-14, 0.000000e+00, -2.701001e-15, 1.029358e-02, 2.701001e-15, 0.000000e+00, 0.000000e+00, 1.029358e-02, -6.215471e-15, -1.029358e-02, 0.000000e+00, -8.295634e-15, 6.215471e-15, 8.295634e-15, 0.000000e+00
