mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, -4.506194e+04, -7.219488e+04, 9.769448e+03, -7.219488e+04, -1.283394e+05, -4.778347e+03, 9.769448e+03, -4.778347e+03, -1.121396e+05
-7.900000e-02, -4.309662e+04, -6.910926e+04, 9.288411e+03, -6.910926e+04, -1.229489e+05, -4.748652e+03, 9.288411e+03, -4.748652e+03, -1.075569e+05
-7.800000e-02, -4.149213e+04, -6.656906e+04, 8.074690e+03, -6.656906e+04, -1.182872e+05, -5.736010e+03, 8.074690e+03, -5.736010e+03, -1.029086e+05
-7.700000e-02, -3.954144e+04, -6.336580e+04, 8.847148e+03, -6.336580e+04, -1.125383e+05, -3.906153e+03, 8.847148e+03, -3.906153e+03, -9.945957e+04
-7.600000e-02, -3.752201e+04, -6.019660e+04, 7.892753e+03, -6.019660e+04, -1.070896e+05, -4.787968e+03, 7.892753e+03, -4.787968e+03, -9.484083e+04
-7.500000e-02, -3.627544e+04, -5.812901e+04, 7.550196e+03, -5.812901e+04, -1.030857e+05, -4.422950e+03, 7.550196e+03, -4.422950e+03, -9.010376e+04
-7.400000e-02, -3.483331e+04, -5.604817e+04, 6.904477e+03, -5.604817e+04, -9.960239e+04, -4.694564e+03, 6.904477e+03, -4.694564e+03, -8.602420e+04
-7.300000e-02, -3.322489e+04, -5.323805e+04, 7.248267e+03, -5.323805e+04, -9.425939e+04, -3.492310e+03, 7.248267e+03, -3.492310e+03, -8.264113e+04
-7.200000e-02, -3.149543e+04, -5.068556e+04, 6.082134e+03, -5.068556e+04, -9.010723e+04, -4.783302e+03, 6.082134e+03, -4.783302e+03, -7.819449e+04
-7.100000e-02, -3.001021e+04, -4.838496e+04, 6.131955e+03, -4.838496e+04, -8.607066e+04, -3.924497e+03, 6.131955e+03, -3.924497e+03, -7.485693e+04
-7.000000e-02, -2.872337e+04, -4.618075e+04, 6.333928e+03, -4.618075e+04, -8.180729e+04, -2.771311e+03, 6.333928e+03, -2.771311e+03, -7.039830e+04
-6.900000e-02, -2.647166e+04, -4.257068e+04, 5.644583e+03, -4.257068e+04, -7.565911e+04, -3.468602e+03, 5.644583e+03, -3.468602e+03, -6.722836e+04
-6.800000e-02, -2.548022e+04, -4.100341e+04, 5.761990e+03, -4.100341e+04, -7.283342e+04, -2.737872e+03, 5.761990e+03, -2.737872e+03, -6.343413e+04
-6.700000e-02, -2.379651e+04, -3.835744e+04, 5.096295e+03, -3.835744e+04, -6.824321e+04, -3.149155e+03, 5.096295e+03, -3.149155e+03, -5.991932e+04
-6.600000e-02, -2.256062e+04, -3.629769e+04, 4.896825e+03, -3.629769e+04, -6.441476e+04, -2.921889e+03, 4.896825e+03, -2.921889e+03, -5.665883e+04
-6.500000e-02, -2.124207e+04, -3.415230e+04, 4.744957e+03, -3.415230e+04, -6.051504e+04, -2.469198e+03, 4.744957e+03, -2.469198e+03, -5.320115e+04
-6.400000e-02, -1.986147e+04, -3.203267e+04, 4.276049e+03, -3.203267e+04, -5.690351e+04, -2.608841e+03, 4.276049e+03, -2.608841e+03, -4.985922e+04
