mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-7.900000e-02, -5.744711e+02, 4.225493e+02, -2.756468e+02, 2.853492e+03, -1.448626e+03, 2.232974e+01, 2.788008e+04, -1.590175e+04, 3.076631e+03, -3.331174e+03, 2.118756e+03, -3.359105e+02, 8.258017e+02, -1.603384e+02, 2.767930e+02, 4.780922e+04, -2.769910e+04, 5.298926e+03, -2.702213e+04, 1.574700e+04, -2.587774e+03, -4.683436e+04, 2.695231e+04, -4.474337e+03, -2.999465e+02, -2.120049e+02, -1.125872e+01
-7.800000e-02, -1.212518e+03, 8.767143e+02, -5.507152e+02, 5.431719e+03, -2.750797e+03, 2.817332e+01, 5.520199e+04, -3.149339e+04, 6.097217e+03, -6.552181e+03, 4.166216e+03, -6.621611e+02, 1.585045e+03, -2.962827e+02, 5.468087e+02, 9.494483e+04, -5.501836e+04, 1.052981e+04, -5.352158e+04, 3.119147e+04, -5.137908e+03, -9.286565e+04, 5.344584e+04, -8.889720e+03, -4.240736e+02, -5.137673e+02, -7.424365e+00
-7.700000e-02, -1.968334e+03, 1.392233e+03, -8.325124e+02, 7.523493e+03, -3.788380e+03, -7.894271e+00, 8.224152e+04, -4.692932e+04, 9.095378e+03, -9.454223e+03, 6.014212e+03, -9.560248e+02, 2.416621e+03, -4.984257e+02, 8.216458e+02, 1.416362e+05, -8.208048e+04, 1.572352e+04, -7.968313e+04, 4.643849e+04, -7.679027e+03, -1.383206e+05, 7.960876e+04, -1.328745e+04, -5.122560e+02, -8.199747e+02, -9.227157e-01
-7.600000e-02, -2.659616e+03, 1.872598e+03, -1.110751e+03, 9.893925e+03, -4.981480e+03, -8.700554e+00, 1.096672e+05, -6.258533e+04, 1.213696e+04, -1.250443e+04, 7.949812e+03, -1.277830e+03, 3.230641e+03, -6.868850e+02, 1.087415e+03, 1.885420e+05, -1.092443e+05, 2.094342e+04, -1.062533e+05, 6.192650e+04, -1.026020e+04, -1.842955e+05, 1.060647e+05, -1.773881e+04, -7.612679e+02, -1.035857e+03, -6.738544e+00
-7.500000e-02, -3.441141e+03, 2.398330e+03, -1.388919e+03, 1.185633e+04, -5.954128e+03, -4.001516e+01, 1.367096e+05, -7.804786e+04, 1.514594e+04, -1.532722e+04, 9.744004e+03, -1.570576e+03, 4.129411e+03, -9.396767e+02, 1.377694e+03, 2.359312e+05, -1.367267e+05, 2.623308e+04, -1.327093e+05, 7.735208e+04, -1.285245e+04, -2.305749e+05, 1.327027e+05, -2.225591e+04, -6.890006e+02, -1.426740e+03, 9.893438e+00
-7.400000e-02, -4.186145e+03, 2.906212e+03, -1.670568e+03, 1.410918e+04, -7.086866e+03, -3.213557e+01, 1.646857e+05, -9.403108e+04, 1.825835e+04, -1.827317e+04, 1.160927e+04, -1.898365e+03, 5.108786e+03, -1.237532e+03, 1.662838e+03, 2.839883e+05, -1.645569e+05, 3.160107e+04, -1.596734e+05, 9.307143e+04, -1.549660e+04, -2.773468e+05, 1.596156e+05, -2.683177e+04, -9.744440e+02, -1.615189e+03, -1.749844e+00
-7.300000e-02, -4.793801e+03, 3.338385e+03, -1.937429e+03, 1.673929e+04, -8.428040e+03, 1.347344e+01, 1.918554e+05, -1.095420e+05, 2.126999e+04, -2.138999e+04, 1.357978e+04, -2.244410e+03, 5.987139e+03, -1.466772e+03, 1.927446e+03, 3.302432e+05, -1.913298e+05, 3.675243e+04, -1.859363e+05, 1.083814e+05, -1.804523e+04, -3.227334e+05, 1.857276e+05, -3.122998e+04, -1.400141e+03, -1.723322e+03, -2.415054e+01
-7.200000e-02, -5.503955e+03, 3.825778e+03, -2.209269e+03, 1.907251e+04, -9.608552e+03, 3.300144e+01, 2.186572e+05, -1.248564e+05, 2.424780e+04, -2.450535e+04, 1.554853e+04, -2.585050e+03, 6.723660e+03, -1.619076e+03, 2.186537e+03, 3.764923e+05, -2.181256e+05, 4.190581e+04, -2.120235e+05, 1.235922e+05, -2.058742e+04, -3.680386e+05, 2.118006e+05, -3.562691e+04, -1.462448e+03, -2.036128e+03, -1.484290e+01
-7.100000e-02, -6.127724e+03, 4.270506e+03, -2.483478e+03, 2.205884e+04, -1.115017e+04, 1.302149e+02, 2.468122e+05, -1.409327e+05, 2.737613e+04, -2.813807e+04, 1.782881e+04, -3.009457e+03, 7.293410e+03, -1.656633e+03, 2.412266e+03, 4.238269e+05, -2.455002e+05, 4.717716e+04, -2.391702e+05, 1.394237e+05, -2.322892e+04, -4.146214e+05, 2.385988e+05, -4.013949e+04, -1.823697e+03, -2.190747e+03, -2.467096e+01
-7.000000e-02, -6.588839e+03, 4.622615e+03, -2.737566e+03, 2.547529e+04, -1.293471e+04, 2.883138e+02, 2.746183e+05, -1.568144e+05, 3.046400e+04, -3.190079e+04, 2.018339e+04, -3.461733e+03, 7.862439e+03, -1.693097e+03, 2.626715e+03, 4.702431e+05, -2.723212e+05, 5.234803e+04, -2.661086e+05, 1.551392e+05, -2.584681e+04, -4.607396e+05, 2.651208e+05, -4.460819e+04, -2.397712e+03, -2.218019e+03, -5.377317e+01
-6.900000e-02, -7.182240e+03, 5.039941e+03, -2.992290e+03, 2.817562e+04, -1.433097e+04, 3.889445e+02, 3.017766e+05, -1.723519e+05, 3.349377e+04, -3.510560e+04, 2.219159e+04, -3.851496e+03, 8.671105e+03, -1.903904e+03, 2.875177e+03, 5.165326e+05, -2.990968e+05, 5.752970e+04, -2.926026e+05, 1.705983e+05, -2.845944e+04, -5.065352e+05, 2.914612e+05, -4.911260e+04, -2.770326e+03, -2.336789e+03, -7.182926e+01
-6.800000e-02, -7.845816e+03, 5.493802e+03, -3.249167e+03, 3.068373e+04, -1.562585e+04, 4.842410e+02, 3.290257e+05, -1.879602e+05, 3.654301e+04, -3.827708e+04, 2.417553e+04, -4.243119e+03, 9.477251e+03, -2.122071e+03, 3.131468e+03, 5.635599e+05, -3.263171e+05, 6.280563e+04, -3.192905e+05, 1.861751e+05, -3.111101e+04, -5.529064e+05, 3.181360e+05, -5.370283e+04, -2.926146e+03, -2.574849e+03, -7.286020e+01
-6.700000e-02, -8.394078e+03, 5.883992e+03, -3.491418e+03, 3.366503e+04, -1.718625e+04, 6.430303e+02, 3.561021e+05, -2.034786e+05, 3.957095e+04, -4.182732e+04, 2.638833e+04, -4.685196e+03, 1.011186e+04, -2.226603e+03, 3.370063e+03, 6.104481e+05, -3.534601e+05, 6.806135e+04, -3.459330e+05, 2.017316e+05, -3.374790e+04, -5.992635e+05, 3.448015e+05, -5.827257e+04, -2.996334e+03, -2.867905e+03, -6.617251e+01
