mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -5.843230e-09, 2.009106e-09, 6.300510e-10, -5.926248e-09, 3.742156e-09, 6.424199e-10, 2.073945e-09, -3.450082e-09, -6.559113e-10, -8.842478e-09, 1.922471e-09, 9.914262e-10, -1.039299e-08, 6.464275e-09, 1.353801e-10, 5.434852e-10, -2.951170e-09, -1.436462e-09, 2.714694e-09, -5.007825e-09, 8.341106e-10, 1.155030e-09, 1.086598e-09, -6.455906e-10, -1.031546e-09, 1.648322e-09, -2.741550e-10
-7.900000e-02, -7.442024e-09, 3.064513e-09, 9.350883e-10, -8.519734e-09, 5.181929e-09, 1.363920e-09, 6.078038e-09, -6.600466e-09, -1.082197e-10, -1.523150e-08, 5.966213e-09, 1.282085e-09, -2.212500e-08, 1.301957e-08, 8.834779e-10, 5.114094e-09, -7.273375e-09, -7.651517e-10, 2.825563e-09, -4.957373e-09, 7.534885e-10, -1.655646e-09, 2.690220e-09, -1.364447e-09, -1.387673e-08, 9.362209e-09, -1.825058e-09
-7.800000e-02, -4.302659e-09, 1.211833e-09, 7.886414e-10, -4.145642e-09, 2.683637e-09, 7.886366e-10, -1.288283e-09, -1.437987e-09, -9.782399e-10, -8.323688e-09, 1.884039e-09, 9.835805e-10, -1.121680e-08, 6.918560e-09, -1.033831e-10, -6.714232e-09, 1.443903e-09, -2.190540e-09, -5.809615e-10, -2.884992e-09, 2.398381e-10, -4.667098e-09, 4.339400e-09, -1.550409e-09, -2.648168e-09, 2.805633e-09, -4.601966e-10
-7.700000e-02, -8.949416e-09, 4.084505e-09, 6.702472e-10, -1.152469e-08, 6.846602e-09, 8.579794e-10, 3.367171e-09, -4.815660e-09, -3.388765e-10, -1.503470e-08, 6.158919e-09, 1.065746e-09, -2.126605e-08, 1.253675e-08, 6.523029e-10, 3.956714e-09, -6.286770e-09, -7.749511e-10, 3.211885e-09, -4.906247e-09, 8.803804e-10, 2.941340e-09, -3.176913e-11, -1.382535e-10, 4.074543e-09, -1.570089e-09, 3.248655e-10
-7.600000e-02, -5.674506e-09, 2.163685e-09, 6.676194e-10, -6.521232e-09, 4.035665e-09, 7.248599e-10, 2.463937e-10, -2.370314e-09, -7.116650e-10, -9.861424e-09, 3.108803e-09, 1.071769e-09, -1.374614e-08, 8.248357e-09, 3.720809e-10, -3.134226e-09, -1.108018e-09, -1.612812e-09, -8.133822e-11, -2.738461e-09, 7.775003e-10, -4.066914e-09, 3.907174e-09, -6.093855e-10, -6.144340e-09, 3.991750e-09, -8.375294e-10
-7.500000e-02, -5.381730e-09, 2.030890e-09, 7.250315e-10, -5.814982e-09, 3.608493e-09, 9.016424e-10, 9.797861e-10, -2.772256e-09, -5.944687e-10, -1.042532e-08, 3.596982e-09, 1.089965e-09, -1.390932e-08, 8.317450e-09, 6.915135e-10, 2.490325e-11, -3.146575e-09, -1.174356e-09, -1.325008e-09, -1.832667e-09, 5.391377e-10, -4.491571e-09, 4.091461e-09, -4.693083e-10, 5.844231e-09, -3.077491e-09, 5.873865e-10
-7.400000e-02, -6.543785e-09, 2.767375e-09, 5.952320e-10, -6.910046e-09, 4.191743e-09, 1.019450e-09, 8.626896e-09, -7.326391e-09, 3.524951e-10, -1.065181e-08, 3.827876e-09, 1.074083e-09, -1.304706e-08, 7.792126e-09, 1.151009e-09, 1.133984e-08, -9.816784e-09, 2.339947e-10, 4.470085e-09, -5.305691e-09, 6.678413e-10, 4.900170e-09, -1.295660e-09, -5.012537e-10, -1.759427e-09, 2.146015e-09, -3.555373e-10
-7.300000e-02, -6.231343e-09, 2.621247e-09, 2.815426e-10, -7.348017e-09, 4.472587e-09, 2.275124e-10, 2.267055e-09, -3.124395e-09, -3.706325e-10, -1.055484e-08, 3.874067e-09, 4.056056e-10, -1.424152e-08, 8.508476e-09, -3.406140e-10, 1.441781e-09, -3.065820e-09, -9.065202e-10, 1.671576e-09, -3.411681e-09, 7.032464e-10, -2.031974e-10, 1.448931e-09, -3.281968e-10, -1.315697e-09, 1.312513e-09, -2.631883e-10
-7.200000e-02, -5.499907e-09, 2.294245e-09, 7.240989e-10, -6.562360e-09, 3.954453e-09, 9.449356e-10, 7.477379e-10, -2.737256e-09, -4.982617e-10, -9.265223e-09, 3.303273e-09, 1.095043e-09, -1.287480e-08, 7.624275e-09, 7.940567e-10, -6.000384e-10, -2.701685e-09, -1.058143e-09, 1.357568e-09, -3.166968e-09, 5.254953e-10, 1.091497e-10, 1.230642e-09, -4.559366e-10, 2.217782e-09, -5.855905e-10, 1.238913e-10
-7.100000e-02, -5.271093e-09, 2.251419e-09, 7.976198e-10, -5.932221e-09, 3.557334e-09, 1.248978e-09, 4.581127e-09, -5.024203e-09, -5.009035e-12, -9.026937e-09, 3.324555e-09, 1.268322e-09, -1.182433e-08, 6.937736e-09, 1.410788e-09, 5.642862e-09, -6.729328e-09, -2.504394e-10, 3.085857e-09, -4.103664e-09, 5.724575e-10, 3.365335e-09, -5.846091e-10, -3.291137e-10, 8.646072e-10, 3.695944e-10, -2.782113e-11
