mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, 1.885007e+05, 3.095346e+05, -4.353632e+04, 3.095346e+05, 5.461483e+05, 2.639503e+04, -4.353632e+04, 2.639503e+04, 4.809160e+05
-7.900000e-02, 1.804178e+05, 2.962929e+05, -4.189485e+04, 2.962929e+05, 5.227810e+05, 2.494464e+04, -4.189485e+04, 2.494464e+04, 4.598446e+05
-7.800000e-02, 1.722307e+05, 2.827096e+05, -4.061235e+04, 2.827096e+05, 4.985884e+05, 2.279376e+04, -4.061235e+04, 2.279376e+04, 4.400938e+05
-7.700000e-02, 1.642331e+05, 2.696298e+05, -3.858315e+04, 2.696298e+05, 4.757038e+05, 2.221468e+04, -3.858315e+04, 2.221468e+04, 4.201712e+05
-7.600000e-02, 1.567393e+05, 2.572582e+05, -3.633261e+04, 2.572582e+05, 4.536180e+05, 2.177324e+04, -3.633261e+04, 2.177324e+04, 4.004074e+05
-7.500000e-02, 1.489299e+05, 2.444887e+05, -3.492905e+04, 2.444887e+05, 4.314204e+05, 2.044788e+04, -3.492905e+04, 2.044788e+04, 3.816398e+05
-7.400000e-02, 1.420093e+05, 2.330434e+05, -3.372679e+04, 2.330434e+05, 4.109311e+05, 1.855033e+04, -3.372679e+04, 1.855033e+04, 3.623888e+05
-7.300000e-02, 1.347409e+05, 2.211385e+05, -3.160541e+04, 2.211385e+05, 3.900324e+05, 1.835394e+04, -3.160541e+04, 1.835394e+04, 3.442585e+05
-7.200000e-02, 1.280896e+05, 2.104323e+05, -2.993865e+04, 2.104323e+05, 3.713265e+05, 1.706792e+04, -2.993865e+04, 1.706792e+04, 3.250283e+05
-7.100000e-02, 1.211730e+05, 1.989036e+05, -2.800791e+04, 1.989036e+05, 3.507573e+05, 1.671438e+04, -2.800791e+04, 1.671438e+04, 3.082883e+05
-7.000000e-02, 1.147155e+05, 1.883666e+05, -2.646027e+04, 1.883666e+05, 3.321492e+05, 1.572842e+04, -2.646027e+04, 1.572842e+04, 2.910813e+05
-6.900000e-02, 1.077608e+05, 1.768799e+05, -2.514449e+04, 1.768799e+05, 3.120653e+05, 1.496294e+04, -2.514449e+04, 1.496294e+04, 2.759891e+05
-6.800000e-02, 1.019953e+05, 1.675638e+05, -2.352755e+04, 1.675638e+05, 2.955426e+05, 1.407068e+04, -2.352755e+04, 1.407068e+04, 2.589999e+05
-6.700000e-02, 9.530991e+04, 1.564101e+05, -2.250817e+04, 1.564101e+05, 2.759471e+05, 1.298498e+04, -2.250817e+04, 1.298498e+04, 2.450568e+05
-6.600000e-02, 8.951989e+04, 1.470563e+05, -2.058396e+04, 1.470563e+05, 2.595746e+05, 1.286849e+04, -2.058396e+04, 1.286849e+04, 2.294211e+05
-6.500000e-02, 8.421507e+04, 1.382879e+05, -1.979278e+04, 1.382879e+05, 2.437848e+05, 1.091164e+04, -1.979278e+04, 1.091164e+04, 2.141632e+05
