mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, 1.886038e+06, 3.096232e+06, -4.350565e+05, 3.096232e+06, 5.460218e+06, 2.636471e+05, -4.350565e+05, 2.636471e+05, 4.812234e+06
-7.900000e-02, 1.804332e+06, 2.962195e+06, -4.205744e+05, 2.962195e+06, 5.223874e+06, 2.462412e+05, -4.205744e+05, 2.462412e+05, 4.603751e+06
-7.800000e-02, 1.717494e+06, 2.820017e+06, -4.003670e+05, 2.820017e+06, 4.977117e+06, 2.391235e+05, -4.003670e+05, 2.391235e+05, 4.406754e+06
-7.700000e-02, 1.647712e+06, 2.705090e+06, -3.843832e+05, 2.705090e+06, 4.770680e+06, 2.222063e+05, -3.843832e+05, 2.222063e+05, 4.187170e+06
-7.600000e-02, 1.572887e+06, 2.580034e+06, -3.719636e+05, 2.580034e+06, 4.545683e+06, 2.018855e+05, -3.719636e+05, 2.018855e+05, 3.991512e+06
-7.500000e-02, 1.492933e+06, 2.452494e+06, -3.459617e+05, 2.452494e+06, 4.327830e+06, 2.070480e+05, -3.459617e+05, 2.070480e+05, 3.805742e+06
-7.400000e-02, 1.421965e+06, 2.333400e+06, -3.348879e+05, 2.333400e+06, 4.113620e+06, 1.895503e+05, -3.348879e+05, 1.895503e+05, 3.620209e+06
-7.300000e-02, 1.347829e+06, 2.212733e+06, -3.137503e+05, 2.212733e+06, 3.902963e+06, 1.842424e+05, -3.137503e+05, 1.842424e+05, 3.438108e+06
-7.200000e-02, 1.280312e+06, 2.102695e+06, -2.932113e+05, 2.102695e+06, 3.708402e+06, 1.805006e+05, -2.932113e+05, 1.805006e+05, 3.255855e+06
-7.100000e-02, 1.205044e+06, 1.978757e+06, -2.867788e+05, 1.978757e+06, 3.492807e+06, 1.617529e+05, -2.867788e+05, 1.617529e+05, 3.103516e+06
-7.000000e-02, 1.144915e+06, 1.880477e+06, -2.666514e+05, 1.880477e+06, 3.317438e+06, 1.564154e+05, -2.666514e+05, 1.564154e+05, 2.918118e+06
-6.900000e-02, 1.082272e+06, 1.776495e+06, -2.526065e+05, 1.776495e+06, 3.131286e+06, 1.451883e+05, -2.526065e+05, 1.451883e+05, 2.752207e+06
-6.800000e-02, 1.018487e+06, 1.671862e+06, -2.372094e+05, 1.671862e+06, 2.947011e+06, 1.367365e+05, -2.372094e+05, 1.367365e+05, 2.594523e+06
-6.700000e-02, 9.585200e+05, 1.573840e+06, -2.200195e+05, 1.573840e+06, 2.775007e+06, 1.342785e+05, -2.200195e+05, 1.342785e+05, 2.436397e+06
-6.600000e-02, 8.945319e+05, 1.470549e+06, -2.078797e+05, 1.470549e+06, 2.597616e+06, 1.255666e+05, -2.078797e+05, 1.255666e+05, 2.293696e+06
-6.500000e-02, 8.427306e+05, 1.384380e+06, -1.971559e+05, 1.384380e+06, 2.442305e+06, 1.135643e+05, -1.971559e+05, 1.135643e+05, 2.138519e+06
-6.400000e-02, 7.872810e+05, 1.294951e+06, -1.789536e+05, 1.294951e+06, 2.285585e+06, 1.100248e+05, -1.789536e+05, 1.100248e+05, 1.993062e+06
-6.300000e-02, 7.310003e+05, 1.200384e+06, -1.737198e+05, 1.200384e+06, 2.118568e+06, 9.690056e+04, -1.737198e+05, 9.690056e+04, 1.865538e+06
-6.200000e-02, 6.812756e+05, 1.118831e+06, -1.605283e+05, 1.118831e+06, 1.973579e+06, 9.002504e+04, -1.605283e+05, 9.002504e+04, 1.728665e+06
-6.100000e-02, 6.307430e+05, 1.035200e+06, -1.494017e+05, 1.035200e+06, 1.823769e+06, 8.088292e+04, -1.494017e+05, 8.088292e+04, 1.606721e+06
-6.000000e-02, 5.842873e+05, 9.574265e+05, -1.418669e+05, 9.574265e+05, 1.684179e+06, 6.771426e+04, -1.418669e+05, 6.771426e+04, 1.480448e+06
-5.900000e-02, 5.352372e+05, 8.789463e+05, -1.249241e+05, 8.789463e+05, 1.550496e+06, 7.274408e+04, -1.249241e+05, 7.274408e+04, 1.369110e+06
-5.800000e-02, 4.914807e+05, 8.065654e+05, -1.159119e+05, 8.065654e+05, 1.422112e+06, 6.463827e+04, -1.159119e+05, 6.463827e+04, 1.252890e+06
-5.700000e-02, 4.477296e+05, 7.347948e+05, -1.049801e+05, 7.347948e+05, 1.296104e+06, 6.127800e+04, -1.049801e+05, 6.127800e+04, 1.145356e+06
-5.600000e-02, 4.073204e+05, 6.687301e+05, -9.509214e+04, 6.687301e+05, 1.179588e+06, 5.536663e+04, -9.509214e+04, 5.536663e+04, 1.038063e+06
-5.500000e-02, 3.674177e+05, 6.029833e+05, -8.672614e+04, 6.029833e+05, 1.063470e+06, 4.908615e+04, -8.672614e+04, 4.908615e+04, 9.397693e+05
-5.400000e-02, 3.301013e+05, 5.416914e+05, -7.776619e+04, 5.416914e+05, 9.553838e+05, 4.388083e+04, -7.776619e+04, 4.388083e+04, 8.424381e+05
-5.300000e-02, 2.946978e+05, 4.834378e+05, -6.945249e+04, 4.834378e+05, 8.520697e+05, 3.872707e+04, -6.945249e+04, 3.872707e+04, 7.514106e+05
-5.200000e-02, 2.602826e+05, 4.272179e+05, -6.163707e+04, 4.272179e+05, 7.534155e+05, 3.409564e+04, -6.163707e+04, 3.409564e+04, 6.660936e+05
-5.100000e-02, 2.282469e+05, 3.747567e+05, -5.354237e+04, 3.747567e+05, 6.609163e+05, 3.059621e+04, -5.354237e+04, 3.059621e+04, 5.838205e+05
-5.000000e-02, 1.981993e+05, 3.253440e+05, -4.681591e+04, 3.253440e+05, 5.738444e+05, 2.651157e+04, -4.681591e+04, 2.651157e+04, 5.059292e+05
-4.900000e-02, 1.695735e+05, 2.781145e+05, -3.993483e+04, 2.781145e+05, 4.900171e+05, 2.295617e+04, -3.993483e+04, 2.295617e+04, 4.345685e+05
-4.800000e-02, 1.426031e+05, 2.342598e+05, -3.330410e+04, 2.342598e+05, 4.133827e+05, 1.964305e+04, -3.330410e+04, 1.964305e+04, 3.660977e+05
-4.700000e-02, 1.185562e+05, 1.946075e+05, -2.757873e+04, 1.946075e+05, 3.432344e+05, 1.628131e+04, -2.757873e+04, 1.628131e+04, 3.021641e+05
-4.600000e-02, 9.571688e+04, 1.570632e+05, -2.270701e+04, 1.570632e+05, 2.768630e+05, 1.235763e+04, -2.270701e+04, 1.235763e+04, 2.437212e+05
-4.500000e-02, 7.440457e+04, 1.221635e+05, -1.747814e+04, 1.221635e+05, 2.155492e+05, 1.009028e+04, -1.747814e+04, 1.009028e+04, 1.904803e+05
-4.400000e-02, 5.545925e+04, 9.105302e+04, -1.295838e+04, 9.105302e+04, 1.605810e+05, 7.548124e+03, -1.295838e+04, 7.548124e+03, 1.416836e+05
-4.300000e-02, 3.850161e+04, 6.318638e+04, -9.210203e+03, 6.318638e+04, 1.113572e+05, 4.783985e+03, -9.210203e+03, 4.783985e+03, 9.818905e+04
-4.200000e-02, 2.368626e+04, 3.887678e+04, -5.564579e+03, 3.887678e+04, 6.857304e+04, 3.208610e+03, -5.564579e+03, 3.208610e+03, 6.066372e+04
-4.100000e-02, 1.145645e+04, 1.880549e+04, -2.669707e+03, 1.880549e+04, 3.316800e+04, 1.570955e+03, -2.669707e+03, 1.570955e+03, 2.922771e+04
-4.000000e-02, 2.510372e+03, 4.120044e+03, -5.929647e+02, 4.120044e+03, 7.264347e+03, 3.302656e+02, -5.929647e+02, 3.302656e+02, 6.414227e+03
-3.947559e-02, 3.609212e+01, 5.924746e+01, -8.526181e+00, 5.924746e+01, 1.045191e+02, 4.876928e+00, -8.526181e+00, 4.876928e+00, 9.310289e+01
-3.946505e-02, 2.121796e+01, 3.483114e+01, -5.029336e+00, 3.483114e+01, 6.141491e+01, 2.797345e+00, -5.029336e+00, 2.797345e+00, 5.476227e+01
-3.945810e-02, 1.343395e+01, 2.207279e+01, -3.116997e+00, 2.207279e+01, 3.896201e+01, 1.920797e+00, -3.116997e+00, 1.920797e+00, 3.485481e+01
-3.945353e-02, 9.416137e+00, 1.545751e+01, -2.214937e+00, 1.545751e+01, 2.726708e+01, 1.297017e+00, -2.214937e+00, 1.297017e+00, 2.450115e+01
-3.945054e-02, 7.260906e+00, 1.192272e+01, -1.712338e+00, 1.192272e+01, 2.104820e+01, 1.028858e+00, -1.712338e+00, 1.028858e+00, 1.902793e+01
-3.944860e-02, 6.123406e+00, 1.004131e+01, -1.452413e+00, 1.004131e+01, 1.769204e+01, 8.274409e-01, -1.452413e+00, 8.274409e-01, 1.592526e+01
-3.944733e-02, 5.444545e+00, 8.940393e+00, -1.300706e+00, 8.940393e+00, 1.577517e+01, 7.220913e-01, -1.300706e+00, 7.220913e-01, 1.417760e+01
-3.944652e-02, 5.052776e+00, 8.290908e+00, -1.194899e+00, 8.290908e+00, 1.461425e+01, 6.852266e-01, -1.194899e+00, 6.852266e-01, 1.317099e+01
-3.944601e-02, 4.817909e+00, 7.906448e+00, -1.165713e+00, 7.906448e+00, 1.393699e+01, 6.071160e-01, -1.165713e+00, 6.071160e-01, 1.255299e+01
-3.944568e-02, 4.674014e+00, 7.666046e+00, -1.112302e+00, 7.666046e+00, 1.351267e+01, 6.277121e-01, -1.112302e+00, 6.277121e-01, 1.216104e+01
-3.944548e-02, 4.581136e+00, 7.519970e+00, -1.085255e+00, 7.519970e+00, 1.326109e+01, 6.153195e-01, -1.085255e+00, 6.153195e-01, 1.192550e+01
-3.944535e-02, 4.524147e+00, 7.427542e+00, -1.052470e+00, 7.427542e+00, 1.310644e+01, 6.513292e-01, -1.052470e+00, 6.513292e-01, 1.178254e+01
-3.944527e-02, 4.477029e+00, 7.355200e+00, -1.053373e+00, 7.355200e+00, 1.298400e+01, 6.254614e-01, -1.053373e+00, 6.254614e-01, 1.174862e+01
-3.944523e-02, 4.474811e+00, 7.347353e+00, -1.053548e+00, 7.347353e+00, 1.295883e+01, 6.129912e-01, -1.053548e+00, 6.129912e-01, 1.166487e+01
-3.944520e-02, 4.461412e+00, 7.320474e+00, -1.047410e+00, 7.320474e+00, 1.290713e+01, 6.208271e-01, -1.047410e+00, 6.208271e-01, 1.164715e+01
-3.944519e-02, 4.446241e+00, 7.295378e+00, -1.047899e+00, 7.295378e+00, 1.286807e+01, 6.287642e-01, -1.047899e+00, 6.287642e-01, 1.165057e+01
-3.944518e-02, 4.451783e+00, 7.303343e+00, -1.062771e+00, 7.303343e+00, 1.287805e+01, 5.953806e-01, -1.062771e+00, 5.953806e-01, 1.161748e+01
-3.944515e-02, 4.442224e+00, 7.290302e+00, -1.065373e+00, 7.290302e+00, 1.285916e+01, 5.928434e-01, -1.065373e+00, 5.928434e-01, 1.159767e+01
-3.944510e-02, 4.423461e+00, 7.260221e+00, -1.047178e+00, 7.260221e+00, 1.280044e+01, 5.966961e-01, -1.047178e+00, 5.966961e-01, 1.154099e+01
-3.944503e-02, 4.392608e+00, 7.204552e+00, -1.051428e+00, 7.204552e+00, 1.270145e+01, 5.852535e-01, -1.051428e+00, 5.852535e-01, 1.145863e+01
-3.944490e-02, 4.340612e+00, 7.126091e+00, -1.023185e+00, 7.126091e+00, 1.256681e+01, 5.967581e-01, -1.023185e+00, 5.967581e-01, 1.132761e+01
