mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -3.721757e-06, 2.218105e-06, -3.417934e-07, -1.205166e-05, 6.919188e-06, -1.786075e-06, -2.628398e-05, 1.536866e-05, -3.040685e-06, -7.695882e-06, 4.421532e-06, -1.860297e-06, -1.116794e-05, 6.460793e-06, -2.718715e-06, 1.037725e-05, -4.713320e-06, 1.358090e-06, 3.262247e-05, -1.946043e-05, 2.791560e-06, 6.472010e-05, -3.700766e-05, 6.469150e-06, 3.656592e-05, -1.996525e-05, 4.312479e-06
-7.900000e-02, 1.184686e-05, -7.006295e-06, 1.436726e-06, 1.294854e-05, -7.379638e-06, 7.878738e-07, -3.614514e-05, 2.136984e-05, -4.371622e-06, 2.369847e-06, -1.328716e-06, 8.091789e-07, -6.541227e-06, 3.756715e-06, -9.507074e-07, -4.985650e-05, 2.871878e-05, -6.003589e-06, 3.213950e-05, -1.911431e-05, 3.178084e-06, 5.631713e-05, -3.219156e-05, 5.531262e-06, 6.615641e-07, 7.107068e-07, -4.078633e-09
-7.800000e-02, 1.056050e-06, -1.015338e-06, -2.606585e-06, 1.520404e-05, -8.543730e-06, -1.632906e-06, 6.288653e-05, -3.292691e-05, 7.625234e-06, -1.856121e-05, 1.051959e-05, -5.484459e-06, 5.216836e-06, -2.893651e-06, -1.253633e-06, 1.770220e-04, -9.970099e-05, 2.162231e-05, -6.237661e-05, 3.692550e-05, -7.500043e-06, -1.147915e-04, 6.574920e-05, -1.427925e-05, -2.737227e-05, 1.572928e-05, -3.264423e-06
-7.700000e-02, -2.275632e-05, 1.358727e-05, -1.869563e-06, -4.626506e-05, 2.645383e-05, -4.653946e-06, -3.067523e-05, 1.678184e-05, -3.624370e-06, 8.616713e-06, -5.243514e-06, 2.181609e-08, 1.108713e-05, -6.245029e-06, -8.590750e-07, -1.850126e-05, 1.254895e-05, -2.266963e-06, 3.360966e-05, -2.017866e-05, 1.968470e-06, 6.409337e-05, -3.655707e-05, 4.534390e-06, 2.553617e-05, -1.188606e-05, 2.921231e-06
-7.600000e-02, 1.485661e-06, -7.225435e-07, 1.272547e-06, -1.271675e-05, 7.265909e-06, -1.154912e-06, -7.208501e-05, 4.092741e-05, -8.825395e-06, 1.613407e-06, -9.635560e-07, 1.512598e-07, -1.593741e-05, 9.219801e-06, -3.916974e-06, -8.855795e-05, 5.250044e-05, -1.108096e-05, 4.629687e-05, -2.717062e-05, 7.213209e-06, 8.120174e-05, -4.662537e-05, 1.264842e-05, 1.218136e-06, -2.963477e-06, 2.812749e-07
-7.500000e-02, 2.395910e-05, -1.425192e-05, 2.348194e-06, 3.788181e-05, -2.162761e-05, 3.179551e-06, -1.873587e-05, 1.194442e-05, -2.301551e-06, 8.880766e-06, -5.356907e-06, 3.410996e-07, 1.285627e-05, -7.287717e-06, -1.004784e-08, -1.254889e-05, 8.566370e-06, -1.516325e-06, 1.705417e-05, -1.027926e-05, 6.914673e-07, 2.826593e-05, -1.607015e-05, 8.185565e-07, -6.466251e-06, 5.906106e-06, -8.894602e-07
-7.400000e-02, -1.382494e-05, 8.042184e-06, -2.632178e-06, -3.654323e-05, 2.106410e-05, -7.322293e-06, -5.838464e-05, 3.601308e-05, -7.172891e-06, 1.593160e-05, -9.659359e-06, 2.788691e-07, 1.856153e-05, -1.044749e-05, -1.610620e-06, -4.381731e-05, 2.848397e-05, -5.485235e-06, 2.864204e-05, -1.681236e-05, 4.401785e-06, 4.972956e-05, -2.855393e-05, 7.606916e-06, -1.617795e-06, -4.722307e-07, -1.092405e-07
-7.300000e-02, -2.507972e-06, 1.386075e-06, -9.921284e-07, -5.121973e-06, 2.994194e-06, -1.908536e-06, -3.569367e-06, 3.168588e-06, -5.602007e-07, 1.072435e-05, -6.162008e-06, 2.566483e-06, 5.402858e-06, -3.139843e-06, 1.550898e-06, -6.253183e-05, 3.501152e-05, -7.561306e-06, 8.616517e-06, -4.904516e-06, 2.420431e-06, 2.191452e-05, -1.269520e-05, 5.737801e-06, 3.238604e-05, -2.120083e-05, 4.005943e-06
-7.200000e-02, 8.180734e-06, -4.854964e-06, 8.897073e-07, 4.458906e-06, -2.498759e-06, -6.413442e-07, -4.593687e-05, 2.733969e-05, -5.597194e-06, -1.193873e-06, 8.666750e-07, 9.851610e-07, -1.608728e-05, 9.189188e-06, -1.348279e-06, -6.540886e-05, 3.695111e-05, -7.858836e-06, 4.422615e-05, -2.649905e-05, 3.015893e-06, 7.319212e-05, -4.170078e-05, 4.249042e-06, -1.893030e-05, 1.491598e-05, -2.502816e-06
-7.100000e-02, -4.746843e-06, 2.884696e-06, -3.170621e-08, -3.830865e-06, 2.131478e-06, 9.618573e-07, 2.114432e-05, -1.334243e-05, 2.794473e-06, 8.202776e-06, -4.900531e-06, 6.180429e-07, 1.980574e-05, -1.133935e-05, 2.300707e-06, 2.598680e-05, -1.482055e-05, 3.441568e-06, -1.041853e-05, 6.288506e-06, -4.901379e-07, -1.283536e-05, 7.251713e-06, 3.556450e-07, 2.496476e-05, -1.625962e-05, 3.096112e-06
