mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, 3.408103e-11, 6.039836e-11, -7.549374e-12, 6.066675e-11, 9.919402e-11, -8.030709e-12, -6.538768e-12, -6.351437e-12, 1.066632e-10
-7.900000e-02, 3.041000e-11, 5.133886e-11, -9.077325e-12, 5.167425e-11, 8.195541e-11, -9.658436e-12, -7.755271e-12, -7.400331e-12, 1.040763e-10
-7.800000e-02, 3.066201e-11, 5.322411e-11, -6.100579e-12, 5.346160e-11, 8.560343e-11, -7.479041e-12, -5.053864e-12, -5.737820e-12, 9.195227e-11
-7.700000e-02, 3.237485e-11, 5.735524e-11, -5.871574e-12, 5.757382e-11, 9.589291e-11, -4.703997e-12, -4.912255e-12, -3.235904e-12, 9.517177e-11
-7.600000e-02, 2.652880e-11, 4.281717e-11, -1.104846e-11, 4.310475e-11, 6.634734e-11, -1.272842e-11, -9.714146e-12, -1.042878e-11, 9.234736e-11
-7.500000e-02, 2.563819e-11, 4.498321e-11, -5.136428e-12, 4.525486e-11, 7.519532e-11, -2.155439e-12, -4.065514e-12, -3.679525e-13, 9.235882e-11
-7.400000e-02, 2.383790e-11, 4.038055e-11, -5.858716e-12, 4.069524e-11, 6.751135e-11, -3.588215e-12, -4.615187e-12, -1.443526e-12, 8.407859e-11
-7.300000e-02, 2.103385e-11, 3.800238e-11, -2.703709e-12, 3.830085e-11, 6.431985e-11, -2.810620e-12, -1.476203e-12, -7.595866e-13, 6.904521e-11
-7.200000e-02, 2.171516e-11, 3.614472e-11, -5.557618e-12, 3.639943e-11, 5.763155e-11, -3.680322e-12, -4.566182e-12, -1.925704e-12, 7.554953e-11
-7.100000e-02, 2.202245e-11, 3.645861e-11, -8.536426e-12, 3.674375e-11, 5.747928e-11, -1.087135e-11, -7.520832e-12, -9.118741e-12, 6.897344e-11
-7.000000e-02, 2.063359e-11, 3.495291e-11, -6.892556e-12, 3.519615e-11, 5.802986e-11, -3.705136e-12, -5.987937e-12, -2.187714e-12, 7.499116e-11
-6.900000e-02, 1.986327e-11, 3.318670e-11, -7.500722e-12, 3.343874e-11, 5.170748e-11, -1.014328e-11, -6.662067e-12, -8.678296e-12, 5.767322e-11
-6.800000e-02, 1.794075e-11, 3.215663e-11, -1.885094e-12, 3.236412e-11, 5.466410e-11, -5.044283e-13, -9.983343e-13, 9.707994e-13, 5.498378e-11
