mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 6.500178e-06, -3.755179e-06, 9.360478e-06, -1.116674e+02, 6.447120e+01, -2.459508e+01, -5.237731e+02, 3.098583e+02, -6.314466e+01, 1.116674e+02, -6.447120e+01, 2.459508e+01, -4.636254e-06, 2.675976e-06, -6.086595e-06, -9.150545e+02, 5.240012e+02, -1.095083e+02, 5.237731e+02, -3.098583e+02, 6.314465e+01, 9.150545e+02, -5.240012e+02, 1.095083e+02, -1.387700e-05, 8.202473e-06, -6.548410e-05
-7.900000e-02, -9.862286e-07, 5.513253e-07, -1.783272e-05, -1.173754e+02, 6.776669e+01, -2.581561e+01, -5.522416e+02, 3.266946e+02, -6.666327e+01, 1.173754e+02, -6.776669e+01, 2.581559e+01, 1.046094e-06, -6.099873e-07, 1.795610e-05, -9.643832e+02, 5.522502e+02, -1.154694e+02, 5.522416e+02, -3.266946e+02, 6.666323e+01, 9.643831e+02, -5.522502e+02, 1.154693e+02, -4.626906e-07, 4.136108e-07, -2.468011e-06
-7.800000e-02, -1.635468e-06, 9.404417e-07, -6.252371e-06, -1.305076e+02, 7.534859e+01, -2.874208e+01, -6.133239e+02, 3.628201e+02, -7.419088e+01, 1.305076e+02, -7.534859e+01, 2.874207e+01, 1.127078e-06, -6.519840e-07, 5.363897e-06, -1.070918e+03, 6.132620e+02, -1.284648e+02, 6.133239e+02, -3.628201e+02, 7.419088e+01, 1.070918e+03, -6.132620e+02, 1.284648e+02, 3.786926e-06, -2.189710e-06, 1.777122e-05
-7.700000e-02, -8.843947e-07, 5.243769e-07, 1.071633e-05, -1.227405e+02, 7.086424e+01, -2.707211e+01, -5.759233e+02, 3.406872e+02, -6.979643e+01, 1.227405e+02, -7.086424e+01, 2.707212e+01, 1.599809e-06, -9.190595e-07, -9.474593e-06, -1.005856e+03, 5.760099e+02, -1.209435e+02, 5.759233e+02, -3.406872e+02, 6.979644e+01, 1.005856e+03, -5.760099e+02, 1.209435e+02, -5.374388e-06, 2.918797e-06, -2.483726e-05
-7.600000e-02, -3.531646e-06, 2.064102e-06, 1.616692e-05, -1.198055e+02, 6.916972e+01, -2.645206e+01, -5.619274e+02, 3.323971e+02, -6.827480e+01, 1.198055e+02, -6.916972e+01, 2.645207e+01, 3.976823e-06, -2.287651e-06, -1.541099e-05, -9.813461e+02, 5.619800e+02, -1.182874e+02, 5.619273e+02, -3.323971e+02, 6.827483e+01, 9.813461e+02, -5.619800e+02, 1.182875e+02, -3.386713e-06, 1.577798e-06, -1.512021e-05
-7.500000e-02, -1.744354e-06, 9.913491e-07, -1.709691e-05, -1.248928e+02, 7.210690e+01, -2.747714e+01, -5.875314e+02, 3.475683e+02, -7.097242e+01, 1.248928e+02, -7.210690e+01, 2.747712e+01, 1.182180e-06, -6.877835e-07, 1.612614e-05, -1.025874e+03, 5.874638e+02, -1.228868e+02, 5.875314e+02, -3.475683e+02, 7.097240e+01, 1.025874e+03, -5.874638e+02, 1.228867e+02, 4.188488e-06, -2.304476e-06, 1.941714e-05
-7.400000e-02, 1.613560e-06, -9.371662e-07, -2.136290e-06, -1.324080e+02, 7.644580e+01, -2.915658e+01, -6.219363e+02, 3.679214e+02, -7.512606e+01, 1.324080e+02, -7.644580e+01, 2.915658e+01, -1.927120e-06, 1.110765e-06, 1.591583e-06, -1.086006e+03, 6.218983e+02, -1.300991e+02, 6.219363e+02, -3.679214e+02, 7.512606e+01, 1.086006e+03, -6.218983e+02, 1.300991e+02, 2.372978e-06, -1.253648e-06, 1.089520e-05
-7.300000e-02, 7.120984e-06, -4.130535e-06, -4.634876e-06, -1.391526e+02, 8.033979e+01, -3.061045e+01, -6.535843e+02, 3.866601e+02, -7.868245e+01, 1.391526e+02, -8.033979e+01, 3.061045e+01, -6.419899e-06, 3.700119e-06, 5.884910e-06, -1.141505e+03, 6.536714e+02, -1.363349e+02, 6.535843e+02, -3.866601e+02, 7.868243e+01, 1.141505e+03, -6.536714e+02, 1.363349e+02, -5.153093e-06, 3.383742e-06, -2.500312e-05
-7.200000e-02, 5.364082e-06, -3.087606e-06, 1.774366e-05, -1.417918e+02, 8.186356e+01, -3.125880e+01, -6.648451e+02, 3.933034e+02, -8.033771e+01, 1.417918e+02, -8.186356e+01, 3.125882e+01, -5.349366e-06, 3.091574e-06, -1.772730e-05, -1.161002e+03, 6.648463e+02, -1.391497e+02, 6.648452e+02, -3.933034e+02, 8.033774e+01, 1.161002e+03, -6.648463e+02, 1.391497e+02, -3.399350e-08, 1.022158e-07, -3.272226e-07
-7.100000e-02, 4.700157e-06, -2.724984e-06, -1.859115e-06, -1.521678e+02, 8.785414e+01, -3.349618e+01, -7.146357e+02, 4.227676e+02, -8.620149e+01, 1.521678e+02, -8.785414e+01, 3.349618e+01, -4.656022e-06, 2.684373e-06, 1.948080e-06, -1.247969e+03, 7.146419e+02, -1.493091e+02, 7.146357e+02, -4.227676e+02, 8.620149e+01, 1.247969e+03, -7.146419e+02, 1.493091e+02, -2.639105e-07, 4.189368e-07, -1.779479e-06
