mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, 1.555575e-11, 2.623359e-11, -1.679826e-11, 3.107685e-11, 5.110024e-11, -3.095212e-11, -2.154256e-11, -2.654103e-11, 3.233790e-11, 1.383195e-10, 3.668393e-11, -1.262008e-10, 2.259072e-10, 1.284492e-11, -2.475325e-10, -7.598422e-11, -1.484346e-10, -3.587418e-11, -3.899341e-11, -3.526332e-11, 1.221664e-11, -7.259575e-11, -5.863714e-11, 2.243099e-11, 3.999187e-11, 5.013972e-11, 1.131808e-12
-9.875000e-02, -4.737101e-11, -1.849769e-11, 2.838073e-11, -7.818316e-11, -1.831095e-11, 5.758336e-11, 2.667311e-11, 5.862114e-11, 3.181046e-11, 1.402892e-11, -2.844147e-11, 9.521447e-11, 7.814139e-12, -8.382830e-11, 1.749643e-10, 2.923062e-11, -1.385363e-11, -2.207079e-10, -3.962938e-11, -4.118456e-12, -3.248804e-11, -8.962703e-11, -2.601899e-11, -6.578602e-11, 9.285170e-11, -3.597481e-11, -3.544401e-11
-9.750000e-02, -8.484086e-13, 3.045908e-11, -2.206684e-11, -4.013666e-13, 5.958550e-11, -4.170601e-11, 1.765023e-13, -3.094902e-11, 3.703032e-11, 5.554468e-11, 5.435829e-11, -6.971696e-11, 7.500223e-11, 5.421362e-11, -1.406103e-10, 2.007833e-11, -1.537198e-10, -8.315236e-11, -8.912470e-11, -3.641373e-11, -5.739504e-11, -1.796960e-10, -8.608290e-11, -1.107073e-10, 1.448925e-10, 4.504406e-12, 2.953324e-12
-9.625000e-02, 5.840535e-11, -3.172375e-11, -3.639444e-13, 8.687103e-11, -9.714550e-11, -6.833301e-12, -1.409706e-11, -2.978665e-11, -1.277657e-10, -3.987485e-11, 3.677755e-11, 2.726395e-11, -6.289517e-11, 8.837440e-11, 5.606306e-11, 9.018801e-12, -1.004322e-11, 4.686325e-11, 1.531550e-10, 6.164056e-12, -3.216570e-11, 2.450306e-10, -5.592127e-11, -7.262360e-11, -7.260636e-11, -1.362718e-10, -2.103795e-10
-9.500000e-02, 3.294545e-11, -2.642989e-11, -1.464263e-12, 6.240947e-11, -5.009221e-11, -1.933482e-12, -4.573909e-11, 3.699511e-11, 7.627487e-12, 2.777574e-11, 2.662707e-11, 4.593184e-11, 4.907307e-11, 4.382754e-11, 8.678265e-11, -3.187557e-11, -4.137970e-11, -7.008082e-11, -8.002114e-11, -1.166662e-11, 1.188697e-10, -1.271702e-10, 1.995001e-11, 2.310395e-10, 3.480005e-11, 8.933292e-11, -1.164122e-11
-9.375000e-02, 4.122206e-11, -2.808672e-11, -9.168746e-11, 6.156317e-11, -7.721368e-11, -1.772765e-10, -1.284060e-11, -8.715324e-12, 3.519615e-11, -7.900053e-12, 9.136856e-12, 4.542121e-13, -1.747675e-11, 1.438847e-11, 2.074474e-13, 9.891600e-12, -1.327825e-11, -3.134353e-13, -1.467560e-11, -8.438051e-11, -1.194111e-10, -5.307597e-11, -1.986059e-10, -2.302720e-10, 9.396602e-11, 3.302936e-11, 4.423150e-12
-9.250000e-02, 3.311064e-11, 3.611547e-11, 4.157089e-12, 6.914817e-11, 7.797395e-11, 1.041824e-11, -6.379520e-11, -2.435791e-11, 3.672144e-11, 8.124588e-12, 1.011061e-11, -1.227981e-10, 1.708531e-11, 1.832378e-11, -2.295956e-10, -1.482456e-11, -1.121398e-11, 1.673484e-10, 1.283920e-11, -5.881313e-11, -4.393189e-11, 2.217943e-11, -1.133759e-10, -8.113990e-11, -1.016186e-11, 7.002973e-11, 4.183167e-11
-9.125000e-02, 3.561325e-11, 9.219560e-13, 7.590381e-12, 6.813286e-11, 2.938434e-12, 1.494164e-11, -5.187627e-11, 2.910327e-12, 8.708946e-13, -6.657026e-11, 2.704718e-11, 5.188842e-11, -9.957680e-11, 9.240268e-11, 1.053211e-10, 6.714874e-12, 4.491549e-11, 9.265557e-11, 1.017462e-10, -7.340419e-11, -1.203078e-10, 1.531822e-10, -1.941382e-10, -2.379491e-10, -2.470889e-11, -1.544153e-11, -5.812325e-11
-9.000000e-02, -1.219727e-11, -2.098467e-11, 4.218668e-11, -1.396279e-11, -2.682129e-11, 8.257161e-11, -8.720621e-12, 5.513067e-11, -1.951852e-12, -5.928450e-11, 2.865841e-11, 5.373147e-11, -1.085601e-10, 5.573423e-11, 1.029054e-10, 7.128371e-11, -2.699175e-11, -5.527548e-11, 1.620632e-11, 2.686649e-11, -6.733333e-11, 1.822979e-11, 3.403701e-11, -1.295829e-10, 1.286589e-11, -7.283208e-11, 1.739709e-11
-8.875000e-02, -3.645559e-11, 8.512814e-12, 1.970392e-11, -5.698185e-11, 3.361611e-11, 4.103694e-11, 1.179440e-11, 2.473344e-11, 4.521400e-11, 7.829857e-13, -5.505605e-12, -2.414127e-11, -1.686970e-11, -4.306296e-11, -4.992603e-11, 4.963225e-11, -4.781703e-11, -7.518179e-11, -3.343464e-11, 1.520672e-11, 1.496671e-10, -4.040921e-11, 6.567104e-11, 2.891795e-10, -1.904044e-11, 4.842416e-11, -6.549831e-11
