mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -1.129129e-12, 6.679187e-13, -1.702834e-13, -1.035687e-12, 6.107373e-13, -9.496805e-14, 4.016021e-12, -2.324067e-12, 4.741294e-13, -3.556008e-15, -8.284584e-15, -1.076435e-13, 7.763820e-13, -4.173437e-13, -2.245266e-14, 3.120374e-12, -1.656926e-12, 3.504951e-13, -2.186663e-12, 1.278647e-12, -3.950998e-13, -3.768029e-12, 2.160794e-12, -6.673527e-13, 4.310818e-13, -1.850344e-14, 4.357874e-14
-7.900000e-02, 3.060842e-14, -1.165871e-14, 1.023107e-14, 1.055396e-13, -4.193393e-14, 2.435632e-14, -1.275922e-13, 6.979496e-14, -1.231541e-14, 1.030096e-12, -6.057079e-13, 8.833496e-14, 1.624474e-12, -8.984128e-13, 1.117321e-13, -1.381247e-12, 8.828817e-13, -1.661130e-13, 2.999050e-13, -1.602639e-13, 1.673575e-13, 2.961312e-13, -1.881700e-13, 2.446820e-13, -9.359617e-13, 3.722035e-13, -1.027325e-13
-7.800000e-02, -7.268028e-13, 4.387239e-13, -6.311587e-14, -1.004803e-12, 5.924763e-13, -5.286983e-14, 8.570582e-13, -5.383691e-13, 1.067214e-13, -7.375040e-13, 4.448034e-13, -1.009189e-13, -1.557227e-12, 9.261074e-13, -2.370576e-13, -1.919733e-12, 1.174017e-12, -2.343877e-13, -9.572657e-13, 5.563653e-13, -2.112281e-13, -1.828405e-12, 1.053328e-12, -4.005943e-13, -6.107362e-13, 5.400973e-13, -8.136762e-14
-7.700000e-02, -4.536342e-13, 2.749160e-13, -4.023548e-14, -7.742163e-13, 4.594518e-13, -6.952265e-14, -3.225542e-13, 1.716238e-13, -3.572337e-14, 1.133727e-12, -6.804894e-13, 1.743566e-14, 2.291971e-12, -1.272206e-12, 9.011562e-14, 7.945665e-13, -2.723904e-13, 9.137693e-14, -1.243330e-12, 7.306593e-13, -1.856779e-13, -2.051552e-12, 1.180132e-12, -2.958472e-13, 6.399543e-13, -3.056762e-13, 7.690959e-14
-7.600000e-02, -5.161035e-14, 2.873288e-14, -3.514317e-14, 3.999179e-13, -2.102603e-13, 4.361448e-14, 1.939439e-12, -1.097012e-12, 2.406382e-13, 1.490201e-13, -8.876911e-14, -4.998092e-14, 6.701609e-13, -3.552110e-13, 2.971152e-15, 1.378166e-12, -7.005796e-13, 1.748214e-13, -2.759749e-12, 1.605598e-12, -5.632547e-13, -4.901866e-12, 2.813827e-12, -9.953670e-13, -2.359687e-13, 5.074817e-13, -4.641072e-14
-7.500000e-02, 1.081734e-14, 5.986121e-15, 6.573687e-14, 1.300878e-13, -6.354428e-14, 1.351700e-13, 1.398927e-13, -1.774530e-13, 1.769206e-14, -7.648601e-13, 4.488126e-13, -1.946231e-13, -1.122052e-12, 6.775023e-13, -2.956826e-13, 4.330492e-13, -7.989555e-14, 3.724979e-14, -4.942578e-13, 2.798999e-13, -1.428016e-13, -8.593977e-13, 5.034512e-13, -2.493521e-13, 1.105556e-13, 9.404798e-14, 5.950715e-15
-7.400000e-02, 4.077393e-13, -2.364753e-13, 5.554541e-14, 1.312612e-12, -7.327360e-13, 2.248131e-13, 2.404539e-12, -1.426947e-12, 2.814471e-13, -1.468000e-13, 9.316059e-14, -2.928538e-14, 1.935527e-13, -7.929575e-14, 3.973949e-14, 1.376331e-12, -7.922387e-13, 1.475458e-13, -1.659169e-12, 9.803629e-13, -1.980942e-13, -2.846321e-12, 1.621547e-12, -3.305720e-13, 3.686591e-13, -1.728140e-13, 4.307677e-14
-7.300000e-02, 1.376270e-12, -8.158963e-13, 1.366216e-13, 2.651871e-12, -1.489900e-12, 2.826411e-13, 6.578974e-13, -3.395893e-13, 7.622548e-14, 8.139456e-13, -4.759488e-13, 7.203543e-14, 1.818628e-12, -1.004088e-12, 2.048559e-13, 1.118136e-12, -5.982001e-13, 1.317074e-13, 2.418288e-12, -1.428540e-12, 3.083326e-13, 3.998764e-12, -2.297972e-12, 4.873118e-13, -9.009715e-13, 5.336689e-13, -1.077035e-13
-7.200000e-02, 7.179485e-13, -4.365216e-13, -1.336466e-14, 1.413837e-12, -7.770933e-13, 4.292054e-15, 2.740414e-13, 5.592771e-15, 2.553529e-14, 2.635132e-13, -1.629946e-13, -6.028853e-14, 1.248211e-12, -6.802609e-13, 6.259088e-14, 2.952575e-12, -1.593768e-12, 3.509307e-13, -9.098580e-13, 5.645530e-13, 2.454812e-14, -2.049878e-12, 1.164322e-12, -4.793782e-14, -1.962837e-12, 9.815786e-13, -2.250850e-13
-7.100000e-02, 4.718593e-13, -2.693126e-13, 7.898438e-14, 6.323218e-13, -3.369076e-13, 9.111656e-14, -1.339311e-12, 7.668672e-13, -1.585309e-13, -5.402164e-13, 3.271228e-13, -8.371628e-14, -7.070569e-13, 4.471405e-13, -1.002083e-13, 2.942677e-13, -1.285868e-13, 3.502099e-14, -1.747192e-12, 1.030827e-12, -2.722697e-13, -3.166884e-12, 1.815673e-12, -4.963305e-13, -3.949132e-13, 3.601875e-13, -5.319652e-14
