mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 8.692767e-02, -7.274656e-02, 9.492608e-02, 1.508376e+03, 2.420604e+03, 4.423224e+02, -4.310929e+03, 4.566991e+03, 8.788318e+03, -1.508256e+03, -2.420704e+03, -4.421906e+02, -9.807652e-02, 8.213930e-02, -1.077234e-01, -6.161635e+03, 1.172709e+04, 1.711233e+04, 4.311262e+03, -4.567264e+03, -8.788002e+03, 6.161904e+03, -1.172731e+04, -1.711201e+04, 3.144558e-01, -2.534346e-01, 2.468026e-01
-7.900000e-02, 1.295836e-01, -1.173235e-01, 1.373063e-01, 1.602472e+03, 2.569036e+03, 4.675999e+02, -4.566531e+03, 4.844027e+03, 9.315100e+03, -1.602405e+03, -2.569107e+03, -4.675232e+02, -8.180139e-02, 7.989767e-02, -9.002302e-02, -6.506454e+03, 1.245325e+04, 1.813095e+04, 4.566655e+03, -4.844099e+03, -9.314992e+03, 6.506835e+03, -1.245364e+04, -1.813052e+04, -3.062159e-01, 3.623355e-01, -3.732624e-01
-7.800000e-02, 4.434554e-02, -6.710687e-02, 3.423626e-02, 1.637360e+03, 2.619301e+03, 4.729654e+02, -4.600400e+03, 4.964972e+03, 9.458090e+03, -1.637368e+03, -2.619339e+03, -4.729650e+02, -1.006534e-02, 4.448329e-02, -1.161114e-02, -6.554036e+03, 1.272104e+04, 1.841753e+04, 4.600339e+03, -4.965005e+03, -9.458120e+03, 6.554161e+03, -1.272127e+04, -1.841743e+04, -3.205318e-01, 2.250937e-01, -2.133324e-01
-7.700000e-02, -3.753769e-02, 4.946625e-02, -3.245187e-02, 1.712790e+03, 2.754006e+03, 5.071946e+02, -4.910472e+03, 5.213612e+03, 1.001974e+04, -1.712837e+03, -2.753940e+03, -5.072516e+02, 3.950784e-02, -5.449724e-02, 4.372390e-02, -7.003791e+03, 1.339423e+04, 1.950581e+04, 4.910345e+03, -5.213435e+03, -1.001988e+04, 7.003676e+03, -1.339407e+04, -1.950592e+04, -1.015647e-01, 1.524446e-01, -1.609238e-01
-7.600000e-02, 6.020594e-02, -7.108341e-02, 5.595374e-02, 1.920715e+03, 3.076628e+03, 5.583414e+02, -5.431659e+03, 5.823683e+03, 1.113350e+04, -1.920662e+03, -3.076703e+03, -5.582771e+02, -5.043215e-02, 6.697933e-02, -5.577411e-02, -7.750797e+03, 1.492966e+04, 2.168092e+04, 5.431788e+03, -5.823857e+03, -1.113336e+04, 7.750978e+03, -1.492989e+04, -2.168073e+04, 7.260733e-03, -5.284178e-02, 5.975904e-02
-7.500000e-02, 1.071093e-02, -2.121482e-02, 5.900966e-03, 1.794001e+03, 2.875742e+03, 5.234111e+02, -5.080874e+03, 5.448816e+03, 1.041528e+04, -1.793989e+03, -2.875770e+03, -5.233945e+02, -1.034086e-02, 2.318741e-02, -1.158193e-02, -7.250587e+03, 1.396762e+04, 2.028257e+04, 5.080905e+03, -5.448890e+03, -1.041523e+04, 7.250620e+03, -1.396768e+04, -2.028255e+04, 1.776236e-02, -6.266537e-02, 6.956576e-02
-7.400000e-02, -9.765131e-02, 9.833949e-02, -9.877488e-02, 1.797505e+03, 2.889697e+03, 5.319219e+02, -5.136638e+03, 5.482576e+03, 1.050611e+04, -1.797544e+03, -2.889638e+03, -5.319700e+02, 5.495593e-02, -6.645104e-02, 6.067631e-02, -7.339655e+03, 1.405878e+04, 2.046053e+04, 5.136583e+03, -5.482519e+03, -1.050616e+04, 7.339370e+03, -1.405846e+04, -2.046084e+04, 3.112340e-01, -3.113103e-01, 3.138453e-01
-7.300000e-02, -4.353105e-02, 2.472962e-02, -5.307114e-02, 1.916595e+03, 3.072769e+03, 5.597202e+02, -5.420613e+03, 5.831904e+03, 1.112778e+04, -1.916649e+03, -3.072741e+03, -5.597766e+02, 4.592341e-02, -2.465389e-02, 5.022766e-02, -7.730919e+03, 1.494397e+04, 2.167029e+04, 5.420465e+03, -5.831834e+03, -1.112790e+04, 7.730785e+03, -1.494389e+04, -2.167046e+04, -1.190761e-01, 3.821323e-02, -2.701158e-02
-7.200000e-02, 2.320318e-02, 1.013109e-02, 3.931643e-02, 1.910410e+03, 3.074252e+03, 5.677875e+02, -5.511473e+03, 5.803260e+03, 1.120405e+04, -1.910360e+03, -3.074250e+03, -5.677411e+02, -3.679093e-02, -4.312465e-03, -3.986829e-02, -7.871599e+03, 1.492471e+04, 2.181049e+04, 5.511623e+03, -5.803272e+03, -1.120395e+04, 7.871674e+03, -1.492467e+04, -2.181036e+04, 2.116332e-01, -6.922758e-02, 4.951630e-02
-7.100000e-02, 5.329515e-03, -1.442892e-03, 7.247188e-03, 1.879346e+03, 3.017003e+03, 5.522237e+02, -5.358139e+03, 5.710347e+03, 1.095225e+04, -1.879314e+03, -3.017025e+03, -5.521895e+02, -2.023129e-02, 1.317837e-02, -2.216322e-02, -7.651878e+03, 1.465119e+04, 2.132685e+04, 5.358241e+03, -5.710433e+03, -1.095215e+04, 7.651898e+03, -1.465119e+04, -2.132681e+04, 1.903736e-01, -1.744102e-01, 1.735518e-01
-7.000000e-02, 8.142993e-02, -5.336491e-02, 9.591460e-02, 1.728066e+03, 2.777339e+03, 5.104398e+02, -4.969495e+03, 5.236769e+03, 1.010633e+04, -1.727956e+03, -2.777409e+03, -5.103239e+02, -9.027845e-02, 5.813243e-02, -9.888895e-02, -7.100230e+03, 1.346345e+04, 1.967497e+04, 4.969797e+03, -5.236954e+03, -1.010606e+04, 7.100481e+03, -1.346362e+04, -1.967465e+04, 2.753721e-01, -1.547800e-01, 1.388677e-01
-6.900000e-02, 9.075444e-04, 2.248710e-03, 2.414092e-03, 1.955349e+03, 3.138988e+03, 5.745411e+02, -5.573625e+03, 5.942168e+03, 1.139458e+04, -1.955356e+03, -3.138977e+03, -5.745497e+02, 3.750412e-03, -6.637116e-03, 4.173199e-03, -7.951519e+03, 1.525192e+04, 2.218537e+04, 5.573601e+03, -5.942130e+03, -1.139461e+04, 7.951520e+03, -1.525192e+04, -2.218536e+04, -5.416893e-02, 6.793738e-02, -7.044827e-02
-6.800000e-02, 7.197978e-02, -8.209462e-02, 6.826306e-02, 2.140462e+03, 3.428950e+03, 6.224998e+02, -6.056840e+03, 6.489108e+03, 1.241072e+04, -2.140440e+03, -3.429001e+03, -6.224693e+02, -3.638260e-02, 5.695598e-02, -4.036950e-02, -8.633722e+03, 1.664604e+04, 2.416419e+04, 6.056857e+03, -6.489166e+03, -1.241069e+04, 8.633931e+03, -1.664631e+04, -2.416398e+04, -2.790635e-01, 2.381476e-01, -2.342537e-01
-6.700000e-02, 2.629621e-02, -5.661918e-02, 1.234202e-02, 2.027874e+03, 3.244785e+03, 5.864960e+02, -5.697918e+03, 6.154858e+03, 1.171905e+04, -2.027845e+03, -3.244861e+03, -5.864530e+02, -2.576934e-02, 6.261012e-02, -2.893648e-02, -8.131886e+03, 1.575451e+04, 2.282615e+04, 5.697997e+03, -6.155061e+03, -1.171893e+04, 8.131966e+03, -1.575469e+04, -2.282610e+04, 4.820082e-02, -1.778977e-01, 1.978035e-01
-6.600000e-02, -3.055336e-02, 3.821389e-02, -2.738291e-02, 2.286070e+03, 3.672534e+03, 6.740733e+02, -6.531321e+03, 6.954002e+03, 1.334423e+04, -2.286116e+03, -3.672477e+03, -6.741277e+02, 3.669577e-02, -4.567172e-02, 4.053549e-02, -9.315467e+03, 1.785566e+04, 2.597959e+04, 6.531192e+03, -6.953841e+03, -1.334437e+04, 9.315372e+03, -1.785554e+04, -2.597969e+04, -1.372852e-01, 1.701445e-01, -1.762018e-01
-6.500000e-02, 1.755399e-02, -4.837748e-02, 3.233294e-03, 2.171767e+03, 3.475999e+03, 6.289813e+02, -6.107998e+03, 6.593896e+03, 1.255897e+04, -2.171804e+03, -3.476019e+03, -6.290107e+02, 1.501297e-02, 2.778004e-02, 1.586762e-02, -8.704102e+03, 1.689163e+04, 2.445685e+04, 6.107865e+03, -6.593889e+03, -1.255906e+04, 8.704146e+03, -1.689179e+04, -2.445685e+04, -3.554840e-01, 2.251603e-01, -2.084333e-01
-6.400000e-02, -1.237022e-01, 9.390427e-02, -1.396340e-01, 2.161428e+03, 3.466465e+03, 6.323714e+02, -6.106849e+03, 6.591596e+03, 1.255479e+04, -2.161503e+03, -3.466416e+03, -6.324509e+02, 8.430432e-02, -5.997212e-02, 9.243268e-02, -8.720834e+03, 1.686993e+04, 2.445562e+04, 6.106694e+03, -6.591566e+03, -1.255490e+04, 8.720468e+03, -1.686962e+04, -2.445606e+04, 2.175220e-01, -3.483365e-01, 3.697833e-01
