mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, -1.788003e-02, -2.106616e-02, 7.144182e-02, -6.397971e+02, 2.374630e+03, 1.036749e+03, -4.180283e+02, 7.785267e+03, 2.924241e+03, 6.397960e+02, -2.374667e+03, -1.036654e+03, 6.644219e-03, 2.836909e-02, -7.846870e-02, -2.782570e+03, 1.340241e+04, 4.510997e+03, 4.181260e+02, -7.785345e+03, -2.924145e+03, 2.782468e+03, -1.340249e+04, -4.510682e+03, 2.824160e-01, -7.054772e-02, -1.115768e-01
-9.875000e-02, -4.987761e-02, -6.588535e-02, 2.290646e-01, -4.887743e+02, 1.819860e+03, 7.946617e+02, -3.268333e+02, 5.992555e+03, 2.256442e+03, 4.886182e+02, -1.819982e+03, -7.944684e+02, 1.067781e-01, 9.228315e-02, -1.879963e-01, -2.128055e+03, 1.027031e+04, 3.464900e+03, 3.260415e+02, -5.993129e+03, -2.255729e+03, 2.128065e+03, -1.027039e+04, -3.464354e+03, -1.437475e+00, -9.137067e-01, 4.901925e-01
-9.750000e-02, -1.444825e-01, -1.562458e-03, -1.144968e-01, -6.824391e+02, 2.530182e+03, 1.104653e+03, -4.344880e+02, 8.222639e+03, 3.080561e+03, 6.822674e+02, -2.530182e+03, -1.104789e+03, 1.473057e-01, 2.029027e-04, 1.163142e-01, -2.949706e+03, 1.414412e+04, 4.739350e+03, 4.341478e+02, -8.222467e+03, -3.080776e+03, 2.949194e+03, -1.414422e+04, -4.739785e+03, -7.959881e-02, 3.676772e-01, 5.185185e-02
-9.625000e-02, 2.523198e-01, 1.283000e-01, -3.170127e-01, -4.889611e+02, 1.798442e+03, 7.847853e+02, -3.072392e+02, 5.891062e+03, 2.203050e+03, 4.892589e+02, -1.798215e+03, -7.851402e+02, -2.560318e-01, -1.737492e-01, 3.105914e-01, -2.117803e+03, 1.013797e+04, 3.387829e+03, 3.078188e+02, -5.890526e+03, -2.203717e+03, 2.118701e+03, -1.013749e+04, -3.388951e+03, 1.087965e-01, 5.609558e-01, -7.942314e-03
-9.500000e-02, 7.735425e-02, 5.274973e-02, -1.525472e-01, -6.556226e+02, 2.424860e+03, 1.058484e+03, -4.196455e+02, 7.929206e+03, 2.971660e+03, 6.557942e+02, -2.424763e+03, -1.058601e+03, -1.248189e-01, -7.351338e-02, 1.184109e-01, -2.846386e+03, 1.367533e+04, 4.589510e+03, 4.203819e+02, -7.928789e+03, -2.972179e+03, 2.846507e+03, -1.367524e+04, -4.589824e+03, 1.201551e+00, 6.416173e-01, -4.175101e-01
-9.375000e-02, 9.948673e-02, 8.415857e-02, -2.631726e-01, -5.577730e+02, 2.058426e+03, 8.984323e+02, -3.514137e+02, 6.712581e+03, 2.511486e+03, 5.578650e+02, -2.058277e+03, -8.987473e+02, -8.628593e-02, -1.143345e-01, 2.695940e-01, -2.410752e+03, 1.153912e+04, 3.857359e+03, 3.514655e+02, -6.712196e+03, -2.511964e+03, 2.411155e+03, -1.153882e+04, -3.858377e+03, -3.267293e-01, 4.375419e-01, 1.497806e-01
-9.250000e-02, -2.041467e-01, -8.247061e-02, 1.683660e-01, -6.485031e+02, 2.413709e+03, 1.054003e+03, -4.245811e+02, 7.883377e+03, 2.962262e+03, 6.483829e+02, -2.413850e+03, -1.053734e+03, 1.374492e-01, 1.085085e-01, -2.116042e-01, -2.821873e+03, 1.361005e+04, 4.588502e+03, 4.249527e+02, -7.883423e+03, -2.962205e+03, 2.820915e+03, -1.361051e+04, -4.587565e+03, 1.669671e+00, 2.639533e-01, -6.175634e-01
-9.125000e-02, -7.487543e-02, 4.102261e-02, -2.314325e-01, -5.919196e+02, 2.189718e+03, 9.559000e+02, -3.716435e+02, 7.102429e+03, 2.656900e+03, 5.918480e+02, -2.189641e+03, -9.561546e+02, 6.629335e-02, -5.801632e-02, 2.241314e-01, -2.554348e+03, 1.222478e+04, 4.087308e+03, 3.715883e+02, -7.102024e+03, -2.657404e+03, 2.554049e+03, -1.222476e+04, -4.088109e+03, 2.120917e-01, 6.678753e-01, -4.076105e-02
-9.000000e-02, 2.388408e-01, 1.192605e-01, -2.911663e-01, -6.590905e+02, 2.430267e+03, 1.060647e+03, -4.185484e+02, 7.961588e+03, 2.980900e+03, 6.594087e+02, -2.430055e+03, -1.060948e+03, -2.633306e-01, -1.622314e-01, 2.707919e-01, -2.859293e+03, 1.371495e+04, 4.593666e+03, 4.193501e+02, -7.961021e+03, -2.981604e+03, 2.860072e+03, -1.371454e+04, -4.594591e+03, 6.319205e-01, 6.639457e-01, -2.002038e-01
-8.875000e-02, -3.337346e-01, -1.222422e-01, 2.236935e-01, -6.065239e+02, 2.262447e+03, 9.880948e+02, -3.974118e+02, 7.364839e+03, 2.768060e+03, 6.061543e+02, -2.262660e+03, -9.878319e+02, 3.246140e-01, 1.637076e-01, -2.263496e-01, -2.631253e+03, 1.267704e+04, 4.270770e+03, 3.968145e+02, -7.365181e+03, -2.767636e+03, 2.630020e+03, -1.267758e+04, -4.269925e+03, 2.102243e-01, -1.806640e-01, -9.077075e-02
-8.750000e-02, -5.883001e-03, 1.544369e-02, -6.868913e-02, -7.167114e+02, 2.655556e+03, 1.159308e+03, -4.615800e+02, 8.679566e+03, 3.255216e+03, 7.167025e+02, -2.655527e+03, -1.159387e+03, 7.100877e-03, -2.140630e-02, 6.901773e-02, -3.108025e+03, 1.493191e+04, 5.012277e+03, 4.615530e+02, -8.679459e+03, -3.255349e+03, 3.108008e+03, -1.493188e+04, -5.012533e+03, -3.084225e-02, 1.567745e-01, 2.074592e-02
-8.625000e-02, -3.854100e-01, -1.583193e-01, 3.288777e-01, -6.107957e+02, 2.282403e+03, 9.969034e+02, -4.041081e+02, 7.437968e+03, 2.798529e+03, 6.103717e+02, -2.282680e+03, -9.965174e+02, 3.732805e-01, 2.126736e-01, -3.324804e-01, -2.653577e+03, 1.280509e+04, 4.321575e+03, 4.034376e+02, -7.438472e+03, -2.797903e+03, 2.652147e+03, -1.280576e+04, -4.320336e+03, 2.830047e-01, -3.623757e-01, -1.292268e-01
-8.500000e-02, 9.293324e-02, 1.784054e-02, 4.018723e-03, -6.114373e+02, 2.265155e+03, 9.888344e+02, -3.986350e+02, 7.442564e+03, 2.794568e+03, 6.115698e+02, -2.265124e+03, -9.888117e+02, -1.074647e-01, -2.390991e-02, -1.443966e-02, -2.661242e+03, 1.281528e+04, 4.311442e+03, 3.990073e+02, -7.442517e+03, -2.794627e+03, 2.661528e+03, -1.281519e+04, -4.311351e+03, 3.721154e-01, 1.970364e-02, -1.401801e-01
-8.375000e-02, -4.422537e-02, -2.744232e-02, 7.562949e-02, -7.135746e+02, 2.648869e+03, 1.156496e+03, -4.655677e+02, 8.677047e+03, 3.258789e+03, 7.135308e+02, -2.648917e+03, -1.156405e+03, 4.004700e-02, 3.705589e-02, -7.764505e-02, -3.101275e+03, 1.493164e+04, 5.023916e+03, 4.655245e+02, -8.677157e+03, -3.258653e+03, 3.101102e+03, -1.493175e+04, -5.023622e+03, 1.029249e-01, -1.102996e-01, -4.593149e-02
-8.250000e-02, -5.821996e-03, 9.986585e-03, -4.619481e-02, -7.037111e+02, 2.607993e+03, 1.138556e+03, -4.542037e+02, 8.528463e+03, 3.199277e+03, 7.037057e+02, -2.607975e+03, -1.138607e+03, 5.070383e-03, -1.394450e-02, 4.535217e-02, -3.053037e+03, 1.467339e+04, 4.927497e+03, 4.542006e+02, -8.528386e+03, -3.199373e+03, 3.053014e+03, -1.467337e+04, -4.927661e+03, 1.881463e-02, 1.184153e-01, -3.681178e-04
-8.125000e-02, 1.741780e-02, -9.488174e-03, 5.327000e-02, -7.529011e+02, 2.792708e+03, 1.219233e+03, -4.912345e+02, 9.159900e+03, 3.439952e+03, 7.529216e+02, -2.792725e+03, -1.219172e+03, -1.765059e-02, 1.327234e-02, -5.309446e-02, -3.273412e+03, 1.575972e+04, 5.301774e+03, 4.912743e+02, -9.159986e+03, -3.439846e+03, 3.273474e+03, -1.575973e+04, -5.301579e+03, 7.134956e-03, -1.380625e-01, -1.128978e-02
-8.000000e-02, -4.560412e-02, -4.168477e-03, -2.123643e-02, -7.596097e+02, 2.816825e+03, 1.229769e+03, -4.908574e+02, 9.206751e+03, 3.454256e+03, 7.595490e+02, -2.816832e+03, -1.229799e+03, 5.024181e-02, 5.232650e-03, 2.449989e-02, -3.294788e+03, 1.583651e+04, 5.318901e+03, 4.907049e+02, -9.206734e+03, -3.454277e+03, 3.294639e+03, -1.583654e+04, -5.319003e+03, -1.194246e-01, 5.335803e-02, 4.813227e-02
-7.875000e-02, -2.104490e-02, 4.773154e-03, -3.748000e-02, -7.266100e+02, 2.693475e+03, 1.175891e+03, -4.691691e+02, 8.806083e+03, 3.303599e+03, 7.265871e+02, -2.693466e+03, -1.175933e+03, 2.020306e-02, -6.965249e-03, 3.672753e-02, -3.152243e+03, 1.515107e+04, 5.088347e+03, 4.691347e+02, -8.806020e+03, -3.303678e+03, 3.152165e+03, -1.515107e+04, -5.088479e+03, 2.018791e-02, 1.112778e-01, -1.325448e-03
-7.750000e-02, -5.689449e-02, 1.091462e-02, -9.268646e-02, -7.673886e+02, 2.843876e+03, 1.241549e+03, -4.923297e+02, 9.277648e+03, 3.478282e+03, 7.673058e+02, -2.843855e+03, -1.241667e+03, 6.677906e-02, -1.555075e-02, 9.903900e-02, -3.323463e+03, 1.595456e+04, 5.351652e+03, 4.920900e+02, -9.277533e+03, -3.478424e+03, 3.323291e+03, -1.595456e+04, -5.352040e+03, -2.523868e-01, 1.918439e-01, 1.068177e-01
-7.625000e-02, -1.640403e-02, 5.320341e-03, -3.591502e-02, -8.848606e+02, 3.280172e+03, 1.432023e+03, -5.719877e+02, 1.072870e+04, 4.025308e+03, 8.848261e+02, -3.280163e+03, -1.432075e+03, 2.537933e-02, -7.309524e-03, 4.187602e-02, -3.838882e+03, 1.845197e+04, 6.197147e+03, 5.718449e+02, -1.072867e+04, -4.025341e+03, 3.838852e+03, -1.845195e+04, -6.197323e+03, -2.270095e-01, 3.163037e-02, 8.756875e-02
