mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-3.400000e-02, 1.451737e-16, -3.710161e-17, -6.785721e-16, 4.673291e-16, -7.054262e-17, 1.001505e-15, 9.779275e-16, -4.784380e-16, -3.664538e-17
-3.300000e-02, 8.590491e-17, 5.158706e-17, 5.899564e-16, 5.978415e-17, -3.059718e-16, -5.925446e-16, -1.478162e-15, 1.259673e-16, 5.034505e-16
-3.200000e-02, 4.316400e-17, 1.622200e-16, 1.239533e-15, 6.121914e-16, -1.975703e-16, 9.197189e-16, -5.342511e-16, -7.812220e-16, 3.275013e-16
-3.100000e-02, -1.886680e-16, 1.061139e-15, 1.985004e-15, -1.150867e-16, -9.956159e-17, 3.137981e-15, -1.555929e-15, -2.655302e-15, 3.321160e-18
-3.000000e-02, 1.913995e-16, 9.367107e-16, 2.046259e-15, -4.212850e-16, 1.357981e-15, 2.887949e-15, -2.295053e-15, -3.203111e-15, 3.968659e-16
-2.900000e-02, 3.914504e-16, 8.033860e-16, 3.254984e-15, -3.086870e-16, 1.564253e-15, 6.558395e-15, -3.567133e-15, -5.605940e-15, 5.441570e-16
-2.800000e-02, 8.258470e-16, 2.245950e-15, 6.557107e-15, -9.378875e-16, 3.472457e-15, 1.123533e-14, -7.096820e-15, -1.204384e-14, 1.347592e-15
-2.763427e-02, 9.049341e-16, 4.344915e-15, 9.179410e-15, 2.537613e-16, 5.003286e-15, 1.593700e-14, -9.875855e-15, -1.528440e-14, 3.705391e-15
-2.752888e-02, 1.747357e-15, 6.009177e-15, 1.177934e-14, 6.581842e-16, 8.019405e-15, 1.779394e-14, -1.194857e-14, -2.059858e-14, 6.027294e-15
-2.745936e-02, 2.920370e-15, 8.352481e-15, 1.237603e-14, 2.080675e-15, 9.861038e-15, 2.158229e-14, -1.327843e-14, -2.296349e-14, 9.479944e-15
-2.741368e-02, 3.887076e-15, 1.124723e-14, 1.467933e-14, 3.142739e-15, 1.289477e-14, 2.546879e-14, -1.560089e-14, -2.784615e-14, 1.268177e-14
