mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.400000e-02, -4.189764e-06, 2.423298e-06, -3.421823e-06, -7.143763e+03, 4.124454e+03, -1.573789e+03, -3.355185e+04, 1.984809e+04, -4.058024e+03, 7.143763e+03, -4.124454e+03, 1.573789e+03, 3.616567e-06, -2.086280e-06, 2.407961e-06, -5.859031e+04, 3.355178e+04, -7.028662e+03, 3.355185e+04, -1.984809e+04, 4.058024e+03, 5.859031e+04, -3.355178e+04, 7.028662e+03, 4.252459e-06, -2.622690e-06, 2.028319e-05
-3.300000e-02, -3.530778e-06, 2.037060e-06, -7.407590e-06, -7.057286e+03, 4.074526e+03, -1.554725e+03, -3.314589e+04, 1.960794e+04, -4.008859e+03, 7.057286e+03, -4.074526e+03, 1.554725e+03, 3.088302e-06, -1.783204e-06, 6.629835e-06, -5.788143e+04, 3.314584e+04, -6.943514e+03, 3.314589e+04, -1.960794e+04, 4.008859e+03, 5.788143e+04, -3.314584e+04, 6.943514e+03, 3.278183e-06, -1.984168e-06, 1.555963e-05
-3.200000e-02, -1.660973e-06, 9.628909e-07, 6.532553e-07, -7.273217e+03, 4.199194e+03, -1.602307e+03, -3.415956e+04, 2.020759e+04, -4.131448e+03, 7.273217e+03, -4.199194e+03, 1.602307e+03, 1.516491e-06, -8.739394e-07, -9.135306e-07, -5.965162e+04, 3.415954e+04, -7.155866e+03, 3.415956e+04, -2.020759e+04, 4.131448e+03, 5.965162e+04, -3.415954e+04, 7.155866e+03, 1.072005e-06, -7.098781e-07, 5.209342e-06
-3.100000e-02, -2.984286e-06, 1.724690e-06, -3.649408e-06, -7.645868e+03, 4.414344e+03, -1.684398e+03, -3.591002e+04, 2.124310e+04, -4.343173e+03, 7.645868e+03, -4.414344e+03, 1.684398e+03, 3.210662e-06, -1.852756e-06, 4.041825e-06, -6.270848e+04, 3.591005e+04, -7.522613e+03, 3.591002e+04, -2.124310e+04, 4.343173e+03, 6.270848e+04, -3.591005e+04, 7.522613e+03, -1.723967e-06, 8.739526e-07, -7.844969e-06
-3.000000e-02, -1.302766e-06, 7.516309e-07, -2.665269e-06, -8.593133e+03, 4.961248e+03, -1.893076e+03, -4.035887e+04, 2.387489e+04, -4.881165e+03, 8.593133e+03, -4.961248e+03, 1.893076e+03, 8.529621e-07, -4.923668e-07, 1.872711e-06, -7.047720e+04, 4.035881e+04, -8.454391e+03, 4.035887e+04, -2.387489e+04, 4.881165e+03, 7.047720e+04, -4.035881e+04, 8.454391e+03, 3.369713e-06, -1.972931e-06, 1.585719e-05
-2.900000e-02, -2.534456e-06, 1.465920e-06, -2.018869e-06, -1.034492e+04, 5.972644e+03, -2.279005e+03, -4.858637e+04, 2.874198e+04, -5.876286e+03, 1.034492e+04, -5.972644e+03, 2.279005e+03, 1.607405e-06, -9.267970e-07, 3.795850e-07, -8.484449e+04, 4.858625e+04, -1.017796e+04, 4.858637e+04, -2.874198e+04, 5.876286e+03, 8.484449e+04, -4.858625e+04, 1.017796e+04, 6.958081e-06, -4.104777e-06, 3.280080e-05
-2.828027e-02, -5.044025e-07, 2.941197e-07, 1.854890e-06, -1.307074e+04, 7.546398e+03, -2.879507e+03, -6.138825e+04, 3.631513e+04, -7.424533e+03, 1.307074e+04, -7.546398e+03, 2.879507e+03, 4.630521e-07, -2.659885e-07, -1.965642e-06, -1.072002e+05, 6.138824e+04, -1.285966e+04, 6.138825e+04, -3.631513e+04, 7.424533e+03, 1.072002e+05, -6.138824e+04, 1.285966e+04, 4.755291e-07, -3.203865e-07, 2.260472e-06
-2.795093e-02, -2.654409e-06, 1.536272e-06, -1.106677e-06, -1.538655e+04, 8.883426e+03, -3.389683e+03, -7.226491e+04, 4.274938e+04, -8.740060e+03, 1.538655e+04, -8.883426e+03, 3.389683e+03, 2.226558e-06, -1.283686e-06, 2.742680e-07, -1.261936e+05, 7.226485e+04, -1.513819e+04, 7.226491e+04, -4.274938e+04, 8.740060e+03, 1.261936e+05, -7.226485e+04, 1.513819e+04, 3.550720e-06, -2.165573e-06, 1.674910e-05
-2.773370e-02, -2.021040e-06, 1.166301e-06, -3.686760e-06, -1.775990e+04, 1.025368e+04, -3.912526e+03, -8.341179e+04, 4.934348e+04, -1.008815e+04, 1.775990e+04, -1.025368e+04, 3.912526e+03, 1.295311e-06, -7.471863e-07, 2.262795e-06, -1.456589e+05, 8.341169e+04, -1.747312e+04, 8.341179e+04, -4.934348e+04, 1.008815e+04, 1.456589e+05, -8.341169e+04, 1.747312e+04, 6.150258e-06, -3.596067e-06, 2.867419e-05
-2.759095e-02, -2.188623e-06, 1.269832e-06, 2.222850e-06, -1.994192e+04, 1.151347e+04, -4.393244e+03, -9.365959e+04, 5.540572e+04, -1.132761e+04, 1.994192e+04, -1.151347e+04, 4.393244e+03, 2.547814e-06, -1.467785e-06, -1.837114e-06, -1.635545e+05, 9.365961e+04, -1.962002e+04, 9.365959e+04, -5.540572e+04, 1.132761e+04, 1.635545e+05, -9.365961e+04, 1.962002e+04, -1.550631e-06, 7.492799e-07, -7.410401e-06
