mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.375000e-02, -9.098695e-07, 1.206891e-06, -7.828650e-07, 5.442510e+00, 8.734832e+00, 1.597242e+00, -1.549458e+01, 1.653948e+01, 3.169455e+01, -5.442511e+00, -8.734830e+00, -1.597243e+00, 7.312732e-07, -1.143796e-06, 8.113907e-07, -2.210985e+01, 4.243783e+01, 6.171340e+01, 1.549458e+01, -1.653948e+01, -3.169455e+01, 2.210985e+01, -4.243783e+01, -6.171340e+01, 2.619733e-07, 9.938003e-07, -1.180627e-06
-3.262500e-02, -3.383083e-07, 3.016084e-07, -3.606909e-07, 5.552968e+00, 8.911984e+00, 1.629549e+00, -1.580815e+01, 1.687501e+01, 3.233668e+01, -5.552968e+00, -8.911984e+00, -1.629549e+00, 1.969456e-07, -1.893459e-07, 2.166903e-07, -2.255732e+01, 4.329832e+01, 6.296380e+01, 1.580815e+01, -1.687501e+01, -3.233668e+01, 2.255732e+01, -4.329832e+01, -6.296380e+01, 9.994097e-07, -1.166868e-06, 1.200168e-06
-3.150000e-02, 6.071573e-07, -4.939614e-07, 6.697142e-07, 5.712096e+00, 9.167367e+00, 1.676242e+00, -1.626133e+01, 1.735840e+01, 3.326337e+01, -5.712097e+00, -9.167366e+00, -1.676242e+00, 4.178338e-08, -4.184211e-08, 4.599613e-08, -2.320374e+01, 4.453902e+01, 6.476807e+01, 1.626133e+01, -1.735840e+01, -3.326338e+01, 2.320374e+01, -4.453902e+01, -6.476807e+01, -6.549680e-06, 7.072779e-06, -7.204593e-06
-3.037500e-02, -3.587528e-06, 3.091973e-06, -3.875192e-06, 6.361287e+00, 1.020929e+01, 1.866784e+00, -1.810881e+01, 1.933205e+01, 3.704379e+01, -6.361293e+00, -1.020928e+01, -1.866790e+00, 4.387949e-06, -3.776472e-06, 4.821115e-06, -2.583964e+01, 4.960259e+01, 7.212907e+01, 1.810879e+01, -1.933204e+01, -3.704381e+01, 2.583963e+01, -4.960258e+01, -7.212908e+01, -1.707270e-05, 1.495578e-05, -1.477568e-05
-2.925000e-02, 4.039289e-06, -4.287191e-06, 3.981957e-06, 7.542186e+00, 1.210422e+01, 2.213051e+00, -2.146976e+01, 2.291914e+01, 4.391830e+01, -7.542183e+00, -1.210422e+01, -2.213048e+00, -2.706285e-06, 3.365278e-06, -2.989422e-06, -3.063582e+01, 5.880654e+01, 8.551469e+01, 2.146977e+01, -2.291914e+01, -4.391830e+01, 3.063583e+01, -5.880655e+01, -8.551467e+01, -7.662716e-06, 6.703754e-06, -6.621595e-06
-2.828027e-02, -3.346734e-06, 3.234754e-06, -3.449381e-06, 1.012070e+01, 1.624288e+01, 2.970085e+00, -2.881195e+01, 3.075653e+01, 5.893695e+01, -1.012071e+01, -1.624288e+01, -2.970089e+00, 3.392023e-06, -3.359823e-06, 3.733636e-06, -4.111269e+01, 7.891607e+01, 1.147580e+02, 2.881194e+01, -3.075652e+01, -5.893696e+01, 4.111268e+01, -7.891606e+01, -1.147580e+02, -7.486282e-06, 6.977881e-06, -6.962108e-06
-2.795093e-02, 4.643393e-07, -2.961421e-07, 5.507726e-07, 1.187661e+01, 1.906084e+01, 3.485265e+00, -3.381061e+01, 3.609180e+01, 6.916143e+01, -1.187661e+01, -1.906084e+01, -3.485264e+00, -5.124044e-07, 3.198581e-07, -5.611895e-07, -4.824576e+01, 9.260556e+01, 1.346664e+02, 3.381061e+01, -3.609180e+01, -6.916143e+01, 4.824577e+01, -9.260556e+01, -1.346664e+02, 1.541861e-06, -8.191429e-07, 7.228409e-07
-2.773370e-02, 1.752022e-06, -1.499509e-06, 1.897429e-06, 1.373722e+01, 2.204690e+01, 4.031234e+00, -3.910734e+01, 4.174576e+01, 7.999607e+01, -1.373722e+01, -2.204690e+01, -4.031234e+00, -4.302797e-07, 4.208437e-07, -4.736649e-07, -5.580345e+01, 1.071131e+02, 1.557627e+02, 3.910734e+01, -4.174575e+01, -7.999608e+01, 5.580346e+01, -1.071132e+02, -1.557627e+02, -1.227052e-05, 1.343475e-05, -1.370952e-05
-2.759095e-02, -1.661267e-06, 2.321904e-06, -1.373473e-06, 1.540440e+01, 2.472284e+01, 4.520725e+00, -4.385505e+01, 4.681290e+01, 8.970696e+01, -1.540440e+01, -2.472284e+01, -4.520726e+00, 9.989606e-07, -1.951455e-06, 1.114197e-06, -6.257868e+01, 1.201146e+02, 1.746712e+02, 4.385505e+01, -4.681289e+01, -8.970696e+01, 6.257867e+01, -1.201146e+02, -1.746712e+02, 4.525352e-06, -1.742240e-06, 1.359988e-06
-2.749753e-02, -9.187632e-07, 9.874508e-07, -9.000015e-07, 1.665899e+01, 2.673614e+01, 4.888714e+00, -4.742512e+01, 5.062529e+01, 9.701101e+01, -1.665900e+01, -2.673614e+01, -4.888717e+00, 1.609795e-06, -1.599155e-06, 1.771722e-06, -6.767248e+01, 1.298962e+02, 1.888931e+02, 4.742511e+01, -5.062529e+01, -9.701102e+01, 6.767248e+01, -1.298962e+02, -1.888931e+02, -1.021952e-05, 1.053983e-05, -1.067113e-05
