mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-3.375000e-02, 1.071740e-15, 1.155336e-15, -5.878992e-16, 1.720626e-15, 2.703080e-15, 4.283412e-16, 1.157399e-15, 1.175692e-15, 3.297846e-15
-3.250000e-02, 9.825388e-16, 2.219061e-15, 1.255859e-15, 1.377142e-15, 2.663174e-15, 3.294992e-15, -2.268748e-15, -2.574341e-15, 3.514430e-15
-3.125000e-02, 7.861871e-16, 2.761083e-15, 2.665146e-15, 9.998904e-16, 2.417845e-15, 6.239971e-15, -3.783276e-15, -6.979883e-15, 3.497271e-15
-3.000000e-02, 1.568228e-15, 3.206072e-15, 6.539448e-15, 1.093938e-15, 4.181483e-15, 1.015531e-14, -7.411781e-15, -1.044576e-14, 3.865360e-15
-2.875000e-02, 2.140569e-15, 6.557389e-15, 1.144981e-14, 8.416254e-16, 6.908129e-15, 1.931525e-14, -1.305415e-14, -2.089093e-14, 6.796608e-15
-2.828027e-02, 2.648784e-15, 9.164667e-15, 1.487693e-14, 1.612748e-15, 1.006669e-14, 2.475303e-14, -1.712928e-14, -2.488650e-14, 9.218971e-15
-2.795093e-02, 4.470280e-15, 1.233150e-14, 1.792974e-14, 2.747013e-15, 1.413148e-14, 3.084298e-14, -2.003201e-14, -3.345987e-14, 1.426041e-14
-2.773370e-02, 6.443319e-15, 1.627098e-14, 2.079284e-14, 5.636936e-15, 1.943641e-14, 3.619381e-14, -2.288464e-14, -3.869206e-14, 2.014536e-14
-2.759095e-02, 8.036036e-15, 2.017054e-14, 2.341886e-14, 8.592015e-15, 2.510882e-14, 4.159577e-14, -2.809582e-14, -4.450088e-14, 2.669519e-14
-2.749753e-02, 1.039329e-14, 2.454687e-14, 2.699201e-14, 1.127179e-14, 3.145032e-14, 4.526511e-14, -3.067384e-14, -5.017524e-14, 3.351024e-14
-2.743671e-02, 1.166521e-14, 2.771095e-14, 2.734973e-14, 1.430346e-14, 3.524905e-14, 4.806661e-14, -3.127606e-14, -5.202967e-14, 3.864761e-14
-2.739733e-02, 1.308208e-14, 3.005112e-14, 2.797477e-14, 1.558852e-14, 3.892683e-14, 5.033676e-14, -3.178168e-14, -5.547217e-14, 4.318425e-14
-2.737199e-02, 1.423005e-14, 3.204601e-14, 2.743053e-14, 1.704599e-14, 4.283366e-14, 5.218122e-14, -3.287100e-14, -5.917186e-14, 4.506825e-14
