mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.400000e-02, 1.507603e-10, -8.669612e-11, 5.795048e-10, -4.132738e-01, 2.386037e-01, -9.104551e-02, -1.940955e+00, 1.148201e+00, -2.347442e-01, 4.132738e-01, -2.386037e-01, 9.104551e-02, -1.560998e-10, 9.024543e-11, -5.894190e-10, -3.389422e+00, 1.940955e+00, -4.065884e-01, 1.940955e+00, -1.148201e+00, 2.347442e-01, 3.389422e+00, -1.940955e+00, 4.065884e-01, 4.306272e-11, -2.330356e-11, 1.985371e-10
-3.300000e-02, 7.083595e-11, -4.080203e-11, 2.166058e-10, -4.086475e-01, 2.359327e-01, -9.002574e-02, -1.919249e+00, 1.135360e+00, -2.321190e-01, 4.086475e-01, -2.359327e-01, 9.002574e-02, -6.188730e-11, 3.576601e-11, -2.011527e-10, -3.351520e+00, 1.919250e+00, -4.020426e-01, 1.919249e+00, -1.135360e+00, 2.321190e-01, 3.351520e+00, -1.919250e+00, 4.020426e-01, -6.533738e-11, 3.879700e-11, -3.088904e-10
-3.200000e-02, 2.187125e-11, -1.235383e-11, 2.890899e-10, -4.215197e-01, 2.433645e-01, -9.286192e-02, -1.979702e+00, 1.171122e+00, -2.394334e-01, 4.215197e-01, -2.433645e-01, 9.286192e-02, -3.620931e-11, 2.100054e-11, -3.146887e-10, -3.457082e+00, 1.979700e+00, -4.147096e-01, 1.979702e+00, -1.171122e+00, 2.394334e-01, 3.457082e+00, -1.979700e+00, 4.147096e-01, 1.084925e-10, -6.437344e-11, 5.122298e-10
-3.100000e-02, 1.545105e-10, -8.911993e-11, 3.556813e-10, -4.429846e-01, 2.557573e-01, -9.759024e-02, -2.080508e+00, 1.230755e+00, -2.516198e-01, 4.429846e-01, -2.557573e-01, 9.759024e-02, -1.537950e-10, 8.882742e-11, -3.546750e-10, -3.633119e+00, 2.080508e+00, -4.358182e-01, 2.080508e+00, -1.230755e+00, 2.516198e-01, 3.633119e+00, -2.080508e+00, 4.358182e-01, -2.415179e-12, 5.508795e-12, -1.991164e-11
-3.000000e-02, 7.607159e-11, -4.384367e-11, 2.085955e-10, -4.975539e-01, 2.872629e-01, -1.096119e-01, -2.336809e+00, 1.382374e+00, -2.826198e-01, 4.975539e-01, -2.872629e-01, 1.096119e-01, -7.466298e-11, 4.313700e-11, -2.063998e-10, -4.080689e+00, 2.336809e+00, -4.895119e-01, 2.336809e+00, -1.382374e+00, 2.826198e-01, 4.080689e+00, -2.336809e+00, 4.895119e-01, -8.524930e-12, 6.547747e-12, -4.364550e-11
-2.900000e-02, 1.023749e-10, -5.889829e-11, 3.733933e-10, -5.981474e-01, 3.453406e-01, -1.317731e-01, -2.809249e+00, 1.661853e+00, -3.397586e-01, 5.981474e-01, -3.453406e-01, 1.317731e-01, -1.555823e-10, 8.989941e-11, -4.675638e-10, -4.905683e+00, 2.809242e+00, -5.884752e-01, 2.809249e+00, -1.661853e+00, 3.397586e-01, 4.905683e+00, -2.809242e+00, 5.884752e-01, 4.029810e-10, -2.301493e-10, 1.884299e-09
-2.828027e-02, 2.563558e-10, -1.474896e-10, 9.224188e-10, -7.570055e-01, 4.370573e-01, -1.667704e-01, -3.555311e+00, 2.103198e+00, -4.299882e-01, 7.570055e-01, -4.370573e-01, 1.667704e-01, -2.355285e-10, 1.361657e-10, -8.884311e-10, -6.208522e+00, 3.555314e+00, -7.447628e-01, 3.555311e+00, -2.103198e+00, 4.299882e-01, 6.208522e+00, -3.555314e+00, 7.447628e-01, -1.424483e-10, 8.488314e-11, -6.772035e-10
-2.795093e-02, -6.328510e-11, 3.700549e-11, 3.232546e-10, -8.891312e-01, 5.133401e-01, -1.958778e-01, -4.175897e+00, 2.470314e+00, -5.050524e-01, 8.891312e-01, -5.133401e-01, 1.958778e-01, 8.425210e-11, -4.847164e-11, -2.915939e-10, -7.292228e+00, 4.175899e+00, -8.747778e-01, 4.175897e+00, -2.470314e+00, 5.050524e-01, 7.292228e+00, -4.175899e+00, 8.747778e-01, -1.352116e-10, 7.065596e-11, -6.273130e-10
-2.773370e-02, 6.923001e-11, -4.002451e-11, 9.654040e-11, -1.030008e+00, 5.946755e-01, -2.269119e-01, -4.837551e+00, 2.861725e+00, -5.850668e-01, 1.030008e+00, -5.946755e-01, 2.269119e-01, -3.621374e-11, 2.092230e-11, -4.709684e-11, -8.447654e+00, 4.837554e+00, -1.013368e+00, 4.837551e+00, -2.861725e+00, 5.850668e-01, 8.447654e+00, -4.837554e+00, 1.013368e+00, -2.043350e-10, 1.198114e-10, -9.779848e-10
-2.759095e-02, 2.078650e-10, -1.199566e-10, 4.468254e-10, -1.152891e+00, 6.656221e-01, -2.539835e-01, -5.414664e+00, 3.203125e+00, -6.548619e-01, 1.152891e+00, -6.656221e-01, 2.539835e-01, -1.883389e-10, 1.088065e-10, -4.264664e-10, -9.455443e+00, 5.414665e+00, -1.134255e+00, 5.414664e+00, -3.203125e+00, 6.548619e-01, 9.455443e+00, -5.414665e+00, 1.134255e+00, -7.526833e-11, 4.904345e-11, -3.894763e-10
