mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.375000e-02, 4.354530e-07, -1.653257e-08, -9.637533e-07, 7.488090e+00, -4.323251e+00, -4.960258e+00, 3.225677e+01, -2.548222e+01, -1.948922e+01, -7.488089e+00, 4.323250e+00, 4.960256e+00, -2.849052e-07, 2.427865e-07, 9.969060e-07, 6.272914e+01, -3.225677e+01, -3.375632e+01, -3.225677e+01, 2.548222e+01, 1.948922e+01, -6.272914e+01, 3.225677e+01, 3.375632e+01, -6.438110e-07, -9.186311e-07, -4.100645e-08
-3.250000e-02, -2.983074e-07, 4.027904e-07, -2.464556e-06, 7.636665e+00, -4.409031e+00, -5.058676e+00, 3.289681e+01, -2.598784e+01, -1.987594e+01, -7.636666e+00, 4.409031e+00, 5.058672e+00, 5.079381e-07, -2.163995e-07, 2.626018e-06, 6.397381e+01, -3.289682e+01, -3.442615e+01, -3.289682e+01, 2.598784e+01, 1.987594e+01, -6.397382e+01, 3.289682e+01, 3.442614e+01, -1.570637e-06, -1.756455e-06, -2.033586e-07
-3.125000e-02, 8.805845e-08, 1.673771e-07, -1.579116e-06, 8.078917e+00, -4.664365e+00, -5.351632e+00, 3.480192e+01, -2.749284e+01, -2.102698e+01, -8.078917e+00, 4.664365e+00, 5.351630e+00, 1.317864e-07, -3.342472e-09, 1.776712e-06, 6.767864e+01, -3.480192e+01, -3.641980e+01, -3.480192e+01, 2.749284e+01, 2.102698e+01, -6.767864e+01, 3.480192e+01, 3.641979e+01, -1.335220e-06, -1.132560e-06, -2.490802e-07
-3.000000e-02, 4.193333e-07, 1.946286e-08, -1.227433e-06, 9.145753e+00, -5.280303e+00, -6.058325e+00, 3.939757e+01, -3.112331e+01, -2.380362e+01, -9.145752e+00, 5.280302e+00, 6.058324e+00, -3.208571e-07, 2.724399e-07, 1.119973e-06, 7.661570e+01, -3.939757e+01, -4.122907e+01, -3.939757e+01, 3.112331e+01, 2.380362e+01, -7.661570e+01, 3.939757e+01, 4.122907e+01, -3.621553e-07, -1.271873e-06, 1.369164e-07
-2.875000e-02, -1.856277e-07, 4.398438e-07, -3.061600e-06, 1.173363e+01, -6.774416e+00, -7.772586e+00, 5.054550e+01, -3.992997e+01, -3.053911e+01, -1.173363e+01, 6.774416e+00, 7.772582e+00, 3.643561e-07, -9.946657e-08, 3.035838e-06, 9.829489e+01, -5.054550e+01, -5.289528e+01, -5.054551e+01, 3.992996e+01, 3.053910e+01, -9.829489e+01, 5.054551e+01, 5.289527e+01, -1.340654e-06, -2.478006e-06, 3.354734e-08
-2.828027e-02, 6.759660e-07, -7.160613e-08, -1.210760e-06, 1.389011e+01, -8.019459e+00, -9.201079e+00, 5.983506e+01, -4.726854e+01, -3.615174e+01, -1.389011e+01, 8.019459e+00, 9.201077e+00, -5.097023e-07, 4.005004e-07, 1.175912e-06, 1.163601e+02, -5.983506e+01, -6.261666e+01, -5.983506e+01, 4.726854e+01, 3.615174e+01, -1.163601e+02, 5.983506e+01, 6.261665e+01, -6.171399e-07, -1.279217e-06, 4.505822e-08
-2.795093e-02, -2.876152e-07, 6.396335e-07, -4.399122e-06, 1.632709e+01, -9.426449e+00, -1.081538e+01, 7.033295e+01, -5.556166e+01, -4.249449e+01, -1.632709e+01, 9.426449e+00, 1.081538e+01, 5.683407e-07, -1.702712e-07, 4.416485e-06, 1.367752e+02, -7.033295e+01, -7.360261e+01, -7.033295e+01, 5.556166e+01, 4.249448e+01, -1.367752e+02, 7.033295e+01, 7.360260e+01, -2.078320e-06, -3.497802e-06, -2.097595e-08
-2.773370e-02, 2.616485e-07, 3.542416e-07, -3.540463e-06, 1.887322e+01, -1.089646e+01, -1.250199e+01, 8.130105e+01, -6.422625e+01, -4.912129e+01, -1.887322e+01, 1.089646e+01, 1.250199e+01, -2.774979e-08, 1.844539e-07, 3.422197e-06, 1.581046e+02, -8.130105e+01, -8.508057e+01, -8.130105e+01, 6.422625e+01, 4.912129e+01, -1.581046e+02, 8.130105e+01, 8.508056e+01, -1.396929e-06, -3.128946e-06, 1.506888e-07
-2.759095e-02, 2.099255e-07, 4.267631e-07, -4.007642e-06, 2.113755e+01, -1.220377e+01, -1.400192e+01, 9.105518e+01, -7.193182e+01, -5.501465e+01, -2.113755e+01, 1.220377e+01, 1.400192e+01, 1.294489e-07, 1.079110e-07, 4.057990e-06, 1.770733e+02, -9.105518e+01, -9.528816e+01, -9.105518e+01, 7.193182e+01, 5.501464e+01, -1.770733e+02, 9.105518e+01, 9.528815e+01, -2.092087e-06, -3.324511e-06, -6.260426e-08
-2.749753e-02, -6.361514e-07, 1.127727e-06, -7.356161e-06, 2.292234e+01, -1.323422e+01, -1.518420e+01, 9.874358e+01, -7.800551e+01, -5.965993e+01, -2.292234e+01, 1.323422e+01, 1.518419e+01, 1.122141e-06, -3.943978e-07, 7.456534e-06, 1.920248e+02, -9.874358e+01, -1.033340e+02, -9.874359e+01, 7.800551e+01, 5.965992e+01, -1.920248e+02, 9.874359e+01, 1.033340e+02, -3.647400e-06, -5.719259e-06, -1.258432e-07
-2.743671e-02, 1.103847e-06, 1.315859e-08, -2.957391e-06, 2.421026e+01, -1.397780e+01, -1.603735e+01, 1.042916e+02, -8.238838e+01, -6.301197e+01, -2.421026e+01, 1.397780e+01, 1.603735e+01, -5.217462e-07, 5.180381e-07, 3.390469e-06, 2.028140e+02, -1.042917e+02, -1.091400e+02, -1.042916e+02, 8.238838e+01, 6.301197e+01, -2.028140e+02, 1.042916e+02, 1.091399e+02, -2.879923e-06, -2.399938e-06, -5.467750e-07
-2.739733e-02, 5.355981e-07, 3.555553e-07, -4.265122e-06, 2.510942e+01, -1.449693e+01, -1.663297e+01, 1.081650e+02, -8.544824e+01, -6.535222e+01, -2.510942e+01, 1.449693e+01, 1.663296e+01, -8.745765e-08, 2.720716e-07, 4.401913e-06, 2.103464e+02, -1.081650e+02, -1.131934e+02, -1.081650e+02, 8.544824e+01, 6.535221e+01, -2.103464e+02, 1.081650e+02, 1.131934e+02, -2.531041e-06, -3.567955e-06, -1.718414e-07
-2.737199e-02, -2.283772e-07, 8.599942e-07, -6.331273e-06, 2.570826e+01, -1.484267e+01, -1.702965e+01, 1.107446e+02, -8.748611e+01, -6.691084e+01, -2.570826e+01, 1.484267e+01, 1.702964e+01, 6.653079e-07, -1.414205e-07, 6.368540e-06, 2.153630e+02, -1.107446e+02, -1.158930e+02, -1.107446e+02, 8.748611e+01, 6.691083e+01, -2.153630e+02, 1.107446e+02, 1.158930e+02, -3.065762e-06, -5.089470e-06, -4.588528e-08
-2.735582e-02, 1.368513e-06, -5.631890e-08, -3.054196e-06, 2.614276e+01, -1.509353e+01, -1.731747e+01, 1.126163e+02, -8.896472e+01, -6.804166e+01, -2.614276e+01, 1.509353e+01, 1.731747e+01, -9.779677e-07, 8.092078e-07, 2.988043e-06, 2.190028e+02, -1.126163e+02, -1.178516e+02, -1.126163e+02, 8.896471e+01, 6.804166e+01, -2.190028e+02, 1.126163e+02, 1.178516e+02, -1.548375e-06, -3.079912e-06, 8.498940e-08
-2.734560e-02, 5.696980e-07, 4.811701e-07, -5.279707e-06, 2.639719e+01, -1.524043e+01, -1.748602e+01, 1.137124e+02, -8.983055e+01, -6.870389e+01, -2.639719e+01, 1.524042e+01, 1.748601e+01, -2.176227e-07, 3.956522e-07, 5.041634e-06, 2.211343e+02, -1.137124e+02, -1.189986e+02, -1.137124e+02, 8.983055e+01, 6.870388e+01, -2.211343e+02, 1.137124e+02, 1.189986e+02, -1.943534e-06, -4.792718e-06, 3.025375e-07
