mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.375000e-02, -2.192967e-15, -5.470690e-15, 1.989784e-15, 1.266822e-15, 3.300301e-14, -3.649244e-15, -5.025055e-14, 2.183132e-13, 9.294874e-14, -1.126986e-14, 9.447142e-16, 1.321153e-14, -9.367763e-15, 6.682552e-14, 1.295414e-14, -4.470830e-14, 4.063721e-13, 1.225057e-13, 2.742080e-14, -2.290150e-13, -7.825361e-14, 6.444967e-14, -3.383085e-13, -1.163997e-13, 2.603092e-14, 2.339034e-14, -2.373919e-14
-3.250000e-02, 9.475911e-15, 1.350355e-15, -1.230584e-14, -1.695715e-15, -9.760118e-14, -3.550953e-15, 1.032379e-13, -5.724421e-13, -2.242484e-13, 2.343792e-14, 5.023152e-14, -1.908359e-14, -1.210259e-14, -7.807952e-14, 4.615680e-15, 1.392111e-13, -9.728879e-13, -2.683724e-13, -6.194445e-14, 5.818259e-13, 2.079621e-13, -1.384110e-13, 1.003305e-12, 3.136723e-13, -4.995592e-14, -2.972397e-14, 7.112859e-14
-3.125000e-02, 1.665716e-14, 2.271855e-14, -2.549070e-14, -9.073835e-15, -2.730692e-13, -1.130136e-15, 3.250673e-13, -1.702189e-12, -6.724056e-13, 5.136233e-14, 1.793040e-13, -3.952303e-14, -1.753421e-14, -2.414851e-13, 6.913946e-15, 4.435189e-13, -3.013696e-12, -9.025620e-13, -2.013780e-13, 1.753560e-12, 6.338791e-13, -4.428098e-13, 2.952711e-12, 9.445021e-13, -9.838072e-14, -7.976602e-14, 1.923673e-13
-3.000000e-02, 4.286295e-14, 5.398210e-14, -5.422402e-14, -2.458869e-14, -6.222889e-13, 7.236528e-15, 7.053005e-13, -3.687149e-12, -1.511734e-12, 1.120320e-13, 3.777441e-13, -8.905233e-14, -5.128931e-14, -5.458445e-13, 3.427196e-14, 1.046172e-12, -6.573239e-12, -1.931233e-12, -4.526036e-13, 3.792262e-12, 1.378953e-12, -9.470852e-13, 6.400245e-12, 2.066925e-12, -1.768287e-13, -2.109627e-13, 4.156784e-13
-2.875000e-02, 1.234239e-13, 1.491372e-13, -1.588021e-13, -5.587499e-14, -1.747166e-12, -1.260521e-14, 1.951419e-12, -1.037757e-11, -4.189993e-12, 2.806722e-13, 1.047523e-12, -2.394967e-13, -1.370851e-13, -1.535478e-12, 6.728354e-14, 2.932617e-12, -1.842544e-11, -5.444089e-12, -1.243729e-12, 1.065981e-11, 3.890334e-12, -2.678173e-12, 1.806206e-11, 5.823534e-12, -5.725902e-13, -5.823842e-13, 1.163296e-12
-2.828027e-02, 2.111518e-13, 2.264935e-13, -2.799037e-13, -1.028869e-13, -3.066732e-12, -1.094686e-15, 3.407375e-12, -1.805064e-11, -7.252838e-12, 5.086796e-13, 1.799108e-12, -4.591774e-13, -2.218042e-13, -2.677355e-12, 1.206713e-13, 5.049477e-12, -3.202119e-11, -9.388892e-12, -2.180160e-12, 1.841596e-11, 6.729376e-12, -4.649868e-12, 3.130869e-11, 1.006931e-11, -9.325996e-13, -9.996134e-13, 2.003638e-12
-2.795093e-02, 3.509663e-13, 4.121697e-13, -4.521803e-13, -1.397873e-13, -4.954039e-12, -3.319637e-14, 5.463459e-12, -2.942038e-11, -1.178523e-11, 8.041862e-13, 2.978015e-12, -6.987340e-13, -3.571443e-13, -4.258085e-12, 1.995861e-13, 8.203681e-12, -5.205629e-11, -1.524912e-11, -3.524320e-12, 2.999621e-11, 1.098285e-11, -7.563804e-12, 5.093536e-11, 1.637846e-11, -1.503836e-12, -1.716790e-12, 3.275625e-12
-2.773370e-02, 5.101487e-13, 5.923513e-13, -6.541879e-13, -2.104743e-13, -7.242546e-12, -5.286775e-14, 7.992612e-12, -4.298322e-11, -1.725086e-11, 1.155207e-12, 4.366007e-12, -9.799870e-13, -5.444984e-13, -6.263426e-12, 3.119353e-13, 1.205992e-11, -7.598897e-11, -2.245497e-11, -5.166247e-12, 4.385207e-11, 1.606898e-11, -1.109184e-11, 7.456851e-11, 2.399075e-11, -2.158184e-12, -2.405710e-12, 4.671636e-12
-2.759095e-02, 6.546255e-13, 7.587335e-13, -8.417248e-13, -2.947318e-13, -9.313606e-12, -3.280096e-14, 1.034699e-11, -5.534338e-11, -2.217323e-11, 1.541000e-12, 5.573401e-12, -1.316274e-12, -6.938408e-13, -8.075146e-12, 3.801510e-13, 1.538366e-11, -9.785087e-11, -2.874682e-11, -6.652733e-12, 5.648132e-11, 2.066067e-11, -1.422815e-11, 9.593975e-11, 3.081872e-11, -2.868026e-12, -3.168712e-12, 6.049231e-12
-2.749753e-02, 7.574574e-13, 8.719509e-13, -9.763292e-13, -3.250247e-13, -1.088324e-11, -5.983087e-14, 1.208598e-11, -6.465544e-11, -2.594276e-11, 1.761505e-12, 6.531789e-12, -1.503864e-12, -8.228989e-13, -9.348847e-12, 4.500905e-13, 1.805450e-11, -1.142385e-10, -3.361475e-11, -7.760415e-12, 6.598216e-11, 2.412909e-11, -1.666243e-11, 1.120304e-10, 3.607466e-11, -3.262940e-12, -3.664362e-12, 7.140738e-12
-2.743671e-02, 8.460560e-13, 9.109428e-13, -1.094394e-12, -3.632760e-13, -1.184332e-11, -4.884447e-14, 1.313690e-11, -7.032432e-11, -2.821158e-11, 1.950631e-12, 7.015824e-12, -1.717862e-12, -8.686656e-13, -1.037889e-11, 4.556820e-13, 1.958630e-11, -1.245795e-10, -3.659716e-11, -8.455033e-12, 7.179100e-11, 2.626183e-11, -1.807447e-11, 1.219702e-10, 3.920383e-11, -3.696423e-12, -4.005882e-12, 7.759922e-12
-2.739733e-02, 8.824444e-13, 9.778313e-13, -1.145289e-12, -3.204590e-13, -1.284197e-11, -1.736080e-13, 1.398802e-11, -7.541074e-11, -3.023720e-11, 1.971822e-12, 7.735164e-12, -1.659300e-12, -9.317413e-13, -1.093315e-11, 5.045274e-13, 2.116775e-11, -1.333972e-10, -3.926522e-11, -8.999656e-12, 7.700701e-11, 2.816225e-11, -1.949638e-11, 1.307817e-10, 4.206490e-11, -3.868542e-12, -4.236167e-12, 8.213571e-12
-2.737199e-02, 9.102018e-13, 9.819407e-13, -1.182486e-12, -3.748122e-13, -1.300010e-11, -8.043865e-14, 1.433492e-11, -7.669838e-11, -3.087139e-11, 2.085797e-12, 7.733957e-12, -1.807010e-12, -9.642623e-13, -1.122559e-11, 5.518565e-13, 2.155595e-11, -1.358368e-10, -3.995811e-11, -9.218107e-12, 7.836947e-11, 2.866201e-11, -1.977754e-11, 1.330887e-10, 4.279177e-11, -3.917198e-12, -4.378320e-12, 8.526412e-12
-2.735582e-02, 9.407783e-13, 1.019965e-12, -1.216270e-12, -3.242271e-13, -1.350204e-11, -1.880273e-13, 1.467941e-11, -7.921391e-11, -3.176429e-11, 2.075190e-12, 8.111779e-12, -1.747453e-12, -9.858809e-13, -1.145559e-11, 5.479645e-13, 2.221081e-11, -1.400386e-10, -4.119938e-11, -9.481734e-12, 8.094310e-11, 2.962424e-11, -2.050130e-11, 1.375322e-10, 4.426399e-11, -4.006523e-12, -4.547299e-12, 8.674578e-12
-2.734560e-02, 9.475680e-13, 1.073276e-12, -1.216828e-12, -4.143369e-13, -1.336650e-11, -5.851304e-14, 1.479699e-11, -7.916775e-11, -3.168648e-11, 2.154756e-12, 7.948545e-12, -1.854984e-12, -1.002927e-12, -1.160447e-11, 5.646059e-13, 2.222604e-11, -1.402912e-10, -4.122452e-11, -9.510444e-12, 8.078626e-11, 2.956525e-11, -2.038650e-11, 1.371901e-10, 4.409800e-11, -4.089280e-12, -4.387797e-12, 8.726575e-12
-2.733921e-02, 9.471322e-13, 1.057136e-12, -1.209189e-12, -3.838330e-13, -1.354903e-11, -1.148926e-13, 1.488378e-11, -8.007714e-11, -3.219153e-11, 2.144545e-12, 8.125002e-12, -1.836648e-12, -1.027031e-12, -1.160076e-11, 5.787903e-13, 2.237994e-11, -1.415230e-10, -4.164404e-11, -9.593945e-12, 8.158660e-11, 2.986213e-11, -2.058918e-11, 1.385747e-10, 4.456858e-11, -4.066102e-12, -4.522388e-12, 8.673984e-12
-2.733527e-02, 9.593163e-13, 1.072112e-12, -1.232536e-12, -4.378933e-13, -1.339030e-11, -2.961454e-14, 1.490284e-11, -7.974193e-11, -3.196731e-11, 2.204032e-12, 7.941160e-12, -1.950265e-12, -1.001048e-12, -1.172984e-11, 5.376444e-13, 2.226862e-11, -1.412205e-10, -4.141975e-11, -9.587731e-12, 8.140014e-11, 2.976813e-11, -2.048759e-11, 1.382456e-10, 4.440072e-11, -4.108630e-12, -4.722287e-12, 8.831436e-12
