mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.400000e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-3.300000e-02, -8.205409e-04, 9.775597e-07, 4.780728e-07, 5.407620e-08, 7.715635e-03, 8.945606e-04, -6.962959e-07, -1.306333e-01, -1.231001e-02, 7.506711e-09, -3.737799e-03, 1.456337e-04, 5.073950e-05, 5.403480e-07, 8.706788e-08, -3.791026e-04, -8.411337e-06, -8.564551e-07, -2.664995e-08, 1.223001e-01, 1.006157e-02, -1.891119e-04, 5.145253e-06, 4.623259e-07, 4.385465e-04, 7.677543e-07, -2.823275e-08
-3.200000e-02, -1.773771e-03, 1.268109e-06, 1.326074e-06, 1.489724e-07, 3.259403e-02, 4.953605e-03, -2.172691e-06, -4.315096e-01, -4.214685e-02, -5.625107e-08, -2.426558e-02, -2.688837e-03, 1.098108e-04, 1.777405e-06, 3.040213e-07, 8.569026e-05, -2.911169e-05, -2.880873e-06, 2.198663e-08, 4.144985e-01, 3.732965e-02, -1.332485e-03, 1.559557e-05, 1.324167e-06, 9.863350e-04, 9.233926e-06, 4.813652e-07
-3.100000e-02, -2.880760e-03, 3.148662e-06, 2.657663e-06, 2.571937e-07, 7.981022e-02, 1.315373e-02, -4.275890e-06, -9.533698e-01, -9.475750e-02, -1.482924e-07, -6.673675e-02, -9.454199e-03, 1.786380e-04, 3.585217e-06, 6.253210e-07, 1.674403e-03, -6.020214e-05, -5.948941e-06, 1.115228e-07, 9.273443e-01, 8.700480e-02, -3.727560e-03, 3.083142e-05, 2.616487e-06, 1.661626e-03, 2.241222e-05, 1.281734e-06
-3.000000e-02, -4.178999e-03, 4.067983e-06, 3.985778e-06, 3.844141e-07, 1.627383e-01, 2.802793e-02, -6.527894e-06, -1.826405e+00, -1.836300e-01, -2.621017e-07, -1.444749e-01, -2.263454e-02, 2.597145e-04, 5.511283e-06, 9.691669e-07, 5.127009e-03, -9.338616e-05, -9.213648e-06, 2.178333e-07, 1.791046e+00, 1.724910e-01, -8.146363e-03, 4.696227e-05, 3.971515e-06, 2.497977e-03, 3.743607e-05, 2.224645e-06
-2.900000e-02, -5.540389e-03, 2.546032e-06, 4.062241e-06, 4.538605e-07, 2.963394e-01, 5.254584e-02, -6.867156e-06, -3.186627e+00, -3.231030e-01, -2.535644e-07, -2.730489e-01, -4.536603e-02, 3.452121e-04, 5.731040e-06, 9.965856e-07, 1.145671e-02, -9.532892e-05, -9.414107e-06, 1.669203e-07, 3.142820e+00, 3.084742e-01, -1.551117e-02, 4.913378e-05, 4.153047e-06, 3.422010e-03, 3.613266e-05, 2.099835e-06
-2.847027e-02, -6.663237e-03, 2.412645e-06, 3.608004e-06, 4.567349e-07, 4.598375e-01, 8.297374e-02, -6.008137e-06, -4.818255e+00, -4.911718e-01, -1.348098e-07, -4.327315e-01, -7.431537e-02, 4.161591e-04, 4.906281e-06, 8.296892e-07, 1.978442e-02, -7.890739e-05, -7.882148e-06, 2.966642e-10, 4.768507e+00, 4.737125e-01, -2.470860e-02, 4.323479e-05, 3.736304e-06, 4.219008e-03, 2.357595e-05, 1.201226e-06
-2.807507e-02, -7.505944e-03, 3.009549e-06, 3.804569e-06, 4.830827e-07, 6.362187e-01, 1.160932e-01, -6.243870e-06, -6.557104e+00, -6.708103e-01, -1.148898e-07, -6.064677e-01, -1.063230e-01, 4.697158e-04, 5.084670e-06, 8.541614e-07, 2.916999e-02, -8.149402e-05, -8.239514e-06, -3.578824e-08, 6.503562e+00, 6.512584e-01, -3.475683e-02, 4.540789e-05, 4.025438e-06, 4.838997e-03, 2.249884e-05, 1.086337e-06
-2.781439e-02, -8.166902e-03, 3.477403e-06, 4.158564e-06, 5.123544e-07, 8.196100e-01, 1.507030e-01, -6.809106e-06, -8.353078e+00, -8.566588e-01, -1.359704e-07, -7.879176e-01, -1.400588e-01, 5.119179e-04, 5.565544e-06, 9.385563e-07, 3.916559e-02, -8.988346e-05, -9.125809e-06, -1.654862e-08, 8.296975e+00, 8.354848e-01, -4.527858e-02, 4.977149e-05, 4.457242e-06, 5.338923e-03, 2.560574e-05, 1.265097e-06
-2.764308e-02, -8.651401e-03, 3.943453e-06, 4.442936e-06, 5.327532e-07, 9.850210e-01, 1.820104e-01, -7.254775e-06, -9.966897e+00, -1.023818e+00, -1.538987e-07, -9.519778e-01, -1.707241e-01, 5.429594e-04, 5.946423e-06, 1.006214e-06, 4.830481e-02, -9.656208e-05, -9.802887e-06, 2.076126e-09, 9.909142e+00, 1.001465e+00, -5.480722e-02, 5.310210e-05, 4.759171e-06, 5.713132e-03, 2.829239e-05, 1.424726e-06
