mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -6.289249e-09, -1.713646e-09, -8.350893e-10, -4.291670e-10, 1.095212e+02, -6.282925e+01, 2.493004e-09, -1.030456e+03, 4.937216e+02, 4.334965e-10, -1.095212e+02, 6.282924e+01, -2.053912e-06, 3.907126e-07, 7.051439e-07, 8.687690e+01, -7.768979e-06, 9.711168e-06, -2.604745e-09, 1.030456e+03, -4.937217e+02, -8.687690e+01, 7.312188e-06, -8.927041e-06, 8.259678e-07, -2.110051e-06, -8.927070e-07
-7.900000e-02, -6.066945e-09, -1.506632e-09, -8.535342e-10, -4.193912e-10, 1.095670e+02, -6.285561e+01, 2.369749e-09, -1.030887e+03, 4.939272e+02, 3.975593e-10, -1.095670e+02, 6.285550e+01, -9.545732e-07, 1.393747e-07, 2.515623e-07, 8.691332e+01, -2.771458e-06, 3.464524e-06, -2.426917e-09, 1.030886e+03, -4.939274e+02, -8.691334e+01, 2.608602e-06, -3.184705e-06, -3.244537e-05, -7.533400e-07, -3.191354e-07
-7.800000e-02, -5.693984e-09, -1.092604e-09, -9.310199e-10, -4.719474e-10, 1.096229e+02, -6.288740e+01, 2.657027e-09, -1.031412e+03, 4.941820e+02, 3.920938e-10, -1.096228e+02, 6.288766e+01, -6.835381e-06, 1.299289e-06, 2.344764e-06, 8.695722e+01, -2.583466e-05, 3.229255e-05, -2.338415e-09, 1.031412e+03, -4.941816e+02, -8.695718e+01, 2.431522e-05, -2.968493e-05, 9.268746e-05, -7.014168e-06, -2.967327e-06
-7.700000e-02, -5.481202e-09, -1.108239e-09, -8.907831e-10, -4.270600e-10, 1.093483e+02, -6.272984e+01, 2.359533e-09, -1.028831e+03, 4.929444e+02, 3.648963e-10, -1.093482e+02, 6.272999e+01, -1.132800e-06, -1.183979e-06, -2.136591e-06, 8.673976e+01, 2.354155e-05, -2.942577e-05, -2.199661e-09, 1.028831e+03, -4.929441e+02, -8.673973e+01, -2.215661e-05, 2.704963e-05, 5.232130e-05, 6.388802e-06, 2.702908e-06
-7.600000e-02, -5.253645e-09, -1.395717e-09, -6.376908e-10, -4.077904e-10, 1.092699e+02, -6.268504e+01, 2.527065e-09, -1.028093e+03, 4.925897e+02, 3.467733e-10, -1.092699e+02, 6.268506e+01, -6.534345e-07, 3.027225e-06, 5.463024e-06, 8.667767e+01, -6.019215e-05, 7.523811e-05, -2.028338e-09, 1.028093e+03, -4.925896e+02, -8.667766e+01, 5.665173e-05, -6.916253e-05, 7.756264e-06, -1.633998e-05, -6.913336e-06
-7.500000e-02, -4.927115e-09, -8.580262e-10, -8.606500e-10, -4.062280e-10, 1.094760e+02, -6.280334e+01, 2.216833e-09, -1.030030e+03, 4.935178e+02, 3.415706e-10, -1.094760e+02, 6.280336e+01, -3.717255e-06, 2.943425e-07, 5.312003e-07, 8.684095e+01, -5.852664e-06, 7.315746e-06, -2.023934e-09, 1.030030e+03, -4.935178e+02, -8.684095e+01, 5.508466e-06, -6.724973e-06, 1.130899e-05, -1.589492e-06, -6.727513e-07
-7.400000e-02, -4.700553e-09, -9.875433e-10, -7.376544e-10, -3.687918e-10, 1.093061e+02, -6.270571e+01, 2.069146e-09, -1.028431e+03, 4.927531e+02, 3.179916e-10, -1.093060e+02, 6.270590e+01, -6.208860e-06, -6.782820e-06, -1.224036e-05, 8.670596e+01, 1.348664e-04, -1.685776e-04, -1.902590e-09, 1.028431e+03, -4.927528e+02, -8.670593e+01, -1.269332e-04, 1.549648e-04, 6.936096e-05, 3.660714e-05, 1.548749e-05
-7.300000e-02, -4.485876e-09, -1.232118e-09, -5.896052e-10, -2.946778e-10, 1.092591e+02, -6.267897e+01, 1.681156e-09, -1.027990e+03, 4.925392e+02, 3.112766e-10, -1.092591e+02, 6.267887e+01, -1.081859e-06, 5.917042e-06, 1.067804e-05, 8.666907e+01, -1.176520e-04, 1.470606e-04, -1.918851e-09, 1.027990e+03, -4.925394e+02, -8.666909e+01, 1.107316e-04, -1.351854e-04, -3.011675e-05, -3.193607e-05, -1.351148e-05
-7.200000e-02, -4.279861e-09, -8.398606e-10, -6.847354e-10, -3.426243e-10, 1.091647e+02, -6.262469e+01, 1.937234e-09, -1.027101e+03, 4.921148e+02, 2.962362e-10, -1.091647e+02, 6.262474e+01, -3.383357e-06, -1.179274e-06, -2.128115e-06, 8.659401e+01, 2.344806e-05, -2.930906e-05, -1.686575e-09, 1.027101e+03, -4.921147e+02, -8.659400e+01, -2.206872e-05, 2.694233e-05, 2.121088e-05, 6.363748e-06, 2.692219e-06
-7.100000e-02, -4.114759e-09, -1.314995e-09, -3.944423e-10, -2.781103e-10, 1.091801e+02, -6.263372e+01, 1.796633e-09, -1.027247e+03, 4.921830e+02, 2.802512e-10, -1.091802e+02, 6.263359e+01, -8.023092e-07, -3.538978e-06, -6.386467e-06, 8.660648e+01, 7.036731e-05, -8.795626e-05, -1.640290e-09, 1.027247e+03, -4.921833e+02, -8.660651e+01, -6.622803e-05, 8.085368e-05, -4.156410e-05, 1.909961e-05, 8.080583e-06
