mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 4.059439e-08, -4.171321e-04, -2.982779e-05, 4.379648e-06, -1.047492e+05, -1.998468e+04, -1.434962e-05, 9.899919e+05, 1.030566e+05, -8.651666e-07, 1.047492e+05, 1.998468e+04, -1.465355e-07, 7.724488e-06, 1.710046e-05, -6.056268e+03, 1.245139e+00, 3.780177e-01, 5.300879e-06, -9.899919e+05, -1.030566e+05, 6.056268e+03, -1.245125e+00, -3.781781e-01, -8.194851e-06, -1.187578e-04, -3.605676e-04
-7.900000e-02, -2.495014e-09, -1.481824e-05, -4.726448e-06, 6.943432e-07, -1.049209e+05, -2.001733e+04, -2.921502e-06, 9.916038e+05, 1.032206e+05, -8.246723e-07, 1.049209e+05, 2.001733e+04, 2.881859e-07, -1.343694e-05, -1.651541e-05, -6.066244e+03, -1.111322e+00, -3.374025e-01, 5.057228e-06, -9.916038e+05, -1.032206e+05, 6.066244e+03, 1.111402e+00, 3.375579e-01, 1.050566e-05, -1.812844e-04, 2.920830e-04
-7.800000e-02, 1.639265e-08, -1.515055e-04, -7.570559e-06, 2.309487e-06, -1.045268e+05, -1.994237e+04, -1.045794e-05, 9.878680e+05, 1.028332e+05, -7.840959e-07, 1.045268e+05, 1.994237e+04, 1.565533e-07, 2.020321e-06, 7.482565e-06, -6.043345e+03, 5.656305e-01, 1.717200e-01, 4.808944e-06, -9.878680e+05, -1.028332e+05, 6.043345e+03, -5.655969e-01, -1.717889e-01, 1.044377e-05, -1.784793e-04, -1.768994e-04
-7.700000e-02, 1.704155e-08, -4.306826e-04, -2.111145e-05, 5.074298e-06, -1.044881e+05, -1.993460e+04, -2.056043e-05, 9.875320e+05, 1.027980e+05, -7.514934e-07, 1.044881e+05, 1.993460e+04, -5.329350e-08, 4.990158e-06, 6.297575e-06, -6.041296e+03, 4.254720e-01, 1.291759e-01, 4.625145e-06, -9.875320e+05, -1.027980e+05, 6.041296e+03, -4.254821e-01, -1.292317e-01, -9.693484e-06, -1.094777e-04, -1.305743e-04
-7.600000e-02, 2.520281e-08, -2.506531e-04, -1.632416e-05, 2.942326e-06, -1.045474e+05, -1.994620e+04, -1.087925e-05, 9.881100e+05, 1.028665e+05, -7.270975e-07, 1.045474e+05, 1.994620e+04, -7.706126e-08, 8.551966e-06, 1.054844e-05, -6.044576e+03, 7.098355e-01, 2.155104e-01, 4.442299e-06, -9.881100e+05, -1.028665e+05, 6.044576e+03, -7.098747e-01, -2.156075e-01, 9.207946e-06, 7.523110e-06, -1.978084e-04
-7.500000e-02, 2.011547e-08, 1.545540e-04, -6.344435e-06, -1.840260e-06, -1.045736e+05, -1.995061e+04, 1.073237e-05, 9.883347e+05, 1.028751e+05, -6.794376e-07, 1.045736e+05, 1.995061e+04, 5.213249e-07, 2.861604e-06, 6.086908e-07, -6.046405e+03, 5.812573e-03, 1.770604e-03, 4.194321e-06, -9.883347e+05, -1.028751e+05, 6.046405e+03, -5.856930e-03, -1.777439e-03, 8.658091e-06, 1.673826e-04, 1.567723e-05
-7.400000e-02, 1.421237e-08, 1.347862e-04, -6.576617e-06, -1.625827e-06, -1.042832e+05, -1.989605e+04, 9.787126e-06, 9.855831e+05, 1.026017e+05, -6.482519e-07, 1.042832e+05, 1.989605e+04, 6.398375e-07, 7.420893e-06, 1.242992e-05, -6.029173e+03, 8.795116e-01, 2.670189e-01, 3.966876e-06, -9.855831e+05, -1.026017e+05, 6.029173e+03, -8.795101e-01, -2.671321e-01, 5.971763e-06, -1.809665e-04, -2.651018e-04
-7.300000e-02, -1.550114e-08, -1.308560e-04, -3.075669e-05, 2.050984e-07, -1.043482e+05, -1.990802e+04, 7.746998e-06, 9.862209e+05, 1.026657e+05, -6.228960e-07, 1.043482e+05, 1.990802e+04, 1.689812e-07, -1.121562e-05, -1.903650e-05, -6.033146e+03, -1.347244e+00, -4.090202e-01, 3.817668e-06, -9.862209e+05, -1.026657e+05, 6.033146e+03, 1.347285e+00, 4.092023e-01, 1.524658e-05, -1.510972e-04, 3.611829e-04
-7.200000e-02, -4.758208e-09, -1.502209e-04, -6.602750e-06, 2.141837e-06, -1.042403e+05, -1.988808e+04, -9.578242e-06, 9.851568e+05, 1.025569e+05, -5.836699e-07, 1.042403e+05, 1.988808e+04, 1.665694e-07, -1.091331e-05, -1.741657e-05, -6.026577e+03, -1.220195e+00, -3.704499e-01, 3.553980e-06, -9.851568e+05, -1.025569e+05, 6.026577e+03, 1.220200e+00, 3.706081e-01, 1.181888e-05, 2.373871e-04, 3.658148e-04
-7.100000e-02, 2.920817e-08, -3.463899e-04, -2.142157e-05, 3.707886e-06, -1.041341e+05, -1.986714e+04, -1.319029e-05, 9.841955e+05, 1.024536e+05, -5.575924e-07, 1.041341e+05, 1.986714e+04, 6.953492e-08, 6.110268e-06, 7.838866e-06, -6.020794e+03, 5.321696e-01, 1.615694e-01, 3.426919e-06, -9.841955e+05, -1.024536e+05, 6.020794e+03, -5.322162e-01, -1.616457e-01, -2.080402e-06, 1.949632e-04, -1.287168e-04
-7.000000e-02, 2.845378e-08, 2.493031e-04, 1.118902e-05, -2.042212e-06, -1.041375e+05, -1.986818e+04, 6.656537e-06, 9.841979e+05, 1.024543e+05, -5.224546e-07, 1.041375e+05, 1.986818e+04, -3.190580e-07, 1.649830e-05, 2.391964e-05, -6.020797e+03, 1.654703e+00, 5.023703e-01, 3.194908e-06, -9.841979e+05, -1.024543e+05, 6.020797e+03, -1.654743e+00, -5.025896e-01, -8.765113e-06, -1.590884e-04, -4.793866e-04
-6.900000e-02, -7.183167e-09, 6.623390e-05, -9.021903e-06, -1.033922e-06, -1.042035e+05, -1.988100e+04, 7.617444e-06, 9.848161e+05, 1.025218e+05, -4.963145e-07, 1.042035e+05, 1.988100e+04, -2.032323e-07, -4.155524e-06, -7.568636e-06, -6.024481e+03, -5.397569e-01, -1.638681e-01, 3.015944e-06, -9.848161e+05, -1.025218e+05, 6.024481e+03, 5.397462e-01, 1.639362e-01, 1.517526e-06, 1.669297e-04, 1.683747e-04
-6.800000e-02, -2.842069e-08, 1.438092e-04, -1.175846e-06, -1.560290e-06, -1.037156e+05, -1.978715e+04, 8.068682e-06, 9.802297e+05, 1.020363e+05, -4.620618e-07, 1.037156e+05, 1.978715e+04, 3.494857e-07, -2.425822e-05, -3.806233e-05, -5.996671e+03, -2.663404e+00, -8.086079e-01, 2.851552e-06, -9.802297e+05, -1.020363e+05, 5.996671e+03, 2.663470e+00, 8.089633e-01, 1.568160e-06, 2.842651e-05, 7.480169e-04
-6.700000e-02, -3.659401e-09, -2.513690e-06, 6.914488e-06, 9.608907e-07, -1.036910e+05, -1.978277e+04, -7.439472e-06, 9.800075e+05, 1.020204e+05, -4.394465e-07, 1.036910e+05, 1.978277e+04, 2.399434e-07, -5.353902e-07, 1.908039e-06, -5.995092e+03, 1.604020e-01, 4.869465e-02, 2.695680e-06, -9.800075e+05, -1.020204e+05, 5.995092e+03, -1.603669e-01, -4.871022e-02, 2.553396e-07, -1.940564e-04, -6.508452e-05
-6.600000e-02, 4.185728e-09, -7.625202e-07, -1.670155e-05, -7.588947e-07, -1.033802e+05, -1.972383e+04, 8.600257e-06, 9.770308e+05, 1.017086e+05, -4.063766e-07, 1.033802e+05, 1.972383e+04, -4.481835e-07, -3.729370e-06, -6.553720e-06, -5.976940e+03, -4.654656e-01, -1.413139e-01, 2.488190e-06, -9.770308e+05, -1.017086e+05, 5.976940e+03, 4.654619e-01, 1.413735e-01, -1.107502e-05, 1.044849e-04, 1.410573e-04
-6.500000e-02, -4.508170e-08, 3.778864e-05, 1.053052e-06, -4.706386e-08, -1.034369e+05, -1.973480e+04, -4.642829e-07, 9.775786e+05, 1.017705e+05, -3.862043e-07, 1.034369e+05, 1.973480e+04, -5.493134e-07, -3.285327e-05, -4.948433e-05, -5.980140e+03, -3.443856e+00, -1.045556e+00, 2.349170e-06, -9.775786e+05, -1.017705e+05, 5.980140e+03, 3.443952e+00, 1.046016e+00, 3.995244e-07, 7.959236e-05, 9.717284e-04
-6.400000e-02, 1.893584e-08, -1.896366e-04, -1.339555e-05, 1.971600e-06, -1.031624e+05, -1.968190e+04, -6.482399e-06, 9.749880e+05, 1.014931e+05, -3.575692e-07, 1.031624e+05, 1.968190e+04, -1.472965e-07, 4.409130e-06, 1.242701e-05, -5.964528e+03, 9.226669e-01, 2.801141e-01, 2.199285e-06, -9.749880e+05, -1.014931e+05, 5.964528e+03, -9.226335e-01, -2.802298e-01, 2.289548e-06, -1.878284e-04, -2.774653e-04
-6.300000e-02, -1.506985e-08, -1.777729e-05, -2.899539e-06, 3.728424e-07, -1.032837e+05, -1.970559e+04, -1.383988e-06, 9.761437e+05, 1.016242e+05, -3.376773e-07, 1.032837e+05, 1.970559e+04, 3.206947e-09, -1.415267e-05, -2.150958e-05, -5.971270e+03, -1.498340e+00, -4.548962e-01, 2.042794e-06, -9.761437e+05, -1.016242e+05, 5.971270e+03, 1.498386e+00, 4.550972e-01, 8.992834e-06, -1.225954e-05, 4.177173e-04
-6.200000e-02, 1.775244e-08, -1.129074e-04, -1.705393e-05, 6.326425e-07, -1.026658e+05, -1.958712e+04, 1.589129e-06, 9.702843e+05, 1.010005e+05, -3.058054e-07, 1.026658e+05, 1.958712e+04, 1.527521e-07, 1.611564e-05, 2.293195e-05, -5.935847e+03, 1.581872e+00, 4.802592e-01, 1.882905e-06, -9.702843e+05, -1.010005e+05, 5.935847e+03, -1.581925e+00, -4.804715e-01, 1.219221e-05, -4.168126e-05, -4.468781e-04
-6.100000e-02, -2.341707e-09, 1.541228e-04, 1.929145e-05, -4.236137e-07, -1.025774e+05, -1.956994e+04, -3.965253e-06, 9.694947e+05, 1.009221e+05, -2.866850e-07, 1.025774e+05, 1.956994e+04, 1.776176e-07, -6.915426e-06, -1.399499e-05, -5.930899e+03, -1.009862e+00, -3.065892e-01, 1.776208e-06, -9.694947e+05, -1.009221e+05, 5.930899e+03, 1.009850e+00, 3.067188e-01, -5.565775e-06, 1.587294e-04, 2.989905e-04
-6.000000e-02, -1.365175e-08, -2.823169e-04, -2.888662e-05, 2.031233e-06, -1.025588e+05, -1.956684e+04, -2.008089e-06, 9.692833e+05, 1.009005e+05, -2.636157e-07, 1.025588e+05, 1.956684e+04, -2.620444e-07, -1.682948e-05, -2.400221e-05, -5.929594e+03, -1.657021e+00, -5.030741e-01, 1.617920e-06, -9.692833e+05, -1.009005e+05, 5.929594e+03, 1.657069e+00, 5.032949e-01, -1.743258e-06, 1.140071e-04, 4.754677e-04
-5.900000e-02, 1.024277e-08, -7.097292e-05, -3.355678e-06, 9.652453e-07, -1.026543e+05, -1.958506e+04, -4.205067e-06, 9.701950e+05, 1.009976e+05, -2.454537e-07, 1.026543e+05, 1.958506e+04, 3.036187e-08, 5.339710e-06, 7.740914e-06, -5.935102e+03, 5.356332e-01, 1.626191e-01, 1.500956e-06, -9.701950e+05, -1.009976e+05, 5.935102e+03, -5.356546e-01, -1.626917e-01, 4.632497e-06, 2.808453e-05, -1.469364e-04
