mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-8.000000e-02, 2.322818e+05, -3.863015e+00, 5.391871e+01, -3.863015e+00, 3.142873e+03, -1.630472e+04, 5.391871e+01, -1.630472e+04, 1.539151e+05
-7.900000e-02, 2.221547e+05, 3.197741e+01, -7.953027e+01, 3.197741e+01, 3.009391e+03, -1.555872e+04, -7.953027e+01, -1.555872e+04, 1.470564e+05
-7.800000e-02, 2.121772e+05, 1.524466e+01, -1.334145e+02, 1.524466e+01, 2.873029e+03, -1.487129e+04, -1.334145e+02, -1.487129e+04, 1.406082e+05
-7.700000e-02, 2.024725e+05, 1.902279e+01, -5.233816e+01, 1.902279e+01, 2.745780e+03, -1.421524e+04, -5.233816e+01, -1.421524e+04, 1.342207e+05
-7.600000e-02, 1.926737e+05, 5.510662e+00, 8.155808e+01, 5.510662e+00, 2.625465e+03, -1.358422e+04, 8.155808e+01, -1.358422e+04, 1.281768e+05
-7.500000e-02, 1.834899e+05, -2.882515e+01, 1.689934e+02, -2.882515e+01, 2.497017e+03, -1.292898e+04, 1.689934e+02, -1.292898e+04, 1.220506e+05
-7.400000e-02, 1.746381e+05, 7.691703e+00, 2.678048e+01, 7.691703e+00, 2.369534e+03, -1.228071e+04, 2.678048e+01, -1.228071e+04, 1.159762e+05
-7.300000e-02, 1.655218e+05, -1.709088e+01, -2.126251e+02, -1.709088e+01, 2.256208e+03, -1.168266e+04, -2.126251e+02, -1.168266e+04, 1.103233e+05
-7.200000e-02, 1.577101e+05, -2.500307e+01, -4.102726e+00, -2.500307e+01, 2.131901e+03, -1.104642e+04, -4.102726e+00, -1.104642e+04, 1.041349e+05
-7.100000e-02, 1.489297e+05, -1.587624e+01, -1.571396e+02, -1.587624e+01, 2.019380e+03, -1.046885e+04, -1.571396e+02, -1.046885e+04, 9.889830e+04
-7.000000e-02, 1.405950e+05, 4.250081e+01, -3.071371e+02, 4.250081e+01, 1.910141e+03, -9.899275e+03, -3.071371e+02, -9.899275e+03, 9.361475e+04
-6.900000e-02, 1.327913e+05, 2.696658e+01, -3.035811e+02, 2.696658e+01, 1.806366e+03, -9.337441e+03, -3.035811e+02, -9.337441e+03, 8.821476e+04
-6.800000e-02, 1.255088e+05, 2.481204e+01, -3.708114e+02, 2.481204e+01, 1.690402e+03, -8.808638e+03, -3.708114e+02, -8.808638e+03, 8.303451e+04
-6.700000e-02, 1.177779e+05, -4.967872e+01, 3.919362e+02, -4.967872e+01, 1.596636e+03, -8.279184e+03, 3.919362e+02, -8.279184e+03, 7.810884e+04
-6.600000e-02, 1.104337e+05, 1.324590e-01, -1.483190e+02, 1.324590e-01, 1.500436e+03, -7.795274e+03, -1.483190e+02, -7.795274e+03, 7.339874e+04
-6.500000e-02, 1.033006e+05, 1.308473e+01, -8.251195e+01, 1.308473e+01, 1.402180e+03, -7.282461e+03, -8.251195e+01, -7.282461e+03, 6.878537e+04
-6.400000e-02, 9.685515e+04, 3.107449e+00, -5.539651e+01, 3.107449e+00, 1.307362e+03, -6.783247e+03, -5.539651e+01, -6.783247e+03, 6.397456e+04
-6.300000e-02, 8.956865e+04, -2.466021e+01, 1.791970e+02, -2.466021e+01, 1.224520e+03, -6.349584e+03, 1.791970e+02, -6.349584e+03, 6.006860e+04
-6.200000e-02, 8.340882e+04, -3.124608e+00, -2.533360e+01, -3.124608e+00, 1.131689e+03, -5.895701e+03, -2.533360e+01, -5.895701e+03, 5.575166e+04
-6.100000e-02, 7.765278e+04, 2.620953e+01, -8.577047e+01, 2.620953e+01, 1.045001e+03, -5.454235e+03, -8.577047e+01, -5.454235e+03, 5.141229e+04
-6.000000e-02, 7.177720e+04, -7.534836e+00, -2.027155e+01, -7.534836e+00, 9.569806e+02, -4.989923e+03, -2.027155e+01, -4.989923e+03, 4.741477e+04
-5.900000e-02, 6.590469e+04, 1.229141e+01, -6.941558e+01, 1.229141e+01, 8.983425e+02, -4.641845e+03, -6.941558e+01, -4.641845e+03, 4.381210e+04
-5.800000e-02, 6.047844e+04, -1.458415e+01, 3.297190e+00, -1.458415e+01, 8.227199e+02, -4.257038e+03, 3.297190e+00, -4.257038e+03, 4.015136e+04
-5.700000e-02, 5.528539e+04, 1.827050e+00, -5.860339e+01, 1.827050e+00, 7.489592e+02, -3.883516e+03, -5.860339e+01, -3.883516e+03, 3.661493e+04
-5.600000e-02, 5.012389e+04, 6.716013e+00, 1.137804e+01, 6.716013e+00, 6.817650e+02, -3.529833e+03, 1.137804e+01, -3.529833e+03, 3.331007e+04
-5.500000e-02, 4.532571e+04, 1.463552e+00, -3.102383e+01, 1.463552e+00, 6.159069e+02, -3.190002e+03, -3.102383e+01, -3.190002e+03, 3.007492e+04
-5.400000e-02, 4.074420e+04, 1.867630e+00, 1.091103e+01, 1.867630e+00, 5.512870e+02, -2.863896e+03, 1.091103e+01, -2.863896e+03, 2.701050e+04
-5.300000e-02, 3.632130e+04, -1.412645e+00, 6.666451e+01, -1.412645e+00, 4.928591e+02, -2.556486e+03, 6.666451e+01, -2.556486e+03, 2.409956e+04
-5.200000e-02, 3.216168e+04, 5.694136e+00, 1.123094e+01, 5.694136e+00, 4.365169e+02, -2.262771e+03, 1.123094e+01, -2.262771e+03, 2.131265e+04
-5.100000e-02, 2.828164e+04, 5.443797e+00, -3.692242e+01, 5.443797e+00, 3.807895e+02, -1.979099e+03, -3.692242e+01, -1.979099e+03, 1.865221e+04
-5.000000e-02, 2.444294e+04, -6.052461e+00, 4.489517e+01, -6.052461e+00, 3.317022e+02, -1.722614e+03, 4.489517e+01, -1.722614e+03, 1.624587e+04
-4.900000e-02, 2.101993e+04, -7.685613e+00, 3.412920e+01, -7.685613e+00, 2.832946e+02, -1.471165e+03, 3.412920e+01, -1.471165e+03, 1.386184e+04
-4.800000e-02, 1.769803e+04, 1.876196e+00, -7.465131e+00, 1.876196e+00, 2.392341e+02, -1.246321e+03, -7.465131e+00, -1.246321e+03, 1.173176e+04
-4.700000e-02, 1.465853e+04, 3.569486e+00, -2.059411e+01, 3.569486e+00, 1.985413e+02, -1.028807e+03, -2.059411e+01, -1.028807e+03, 9.723351e+03
-4.600000e-02, 1.179643e+04, 5.239267e-01, -8.687309e+00, 5.239267e-01, 1.615102e+02, -8.346201e+02, -8.687309e+00, -8.346201e+02, 7.879103e+03
-4.500000e-02, 9.252693e+03, -2.411351e+00, 1.214713e+01, -2.411351e+00, 1.251720e+02, -6.495318e+02, 1.214713e+01, -6.495318e+02, 6.141696e+03
-4.400000e-02, 6.895252e+03, 1.834350e+00, 6.768461e-01, 1.834350e+00, 9.413598e+01, -4.872015e+02, 6.768461e-01, -4.872015e+02, 4.589003e+03
-4.300000e-02, 4.826428e+03, -2.492090e+00, 7.007494e+00, -2.492090e+00, 6.520365e+01, -3.384855e+02, 7.007494e+00, -3.384855e+02, 3.188983e+03
-4.200000e-02, 3.003069e+03, 1.094242e-01, -3.083201e+00, 1.094242e-01, 4.076762e+01, -2.114448e+02, -3.083201e+00, -2.114448e+02, 1.992258e+03
-4.100000e-02, 1.497397e+03, 3.662693e-01, -1.146835e+00, 3.662693e-01, 2.044529e+01, -1.058365e+02, -1.146835e+00, -1.058365e+02, 9.975887e+02
-4.039519e-02, 7.786992e+02, 1.429051e-02, -5.905162e-01, 1.429051e-02, 1.067196e+01, -5.532666e+01, -5.905162e-01, -5.532666e+01, 5.212630e+02
-4.006586e-02, 4.708547e+02, 2.279737e-01, -1.480872e-01, 2.279737e-01, 6.384946e+00, -3.315173e+01, -1.480872e-01, -3.315173e+01, 3.132506e+02
-3.984862e-02, 3.062215e+02, 1.708735e-02, -3.485184e-01, 1.708735e-02, 4.177420e+00, -2.163288e+01, -3.485184e-01, -2.163288e+01, 2.045332e+02
-3.970587e-02, 2.203572e+02, 2.961064e-02, -1.086923e-01, 2.961064e-02, 2.983476e+00, -1.549112e+01, -1.086923e-01, -1.549112e+01, 1.465786e+02
-3.961246e-02, 1.737275e+02, -1.743644e-02, 1.166880e-01, -1.743644e-02, 2.370506e+00, -1.226880e+01, 1.166880e-01, -1.226880e+01, 1.159159e+02
-3.955163e-02, 1.486359e+02, -2.474601e-02, -7.457025e-02, -2.474601e-02, 2.007311e+00, -1.041552e+01, -7.457025e-02, -1.041552e+01, 9.839861e+01
-3.951225e-02, 1.333768e+02, -3.135078e-02, 1.799620e-01, -3.135078e-02, 1.819086e+00, -9.425515e+00, 1.799620e-01, -9.425515e+00, 8.886649e+01
-3.948692e-02, 1.249718e+02, -6.784467e-03, 3.955132e-02, -6.784467e-03, 1.695936e+00, -8.788309e+00, 3.955132e-02, -8.788309e+00, 8.282075e+01
-3.947075e-02, 1.195850e+02, 4.769601e-02, -1.120101e-01, 4.769601e-02, 1.618716e+00, -8.385772e+00, -1.120101e-01, -8.385772e+00, 7.935300e+01
-3.946052e-02, 1.165164e+02, 3.256878e-02, 5.640226e-03, 3.256878e-02, 1.567240e+00, -8.142254e+00, 5.640226e-03, -8.142254e+00, 7.711017e+01
-3.945413e-02, 1.143665e+02, 1.024968e-02, 7.209107e-02, 1.024968e-02, 1.550186e+00, -8.041606e+00, 7.209107e-02, -8.041606e+00, 7.593462e+01
-3.945020e-02, 1.131591e+02, 3.384959e-02, -1.015703e-01, 3.384959e-02, 1.539722e+00, -7.961893e+00, -1.015703e-01, -7.961893e+00, 7.511002e+01
-3.944782e-02, 1.127417e+02, 6.455395e-03, 2.801883e-02, 6.455395e-03, 1.520039e+00, -7.886898e+00, 2.801883e-02, -7.886898e+00, 7.445260e+01
-3.944642e-02, 1.120936e+02, 1.758300e-02, 4.774114e-02, 1.758300e-02, 1.516088e+00, -7.863066e+00, 4.774114e-02, -7.863066e+00, 7.434305e+01
-3.944562e-02, 1.117276e+02, 1.321366e-02, -8.732554e-02, 1.321366e-02, 1.518273e+00, -7.862827e+00, -8.732554e-02, -7.862827e+00, 7.427486e+01
