mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-9.000000e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-8.887500e-02, -1.627431e-13, -8.072051e-14, -1.384958e-13, 1.724808e+00, 8.476903e-01, 1.605167e+00, -1.669429e+01, -7.888982e+00, -1.470114e+01, -1.724177e+00, -8.486628e-01, -1.605334e+00, 3.873730e-05, -5.450437e-05, -2.510473e-06, 1.298184e+00, -3.378953e-01, -1.285225e+00, 1.669543e+01, 7.887220e+00, 1.470084e+01, -1.298030e+00, 3.380461e-01, 1.285767e+00, 1.508423e-04, 4.517642e-04, 9.890828e-04
-8.775000e-02, -1.462238e-13, -6.843929e-14, -1.236583e-13, 3.331168e+00, 1.636767e+00, 3.099997e+00, -3.223629e+01, -1.523321e+01, -2.838530e+01, -3.329859e+00, -1.638962e+00, -3.100242e+00, 9.431407e-05, -1.586728e-04, -1.853983e-05, 2.510877e+00, -6.515931e-01, -2.480613e+00, 3.223865e+01, 1.522923e+01, 2.838486e+01, -2.510639e+00, 6.519116e-01, 2.481956e+00, 1.221285e-04, 1.096974e-03, 2.492733e-03
-8.662500e-02, 8.441458e-15, 1.184346e-14, 8.173194e-15, 4.911377e+00, 2.413823e+00, 4.570962e+00, -4.756931e+01, -2.247875e+01, -4.188862e+01, -4.909823e+00, -2.416586e+00, -4.571164e+00, 9.125141e-05, -1.731695e-04, -2.734051e-05, 3.699621e+00, -9.627473e-01, -3.662142e+00, 4.757213e+01, 2.247375e+01, 4.188826e+01, -3.699220e+00, 9.631645e-01, 3.663696e+00, 4.268444e-04, 1.323353e-03, 2.902920e-03
-8.550000e-02, 6.536325e-14, 4.228783e-14, 6.064439e-14, 6.650706e+00, 3.269649e+00, 6.189815e+00, -6.440762e+01, -3.043652e+01, -5.672275e+01, -6.648655e+00, -3.272595e+00, -6.190480e+00, 1.281923e-04, -1.546141e-04, 4.017030e-06, 5.002148e+00, -1.304015e+00, -4.957669e+00, 6.441134e+01, 3.043118e+01, 5.672155e+01, -5.001663e+00, 1.304478e+00, 4.959302e+00, 4.576971e-04, 1.345757e-03, 2.943257e-03
-8.437500e-02, 1.316783e-14, 2.291847e-14, 2.699725e-14, 8.348110e+00, 4.104568e+00, 7.769288e+00, -8.080004e+01, -3.818386e+01, -7.116421e+01, -8.345247e+00, -4.107891e+00, -7.770669e+00, 1.346126e-04, -4.357033e-05, 6.106114e-05, 6.266275e+00, -1.638543e+00, -6.223883e+00, 8.080522e+01, 3.817784e+01, 7.116171e+01, -6.265346e+00, 1.639145e+00, 6.225314e+00, 1.240885e-03, 1.233607e-03, 2.391710e-03
-8.325000e-02, -1.465010e-14, 1.377574e-14, 1.200802e-14, 1.004976e+01, 4.942332e+00, 9.353156e+00, -9.727540e+01, -4.597045e+01, -8.568154e+01, -1.004648e+01, -4.945452e+00, -9.355130e+00, 1.446656e-04, 5.142519e-05, 1.126363e-04, 7.535149e+00, -1.973767e+00, -7.493354e+00, 9.728135e+01, 4.596480e+01, 8.567797e+01, -7.534030e+00, 1.974389e+00, 7.494462e+00, 1.551769e-03, 9.576740e-04, 1.637306e-03
-8.212500e-02, -6.992804e-14, -1.422873e-14, -3.659782e-14, 1.200136e+01, 5.903006e+00, 1.117012e+01, -1.162295e+02, -5.492764e+01, -1.023792e+02, -1.199802e+01, -5.906047e+00, -1.117221e+01, 1.569792e-04, 5.347432e-05, 1.211096e-04, 9.000594e+00, -2.357666e+00, -8.950765e+00, 1.162355e+02, 5.492213e+01, 1.023755e+02, -8.999509e+00, 2.358274e+00, 8.951869e+00, 1.451033e-03, 9.261844e-04, 1.602006e-03
-8.100000e-02, -1.170281e-13, -4.087924e-14, -7.857920e-14, 1.409910e+01, 6.935573e+00, 1.312318e+01, -1.366096e+02, -6.455861e+01, -1.203326e+02, -1.409573e+01, -6.938565e+00, -1.312532e+01, 1.674323e-04, 4.634947e-05, 1.240608e-04, 1.057684e+01, -2.770360e+00, -1.051775e+01, 1.366157e+02, 6.455319e+01, 1.203288e+02, -1.057581e+01, 2.770955e+00, 1.051888e+01, 1.331678e-03, 9.250934e-04, 1.643989e-03
-7.987500e-02, -1.361267e-13, -5.173344e-14, -9.570728e-14, 1.625634e+01, 7.997759e+00, 1.513163e+01, -1.575597e+02, -7.445929e+01, -1.387906e+02, -1.625293e+01, -8.000436e+00, -1.513401e+01, 1.873135e-04, 6.155015e-05, 1.434322e-04, 1.219513e+01, -3.194577e+00, -1.212791e+01, 1.575658e+02, 7.445445e+01, 1.387863e+02, -1.219418e+01, 3.195122e+00, 1.212895e+01, 1.110217e-03, 7.841282e-04, 1.400392e-03
-7.875000e-02, -1.948882e-13, -8.130735e-14, -1.468709e-13, 1.844903e+01, 9.077241e+00, 1.717312e+01, -1.788610e+02, -8.452576e+01, -1.575567e+02, -1.844561e+01, -9.079724e+00, -1.717561e+01, 2.178743e-04, 3.679851e-05, 1.501839e-04, 1.384310e+01, -3.625183e+00, -1.376389e+01, 1.788672e+02, 8.452127e+01, 1.575522e+02, -1.384232e+01, 3.625676e+00, 1.376500e+01, 7.070926e-04, 7.713169e-04, 1.521070e-03
