mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, -2.244824e-15, 8.983947e-11, 2.335361e-11, 4.347306e-13, 1.236541e-11, 2.378227e-12, -9.295111e-12, -1.166985e-10, -1.238959e-11, 1.021140e-16, 9.315378e-12, 5.302021e-13, -8.814367e-14, -4.111073e-12, -7.795916e-13, 2.892768e-13, 3.895834e-11, 4.038933e-12, 2.064611e-15, 8.265334e-12, 8.297820e-12, 4.739118e-13, -4.689819e-12, -9.260663e-13, -4.928989e-12, 4.310678e-11, 4.447124e-12
-7.900000e-02, -7.261198e-15, 5.126924e-10, 1.524337e-11, -5.804241e-12, -4.930330e-11, -9.289823e-12, 2.506174e-11, 4.656046e-10, 4.836333e-11, 2.620087e-15, 4.495829e-11, 9.188016e-12, 4.304842e-14, -2.731583e-13, -5.297903e-14, -3.001432e-12, 2.443677e-12, 2.296788e-13, -1.754299e-14, -1.905079e-11, -6.568281e-12, -2.028567e-13, -3.172812e-12, -5.927020e-13, 2.948164e-12, 3.052697e-11, 3.083795e-12
-7.800000e-02, -1.256525e-15, -1.109615e-10, -3.291598e-11, -8.415960e-13, -1.518903e-11, -2.917932e-12, 1.442752e-11, 1.435750e-10, 1.526864e-11, 1.005523e-15, -2.185079e-11, -4.702563e-12, -3.819963e-14, -1.047062e-12, -2.034116e-13, 1.627223e-12, 9.794729e-12, 1.007586e-12, -1.664101e-15, -1.482480e-10, -1.790066e-11, 7.473590e-13, 3.316765e-11, 6.311228e-12, 1.434611e-12, -3.119590e-10, -3.245234e-11
-7.700000e-02, 1.241691e-15, 1.105791e-10, 8.794555e-13, -1.407628e-12, 3.225998e-11, 6.134818e-12, 6.747666e-12, -3.047766e-10, -3.155765e-11, 2.423981e-15, -3.489192e-11, -2.809402e-12, 2.717551e-13, 1.761047e-12, 3.329204e-13, -5.442141e-13, -1.671301e-11, -1.727962e-12, -1.097184e-14, -9.582147e-11, -3.069580e-12, 1.080405e-12, -9.335057e-12, -1.797684e-12, -4.745258e-12, 8.834372e-11, 9.192266e-12
-7.600000e-02, -1.821943e-15, 8.257737e-11, 4.787864e-11, 2.267138e-12, 1.893712e-11, 3.583119e-12, -2.620208e-11, -1.804750e-10, -1.834265e-11, 1.128580e-15, -2.097620e-11, -3.512604e-12, 3.412046e-14, 1.638835e-12, 3.074554e-13, 9.000206e-13, -1.536053e-11, -1.566660e-12, -3.799647e-15, 2.151851e-10, 2.435735e-11, -1.173452e-12, -4.324660e-12, -8.051874e-13, -1.371341e-12, 4.032972e-11, 4.304123e-12
-7.500000e-02, -4.537284e-17, 3.273642e-10, 4.740064e-11, -1.068017e-12, -1.831008e-11, -3.502851e-12, -8.795148e-12, 1.744100e-10, 1.808922e-11, 3.782866e-15, -3.319257e-11, -3.176661e-12, 2.229936e-13, -2.116617e-12, -4.077422e-13, -1.794006e-13, 2.000566e-11, 2.085581e-12, -2.539831e-14, -7.757867e-11, -1.890672e-11, -2.947528e-13, 1.136082e-11, 2.179284e-12, 7.230868e-12, -1.069566e-10, -1.115528e-11
-7.400000e-02, -1.996278e-16, -1.290462e-10, -2.793790e-11, -2.158442e-13, 4.244380e-11, 8.034977e-12, 9.396562e-12, -4.015881e-10, -4.130322e-11, 8.098588e-16, -5.068483e-12, -1.795492e-12, -5.950671e-14, 1.070791e-12, 2.087277e-13, 8.610980e-13, -1.002260e-11, -1.055022e-12, -7.517328e-15, -1.165887e-10, -1.460160e-11, 5.418574e-13, 2.917959e-11, 5.628995e-12, 1.613516e-12, -2.753942e-10, -2.880230e-11
-7.300000e-02, -1.303543e-15, 8.857454e-11, 1.917773e-11, 1.288088e-13, 5.547780e-12, 1.069842e-12, -6.123449e-12, -4.993680e-11, -5.090544e-12, -4.515909e-16, 1.236271e-11, 4.220298e-13, -1.367152e-13, 1.902321e-12, 3.666547e-13, 5.735170e-13, -1.787488e-11, -1.866308e-12, -3.725583e-15, -2.635049e-10, -2.177202e-11, 2.010669e-12, -3.036840e-11, -5.794546e-12, -3.769602e-12, 2.870434e-10, 2.995416e-11
-7.200000e-02, 3.506624e-15, -7.116960e-11, -5.904474e-12, 5.410930e-13, -1.954372e-11, -3.810016e-12, -9.992666e-13, 1.826098e-10, 1.882702e-11, 4.485497e-15, -4.982452e-11, -7.585957e-12, 1.365473e-13, 1.492741e-12, 2.757222e-13, 1.600086e-12, -1.407836e-11, -1.454235e-12, -2.862877e-14, 3.056279e-10, 2.139828e-12, -3.968937e-12, 1.773940e-13, 7.535228e-15, 1.977701e-11, -2.259968e-12, -1.989780e-13
-7.100000e-02, 1.153678e-15, -3.107453e-11, -2.890412e-11, -1.629690e-12, -1.489860e-11, -2.921430e-12, 1.724768e-11, 1.415211e-10, 1.534817e-11, 1.706062e-15, 5.266721e-11, 6.489706e-12, -2.514809e-13, 2.126827e-13, 4.172410e-14, -6.598536e-13, -2.080546e-12, -2.267237e-13, -2.113728e-14, 1.448601e-10, 9.209342e-13, -1.870692e-12, -2.339501e-12, -4.616116e-13, 9.121925e-12, 2.227706e-11, 2.300309e-12
