mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-8.000000e-02, 1.478414e-13, -6.718826e-11, -4.501462e-12, 2.116133e-12, -5.978102e+00, -1.140564e+00, -1.131763e-11, 5.649783e+01, 5.881456e+00, -1.507561e-12, 5.978102e+00, 1.140564e+00, -1.152762e-11, 1.668808e-09, 2.536926e-09, -3.456212e-01, 1.767500e-04, 5.366136e-05, 9.491689e-12, -5.649783e+01, -5.881456e+00, 3.456212e-01, -1.767539e-04, -5.368479e-05, 4.224089e-11, -1.249632e-08, -5.074511e-08
-7.900000e-02, 4.830177e-14, -5.318007e-11, -5.051378e-12, 1.812894e-12, -5.977820e+00, -1.140483e+00, -9.522942e-12, 5.649720e+01, 5.881344e+00, -1.446403e-12, 5.977820e+00, 1.140483e+00, 1.782656e-12, 7.282918e-11, 1.112024e-10, -3.456188e-01, 7.752664e-06, 2.353711e-06, 9.175137e-12, -5.649720e+01, -5.881344e+00, 3.456188e-01, -7.752826e-06, -2.354738e-06, 2.055677e-11, -5.909255e-10, -2.230328e-09
-7.800000e-02, 6.920605e-14, -6.140904e-11, -3.579498e-12, 1.963478e-12, -5.973002e+00, -1.139545e+00, -1.068416e-11, 5.645235e+01, 5.876495e+00, -1.382974e-12, 5.973002e+00, 1.139545e+00, 1.121415e-11, 4.995087e-10, 7.598224e-10, -3.453500e-01, 5.294230e-05, 1.607330e-05, 8.801316e-12, -5.645235e+01, -5.876495e+00, 3.453500e-01, -5.294345e-05, -1.608031e-05, -6.892472e-11, -3.791438e-09, -1.520479e-08
-7.700000e-02, 1.107001e-14, -8.330740e-11, -6.215728e-12, 2.000831e-12, -5.978624e+00, -1.140638e+00, -9.993583e-12, 5.650460e+01, 5.882109e+00, -1.316186e-12, 5.978624e+00, 1.140638e+00, 8.574360e-13, -6.220193e-10, -9.456437e-10, -3.456643e-01, -6.588397e-05, -2.000239e-05, 8.350378e-12, -5.650460e+01, -5.882109e+00, 3.456643e-01, 6.588541e-05, 2.001112e-05, 1.408619e-11, 4.655705e-09, 1.891494e-08
-7.600000e-02, 6.342413e-14, -3.116566e-11, -2.658658e-12, 1.485931e-12, -5.964131e+00, -1.137875e+00, -8.362283e-12, 5.636698e+01, 5.867689e+00, -1.241268e-12, 5.964131e+00, 1.137875e+00, -2.094576e-13, 3.756801e-10, 5.710490e-10, -3.448252e-01, 3.978512e-05, 1.207877e-05, 7.926008e-12, -5.636698e+01, -5.867689e+00, 3.448252e-01, -3.978599e-05, -1.208405e-05, -3.117716e-11, -2.828985e-09, -1.142412e-08
-7.500000e-02, 1.380008e-13, -6.379996e-11, -4.981700e-12, 1.702833e-12, -5.964561e+00, -1.137963e+00, -8.711700e-12, 5.637088e+01, 5.868147e+00, -1.183217e-12, 5.964561e+00, 1.137963e+00, -2.785308e-12, 1.673887e-09, 2.544366e-09, -3.448475e-01, 1.772654e-04, 5.381781e-05, 7.524084e-12, -5.637088e+01, -5.868147e+00, 3.448475e-01, -1.772693e-04, -5.384131e-05, -4.282910e-12, -1.252706e-08, -5.089241e-08
-7.400000e-02, -4.948642e-14, -4.968575e-11, -3.034236e-12, 1.583734e-12, -5.957567e+00, -1.136622e+00, -8.624706e-12, 5.630612e+01, 5.861573e+00, -1.131621e-12, 5.957567e+00, 1.136622e+00, 2.426547e-13, -1.188087e-09, -1.805333e-09, -3.444462e-01, -1.257708e-04, -3.818404e-05, 7.234741e-12, -5.630612e+01, -5.861573e+00, 3.444462e-01, 1.257735e-04, 3.820071e-05, 7.925174e-11, 8.861462e-09, 3.610559e-08
-7.300000e-02, 4.710240e-15, -5.141328e-11, -4.848862e-12, 1.424907e-12, -5.955136e+00, -1.136176e+00, -7.189742e-12, 5.628218e+01, 5.859176e+00, -1.071160e-12, 5.955136e+00, 1.136176e+00, -8.268238e-12, 4.875188e-11, 7.462398e-11, -3.442968e-01, 5.204266e-06, 1.580017e-06, 6.821863e-12, -5.628217e+01, -5.859176e+00, 3.442968e-01, -5.204374e-06, -1.580706e-06, 1.292343e-10, -3.896717e-10, -1.496448e-09
-7.200000e-02, -7.405979e-14, -5.353909e-11, -3.867492e-12, 1.460534e-12, -5.943956e+00, -1.134011e+00, -7.628070e-12, 5.617675e+01, 5.847716e+00, -9.979307e-13, 5.943956e+00, 1.134011e+00, 7.463578e-12, -1.504240e-09, -2.286590e-09, -3.436668e-01, -1.593066e-04, -4.836554e-05, 6.454436e-12, -5.617675e+01, -5.847716e+00, 3.436668e-01, 1.593101e-04, 4.838665e-05, -1.173797e-10, 1.125355e-08, 4.573590e-08
-7.100000e-02, 2.715687e-14, -4.512283e-11, -3.643995e-12, 1.308692e-12, -5.943948e+00, -1.134036e+00, -6.861448e-12, 5.617677e+01, 5.848179e+00, -9.528941e-13, 5.943948e+00, 1.134036e+00, -5.646929e-12, 2.829884e-10, 4.306863e-10, -3.436527e-01, 3.001115e-05, 9.111393e-06, 6.104600e-12, -5.617677e+01, -5.848179e+00, 3.436527e-01, -3.001180e-05, -9.115370e-06, 1.149130e-10, -2.142015e-09, -8.618339e-09
-7.000000e-02, -2.170359e-14, -3.425470e-11, -1.392385e-12, 1.262644e-12, -5.936133e+00, -1.132528e+00, -7.235729e-12, 5.610331e+01, 5.840325e+00, -8.922783e-13, 5.936133e+00, 1.132528e+00, 2.808582e-12, -6.178481e-10, -9.387188e-10, -3.432097e-01, -6.539583e-05, -1.985419e-05, 5.782109e-12, -5.610331e+01, -5.840325e+00, 3.432097e-01, 6.539726e-05, 1.986286e-05, 1.024762e-11, 4.608406e-09, 1.877353e-08
-6.900000e-02, 9.584674e-14, -4.510753e-11, -4.432140e-12, 1.138460e-12, -5.939019e+00, -1.133081e+00, -5.641566e-12, 5.613118e+01, 5.843390e+00, -8.482380e-13, 5.939019e+00, 1.133081e+00, 1.454440e-12, 1.523010e-09, 2.315008e-09, -3.433751e-01, 1.612857e-04, 4.896637e-05, 5.488856e-12, -5.613118e+01, -5.843390e+00, 3.433751e-01, -1.612892e-04, -4.898775e-05, 9.334158e-11, -1.140932e-08, -4.630580e-08
-6.800000e-02, 1.880259e-14, -2.402213e-11, -3.675184e-12, 8.576415e-13, -5.924467e+00, -1.130310e+00, -4.381354e-12, 5.599289e+01, 5.828926e+00, -7.913982e-13, 5.924467e+00, 1.130310e+00, -1.013737e-12, 8.102557e-11, 1.229698e-10, -3.425312e-01, 8.565416e-06, 2.600463e-06, 5.126877e-12, -5.599289e+01, -5.828926e+00, 3.425312e-01, -8.565605e-06, -2.601599e-06, 5.821451e-11, -6.068074e-10, -2.459262e-09
