mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-1.000000e-01, -6.404689e-12, 2.229614e-11, -3.594540e-12, 1.976581e-12, -4.102942e-12, -2.250800e-12, -3.139000e-11, 1.826448e-11, -7.911136e-12, 1.304710e-12, 4.901454e-12, -2.605743e-12, 2.698489e-12, -6.730022e-13, 2.895865e-13, -1.347027e-11, 3.662301e-12, -2.376956e-12, -1.189423e-11, 1.751085e-11, -1.132370e-11, -1.520783e-11, 1.827715e-12, -1.029824e-12, -8.779728e-12, -5.333560e-12, -1.941710e-12
-9.500000e-02, -5.648997e-12, 2.940898e-11, -7.415702e-12, 3.050678e-13, -5.098534e-12, -1.133769e-12, -2.223942e-11, 3.025254e-11, -1.294104e-11, 9.458438e-13, 2.699189e-12, -1.293400e-12, 2.193055e-12, -1.710219e-13, -4.366254e-14, -9.407417e-12, -5.573678e-13, 4.103443e-13, -8.108901e-12, 1.633673e-11, -1.068908e-11, -1.259569e-11, 1.697291e-12, -1.770318e-13, -1.190754e-11, -6.976884e-12, -8.754779e-12
-9.000000e-02, -4.975136e-12, 6.763917e-12, 1.806657e-12, 2.251164e-12, -4.258702e-12, -1.034659e-12, -2.270398e-11, 2.575237e-11, -9.870126e-12, 7.875869e-13, -1.347473e-12, 2.961029e-13, 2.473010e-12, -3.181298e-13, 5.709504e-14, -1.091365e-11, 1.173370e-12, -3.917510e-13, -7.696326e-12, 2.077911e-11, -1.040132e-11, -1.310931e-11, 2.286543e-12, -9.822696e-13, 7.759507e-12, -1.345744e-11, -4.106687e-14
-8.500000e-02, -4.713591e-12, 9.621976e-12, -3.217099e-13, 1.477665e-12, -2.660960e-12, -1.585947e-12, -1.871771e-11, 1.328807e-11, -2.081628e-12, 1.046124e-12, 5.381599e-13, -5.202023e-13, 1.897371e-12, -4.322195e-13, 2.968668e-13, -8.904811e-12, 2.341829e-12, -2.606458e-12, -7.653909e-12, 1.213355e-11, -6.577633e-12, -1.005065e-11, 1.968153e-12, -1.345573e-12, 3.123454e-12, -1.129391e-11, 5.143090e-12
-8.000000e-02, -2.730137e-12, 4.017871e-12, 1.367720e-12, 1.655217e-12, -2.260409e-12, -7.935977e-13, -1.638896e-11, 1.127929e-11, -6.355549e-12, 6.030566e-13, -8.032262e-13, 1.045128e-13, 1.707498e-12, -1.543866e-13, 3.242573e-14, -7.813844e-12, 1.785410e-13, -2.787540e-13, -5.677900e-12, 1.428774e-11, -7.055613e-12, -8.939279e-12, 1.123256e-12, -6.253995e-13, 6.115509e-12, -4.848110e-12, -4.196990e-15
-7.500000e-02, -1.865801e-12, 2.638121e-12, 1.319498e-12, 1.339762e-12, -1.782306e-12, -5.227145e-13, -1.288647e-11, 8.723072e-12, -6.042234e-12, 4.273870e-13, -5.554572e-13, 7.298644e-14, 1.311775e-12, -1.327853e-13, 1.262641e-14, -5.898940e-12, 2.644033e-13, -6.609543e-14, -4.096033e-12, 1.106618e-11, -5.887071e-12, -6.601495e-12, 8.366566e-13, -3.137327e-13, 8.522941e-13, -3.552889e-12, -1.724647e-12
-7.000000e-02, -2.104369e-12, 2.813511e-12, 8.088802e-13, 7.777897e-13, -1.231271e-12, -7.489749e-13, -8.182243e-12, 5.710424e-12, -1.412093e-12, 3.915008e-13, -9.169111e-14, -1.108417e-13, 9.823085e-13, -1.858828e-13, 8.394227e-14, -4.585346e-12, 9.655547e-13, -6.808583e-13, -3.433459e-12, 7.328175e-12, -3.806643e-12, -5.119833e-12, 8.900826e-13, -5.107481e-13, 2.232723e-12, -4.893961e-12, 9.903032e-13
-6.500000e-02, -1.280874e-12, 2.003694e-12, 4.930972e-13, 7.003713e-13, -9.371745e-13, -4.283491e-13, -7.127738e-12, 4.464320e-12, -2.150224e-12, 2.697943e-13, -1.340479e-13, -2.346760e-14, 7.009591e-13, -1.014914e-13, 3.460253e-14, -3.145511e-12, 3.832978e-13, -2.693112e-13, -2.216045e-12, 5.488567e-12, -3.061402e-12, -3.577536e-12, 4.463404e-13, -1.420207e-13, 4.520242e-14, -1.779764e-12, -1.322712e-12
-6.000000e-02, -8.922799e-13, 1.359919e-12, 4.639288e-13, 3.767721e-13, -6.276261e-13, -3.087170e-13, -3.887458e-12, 3.016904e-12, -1.334457e-12, 1.718962e-13, -3.113774e-13, 4.970621e-14, 5.324976e-13, -5.817310e-14, 1.272169e-14, -2.477802e-12, 1.628414e-13, -8.286559e-14, -1.694807e-12, 3.969002e-12, -1.876092e-12, -2.746790e-12, 4.491624e-13, -2.558361e-13, 2.633987e-12, -2.459366e-12, 4.161633e-13
-5.500000e-02, -6.507483e-13, 3.765084e-13, 4.969711e-13, 2.734055e-13, -3.138659e-13, -2.759612e-13, -2.439378e-12, 1.231886e-12, -7.065261e-14, 1.038706e-13, -1.135614e-13, 3.321324e-15, 3.147339e-13, -4.897127e-14, 1.308009e-14, -1.452605e-12, 2.221148e-13, -8.906590e-14, -9.381081e-13, 2.513450e-12, -1.379925e-12, -1.568775e-12, 2.983766e-13, -1.295924e-13, 2.746349e-13, -1.740820e-12, -7.370746e-14
