mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.400000e-02, -2.321248e-15, 8.027170e-15, -9.886490e-15, -1.279678e-15, 5.206033e+00, -2.986555e+00, -1.347465e-14, -4.898217e+01, 2.346881e+01, 3.242896e-17, -5.206033e+00, 2.986556e+00, -1.378839e-07, -7.826677e-10, -1.412417e-09, 4.129646e+00, 1.556221e-08, -1.945216e-08, 1.390129e-14, 4.898217e+01, -2.346881e+01, -4.129646e+00, -1.464681e-08, 1.788139e-08, 6.559307e-07, 4.224221e-09, 1.787148e-09
-3.300000e-02, 4.870649e-15, -5.247281e-14, 3.056097e-14, 3.346093e-15, -3.265170e+00, 1.873136e+00, -2.318467e-14, 3.072111e+01, -1.471940e+01, -1.210965e-15, 3.265170e+00, -1.873137e+00, 8.650408e-08, 5.410109e-10, 9.763170e-10, -2.590071e+00, -1.075721e-08, 1.344610e-08, -7.367825e-15, -3.072111e+01, 1.471940e+01, 2.590071e+00, 1.012445e-08, -1.236031e-08, -4.110596e-07, -2.919936e-09, -1.235372e-09
-3.200000e-02, 1.458089e-15, -4.023731e-14, 1.388597e-14, -1.950542e-15, -1.263321e+01, 7.247318e+00, 3.999054e-14, 1.188625e+02, -5.695055e+01, 3.232305e-16, 1.263321e+01, -7.247321e+00, 3.338264e-07, 5.665226e-10, 1.022357e-09, -1.002120e+01, -1.126447e-08, 1.408016e-08, -2.557428e-14, -1.188625e+02, 5.695055e+01, 1.002120e+01, 1.060187e-08, -1.294317e-08, -1.600347e-06, -3.057622e-09, -1.293620e-09
-3.100000e-02, -6.925271e-15, -2.337854e-14, 4.492854e-15, -1.797214e-15, -2.603773e+01, 1.493711e+01, 4.748152e-14, 2.449820e+02, -1.173782e+02, 2.157129e-15, 2.603773e+01, -1.493712e+01, 6.823619e-07, -5.340844e-09, -9.638182e-09, -2.065423e+01, 1.061950e-07, -1.327396e-07, -5.431053e-14, -2.449820e+02, 1.173781e+02, 2.065423e+01, -9.994837e-08, 1.220207e-07, -3.337042e-06, 2.882561e-08, 1.219543e-08
-3.000000e-02, 8.752888e-15, 1.536516e-14, -9.906273e-15, -3.092816e-15, -5.121775e+01, 2.938218e+01, 9.155726e-14, 4.818942e+02, -2.308898e+02, 1.730601e-15, 5.121775e+01, -2.938220e+01, 1.313061e-06, -2.795337e-08, -5.044514e-08, -4.062809e+01, 5.558122e-07, -6.947436e-07, -1.115102e-13, -4.818942e+02, 2.308898e+02, 4.062809e+01, -5.231182e-07, 6.386425e-07, -6.648271e-06, 1.508697e-07, 6.382956e-08
-2.900000e-02, 3.083277e-14, -6.386150e-14, 1.362568e-14, 5.543354e-15, -1.200486e+02, 6.886850e+01, 2.548438e-13, 1.129505e+03, -5.411796e+02, 3.987677e-15, 1.200486e+02, -6.886854e+01, 2.909955e-06, -9.554589e-08, -1.724238e-07, -9.522766e+01, 1.899791e-06, -2.374665e-06, -2.590020e-13, -1.129505e+03, 5.411796e+02, 9.522765e+01, -1.788042e-06, 2.182909e-06, -1.565262e-05, 5.156795e-07, 2.181724e-07
-2.800000e-02, 6.239924e-14, 2.950549e-13, -5.629666e-14, -5.022543e-14, -4.996675e+02, 2.866452e+02, 1.060594e-12, 4.701239e+03, -2.252504e+03, 1.439075e-14, 4.996676e+02, -2.866453e+02, 1.211544e-05, -2.856372e-07, -5.154660e-07, -3.963575e+02, 5.679482e-06, -7.099132e-06, -1.079401e-12, -4.701239e+03, 2.252503e+03, 3.963575e+02, -5.345404e-06, 6.525871e-06, -6.958842e-05, 1.541639e-06, 6.522327e-07
-2.736067e-02, 4.936563e-12, -2.970063e-12, 7.625216e-13, -1.865188e-12, -4.197068e+04, 2.407740e+04, 8.746588e-11, 3.948909e+05, -1.892040e+05, 1.137430e-12, 4.197068e+04, -2.407741e+04, 1.137862e-03, -4.371640e-05, -7.889139e-05, -3.329292e+04, 8.692373e-04, -1.086513e-03, -9.015315e-11, -3.948909e+05, 1.892040e+05, 3.329292e+04, -8.181070e-04, 9.987760e-04, -6.253026e-03, 2.359459e-04, 9.982334e-05
-2.735013e-02, 7.807832e-12, -4.533120e-12, 1.041330e-12, -2.927137e-12, -6.659255e+04, 3.820227e+04, 1.385158e-10, 6.265515e+05, -3.001995e+05, 1.793466e-12, 6.659255e+04, -3.820229e+04, 1.815372e-03, -8.963024e-06, -1.617483e-05, -5.282403e+04, 1.782168e-04, -2.227640e-04, -1.429892e-10, -6.265515e+05, 3.001994e+05, 5.282403e+04, -1.677337e-04, 2.047756e-04, -9.965940e-03, 4.837517e-05, 2.046645e-05
-2.734317e-02, 1.120207e-11, -5.228128e-12, 1.175616e-12, -4.302747e-12, -9.639599e+04, 5.529967e+04, 2.002099e-10, 9.069642e+05, -4.345535e+05, 2.597382e-12, 9.639599e+04, -5.529970e+04, 2.655338e-03, 3.209331e-05, 5.791615e-05, -7.646538e+04, -6.381288e-04, 7.976362e-04, -2.069627e-10, -9.069642e+05, 4.345535e+05, 7.646537e+04, 6.005928e-04, -7.332264e-04, -1.481051e-02, -1.732138e-04, -7.328280e-05
