mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.375000e-02, -1.016474e-14, -1.021560e-14, -2.023970e-14, 8.965591e-14, 3.630030e-14, 7.338379e-14, -1.325342e-13, -1.448449e-14, -4.544600e-13, -8.477643e-14, -2.063331e-14, -5.304202e-14, -9.412492e-15, 2.232806e-15, 1.028071e-14, 1.568704e-14, -6.608931e-14, 8.078617e-15, 4.867421e-13, 3.815505e-14, 2.407346e-13, 4.651993e-14, 1.719356e-14, -1.036604e-13, -2.264038e-14, 3.414801e-13, 4.292069e-15
-3.250000e-02, -1.055436e-14, -1.058547e-14, -2.148222e-14, 8.999389e-14, 3.693857e-14, 7.434012e-14, -1.427140e-13, -2.084613e-14, -4.595485e-13, -8.571249e-14, -2.057451e-14, -5.284926e-14, -9.396962e-15, 2.220972e-15, 1.031175e-14, 1.646256e-14, -6.593882e-14, 7.878268e-15, 4.922041e-13, 3.679109e-14, 2.370154e-13, 4.654894e-14, 1.696546e-14, -1.038207e-13, -2.203372e-14, 3.395959e-13, 5.834554e-15
-3.125000e-02, -1.197626e-14, -1.105528e-14, -2.399731e-14, 8.970005e-14, 3.683357e-14, 7.401516e-14, -1.338046e-13, -1.928702e-14, -4.572506e-13, -8.575642e-14, -2.069956e-14, -5.230788e-14, -9.287419e-15, 2.256029e-15, 1.028586e-14, 1.499989e-14, -6.614861e-14, 8.374746e-15, 4.948644e-13, 3.714403e-14, 2.351709e-13, 4.647718e-14, 1.651575e-14, -1.041067e-13, -1.787390e-14, 3.442710e-13, 2.281304e-15
-3.000000e-02, -1.190574e-14, -1.168844e-14, -2.246125e-14, 9.022765e-14, 3.665519e-14, 7.407658e-14, -1.443143e-13, -2.107590e-14, -4.612694e-13, -8.622130e-14, -2.106172e-14, -5.328709e-14, -9.277125e-15, 2.267310e-15, 1.021185e-14, 1.547998e-14, -6.572144e-14, 7.889237e-15, 4.984390e-13, 4.015507e-14, 2.405080e-13, 4.654696e-14, 1.639930e-14, -1.030931e-13, -1.909245e-14, 3.392538e-13, 3.528490e-15
-2.875000e-02, -8.451320e-15, -1.041080e-14, -1.987333e-14, 8.985416e-14, 3.575651e-14, 7.345855e-14, -1.440555e-13, -1.347910e-14, -4.562437e-13, -8.630745e-14, -2.043784e-14, -5.321911e-14, -9.281405e-15, 2.259537e-15, 1.019719e-14, 1.536612e-14, -6.550433e-14, 7.699846e-15, 5.003506e-13, 3.497036e-14, 2.389730e-13, 4.675414e-14, 1.648215e-14, -1.028585e-13, -2.236838e-14, 3.388654e-13, 7.526448e-16
-2.828027e-02, -1.389335e-14, -1.185485e-14, -2.299626e-14, 9.019994e-14, 3.598569e-14, 7.354721e-14, -1.505598e-13, -1.814030e-14, -4.621346e-13, -8.594528e-14, -1.989839e-14, -5.255752e-14, -9.316390e-15, 2.247835e-15, 1.027692e-14, 1.522891e-14, -6.501502e-14, 6.667222e-15, 5.042665e-13, 3.458860e-14, 2.405808e-13, 4.668300e-14, 1.643124e-14, -1.021398e-13, -2.119494e-14, 3.354391e-13, 6.308109e-16
-2.795093e-02, -1.103817e-14, -1.113198e-14, -2.145079e-14, 8.946111e-14, 3.513488e-14, 7.272505e-14, -1.501641e-13, -8.909007e-15, -4.588782e-13, -8.623825e-14, -1.983839e-14, -5.333103e-14, -9.306868e-15, 2.258120e-15, 1.010507e-14, 1.488167e-14, -6.507813e-14, 6.891052e-15, 5.053851e-13, 3.044711e-14, 2.399130e-13, 4.718572e-14, 1.577342e-14, -1.015474e-13, -2.459771e-14, 3.412294e-13, 2.058326e-15
-2.773370e-02, -1.002841e-14, -1.046821e-14, -1.980367e-14, 9.028068e-14, 3.544443e-14, 7.322710e-14, -1.600266e-13, -1.255694e-14, -4.652817e-13, -8.661571e-14, -1.949884e-14, -5.401303e-14, -9.171035e-15, 2.265251e-15, 1.007398e-14, 1.469664e-14, -6.467222e-14, 6.610013e-15, 5.114784e-13, 2.856306e-14, 2.424517e-13, 4.687310e-14, 1.544223e-14, -1.012473e-13, -2.346898e-14, 3.392036e-13, 3.306455e-15
-2.759095e-02, -9.570744e-15, -9.919008e-15, -2.041413e-14, 8.993635e-14, 3.482941e-14, 7.263020e-14, -1.642875e-13, -9.018219e-15, -4.612707e-13, -8.634989e-14, -1.898423e-14, -5.378551e-14, -9.089013e-15, 2.218220e-15, 9.938624e-15, 1.367006e-14, -6.401559e-14, 7.591345e-15, 5.155432e-13, 2.822447e-14, 2.503784e-13, 4.624450e-14, 1.550092e-14, -1.001412e-13, -2.057538e-14, 3.367974e-13, -1.635387e-15
-2.749753e-02, -9.053912e-15, -8.945136e-15, -1.915079e-14, 8.652370e-14, 3.307566e-14, 7.026351e-14, -1.376305e-13, 5.217450e-15, -4.369781e-13, -8.342175e-14, -1.735710e-14, -5.142492e-14, -9.059944e-15, 2.249569e-15, 9.980308e-15, 1.195312e-14, -6.334161e-14, 8.355696e-15, 4.901799e-13, 1.426069e-14, 2.296084e-13, 4.768922e-14, 1.461138e-14, -1.014207e-13, -1.795077e-14, 3.361502e-13, -1.172119e-15
