mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.375000e-02, -1.294911e-14, 7.674370e-15, 4.239355e-15, 8.913384e+01, 1.573289e+01, 2.179292e+01, -3.586752e+02, -5.965836e+02, 1.143079e+02, -8.913383e+01, -1.573289e+01, -2.179292e+01, -1.940557e-06, 2.287910e-07, 8.648991e-06, 4.051718e+01, 1.955559e+01, -5.028316e+00, 3.586753e+02, 5.965836e+02, -1.143079e+02, -4.051718e+01, -1.955559e+01, 5.028282e+00, 1.148314e-06, 2.058410e-06, -8.979879e-05
-3.250000e-02, 3.521776e-14, -1.113187e-13, -3.329965e-14, -2.348607e+02, -4.145991e+01, -5.742000e+01, 9.450851e+02, 1.571999e+03, -3.012118e+02, 2.348607e+02, 4.145988e+01, 5.742005e+01, -5.282143e-06, 2.367983e-06, 2.087972e-06, -1.067581e+02, -5.153167e+01, 1.325249e+01, -9.450851e+02, -1.571999e+03, 3.012119e+02, 1.067581e+02, 5.153167e+01, -1.325248e+01, 8.739395e-06, -1.098030e-05, 9.163841e-06
-3.125000e-02, 4.877376e-15, -1.076617e-13, 6.796104e-15, -6.622255e+02, -1.168974e+02, -1.619070e+02, 2.664835e+03, 4.432418e+03, -8.492708e+02, 6.622254e+02, 1.168973e+02, 1.619072e+02, -3.374202e-06, 5.288483e-06, -2.643517e-05, -3.010237e+02, -1.452957e+02, 3.736283e+01, -2.664835e+03, -4.432418e+03, 8.492712e+02, 3.010237e+02, 1.452958e+02, -3.736264e+01, -5.828524e-05, 3.231528e-05, 4.203198e-04
-3.000000e-02, 9.175957e-14, -4.265899e-13, 2.598938e-14, -1.483406e+03, -2.618616e+02, -3.626728e+02, 5.969271e+03, 9.928871e+03, -1.902462e+03, 1.483406e+03, 2.618614e+02, 3.626732e+02, -1.653047e-05, 3.522614e-05, -8.973288e-05, -6.743171e+02, -3.254602e+02, 8.368619e+01, -5.969271e+03, -9.928871e+03, 1.902462e+03, 6.743171e+02, 3.254602e+02, -8.368570e+01, 2.160055e-04, -2.298098e-04, 1.185780e-03
-2.875000e-02, 2.449542e-13, -1.236358e-12, 4.605697e-14, -4.081168e+03, -7.204664e+02, -9.977749e+02, 1.642293e+04, 2.731661e+04, -5.234071e+03, 4.081168e+03, 7.204656e+02, 9.977768e+02, -1.046930e-04, 1.159787e-04, -1.105163e-04, -1.855184e+03, -8.954339e+02, 2.302562e+02, -1.642293e+04, -2.731661e+04, 5.234074e+03, 1.855184e+03, 8.954340e+02, -2.302550e+02, 1.918180e-04, -2.722441e-04, 2.523588e-03
-2.828027e-02, 4.934310e-13, -2.133733e-12, 1.357150e-14, -7.165225e+03, -1.264890e+03, -1.751783e+03, 2.883337e+04, 4.795906e+04, -9.189298e+03, 7.165225e+03, 1.264889e+03, 1.751786e+03, -1.578699e-04, 1.631900e-04, -1.736358e-04, -3.257088e+03, -1.572101e+03, 4.042648e+02, -2.883337e+04, -4.795906e+04, 9.189304e+03, 3.257088e+03, 1.572102e+03, -4.042629e+02, 7.886638e-05, -2.479175e-04, 3.989700e-03
-2.795093e-02, 7.735639e-13, -3.122242e-12, 7.233574e-14, -1.154640e+04, -2.038315e+03, -2.822910e+03, 4.646272e+04, 7.728437e+04, -1.480876e+04, 1.154640e+04, 2.038314e+03, 2.822912e+03, -2.839990e-04, 2.384906e-04, -1.266972e-04, -5.248605e+03, -2.533392e+03, 6.514786e+02, -4.646272e+04, -7.728438e+04, 1.480876e+04, 5.248606e+03, 2.533391e+03, -6.514776e+02, 2.409817e-03, -2.274766e-03, 2.261726e-03
-2.773370e-02, 1.178048e-12, -4.593253e-12, 1.178509e-13, -1.687006e+04, -2.978001e+03, -4.124514e+03, 6.788637e+04, 1.129154e+05, -2.163510e+04, 1.687006e+04, 2.977998e+03, 4.124520e+03, -1.995108e-04, 2.226705e-04, -5.402871e-04, -7.668542e+03, -3.701397e+03, 9.518180e+02, -6.788637e+04, -1.129154e+05, 2.163512e+04, 7.668541e+03, 3.701398e+03, -9.518132e+02, -1.447179e-03, 7.970809e-04, 1.039994e-02
-2.759095e-02, 1.618959e-12, -5.906425e-12, 1.385937e-13, -2.179203e+04, -3.846812e+03, -5.327895e+03, 8.769277e+04, 1.458589e+05, -2.794710e+04, 2.179203e+04, 3.846808e+03, 5.327904e+03, -1.525816e-04, 2.952455e-04, -1.043577e-03, -9.905944e+03, -4.781247e+03, 1.229466e+03, -8.769277e+04, -1.458589e+05, 2.794711e+04, 9.905942e+03, 4.781248e+03, -1.229459e+03, -1.844634e-03, 9.371912e-04, 1.700325e-02
-2.749753e-02, 1.678657e-12, -7.058377e-12, 1.948608e-13, -2.532990e+04, -4.471583e+03, -6.192737e+03, 1.019274e+05, 1.695429e+05, -3.248690e+04, 2.532990e+04, 4.471581e+03, 6.192740e+03, -6.073728e-04, 7.530585e-04, -9.006815e-04, -1.151430e+04, -5.557499e+03, 1.429056e+03, -1.019274e+05, -1.695429e+05, 3.248690e+04, 1.151430e+04, 5.557497e+03, -1.429052e+03, 7.658633e-03, -7.159382e-03, 1.168201e-02
