mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.375000e-02, -5.995429e-13, 6.843629e-11, 5.345681e-12, -5.264773e-13, -1.863497e-11, -2.117737e-12, 4.050245e-12, 1.964075e-10, 8.709975e-12, 5.510762e-13, 1.012138e-11, 1.965782e-12, 1.312491e-14, 6.355306e-14, -3.825123e-14, -6.005902e-13, 6.834929e-12, 5.809454e-13, -3.570907e-12, -2.124017e-10, -1.506218e-11, 6.254437e-13, -1.052069e-11, -1.140596e-12, -1.046886e-12, 4.266388e-11, 9.947950e-13
-3.250000e-02, 1.581108e-12, -1.325532e-10, -2.306843e-13, 1.344895e-12, 1.691701e-11, 2.743379e-12, -9.645855e-12, -2.367794e-10, -5.515570e-12, -1.452536e-12, -2.243933e-11, -3.679990e-12, -7.613600e-15, -4.082265e-13, -1.562498e-14, 8.634314e-13, -1.662795e-11, -1.083730e-12, 9.418094e-12, 2.123902e-10, 3.517702e-11, -1.353533e-12, 2.076390e-11, 1.580099e-12, 4.263469e-12, -4.708144e-11, 2.957104e-12
-3.125000e-02, 4.450707e-12, -3.296106e-10, -8.026772e-12, 2.861421e-12, -8.919602e-12, -4.272354e-12, -2.254991e-11, -1.643361e-10, 5.025603e-11, -4.090580e-12, -1.056769e-11, 6.876242e-13, 2.825243e-14, -1.589307e-12, -1.775612e-13, -1.203177e-12, -3.739708e-11, -2.750850e-12, 2.651841e-11, 6.969203e-11, 3.083804e-11, 5.732734e-13, 5.803388e-11, 3.846894e-12, 1.283836e-11, -1.308468e-10, 9.276705e-12
-3.000000e-02, 9.996894e-12, -8.033641e-10, -2.126920e-11, 7.334561e-12, 1.119875e-11, 5.442029e-13, -5.176341e-11, -8.321549e-10, 6.767724e-11, -9.185531e-12, -5.998736e-11, -6.860337e-12, 4.347169e-14, -3.275787e-12, -3.755504e-13, -9.327113e-13, -8.612969e-11, -6.375770e-12, 5.957014e-11, 4.048665e-10, 8.072093e-11, -9.363914e-13, 1.278920e-10, 8.546772e-12, 2.815912e-11, -2.704272e-10, 2.246421e-11
-2.875000e-02, 2.753202e-11, -2.127386e-09, -6.996112e-11, 1.856998e-11, 7.283190e-11, 2.912547e-12, -1.302598e-10, -2.527809e-09, 1.755053e-10, -2.528003e-11, -1.682064e-10, -2.186528e-11, 1.074991e-13, -8.778571e-12, -9.114089e-13, -2.949159e-12, -2.351854e-10, -1.773064e-11, 1.639119e-10, 1.537627e-09, 2.672655e-10, -4.814211e-12, 3.613102e-10, 2.486893e-11, 7.947922e-11, -8.370812e-10, 5.347784e-11
-2.828027e-02, 4.819760e-11, -3.664387e-09, -1.057000e-10, 3.265873e-11, 1.065019e-10, -1.780321e-13, -2.336744e-10, -4.084873e-09, 3.380842e-10, -4.429129e-11, -2.558686e-10, -3.367932e-11, 2.182864e-13, -1.460242e-11, -1.530823e-12, -6.887427e-12, -4.135504e-10, -3.118862e-11, 2.871519e-10, 2.568285e-09, 4.547491e-10, -8.302943e-12, 6.307278e-10, 4.294070e-11, 1.344821e-10, -1.407742e-09, 9.862992e-11
-2.795093e-02, 7.747144e-11, -5.928896e-09, -1.691062e-10, 5.254264e-11, 1.950453e-10, 9.891887e-12, -3.720946e-10, -6.996178e-09, 5.168741e-10, -7.116657e-11, -4.518437e-10, -5.833410e-11, 3.009477e-13, -2.470911e-11, -2.579346e-12, -7.087599e-12, -6.660219e-10, -4.963423e-11, 4.615346e-10, 4.243229e-09, 7.312731e-10, -1.388928e-11, 1.015563e-09, 6.961057e-11, 2.182892e-10, -2.324440e-09, 1.510820e-10
-2.773370e-02, 1.132661e-10, -8.759401e-09, -2.739834e-10, 7.653881e-11, 2.633299e-10, 1.220603e-11, -5.400688e-10, -1.000083e-08, 7.431752e-10, -1.040572e-10, -6.726089e-10, -8.783826e-11, 4.502469e-13, -3.411489e-11, -3.494114e-12, -1.186816e-11, -9.823863e-10, -7.433399e-11, 6.747377e-10, 5.992394e-09, 1.063744e-09, -1.849705e-11, 1.485240e-09, 1.029224e-10, 3.119538e-10, -3.406481e-09, 2.204756e-10
-2.759095e-02, 1.465293e-10, -1.130805e-08, -3.392703e-10, 9.996015e-11, 3.739959e-10, 1.687095e-11, -7.039608e-10, -1.311178e-08, 9.764545e-10, -1.346286e-10, -8.473301e-10, -1.126516e-10, 5.279736e-13, -4.610797e-11, -4.871571e-12, -1.557455e-11, -1.257961e-09, -9.444486e-11, 8.728677e-10, 7.860793e-09, 1.384134e-09, -2.500192e-11, 1.918945e-09, 1.315654e-10, 4.115320e-10, -4.353701e-09, 2.897384e-10
-2.749753e-02, 1.707177e-10, -1.311850e-08, -3.902336e-10, 1.153834e-10, 4.111209e-10, 1.141091e-11, -8.197621e-10, -1.493252e-08, 1.171716e-09, -1.569063e-10, -9.471637e-10, -1.270712e-10, 4.696024e-13, -5.352106e-11, -5.597946e-12, -1.807149e-11, -1.465805e-09, -1.105943e-10, 1.017472e-09, 8.996437e-09, 1.579290e-09, -2.733965e-11, 2.236850e-09, 1.532947e-10, 4.787186e-10, -5.081234e-09, 3.346366e-10
