mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-3.375000e-02, 6.222415e-13, 1.343168e-11, -3.636191e-12, -7.890863e-10, -8.342689e+04, -1.591662e+04, 5.847238e-10, 7.884805e+05, 8.208009e+04, 7.886938e-10, 8.342689e+04, 1.591662e+04, 4.868722e-08, -5.229189e-06, -7.948602e-06, -4.823506e+03, -5.537770e-01, -1.681268e-01, -5.858603e-10, -7.884805e+05, -8.208009e+04, 4.823506e+03, 5.537892e-01, 1.682003e-01, -2.945363e-08, 3.913520e-05, 1.589877e-04
-3.250000e-02, -1.641464e-12, 7.217972e-12, 6.963591e-12, 2.080514e-09, 2.200662e+05, 4.198564e+04, -1.544311e-09, -2.079860e+06, -2.165120e+05, -2.079779e-09, -2.200662e+05, -4.198564e+04, -2.924023e-10, 5.057909e-07, 7.688243e-07, 1.272347e+04, 5.356379e-02, 1.626198e-02, 1.544757e-09, 2.079860e+06, 2.165120e+05, -1.272347e+04, -5.356496e-02, -1.626908e-02, -1.494191e-07, -3.785360e-06, -1.537800e-05
-3.125000e-02, -4.620157e-12, 5.852881e-11, 2.030785e-11, 5.857924e-09, 6.195741e+05, 1.182061e+05, -4.345251e-09, -5.855651e+06, -6.095679e+05, -5.856051e-09, -6.195741e+05, -1.182061e+05, -1.253643e-07, -1.975978e-08, -3.003748e-08, 3.582177e+04, -2.092701e-03, -6.353497e-04, 4.350881e-09, 5.855651e+06, 6.095679e+05, -3.582177e+04, 2.092747e-03, 6.356271e-04, 2.144798e-07, 1.478769e-07, 6.008048e-07
-3.000000e-02, -1.037853e-11, 1.198134e-10, 5.575123e-11, 1.315549e-08, 1.391541e+06, 2.654869e+05, -9.766631e-09, -1.315152e+07, -1.369056e+06, -1.315141e-08, -1.391541e+06, -2.654869e+05, -7.477608e-08, 4.938660e-05, 7.506985e-05, 8.045419e+04, 5.230097e+00, 1.587859e+00, 9.778832e-09, 1.315152e+07, 1.369056e+06, -8.045419e+04, -5.230212e+00, -1.588552e+00, 2.987783e-06, -3.696089e-04, -1.501545e-03
-2.875000e-02, -2.858283e-11, 3.714131e-10, 1.563386e-10, 3.621902e-08, 3.832414e+06, 7.311762e+05, -2.680865e-08, -3.622029e+07, -3.770549e+06, -3.620910e-08, -3.832414e+06, -7.311762e+05, 1.899754e-06, 3.093606e-05, 4.702419e-05, 2.215750e+05, 3.276163e+00, 9.946440e-01, 2.684194e-08, 3.622029e+07, 3.770549e+06, -2.215750e+05, -3.276235e+00, -9.950782e-01, -2.409392e-05, -2.315252e-04, -9.405763e-04
-2.828027e-02, -5.003954e-11, 6.133877e-10, 2.727556e-10, 6.342793e-08, 6.709199e+06, 1.280022e+06, -4.704666e-08, -6.340916e+07, -6.600839e+06, -6.341079e-08, -6.709199e+06, -1.280022e+06, -8.203829e-07, 1.234844e-04, 1.877019e-04, 3.879036e+05, 1.307714e+01, 3.970224e+00, 4.711043e-08, 6.340916e+07, 6.600839e+06, -3.879036e+05, -1.307743e+01, -3.971957e+00, 8.779186e-07, -9.241564e-04, -3.754407e-03
-2.795093e-02, -8.042863e-11, 1.103614e-09, 4.604418e-10, 1.019350e-07, 1.078390e+07, 2.057425e+06, -7.561643e-08, -1.019191e+08, -1.060969e+07, -1.019072e-07, -1.078390e+07, -2.057425e+06, 1.559120e-06, 6.489440e-05, 9.864238e-05, 6.234866e+05, 6.872389e+00, 2.086459e+00, 7.571440e-08, 1.019191e+08, 1.060969e+07, -6.234866e+05, -6.872540e+00, -2.087370e+00, -1.227141e-06, -4.856690e-04, -1.973042e-03
-2.773370e-02, -1.175917e-10, 1.646413e-09, 6.569770e-10, 1.490385e-07, 1.576673e+07, 3.008079e+06, -1.105142e-07, -1.490122e+08, -1.551207e+07, -1.489992e-07, -1.576673e+07, -3.008079e+06, 1.391949e-06, 2.502327e-04, 3.803649e-04, 9.115763e+05, 2.649992e+01, 8.045383e+00, 1.106663e-07, 1.490122e+08, 1.551207e+07, -9.115763e+05, -2.650050e+01, -8.048895e+00, -1.367065e-05, -1.872739e-03, -7.608045e-03
-2.759095e-02, -1.521236e-10, 2.038284e-09, 8.760287e-10, 1.928159e-07, 2.039687e+07, 3.891446e+06, -1.429684e-07, -1.927722e+08, -2.006747e+07, -1.927634e-07, -2.039687e+07, -3.891446e+06, 2.059689e-07, 7.575729e-04, 1.151545e-03, 1.179277e+06, 8.022783e+01, 2.435719e+01, 1.431542e-07, 1.927722e+08, 2.006747e+07, -1.179277e+06, -8.022959e+01, -2.436782e+01, -2.172974e-05, -5.669669e-03, -2.303316e-02
-2.749753e-02, -1.772343e-10, 2.216079e-09, 9.970520e-10, 2.246788e-07, 2.376373e+07, 4.533784e+06, -1.668879e-07, -2.245927e+08, -2.337973e+07, -2.246162e-07, -2.376373e+07, -4.533784e+06, -6.291271e-06, 1.657976e-04, 2.520197e-04, 1.373944e+06, 1.755815e+01, 5.330658e+00, 1.670979e-07, 2.245927e+08, 2.337973e+07, -1.373944e+06, -1.755853e+01, -5.332985e+00, 8.764932e-05, -1.240827e-03, -5.040890e-03
-2.743671e-02, -1.940299e-10, 2.507128e-09, 1.104863e-09, 2.459560e-07, 2.601577e+07, 4.963446e+06, -1.824851e-07, -2.458771e+08, -2.559556e+07, -2.458880e-07, -2.601577e+07, -4.963446e+06, -4.071802e-06, -4.992012e-04, -7.588085e-04, 1.504146e+06, -5.286599e+01, -1.605013e+01, 1.827175e-07, 2.458771e+08, 2.559556e+07, -1.504146e+06, 5.286715e+01, 1.605714e+01, 1.810557e-05, 3.736018e-03, 1.517766e-02
-2.739733e-02, -2.048061e-10, 2.712883e-09, 1.172267e-09, 2.596150e-07, 2.746043e+07, 5.239066e+06, -1.928761e-07, -2.595298e+08, -2.701661e+07, -2.595429e-07, -2.746043e+07, -5.239066e+06, -4.444880e-06, 1.712328e-04, 2.602814e-04, 1.587672e+06, 1.813374e+01, 5.505407e+00, 1.931158e-07, 2.595298e+08, 2.701661e+07, -1.587672e+06, -1.813414e+01, -5.507811e+00, 1.101265e-04, -1.281504e-03, -5.206140e-03
-2.737199e-02, -2.113660e-10, 2.788556e-09, 1.204902e-09, 2.678883e-07, 2.834033e+07, 5.406958e+06, -1.983727e-07, -2.678468e+08, -2.788288e+07, -2.678150e-07, -2.834033e+07, -5.406958e+06, 3.972948e-06, 3.809753e-04, 5.790996e-04, 1.638536e+06, 4.034572e+01, 1.224897e+01, 1.986267e-07, 2.678468e+08, 2.788288e+07, -1.638536e+06, -4.034660e+01, -1.225432e+01, -1.305318e-04, -2.851216e-03, -1.158313e-02
-2.735582e-02, -2.152632e-10, 2.674366e-09, 1.209877e-09, 2.729136e-07, 2.886282e+07, 5.506607e+06, -2.026335e-07, -2.727854e+08, -2.839657e+07, -2.728375e-07, -2.886282e+07, -5.506607e+06, -1.235075e-05, -3.052944e-04, -4.640614e-04, 1.668761e+06, -3.233104e+01, -9.815711e+00, 2.028937e-07, 2.727854e+08, 2.839657e+07, -1.668761e+06, 3.233175e+01, 9.819997e+00, 8.490563e-05, 2.284821e-03, 9.282140e-03
-2.734560e-02, -2.174509e-10, 2.657025e-09, 1.217715e-09, 2.755880e-07, 2.915599e+07, 5.562578e+06, -2.042816e-07, -2.755545e+08, -2.868511e+07, -2.755112e-07, -2.915599e+07, -5.562578e+06, 6.358510e-06, -3.350955e-04, -5.093605e-04, 1.685692e+06, -3.548701e+01, -1.077387e+01, 2.045466e-07, 2.755545e+08, 2.868511e+07, -1.685692e+06, 3.548779e+01, 1.077857e+01, -6.075776e-05, 2.507853e-03, 1.018821e-02
-2.733921e-02, -2.192453e-10, 2.802352e-09, 1.235222e-09, 2.779320e-07, 2.939678e+07, 5.608491e+06, -2.063624e-07, -2.778310e+08, -2.892182e+07, -2.778549e-07, -2.939678e+07, -5.608491e+06, -6.775662e-06, 5.689236e-04, 8.647894e-04, 1.699627e+06, 6.024965e+01, 1.829181e+01, 2.066255e-07, 2.778310e+08, 2.892182e+07, -1.699627e+06, -6.025097e+01, -1.829980e+01, 7.890919e-05, -4.257819e-03, -1.729749e-02
-2.733527e-02, -2.201730e-10, 2.571165e-09, 1.226372e-09, 2.790462e-07, 2.952091e+07, 5.632198e+06, -2.067354e-07, -2.790040e+08, -2.904428e+07, -2.789666e-07, -2.952091e+07, -5.632198e+06, 5.068412e-06, -3.714829e-04, -5.646708e-04, 1.706792e+06, -3.934047e+01, -1.194378e+01, 2.069952e-07, 2.790040e+08, 2.904428e+07, -1.706792e+06, 3.934133e+01, 1.194899e+01, -1.018542e-04, 2.780175e-03, 1.129453e-02
-2.733289e-02, -2.202061e-10, 2.918241e-09, 1.248053e-09, 2.790801e-07, 2.952535e+07, 5.633046e+06, -2.068457e-07, -2.790455e+08, -2.904854e+07, -2.790045e-07, -2.952535e+07, -5.633046e+06, 5.857190e-06, 4.595126e-04, 6.984798e-04, 1.707048e+06, 4.866291e+01, 1.477407e+01, 2.071170e-07, 2.790455e+08, 2.904854e+07, -1.707048e+06, -4.866398e+01, -1.478052e+01, -6.907400e-05, -3.438988e-03, -1.397097e-02
-2.733149e-02, -2.204518e-10, 2.869816e-09, 1.233905e-09, 2.794383e-07, 2.955848e+07, 5.639350e+06, -2.072216e-07, -2.793595e+08, -2.908112e+07, -2.793612e-07, -2.955848e+07, -5.639350e+06, -2.559979e-06, 5.073109e-04, 7.711353e-04, 1.708972e+06, 5.372480e+01, 1.631086e+01, 2.074966e-07, 2.793595e+08, 2.908112e+07, -1.708972e+06, -5.372598e+01, -1.631798e+01, -1.636445e-05, -3.796710e-03, -1.542422e-02
-2.733069e-02, -2.203140e-10, 2.783941e-09, 1.233594e-09, 2.792764e-07, 2.954008e+07, 5.635835e+06, -2.071230e-07, -2.791859e+08, -2.906304e+07, -2.791993e-07, -2.954008e+07, -5.635835e+06, -4.873942e-06, -2.443715e-04, -3.714558e-04, 1.707911e+06, -2.587923e+01, -7.856941e+00, 2.073936e-07, 2.791859e+08, 2.906304e+07, -1.707911e+06, 2.587980e+01, 7.860371e+00, -7.031668e-06, 1.828874e-03, 7.429846e-03
-2.733027e-02, -2.207731e-10, 2.800747e-09, 1.231761e-09, 2.797992e-07, 2.960154e+07, 5.647584e+06, -2.072791e-07, -2.797659e+08, -2.912360e+07, -2.797214e-07, -2.960154e+07, -5.647584e+06, 6.463774e-06, -5.669488e-04, -8.617878e-04, 1.711452e+06, -6.004053e+01, -1.822832e+01, 2.075478e-07, 2.797659e+08, 2.912360e+07, -1.711452e+06, 6.004185e+01, 1.823628e+01, -1.066931e-04, 4.243040e-03, 1.723745e-02
-2.732984e-02, -2.210355e-10, 2.774438e-09, 1.239199e-09, 2.801784e-07, 2.963671e+07, 5.654276e+06, -2.078139e-07, -2.800988e+08, -2.915806e+07, -2.801018e-07, -2.963671e+07, -5.654276e+06, -2.798870e-06, -1.630197e-04, -2.477974e-04, 1.713496e+06, -1.726398e+01, -5.241350e+00, 2.080831e-07, 2.800988e+08, 2.915806e+07, -1.713496e+06, 1.726436e+01, 5.243638e+00, -2.957647e-06, 1.220039e-03, 4.956436e-03
-2.732904e-02, -2.215129e-10, 2.749489e-09, 1.246771e-09, 2.807638e-07, 2.970037e+07, 5.666428e+06, -2.083510e-07, -2.806996e+08, -2.922054e+07, -2.806857e-07, -2.970037e+07, -5.666428e+06, 6.264498e-07, 5.944676e-04, 9.036174e-04, 1.717173e+06, 6.295479e+01, 1.911309e+01, 2.086153e-07, 2.806996e+08, 2.922054e+07, -1.717173e+06, -6.295617e+01, -1.912143e+01, 2.797872e-05, -4.448990e-03, -1.807412e-02
-2.732764e-02, -2.210042e-10, 2.732560e-09, 1.252942e-09, 2.801364e-07, 2.963241e+07, 5.653457e+06, -2.078625e-07, -2.800578e+08, -2.915374e+07, -2.800574e-07, -2.963241e+07, -5.653457e+06, -2.063250e-06, -2.475595e-04, -3.763018e-04, 1.713246e+06, -2.621685e+01, -7.959442e+00, 2.081219e-07, 2.800578e+08, 2.915374e+07, -1.713246e+06, 2.621742e+01, 7.962917e+00, 2.199993e-05, 1.852734e-03, 7.526775e-03
-2.732526e-02, -2.223786e-10, 2.848699e-09, 1.257234e-09, 2.818482e-07, 2.981655e+07, 5.688598e+06, -2.090606e-07, -2.817975e+08, -2.933490e+07, -2.817701e-07, -2.981655e+07, -5.688598e+06, 3.229314e-06, -1.354053e-04, -2.058223e-04, 1.723887e+06, -1.433958e+01, -4.353502e+00, 2.093296e-07, 2.817975e+08, 2.933490e+07, -1.723887e+06, 1.433990e+01, 4.355402e+00, -8.508421e-06, 1.013373e-03, 4.116850e-03
-2.732132e-02, -2.232108e-10, 3.015120e-09, 1.267144e-09, 2.828986e-07, 2.992824e+07, 5.709910e+06, -2.096785e-07, -2.828535e+08, -2.944495e+07, -2.828205e-07, -2.992824e+07, -5.709910e+06, 4.236833e-06, -3.078829e-04, -4.679960e-04, 1.730344e+06, -3.260516e+01, -9.898936e+00, 2.099527e-07, 2.828535e+08, 2.944495e+07, -1.730344e+06, 3.260588e+01, 9.903258e+00, -6.669920e-05, 2.304194e-03, 9.360841e-03
-2.731493e-02, -2.239336e-10, 2.746469e-09, 1.265453e-09, 2.838427e-07, 3.002531e+07, 5.728420e+06, -2.105454e-07, -2.837711e+08, -2.954034e+07, -2.837613e-07, -3.002531e+07, -5.728420e+06, -2.781480e-07, 7.189067e-04, 1.092770e-03, 1.735960e+06, 7.613304e+01, 2.311401e+01, 2.108037e-07, 2.837711e+08, 2.954034e+07, -1.735960e+06, -7.613471e+01, -2.312410e+01, -5.681329e-06, -5.380292e-03, -2.185756e-02
