mu, xx, xy, xz, yx, yy, yz, zx, zy, zz
-5.605746e-02, 1.932058e+04, -6.191503e+01, 1.788034e+01, -6.191503e+01, 1.937166e+04, -6.106473e+01, 1.788034e+01, -6.106473e+01, 1.934784e+04
-5.534787e-02, 1.890727e+04, 1.884285e+01, -1.447339e+01, 1.884285e+01, 1.887258e+04, 2.219181e+01, -1.447339e+01, 2.219181e+01, 1.877335e+04
-5.463829e-02, 1.835869e+04, -3.790528e+01, -6.273375e+01, -3.790528e+01, 1.836824e+04, 2.674952e+00, -6.273375e+01, 2.674952e+00, 1.835867e+04
-5.392870e-02, 1.792110e+04, 1.427749e+00, 8.386556e+01, 1.427749e+00, 1.779675e+04, -3.540803e+01, 8.386556e+01, -3.540803e+01, 1.791887e+04
-5.321911e-02, 1.736228e+04, -4.086083e+01, -3.416036e+00, -4.086083e+01, 1.744315e+04, 7.947254e+00, -3.416036e+00, 7.947254e+00, 1.740095e+04
-5.250952e-02, 1.692149e+04, 1.854126e+01, -7.674996e+01, 1.854126e+01, 1.698378e+04, -2.412951e+01, -7.674996e+01, -2.412951e+01, 1.689028e+04
-5.179993e-02, 1.646261e+04, -2.403198e+01, 8.070069e+00, -2.403198e+01, 1.650414e+04, 6.561642e+01, 8.070069e+00, 6.561642e+01, 1.643706e+04
-5.109035e-02, 1.606459e+04, 3.552265e+01, -4.046936e+01, 3.552265e+01, 1.602107e+04, 3.722609e+01, -4.046936e+01, 3.722609e+01, 1.594477e+04
-5.038076e-02, 1.555762e+04, 1.119613e+01, 2.506297e+01, 1.119613e+01, 1.554864e+04, -3.378241e+01, 2.506297e+01, -3.378241e+01, 1.557045e+04
-4.967117e-02, 1.515091e+04, 1.110441e+02, 3.634196e+01, 1.110441e+02, 1.504454e+04, 7.053493e+01, 3.634196e+01, 7.053493e+01, 1.514577e+04
-4.896158e-02, 1.470112e+04, 2.787685e+01, -5.325211e+01, 2.787685e+01, 1.464788e+04, -3.190003e+01, -5.325211e+01, -3.190003e+01, 1.467837e+04
-4.825199e-02, 1.425410e+04, 6.482164e+01, 4.731752e+01, 6.482164e+01, 1.422562e+04, 3.685993e+01, 4.731752e+01, 3.685993e+01, 1.426213e+04
-4.754240e-02, 1.383921e+04, 2.249566e+01, 3.661799e+01, 2.249566e+01, 1.382950e+04, -1.632198e+01, 3.661799e+01, -1.632198e+01, 1.381240e+04
-4.683282e-02, 1.343066e+04, 5.050618e+00, -1.348661e+01, 5.050618e+00, 1.340363e+04, -9.912643e-01, -1.348661e+01, -9.912643e-01, 1.339041e+04
-4.612323e-02, 1.301230e+04, 5.289821e+00, 8.412473e+00, 5.289821e+00, 1.298362e+04, -9.473828e+00, 8.412473e+00, -9.473828e+00, 1.298844e+04
