mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-5.605746e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-5.534787e-02, -6.056115e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, -6.056115e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, -6.056115e-16, -3.101023e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, -3.101023e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, -3.101023e-16, -2.016516e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.016516e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.016516e-15
-5.463829e-02, -2.185405e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.185405e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.185405e-16, -3.240244e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -3.240244e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -3.240244e-15, -4.208563e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -4.208563e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -4.208563e-15
-5.392870e-02, 8.283581e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, 8.283581e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, 8.283581e-16, -4.999271e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -4.999271e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -4.999271e-15, -9.992111e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -9.992111e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -9.992111e-15
-5.321911e-02, -1.358541e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -1.358541e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -1.358541e-15, -6.189146e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, -6.189146e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, -6.189146e-16, -1.735418e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -1.735418e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -1.735418e-14
-5.250952e-02, -3.594806e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -3.594806e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -3.594806e-15, 7.226937e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, 7.226937e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, 7.226937e-16, -2.167103e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.167103e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.167103e-14
-5.179993e-02, -5.989614e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -5.989614e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -5.989614e-15, -4.091945e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -4.091945e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -4.091945e-15, -2.073688e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.073688e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.073688e-14
-5.109035e-02, -7.739105e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -7.739105e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -7.739105e-15, -4.817575e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -4.817575e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -4.817575e-15, -1.816256e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -1.816256e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -1.816256e-14
-5.038076e-02, -5.886179e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -5.886179e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -5.886179e-15, -2.456228e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.456228e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.456228e-15, -2.022146e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.022146e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.022146e-14
-4.967117e-02, -1.915317e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -1.915317e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -1.915317e-15, -1.483126e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -1.483126e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, -1.483126e-15, -2.619428e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.619428e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.619428e-14
-4.896158e-02, 1.465372e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.465372e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.465372e-15, 2.681300e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.681300e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, 2.681300e-15, -2.468544e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.468544e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.468544e-14
-4.825199e-02, 1.018410e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.018410e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, 1.018410e-15, 6.949438e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, 6.949438e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, 6.949438e-15, -2.126564e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.126564e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -2.126564e-14
-4.754240e-02, -6.536299e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, -6.536299e-16, 0.000000e+00, 0.000000e+00, 0.000000e+00, -6.536299e-16, 8.156673e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, 8.156673e-15, 0.000000e+00, 0.000000e+00, 0.000000e+00, 8.156673e-15, -1.857817e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -1.857817e-14, 0.000000e+00, 0.000000e+00, 0.000000e+00, -1.857817e-14
