mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-5.605746e-02, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
-5.534787e-02, 0.000000e+00, -2.785791e-11, -4.799855e-11, 2.785791e-11, 0.000000e+00, -2.509871e+04, 4.799855e-11, 2.509871e+04, 0.000000e+00, 0.000000e+00, -2.710541e-12, 2.509871e+04, 2.710541e-12, 0.000000e+00, 5.311543e-11, -2.509871e+04, -5.311543e-11, 0.000000e+00, 0.000000e+00, -2.509871e+04, -1.380121e-11, 2.509871e+04, 0.000000e+00, -8.150886e-12, 1.380121e-11, 8.150886e-12, 0.000000e+00
-5.463829e-02, 0.000000e+00, -4.412049e-11, -3.824164e-11, 4.412049e-11, 0.000000e+00, -5.052492e+04, 3.824164e-11, 5.052492e+04, 0.000000e+00, 0.000000e+00, -4.253066e-11, 5.052492e+04, 4.253066e-11, 0.000000e+00, 9.955587e-11, -5.052492e+04, -9.955587e-11, 0.000000e+00, 0.000000e+00, -5.052492e+04, -3.439984e-12, 5.052492e+04, 0.000000e+00, -1.124538e-11, 3.439984e-12, 1.124538e-11, 0.000000e+00
-5.392870e-02, 0.000000e+00, -1.683738e-11, -3.521287e-11, 1.683738e-11, 0.000000e+00, -7.629850e+04, 3.521287e-11, 7.629850e+04, 0.000000e+00, 0.000000e+00, -8.427398e-11, 7.629850e+04, 8.427398e-11, 0.000000e+00, 1.361597e-10, -7.629850e+04, -1.361597e-10, 0.000000e+00, 0.000000e+00, -7.629850e+04, 5.348524e-13, 7.629850e+04, 0.000000e+00, 3.217962e-11, -5.348524e-13, -3.217962e-11, 0.000000e+00
-5.321911e-02, 0.000000e+00, 2.503220e-11, -8.951647e-11, -2.503220e-11, 0.000000e+00, -1.024280e+05, 8.951647e-11, 1.024280e+05, 0.000000e+00, 0.000000e+00, -1.155533e-10, 1.024280e+05, 1.155533e-10, 0.000000e+00, 1.880918e-10, -1.024280e+05, -1.880918e-10, 0.000000e+00, 0.000000e+00, -1.024280e+05, 7.597746e-12, 1.024280e+05, 0.000000e+00, 5.423791e-11, -7.597746e-12, -5.423791e-11, 0.000000e+00
-5.250952e-02, 0.000000e+00, 6.368857e-11, -1.366564e-10, -6.368857e-11, 0.000000e+00, -1.289083e+05, 1.366564e-10, 1.289083e+05, 0.000000e+00, 0.000000e+00, -1.060767e-10, 1.289083e+05, 1.060767e-10, 0.000000e+00, 2.024281e-10, -1.289083e+05, -2.024281e-10, 0.000000e+00, 0.000000e+00, -1.289083e+05, 4.427059e-11, 1.289083e+05, 0.000000e+00, 2.598813e-11, -4.427059e-11, -2.598813e-11, 0.000000e+00
-5.179993e-02, 0.000000e+00, 1.076330e-10, -1.062588e-10, -1.076330e-10, 0.000000e+00, -1.557571e+05, 1.062588e-10, 1.557571e+05, 0.000000e+00, 0.000000e+00, -8.391760e-11, 1.557571e+05, 8.391760e-11, 0.000000e+00, 1.871537e-10, -1.557571e+05, -1.871537e-10, 0.000000e+00, 0.000000e+00, -1.557571e+05, 5.173258e-11, 1.557571e+05, 0.000000e+00, 1.525541e-11, -5.173258e-11, -1.525541e-11, 0.000000e+00
-5.109035e-02, 0.000000e+00, 1.268965e-10, -4.327211e-11, -1.268965e-10, 0.000000e+00, -1.829835e+05, 4.327211e-11, 1.829835e+05, 0.000000e+00, 0.000000e+00, -9.565200e-11, 1.829835e+05, 9.565200e-11, 0.000000e+00, 2.168255e-10, -1.829835e+05, -2.168255e-10, 0.000000e+00, 0.000000e+00, -1.829835e+05, 4.780408e-11, 1.829835e+05, 0.000000e+00, 1.048860e-11, -4.780408e-11, -1.048860e-11, 0.000000e+00
-5.038076e-02, 0.000000e+00, 1.316618e-10, 6.551577e-11, -1.316618e-10, 0.000000e+00, -2.105868e+05, -6.551577e-11, 2.105868e+05, 0.000000e+00, 0.000000e+00, -9.242257e-11, 2.105868e+05, 9.242257e-11, 0.000000e+00, 2.870413e-10, -2.105868e+05, -2.870413e-10, 0.000000e+00, 0.000000e+00, -2.105868e+05, 6.707715e-11, 2.105868e+05, 0.000000e+00, 2.859820e-11, -6.707715e-11, -2.859820e-11, 0.000000e+00
-4.967117e-02, 0.000000e+00, 1.524405e-10, 8.409809e-11, -1.524405e-10, 0.000000e+00, -2.385629e+05, -8.409809e-11, 2.385629e+05, 0.000000e+00, 0.000000e+00, -1.035082e-10, 2.385629e+05, 1.035082e-10, 0.000000e+00, 2.829271e-10, -2.385629e+05, -2.829271e-10, 0.000000e+00, 0.000000e+00, -2.385629e+05, 5.102774e-11, 2.385629e+05, 0.000000e+00, 6.443582e-11, -5.102774e-11, -6.443582e-11, 0.000000e+00
-4.896158e-02, 0.000000e+00, 1.614254e-10, 4.930027e-11, -1.614254e-10, 0.000000e+00, -2.668103e+05, -4.930027e-11, 2.668103e+05, 0.000000e+00, 0.000000e+00, -1.116996e-10, 2.668103e+05, 1.116996e-10, 0.000000e+00, 2.711028e-10, -2.668103e+05, -2.711028e-10, 0.000000e+00, 0.000000e+00, -2.668103e+05, 4.618530e-11, 2.668103e+05, 0.000000e+00, 4.120812e-11, -4.618530e-11, -4.120812e-11, 0.000000e+00
-4.825199e-02, 0.000000e+00, 1.166145e-10, 5.893373e-11, -1.166145e-10, 0.000000e+00, -2.951824e+05, -5.893373e-11, 2.951824e+05, 0.000000e+00, 0.000000e+00, -9.354632e-11, 2.951824e+05, 9.354632e-11, 0.000000e+00, 3.103843e-10, -2.951824e+05, -3.103843e-10, 0.000000e+00, 0.000000e+00, -2.951824e+05, 7.352036e-11, 2.951824e+05, 0.000000e+00, 6.214474e-12, -7.352036e-11, -6.214474e-12, 0.000000e+00
