mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-5.605746e-02, -0.000000e+00, 1.494497e-09, 7.060091e-10, -1.494497e-09, -0.000000e+00, -6.252896e-08, -7.060091e-10, 6.252896e-08, -0.000000e+00, -0.000000e+00, 1.590346e-09, 6.580457e-08, -1.590346e-09, -0.000000e+00, 1.310548e-08, -6.580457e-08, -1.310548e-08, -0.000000e+00, -0.000000e+00, 1.888261e-09, 8.148031e-09, -1.888261e-09, -0.000000e+00, 8.813270e-09, -8.148031e-09, -8.813270e-09, -0.000000e+00
-5.534787e-02, -0.000000e+00, 1.114976e-09, -1.625258e-09, -1.114976e-09, -0.000000e+00, -1.944603e-09, 1.625258e-09, 1.944603e-09, -0.000000e+00, -0.000000e+00, -4.014048e-09, -3.336550e-09, 4.014048e-09, -0.000000e+00, 7.193247e-09, 3.336550e-09, -7.193247e-09, -0.000000e+00, -0.000000e+00, -9.222730e-10, -1.890919e-09, 9.222730e-10, -0.000000e+00, -2.570021e-09, 1.890919e-09, 2.570021e-09, -0.000000e+00
-5.463829e-02, -0.000000e+00, -5.267481e-09, 3.554931e-09, 5.267481e-09, -0.000000e+00, 8.423284e-11, -3.554931e-09, -8.423284e-11, -0.000000e+00, -0.000000e+00, -2.207592e-09, 3.047223e-10, 2.207592e-09, -0.000000e+00, -1.814259e-10, -3.047223e-10, 1.814259e-10, -0.000000e+00, -0.000000e+00, -4.523757e-11, 6.910252e-11, 4.523757e-11, -0.000000e+00, 6.794770e-10, -6.910252e-11, -6.794770e-10, -0.000000e+00
-5.392870e-02, -0.000000e+00, 1.409113e-09, -1.600597e-09, -1.409113e-09, -0.000000e+00, -3.688267e-09, 1.600597e-09, 3.688267e-09, -0.000000e+00, -0.000000e+00, 1.466128e-09, -2.115020e-09, -1.466128e-09, -0.000000e+00, -2.923182e-10, 2.115020e-09, 2.923182e-10, -0.000000e+00, -0.000000e+00, 1.494059e-09, -4.277850e-09, -1.494059e-09, -0.000000e+00, -2.626012e-09, 4.277850e-09, 2.626012e-09, -0.000000e+00
-5.321911e-02, -0.000000e+00, 4.254938e-10, -3.817040e-09, -4.254938e-10, -0.000000e+00, -6.198980e-08, 3.817040e-09, 6.198980e-08, -0.000000e+00, -0.000000e+00, 2.190021e-09, 4.329099e-08, -2.190021e-09, -0.000000e+00, 3.588067e-09, -4.329099e-08, -3.588067e-09, -0.000000e+00, -0.000000e+00, -6.280794e-09, -5.298561e-09, 6.280794e-09, -0.000000e+00, -5.643484e-09, 5.298561e-09, 5.643484e-09, -0.000000e+00
-5.250952e-02, -0.000000e+00, -4.746892e-09, 7.804674e-09, 4.746892e-09, -0.000000e+00, 7.089842e-09, -7.804674e-09, -7.089842e-09, -0.000000e+00, -0.000000e+00, 1.562242e-09, 2.778077e-09, -1.562242e-09, -0.000000e+00, 2.904681e-09, -2.778077e-09, -2.904681e-09, -0.000000e+00, -0.000000e+00, -4.623198e-09, -6.422137e-10, 4.623198e-09, -0.000000e+00, 6.411609e-10, 6.422137e-10, -6.411609e-10, -0.000000e+00
-5.179993e-02, -0.000000e+00, 1.131439e-09, -4.712167e-09, -1.131439e-09, -0.000000e+00, -5.435383e-08, 4.712167e-09, 5.435383e-08, -0.000000e+00, -0.000000e+00, 3.268649e-09, 5.003924e-08, -3.268649e-09, -0.000000e+00, 1.083570e-09, -5.003924e-08, -1.083570e-09, -0.000000e+00, -0.000000e+00, 1.125035e-09, -1.457513e-09, -1.125035e-09, -0.000000e+00, 4.262181e-10, 1.457513e-09, -4.262181e-10, -0.000000e+00
-5.109035e-02, -0.000000e+00, 9.777542e-10, -4.645827e-10, -9.777542e-10, -0.000000e+00, -4.640149e-09, 4.645827e-10, 4.640149e-09, -0.000000e+00, -0.000000e+00, 1.716087e-10, -4.918117e-09, -1.716087e-10, -0.000000e+00, 1.001898e-09, 4.918117e-09, -1.001898e-09, -0.000000e+00, -0.000000e+00, 1.225548e-10, 2.109014e-09, -1.225548e-10, -0.000000e+00, -7.877637e-11, -2.109014e-09, 7.877637e-11, -0.000000e+00
-5.038076e-02, -0.000000e+00, -1.601643e-09, 2.067163e-09, 1.601643e-09, -0.000000e+00, 1.918477e-09, -2.067163e-09, -1.918477e-09, -0.000000e+00, -0.000000e+00, -1.187462e-10, -6.491479e-10, 1.187462e-10, -0.000000e+00, -2.103802e-09, 6.491479e-10, 2.103802e-09, -0.000000e+00, -0.000000e+00, -2.619759e-09, -1.014722e-09, 2.619759e-09, -0.000000e+00, -1.073409e-09, 1.014722e-09, 1.073409e-09, -0.000000e+00
-4.967117e-02, -0.000000e+00, 3.424196e-09, 6.003416e-09, -3.424196e-09, -0.000000e+00, 2.245257e-09, -6.003416e-09, -2.245257e-09, -0.000000e+00, -0.000000e+00, -4.100271e-09, 8.457302e-10, 4.100271e-09, -0.000000e+00, 3.315140e-09, -8.457302e-10, -3.315140e-09, -0.000000e+00, -0.000000e+00, -1.458432e-09, 2.623667e-09, 1.458432e-09, -0.000000e+00, -1.071487e-09, -2.623667e-09, 1.071487e-09, -0.000000e+00
-4.896158e-02, -0.000000e+00, 1.006604e-09, 6.465743e-09, -1.006604e-09, -0.000000e+00, -5.096076e-09, -6.465743e-09, 5.096076e-09, -0.000000e+00, -0.000000e+00, 4.140929e-10, -3.033780e-09, -4.140929e-10, -0.000000e+00, -1.411347e-10, 3.033780e-09, 1.411347e-10, -0.000000e+00, -0.000000e+00, 2.147083e-09, -3.175879e-09, -2.147083e-09, -0.000000e+00, 9.719764e-10, 3.175879e-09, -9.719764e-10, -0.000000e+00
-4.825199e-02, -0.000000e+00, -3.083839e-09, 4.013579e-09, 3.083839e-09, -0.000000e+00, -4.987496e-09, -4.013579e-09, 4.987496e-09, -0.000000e+00, -0.000000e+00, 2.506794e-10, -5.574125e-09, -2.506794e-10, -0.000000e+00, 6.277630e-09, 5.574125e-09, -6.277630e-09, -0.000000e+00, -0.000000e+00, -1.407649e-10, -4.704969e-09, 1.407649e-10, -0.000000e+00, 1.745824e-09, 4.704969e-09, -1.745824e-09, -0.000000e+00
-4.754240e-02, -0.000000e+00, 5.262456e-10, 2.051720e-09, -5.262456e-10, -0.000000e+00, 1.377525e-09, -2.051720e-09, -1.377525e-09, -0.000000e+00, -0.000000e+00, 6.645996e-10, 2.226768e-09, -6.645996e-10, -0.000000e+00, 3.348997e-09, -2.226768e-09, -3.348997e-09, -0.000000e+00, -0.000000e+00, 9.521686e-10, 1.540485e-09, -9.521686e-10, -0.000000e+00, -4.169884e-09, -1.540485e-09, 4.169884e-09, -0.000000e+00
-4.683282e-02, -0.000000e+00, 5.168315e-10, 1.637277e-09, -5.168315e-10, -0.000000e+00, -1.439582e-10, -1.637277e-09, 1.439582e-10, -0.000000e+00, -0.000000e+00, 7.126492e-10, -7.767477e-10, -7.126492e-10, -0.000000e+00, 4.245561e-09, 7.767477e-10, -4.245561e-09, -0.000000e+00, -0.000000e+00, -6.725783e-10, -4.365881e-10, 6.725783e-10, -0.000000e+00, -1.212008e-09, 4.365881e-10, 1.212008e-09, -0.000000e+00
-4.612323e-02, -0.000000e+00, -1.917012e-09, -2.021569e-09, 1.917012e-09, -0.000000e+00, -1.051748e-09, 2.021569e-09, 1.051748e-09, -0.000000e+00, -0.000000e+00, -5.319470e-10, -1.575685e-09, 5.319470e-10, -0.000000e+00, -1.896413e-09, 1.575685e-09, 1.896413e-09, -0.000000e+00, -0.000000e+00, -3.126741e-10, -1.167155e-10, 3.126741e-10, -0.000000e+00, 2.590276e-09, 1.167155e-10, -2.590276e-09, -0.000000e+00
-4.541364e-02, -0.000000e+00, -1.856862e-09, -1.140264e-09, 1.856862e-09, -0.000000e+00, 5.838343e-10, 1.140264e-09, -5.838343e-10, -0.000000e+00, -0.000000e+00, -1.031236e-09, -2.572689e-10, 1.031236e-09, -0.000000e+00, 1.108830e-09, 2.572689e-10, -1.108830e-09, -0.000000e+00, -0.000000e+00, -8.475561e-10, -2.630197e-09, 8.475561e-10, -0.000000e+00, 1.771300e-10, 2.630197e-09, -1.771300e-10, -0.000000e+00
-4.470405e-02, -0.000000e+00, -7.231056e-11, 1.548923e-09, 7.231056e-11, -0.000000e+00, 1.245687e-09, -1.548923e-09, -1.245687e-09, -0.000000e+00, -0.000000e+00, -1.722200e-10, -6.379483e-10, 1.722200e-10, -0.000000e+00, -1.466499e-09, 6.379483e-10, 1.466499e-09, -0.000000e+00, -0.000000e+00, -1.840909e-09, 1.063465e-09, 1.840909e-09, -0.000000e+00, 3.850239e-10, -1.063465e-09, -3.850239e-10, -0.000000e+00
-4.399446e-02, -0.000000e+00, 3.063008e-10, 3.245750e-09, -3.063008e-10, -0.000000e+00, 4.185222e-11, -3.245750e-09, -4.185222e-11, -0.000000e+00, -0.000000e+00, 1.172578e-10, -4.270981e-10, -1.172578e-10, -0.000000e+00, 2.077853e-09, 4.270981e-10, -2.077853e-09, -0.000000e+00, -0.000000e+00, -4.801077e-10, 3.349995e-09, 4.801077e-10, -0.000000e+00, -2.274721e-10, -3.349995e-09, 2.274721e-10, -0.000000e+00
-4.328488e-02, -0.000000e+00, 1.836508e-10, 1.926628e-10, -1.836508e-10, -0.000000e+00, -6.492554e-10, -1.926628e-10, 6.492554e-10, -0.000000e+00, -0.000000e+00, -7.203722e-10, 7.417799e-10, 7.203722e-10, -0.000000e+00, 7.967429e-10, -7.417799e-10, -7.967429e-10, -0.000000e+00, -0.000000e+00, 1.514975e-09, 7.268337e-10, -1.514975e-09, -0.000000e+00, -6.753476e-10, -7.268337e-10, 6.753476e-10, -0.000000e+00
-4.257529e-02, -0.000000e+00, -1.067037e-09, -1.434848e-09, 1.067037e-09, -0.000000e+00, 2.286824e-09, 1.434848e-09, -2.286824e-09, -0.000000e+00, -0.000000e+00, 1.425410e-09, 1.189215e-09, -1.425410e-09, -0.000000e+00, 1.029172e-10, -1.189215e-09, -1.029172e-10, -0.000000e+00, -0.000000e+00, -1.096332e-09, 8.271977e-10, 1.096332e-09, -0.000000e+00, 9.068338e-10, -8.271977e-10, -9.068338e-10, -0.000000e+00
-4.186570e-02, -0.000000e+00, 2.039545e-09, 1.867564e-09, -2.039545e-09, -0.000000e+00, -1.020767e-09, -1.867564e-09, 1.020767e-09, -0.000000e+00, -0.000000e+00, 3.526677e-10, -1.775329e-09, -3.526677e-10, -0.000000e+00, 7.649450e-12, 1.775329e-09, -7.649450e-12, -0.000000e+00, -0.000000e+00, -8.713860e-10, -1.371330e-10, 8.713860e-10, -0.000000e+00, -2.610171e-10, 1.371330e-10, 2.610171e-10, -0.000000e+00
-4.115611e-02, -0.000000e+00, 3.613227e-12, 1.036326e-09, -3.613227e-12, -0.000000e+00, 2.240150e-10, -1.036326e-09, -2.240150e-10, -0.000000e+00, -0.000000e+00, -3.218401e-10, 7.498482e-10, 3.218401e-10, -0.000000e+00, -2.724128e-10, -7.498482e-10, 2.724128e-10, -0.000000e+00, -0.000000e+00, 5.549249e-10, 1.159907e-10, -5.549249e-10, -0.000000e+00, 1.251240e-09, -1.159907e-10, -1.251240e-09, -0.000000e+00
