mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
-5.605746e-02, -0.000000e+00, 7.128576e-08, -1.336290e-07, -7.128576e-08, -0.000000e+00, -3.514477e+07, 1.336290e-07, 3.514477e+07, -0.000000e+00, -0.000000e+00, -2.348289e-08, 3.514477e+07, 2.348289e-08, -0.000000e+00, 7.000071e-08, -3.514477e+07, -7.000071e-08, -0.000000e+00, -0.000000e+00, -3.514477e+07, 2.812532e-08, 3.514477e+07, -0.000000e+00, 2.704462e-08, -2.812532e-08, -2.704462e-08, -0.000000e+00
-5.570490e-02, -0.000000e+00, 1.978440e-08, -1.290769e-07, -1.978440e-08, -0.000000e+00, -3.535280e+07, 1.290769e-07, 3.535280e+07, -0.000000e+00, -0.000000e+00, 7.364434e-08, 3.535280e+07, -7.364434e-08, -0.000000e+00, -9.375642e-08, -3.535280e+07, 9.375642e-08, -0.000000e+00, -0.000000e+00, -3.535280e+07, -2.680925e-08, 3.535280e+07, -0.000000e+00, -7.735984e-08, 2.680925e-08, 7.735984e-08, -0.000000e+00
-5.535234e-02, -0.000000e+00, 3.207574e-08, -4.390316e-08, -3.207574e-08, -0.000000e+00, -3.559509e+07, 4.390316e-08, 3.559509e+07, -0.000000e+00, -0.000000e+00, 1.501019e-07, 3.559509e+07, -1.501019e-07, -0.000000e+00, -1.388920e-07, -3.559509e+07, 1.388920e-07, -0.000000e+00, -0.000000e+00, -3.559509e+07, 1.786607e-08, 3.559509e+07, -0.000000e+00, 2.947065e-08, -1.786607e-08, -2.947065e-08, -0.000000e+00
-5.499977e-02, -0.000000e+00, -1.583788e-08, 1.793118e-08, 1.583788e-08, -0.000000e+00, -3.582383e+07, -1.793118e-08, 3.582383e+07, -0.000000e+00, -0.000000e+00, -8.154455e-08, 3.582383e+07, 8.154455e-08, -0.000000e+00, -1.554370e-08, -3.582383e+07, 1.554370e-08, -0.000000e+00, -0.000000e+00, -3.582383e+07, 5.632668e-08, 3.582383e+07, -0.000000e+00, -6.531128e-09, -5.632668e-08, 6.531128e-09, -0.000000e+00
-5.464721e-02, -0.000000e+00, -3.447464e-08, -2.192692e-08, 3.447464e-08, -0.000000e+00, -3.606109e+07, 2.192692e-08, 3.606109e+07, -0.000000e+00, -0.000000e+00, 6.839859e-08, 3.606109e+07, -6.839859e-08, -0.000000e+00, -1.744634e-07, -3.606109e+07, 1.744634e-07, -0.000000e+00, -0.000000e+00, -3.606109e+07, 4.905049e-09, 3.606109e+07, -0.000000e+00, -9.068419e-08, -4.905049e-09, 9.068419e-08, -0.000000e+00
-5.429465e-02, -0.000000e+00, -1.081612e-07, -4.221692e-09, 1.081612e-07, -0.000000e+00, -3.629821e+07, 4.221692e-09, 3.629821e+07, -0.000000e+00, -0.000000e+00, 6.178101e-08, 3.629821e+07, -6.178101e-08, -0.000000e+00, -3.750376e-08, -3.629821e+07, 3.750376e-08, -0.000000e+00, -0.000000e+00, -3.629821e+07, 5.521936e-08, 3.629821e+07, -0.000000e+00, -3.515052e-08, -5.521936e-08, 3.515052e-08, -0.000000e+00
-5.394209e-02, -0.000000e+00, 1.080303e-07, -2.303578e-08, -1.080303e-07, -0.000000e+00, -3.653874e+07, 2.303578e-08, 3.653874e+07, -0.000000e+00, -0.000000e+00, -4.914489e-08, 3.653874e+07, 4.914489e-08, -0.000000e+00, -4.265523e-08, -3.653874e+07, 4.265523e-08, -0.000000e+00, -0.000000e+00, -3.653874e+07, -3.718999e-08, 3.653874e+07, -0.000000e+00, -2.764235e-08, 3.718999e-08, 2.764235e-08, -0.000000e+00
-5.358952e-02, -0.000000e+00, -2.780251e-08, -3.712732e-07, 2.780251e-08, -0.000000e+00, -3.680857e+07, 3.712732e-07, 3.680857e+07, -0.000000e+00, -0.000000e+00, 7.116825e-08, 3.680857e+07, -7.116825e-08, -0.000000e+00, -3.466041e-09, -3.680857e+07, 3.466041e-09, -0.000000e+00, -0.000000e+00, -3.680857e+07, -1.058634e-07, 3.680857e+07, -0.000000e+00, -1.230677e-08, 1.058634e-07, 1.230677e-08, -0.000000e+00
-5.323696e-02, -0.000000e+00, 1.019268e-07, -8.769973e-08, -1.019268e-07, -0.000000e+00, -3.703657e+07, 8.769973e-08, 3.703657e+07, -0.000000e+00, -0.000000e+00, 5.066204e-08, 3.703657e+07, -5.066204e-08, -0.000000e+00, -2.121992e-07, -3.703657e+07, 2.121992e-07, -0.000000e+00, -0.000000e+00, -3.703657e+07, -9.617356e-08, 3.703657e+07, -0.000000e+00, -4.751750e-08, 9.617356e-08, 4.751750e-08, -0.000000e+00
-5.288440e-02, -0.000000e+00, 1.188553e-08, -1.707030e-07, -1.188553e-08, -0.000000e+00, -3.730039e+07, 1.707030e-07, 3.730039e+07, -0.000000e+00, -0.000000e+00, -1.277554e-07, 3.730039e+07, 1.277554e-07, -0.000000e+00, -3.477166e-08, -3.730039e+07, 3.477166e-08, -0.000000e+00, -0.000000e+00, -3.730039e+07, 5.656509e-08, 3.730039e+07, -0.000000e+00, 1.059478e-07, -5.656509e-08, -1.059478e-07, -0.000000e+00
