mu, xxx, xxy, xxz, xyx, xyy, xyz, xzx, xzy, xzz, yxx, yxy, yxz, yyx, yyy, yyz, yzx, yzy, yzz, zxx, zxy, zxz, zyx, zyy, zyz, zzx, zzy, zzz
0.000000e+00, -3.223629e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -3.223629e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -3.223629e-17, -1.039265e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.039265e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.039265e-17, -1.541936e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.541936e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.541936e-17
7.095881e-04, -1.449859e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.449859e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.449859e-17, -1.572453e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.572453e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -1.572453e-17, -6.953833e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, -6.953833e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, -6.953833e-18
1.419176e-03, 3.445584e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 3.445584e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 3.445584e-17, -6.269660e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -6.269660e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -6.269660e-17, 1.112833e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.112833e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.112833e-17
2.128764e-03, -6.352744e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, -6.352744e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, -6.352744e-18, 1.959943e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.959943e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.959943e-17, 2.467054e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 2.467054e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 2.467054e-17
2.838353e-03, 5.519252e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 5.519252e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 5.519252e-17, 6.271280e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 6.271280e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 6.271280e-17, -6.954837e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -6.954837e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -6.954837e-17
3.547941e-03, 5.290857e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 5.290857e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 5.290857e-17, -6.098908e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -6.098908e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -6.098908e-17, -7.766608e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -7.766608e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -7.766608e-17
4.257529e-03, 1.954099e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.954099e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.954099e-17, 1.481970e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.481970e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.481970e-17, 1.025103e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.025103e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.025103e-17
4.967117e-03, 1.334590e-16, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.334590e-16, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.334590e-16, 2.421160e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 2.421160e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 2.421160e-17, -4.098616e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -4.098616e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -4.098616e-17
5.107462e-03, -7.932360e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, -7.932360e-18, -0.000000e+00, -0.000000e+00, -0.000000e+00, -7.932360e-18, 3.745728e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 3.745728e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 3.745728e-17, -2.735794e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -2.735794e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -2.735794e-17
5.436795e-03, 2.090251e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 2.090251e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 2.090251e-17, -4.181684e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -4.181684e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -4.181684e-17, -5.360456e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -5.360456e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -5.360456e-17
5.654029e-03, 6.610723e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 6.610723e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 6.610723e-17, 1.584232e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.584232e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, 1.584232e-17, -5.233004e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -5.233004e-17, -0.000000e+00, -0.000000e+00, -0.000000e+00, -5.233004e-17
